Time frequency,Sex,Professional position,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Researchers,Head count,Government sector,Denmark,2092.0,2289.0,2394.0,2585.0,2443.0,2621.0,2747.0,2767 p,2782 p,:,:,:
Annual,Total,Researchers,Head count,Government sector,Euro area - 19 countries  (2015-2022),198457 e,197727 e,195643 e,205622 e,210559 e,216439 e,224224 e,230147 e,235897 e,246376 e,:,:
Annual,Total,Researchers,Head count,Government sector,Euro area – 20 countries (from 2023),201344 e,200507 e,198225 e,208099 e,213100 e,219167 e,227011 e,233107 e,238936 e,249272 e,:,:
Annual,Total,Researchers,Head count,Government sector,Estonia,726.0,749.0,738.0,668.0,623.0,642.0,574.0,608.0,634.0,623.0,709.0,:
Annual,Total,Researchers,Head count,Government sector,Greece,:,8567.0,:,15758.0,:,15987.0,:,17804.0,18171.0,19263.0,19743.0,:
Annual,Total,Researchers,Head count,Government sector,Spain,32192.0,31018.0,31094.0,32371.0,33640.0,34193.0,35015.0,35980.0,36092.0,37937.0,39218.0,:
Annual,Total,Researchers,Head count,Government sector,European Union - 27 countries (from 2020),252562 e,255145 e,253237 e,266440 e,259674 e,269425 e,277327 e,282749 e,290848 e,301880 e,:,:
Annual,Total,Researchers,Head count,Government sector,Finland,5677.0,5732.0,5179.0,4888.0,4391.0,4775.0,4635.0,4629.0,4673.0,4831 d,4986 d,:
Annual,Total,Researchers,Head count,Government sector,France,28051.0,28520.0,28403.0,:,30214.0,30474 p,30684 p,:,31167.0,31845.0,32574.0,:
Annual,Total,Researchers,Head count,Government sector,Croatia,2887 d,2780 d,2582 d,2477 d,2541 d,2728 d,2787 d,2960 d,3039 d,2896.0,3150.0,:
Annual,Total,Researchers,Head count,Government sector,Hungary,5726.0,5770.0,6257.0,6290.0,6150.0,6113.0,7906 b,8046.0,8285.0,7896.0,7960.0,:
Annual,Total,Researchers,Head count,Government sector,Ireland,558.0,516.0,544.0,573.0,:,677.0,:,760.0,:,998.0,1142.0,:
Annual,Total,Researchers,Head count,Government sector,Iceland,:,168 b,:,:,:,255.0,278.0,:,:,287.0,308 u,:
Annual,Total,Researchers,Head count,Government sector,Italy,25930.0,27621.0,28314.0,29058.0,29124.0,29830.0,30403.0,31008.0,31606.0,33263.0,34733.0,:
Annual,Total,Researchers,Head count,Government sector,Japan,34829 d,34287 d,34067 d,34151 d,34235 d,34598 d,34745 d,34920 d,34449 d,34661 d,34511 d,:
Annual,Total,Researchers,Head count,Government sector,South Korea,24822.0,26153.0,27508.0,28986.0,29571.0,29733.0,30470.0,32135.0,30822.0,31370.0,31624.0,:
Annual,Total,Researchers,Head count,Government sector,Lithuania,1700.0,1696.0,1761.0,1886.0,2643.0,2883.0,2850.0,2774.0,2895.0,2966.0,2860.0,:
