Time frequency,Activity and employment status,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Finland,22.0,19.0,19.0,16.9,15.0,15.1,16.2,17.0,15.8,14.1,18.7 b,17.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,France,9.9,9.6,8.4,7.9,8.3,8.1,8.0,9.6,9.7 b,11.3,12.9 b,12.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Croatia,21.9,20.0,19.9,23.4,23.9,26.7,27.0,29.1,30.2,33.5,32.0,34.9 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Hungary,6.0,6.2,4.9,5.2,7.9,9.8,11.3,12.6,14.0,15.1,13.4,17.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Ireland,12.9,10.8,13.3,16.4,16.1,15.0,22.7,12.0 b,17.1 b,19.9,24.1,17.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Iceland,4.7,3.6,10.1,9.1,13.4,13.5,4.3,5.5,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Italy,12.4,11.7,10.3,10.9,13.1,12.1,11.2,10.4,13.1,12.0,14.1,12.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Lithuania,23.4,26.5,25.2,31.4,35.4,42.1,47.5,41.4,45.0,44.5,49.3,46.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Luxembourg,6.5,5.9,3.2,6.4,9.4 b,10.2,8.0,8.1,7.1 b,10.0 b,11.8 b,10.3
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Latvia,17.7,21.3,34.5,41.8,46.2,48.5,52.5,55.7,49.8,55.2,51.7,51.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Montenegro,:,11.6,13.4,12.7,13.8,12.8,11.2,9.0,11.2,12.1,10.9,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,North Macedonia,5.0,3.2,2.6,2.7,2.2,1.6,2.1,2.4,2.0,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Malta,11.3,9.4,8.5,11.4,16.8,19.0,19.9,18.2,17.0,17.1,21.5,25.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Netherlands,5.6,6.7,8.5,6.4,10.1 b,11.2,12.1,12.8,12.4,17.7,20.4,14.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Norway,14.7,16.5,16.0,15.1,14.9,13.0,11.2,12.4,13.5,10.4 b,10.6,9.5 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Poland,15.3,13.4,12.7,12.9,14.5,15.2,17.8,20.7,22.2,21.3,17.8,19.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Portugal,16.3,13.2,13.4,15.2,16.3,15.6,16.9,15.6,17.2,20.0,16.2,17.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Romania,12.6,13.2,14.8,17.8,18.9,18.8,22.3,24.8,25.4,21.9,20.2,15.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Serbia,:,15.1,15.6,17.3,18.0,19.9,18.9,18.2,20.7,21.0,20.7,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Sweden,21.4,20.9,18.3,21.0,22.1,19.8,19.4,18.9,20.1,17.2,20.4,17.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Slovenia,20.4,20.7,17.9,19.2,20.1,19.5,21.7,21.8,22.6,19.6,21.0,21.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Slovakia,8.8,7.8,7.5,7.3,6.8,8.6,7.8,10.1,11.0,12.2,10.7,11.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,Türkiye,0.9,0.7,0.2,0.3,0.9,0.3,6.0,6.2,8.7,2.9,3.7,4.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Females,United Kingdom,18.3 b,18.7,20.3,19.4,20.1,20.6 b,24.7,:,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Albania,:,:,:,:,:,13.3,12.5,13.6,13.4,12.9,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Austria,11.6,12.0,12.5,11.3,10.0,9.8,10.2,10.6,12.2,12.3,12.9,13.9
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Belgium,17.9,15.3 b,13.5,13.2,14.2,13.2,14.0,13.2 b,15.9,12.6,16.1,13.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Bulgaria,18.2,19.1,16.6,20.5,16.7 b,23.5,20.0,26.4,28.9,26.6,24.8,18.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Switzerland,24.3,26.1,21.4 b,25.2,21.4,22.6,22.0,22.7,20.2,21.8,22.0,22.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Cyprus,24.4,16.0,17.6,13.4,16.6,19.2,19.9,22.8,21.8,18.5,20.3,23.9
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Czechia,3.4,3.3,4.5,4.1,4.2,5.3,7.5,9.9,8.5,5.4,9.6,8.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Germany,14.5,13.2,14.6,15.0,15.9,15.3,17.2,16.2,18.5 b,17.7,16.2,15.9
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Denmark,11.7,8.9,9.5,7.6,7.3,9.2,9.7,8.4,10.0 b,9.9,12.8,10.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Euro area - 19 countries  (2015-2022),12.1,10.9,10.7,11.1,11.8,12.0,12.8,12.9,13.7 b,13.4,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Euro area – 20 countries (from 2023),:,:,10.8,11.2,11.9,12.1,12.9,13.0,13.9,13.6,14.2,14.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Estonia,14.1,16.8,23.8 b,27.5,31.2,33.6,43.1,39.4,37.0,33.0,50.8,43.3
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Greece,14.4,11.9,10.9,10.0,9.0,9.0,8.6,8.5,9.2,9.8,11.3,12.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Spain,14.2,11.7,9.7,11.1,12.6,13.3,14.0,13.9,15.1,13.4,15.2,15.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,European Union - 27 countries (2007-2013),11.9,10.9,11.0,11.5,11.9,12.4,13.5,13.9 e,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,European Union - 27 countries (from 2020),11.5 e,10.4 e,10.4 e,11.0 e,11.5 e,12.0 e,12.7 e,13.2 e,14.0 b,13.6,14.0,13.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,European Union - 28 countries (2013-2020),12.0,11.0,11.1,11.6,12.0,12.5,13.6,14.0 e,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Finland,11.7,11.6,10.4,9.0,8.2,7.7,8.9,10.6,11.7,10.7,11.1 b,9.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,France,7.3,6.7,6.6,6.1,5.5,6.1,6.5,8.2,7.7 b,8.7,10.1 b,10.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Croatia,19.2,16.5,17.6,20.3,19.2,21.9,21.6,22.5,24.1,25.1,25.6,27.4 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Hungary,4.8,4.6,4.7,4.8,5.8,7.9,7.7,7.9,14.9,12.7,11.5,9.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Ireland,12.3,12.0,11.7,15.2,16.9,14.5,17.5,10.3 b,12.7 b,16.8,21.9,15.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Iceland,2.8,3.3,6.3,5.5,5.3,9.1,7.6,3.0,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Italy,12.6,11.5,10.4,11.1,12.6,13.3,12.7,13.2,13.7,12.9,14.0,13.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Lithuania,15.4,14.9,15.6,19.7,20.8,25.8,29.6,22.0,28.3,27.5,30.9,26.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Luxembourg,4.5,4.5,4.4,5.4,6.5 b,8.8,6.6,7.2,6.7 b,9.2 b,9.3 b,11.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Latvia,11.9,13.4,19.2,26.4,32.9,33.8,41.4,47.2,39.8,41.8,37.6,36.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Montenegro,:,12.6,12.4,14.2,16.4,14.5,12.3,13.8,13.3,12.4,13.1,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,North Macedonia,19.4,15.1,11.9,9.9,9.9,11.5,11.5,11.1,10.3,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Malta,18.0,15.9,17.9,21.3,23.2,23.6,25.2,26.9,24.4,25.9,27.7,28.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Netherlands,5.4,5.0,6.1,6.0,9.4 b,10.3,11.9,11.4,11.1,15.4,15.4,13.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Norway,3.9,3.6,4.4,4.1,4.1,3.7,3.7,3.1,2.6,3.7 b,4.6,5.5 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Poland,8.2,7.4,7.4,8.2,8.7,10.3,10.6,12.9,12.4,12.6,10.9,13.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Portugal,15.4,12.2,12.4,13.5,15.6,14.5,14.3,14.7,14.0,15.7,13.3,13.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Romania,7.9,8.3,9.7,12.8,11.6,12.4,15.6,16.9,18.0,16.8,15.2,10.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Serbia,:,13.5,15.5,16.0,14.7,14.3,14.7,16.0,17.7,18.6,18.4,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Sweden,10.9,10.0,9.6,12.7,12.8,11.7,11.6,11.6,11.2,9.0,13.4,12.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Slovenia,12.0,12.8,11.0,11.4,12.6,11.1,13.4,13.5,15.6,14.4,17.8,17.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Slovakia,5.8,4.4,5.3,4.4,4.9,6.2,5.8,6.5,7.4,7.1,7.7,8.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,Türkiye,4.7,3.7,4.5,5.7,6.0,4.7,9.4,9.5,15.0,7.9,10.3,14.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Males,United Kingdom,16.6 b,16.0,16.9,16.9,16.4,17.3 b,20.4,:,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Albania,:,:,:,:,:,13.4,14.2,14.0,13.9,14.0,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Austria,14.4,14.6,14.2,12.9,12.2,12.1,13.1,14.1,14.1,14.9,15.6,16.3
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Belgium,16.7,15.1 b,12.9,12.4,13.3,13.6,14.1,13.4 b,16.2,13.3,15.6,13.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Bulgaria,26.2,25.9,21.1,30.0,24.7 b,32.4,28.5,34.3,37.7,34.7,36.8,23.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Switzerland,29.6,29.3,25.7 b,27.6,26.0,25.9,24.6,27.4,24.8,25.1,25.6,25.9
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Cyprus,29.0,19.7,21.3,16.5,19.8,21.6,21.5,24.7,22.7,20.2,21.2,24.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Czechia,6.4,6.1,6.9,7.4,8.1,10.8,14.2,16.7,14.9,10.5,16.7,14.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Germany,15.1,15.0,16.7,17.0,18.0,17.5,18.7,18.4,20.1 b,19.3,18.2,18.3
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Denmark,12.6,10.0,10.2,8.8,8.8,8.6,9.3,9.2,11.3 b,11.7,14.3,11.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Euro area - 19 countries  (2015-2022),12.6,12.0,11.9,12.2,13.0,13.1,13.6,13.8,14.8 b,14.8,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Euro area – 20 countries (from 2023),:,:,11.9,12.3,13.1,13.3,13.8,14.0,15.0,15.0,15.7,15.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Estonia,19.6,27.1,35.6 b,40.1,45.0,46.1,53.6,51.0,48.8,47.6,59.8,55.0
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Greece,14.3,12.4,11.5,10.8,9.7,9.5,8.7,8.9,10.0,10.6,11.0,12.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Spain,12.3,10.5,9.0,10.2,11.2,12.7,13.1,12.4,14.8,13.1,15.0,14.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,European Union - 27 countries (2007-2013),13.1,12.5,12.6,13.1,13.7,14.2,15.2,15.8 e,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,European Union - 27 countries (from 2020),12.6 e,12.0 e,11.8 e,12.5 e,13.2 e,13.6 e,14.3 e,15.0 e,16.0 b,15.6,16.1,15.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,European Union - 28 countries (2013-2020),13.2,12.6,12.7,13.2,13.8,14.3,15.3,15.9 e,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Finland,17.6,15.8,15.3,13.5,12.0,11.9,13.0,14.2,14.0,12.6,15.3 b,13.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,France,8.7,8.3,7.5,7.1,7.0,7.2,7.3,9.0,8.8 b,10.2,11.6 b,11.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Croatia,20.7,18.4,18.9,22.0,21.8,24.5,24.6,26.1,27.5,29.7,29.2,31.6 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Hungary,5.5,5.6,4.8,5.0,7.1,9.1,10.0,10.9,14.3,14.2,12.7,14.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Ireland,12.5,11.6,12.3,15.7,16.6,14.7,19.9,11.1 b,14.8 b,18.3,23.0,16.8
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Iceland,3.8,3.4,8.3,7.3,9.9,11.8,5.6,4.5,:,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Italy,12.6,11.6,10.4,11.0,12.8,12.7,12.0,11.9,13.4,12.5,14.0,12.9
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Lithuania,20.8,22.7,22.0,27.6,30.6,36.7,41.7,35.1,39.5,38.8,43.1,39.2
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Luxembourg,5.3,5.0,3.9,5.8,7.7 b,9.4,7.2,7.5,6.9 b,9.5 b,10.4 b,10.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Latvia,15.8,18.8,29.4,36.7,41.9,43.7,48.9,53.0,46.5,50.9,47.3,46.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Montenegro,:,12.1,12.9,13.4,15.1,13.6,11.7,11.4,12.2,12.2,12.0,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,North Macedonia,14.1,10.9,8.4,7.3,7.1,7.7,7.9,7.7,7.0,:,:,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Malta,16.3,14.2,15.5,18.7,21.1,21.9,23.7,24.1,22.1,23.2,25.8,27.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Netherlands,5.5,5.9,7.4,6.2,9.8 b,10.8,12.0,12.2,11.8,16.7,18.1,13.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Norway,9.9,10.7,10.7,10.1,10.1,8.9,7.8,8.2,8.6,7.4 b,7.9,7.7 b
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Poland,12.5,11.1,10.6,11.1,12.3,13.3,15.0,17.7,18.5,18.1,15.3,17.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Portugal,15.9,12.8,12.9,14.4,16.0,15.1,15.7,15.2,15.7,18.0,14.9,15.4
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Romania,10.7,11.2,12.7,15.8,15.9,16.1,19.5,21.5,22.3,19.7,18.1,13.5
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Serbia,:,14.4,15.6,16.7,16.6,17.5,17.1,17.2,19.4,19.9,19.7,:
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Sweden,16.7,15.9,14.4,17.2,17.9,16.2,15.8,15.6,16.0,13.4,17.2,15.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Slovenia,17.0,17.5,15.0,15.9,16.9,15.9,18.1,18.2,19.5,17.3,19.6,19.7
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Slovakia,7.7,6.6,6.7,6.2,6.0,7.6,7.0,8.6,9.6,10.1,9.5,10.1
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,Türkiye,3.8,3.1,3.6,4.5,4.9,3.7,8.6,8.7,13.4,6.7,8.7,11.6
Annual,Retired persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,18 years or over,Total,United Kingdom,17.6 b,17.6,18.8,18.3,18.4,19.1 b,22.8,:,:,:,:,:
