Time frequency,Unit of measure,Water process,Water sources,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh groundwater,Kosovo*,:,:,6.96,6.38,9.07,10.01,8.37,9.11,10.31,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Albania,:,:,:,:,:,:,380.21 e,334.19,310.55,276.78,283.64,286.98
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Belgium,488.04,483.28,438.78,412.55,360.24,415.66,391.49,365.52,394.41,352.17,367.19 e,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Bulgaria,868.92,782.25,752.67,744.13,784.22,798.18,799.61,772.27,777.16,732.17,769.69,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Switzerland,:,250.70 e,:,:,:,:,:,:,:,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Cyprus,259.50 e,295.50 e,296.19 e,254.31 e,273.58 e,255.77 e,251.65 e,237.45 e,229.49 e,259.42 e,260.56 e,244.22 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Czechia,179.74,175.13,156.97,156.74,152.01,154.79,153.89,149.68,141.15,127.68,128.36,135.49
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Germany,379.52 i,346.86 i,314.05,308.79 i,302.20 i,295.88,280.06 i,264.55 i,249.32,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Denmark,172.44,155.94,180.75,179.35,164.96,154.85,155.38,190.87,162.63,162.44,163.77 p,158.28 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Estonia,1411.59,1233.09,1326.1,1311.48 e,1228.52,1334.56,1357.65,1214.23,756.94,637.85,746.6,890.6
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Greece,903.03,908.06,914.52,918.94,925.31,940.58 b,942.28,943.16,943.44,946.11,954.41,965.25 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Spain,750.26,733.52,693.83,708.17,681.59,673.35,648.85 e,632.42 e,622.47 e,621.67 e,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,France,434.78,458.57,423.1,407.68,422.38,396.05,402.56,399.8,389.01,364.96,360.06,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Croatia,155.13 e,152.90 e,147.82,136.9,147.54,152.58,163.68,163.46,165.22,162.61,168.35,181.74
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Hungary,520.76,506.06,452.61 i,397.57,422.29,435.82,459.64,460.93 i,478.34 i,488.91 i,495.91 i,515.47
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Lithuania,201.72,223.67,149.67,132.41,141.14,118.58,103.1,102.07,100.97,143.54,126.69,106.07
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Luxembourg,89.32,84.0,79.41,82.6,79.55,76.01,76.38,85.88,79.5,75.73,71.91,70.52
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Latvia,85.62,92.01,89.53,84.51,89.37,94.85,93.25,95.14,93.34,95.35,97.92,92.34
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Montenegro,:,:,:,:,:,:,:,:,:,3778.95,4994.68,3575.96
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,North Macedonia,404.92 i,352.62 i,300.37 i,248.23,1016.11 b,503.66,967.67,1070.88,770.06,694.73,802.57,1184.32
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Malta,103.35 e,98.26 e,111.21 e,106.44 e,97.18 e,99.75 e,97.40 e,87.97 e,80.97 e,80.14 e,76.42 e,68.98 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Netherlands,610.32,640.93,634.56,559.7,498.48,471.0,462.01,469.5,484.49,476.22,453.21,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Poland,312.92,301.56,295.55,297.5,292.04,293.73,280.5,272.12,257.13,241.84,264.49,267.05
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Romania,327.19,323.16,321.16,314.88,325.9,323.01,345.2,326.02,359.75,383.54,410.83,427.44
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Serbia,618.0,571.51,617.16,511.07,621.39,625.63,730.41,763.36,777.8,738.87,706.84,645.46
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Sweden,288.26 i,276.97 i,265.55 i,253.94 i,242.37,241.54 i,240.47 i,239.84 i,239.54 i,239.92,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Slovenia,414.21,379.8,433.65,474.4,433.77,428.61,449.87,461.65,451.57,476.54,441.28,391.56
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Slovakia,109.87,123.03,117.75,103.22,105.76,102.25,106.38,105.22,106.56,105.41,107.71,108.81
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Türkiye,:,671.89,:,673.36 e,:,751.95 e,:,750.47 e,:,762.55 e,:,777.20 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,United Kingdom,121.48,128.95,120.84 i,112.76,:,:,:,:,:,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface and groundwater,Kosovo*,:,:,128.85,127.53,137.29,145.03,142.0,144.4,144.63,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Albania,:,:,:,:,:,:,342.53 e,299.57,280.23,248.15,244.14,248.52
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Belgium,430.97,426.82,382.32,357.02,305.02,361.13,337.71,310.56,341.2,297.25,314.14 e,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Bulgaria,794.79,704.83,675.86,668.43,706.43,719.48,717.39,691.63,696.64,651.21,691.35,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Switzerland,:,124.99 e,:,:,:,:,:,:,:,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Cyprus,77.33,116.1,133.77,95.95,96.62,73.75,71.32,59.31,76.42,108.07,110.62,96.31
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Czechia,143.71,139.04,121.65,122.44,117.27,120.46,119.02,114.84,107.48,94.5,93.89,102.09
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Germany,306.45 i,273.62 i,240.7,235.54 i,229.39 i,223.47,207.48 i,191.75 i,176.24,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Denmark,44.52,44.69,46.03,43.0,41.7,35.79,38.53,41.27,38.36,42.77,41.73 p,38.25 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Estonia,1186.27,1026.09,1164.65,1160.10 e,1074.95,1165.84,1170.01,1052.68,584.29,471.18,571.41,714.93
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Greece,397.08,399.71,402.62,404.06,406.9,362.26 b,362.69,363.15,362.53,364.41,365.55,369.11 p
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Spain,618.83,594.64,562.78,572.55,545.21,535.8,516.87,506.19,499.09,498.64,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,France,344.06,372.9,337.63,327.77,335.77,313.44,317.49,313.91,304.0,277.9,282.09,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Croatia,46.88 e,51.40 e,46.59,42.38,47.9,48.59,63.19,62.88,65.12,62.82,66.94,74.85
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Hungary,470.32,455.26,402.47 i,349.37,372.34,386.18,400.08,408.32 i,416.23 i,424.87 i,434.42 i,445.2
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Lithuania,150.85,173.42,96.24,78.35,87.29,63.77,47.93,43.93,42.72,85.78,67.38,47.1
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Luxembourg,46.11,44.64,33.16,34.66,34.25,34.11,38.18,39.99,42.42,38.83,37.06,32.55
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Latvia,42.4,50.25,45.91,42.64,48.66,53.39,50.27,50.24,48.94,51.08,52.41,47.73
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,3606.37,4820.25,3405.08
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,North Macedonia,317.41 i,260.84 i,204.36 i,148.01,1014.21 b,493.24,955.86,1066.59,765.66,690.18,798.67,1171.17
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Malta,6.29 e,6.24 e,6.15 e,6.03 e,5.89 e,5.75 e,5.60 e,5.41 e,5.88 e,5.75 e,5.71 e,5.57 e
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Netherlands,551.06,584.8,575.52,502.49,439.88,413.26,402.78,400.57,418.55,409.08,396.73,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Poland,241.13,232.09,226.98,229.69,223.4,225.42,213.14,206.06,189.96,175.94,196.15,200.76
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Romania,297.41,293.35,292.09,287.06,296.13,290.78,312.22,291.31,323.36,342.22,368.68,386.33
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Serbia,545.93,498.88,548.11,444.91,554.12,563.1,664.52,692.27,708.0,668.8,634.2,567.87
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Sweden,251.32 i,239.89 i,228.37 i,216.71 i,205.12,204.15 i,202.99 i,202.20 i,201.69 i,201.77,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Slovenia,324.23,292.49,345.74,386.23,345.77,341.4,358.65,370.21,361.68,389.07,351.52,299.58
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Slovakia,47.92,60.36,56.93,43.92,45.69,42.72,44.88,43.0,44.46,44.13,44.76,44.0
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Türkiye,:,491.51 de,:,484.19,:,561.98,:,551.72,:,557.87,:,564.73
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,United Kingdom,87.36,96.83,88.88 i,80.98,:,:,:,:,:,:,:,:
Annual,Cubic metres per inhabitant,Total gross abstraction,Fresh surface water,Kosovo*,125.31,121.14,121.89,121.15,128.23,135.02,133.63,135.29,134.32,:,:,:
