Time frequency,Level of difficulty,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Great,Percentage of disposable income,Greece,-26.1 i,-14.6 i,4.6 i
Annual,Great,Percentage of disposable income,Spain,-7.7 i,-0.9 i,11.3 i
Annual,Great,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,0.3 i,6.2 i
Annual,Great,Percentage of disposable income,European Union - 27 countries (from 2020),:,2 i,6.2 i
Annual,Great,Percentage of disposable income,Finland,-2.1 i,0.9 i,:
Annual,Great,Percentage of disposable income,France,15.5 i,27.8 i,18.3 i
Annual,Great,Percentage of disposable income,Croatia,-15 i,-17.7 i,-1 i
Annual,Great,Percentage of disposable income,Hungary,11 i,9.2 i,11 i
Annual,Great,Percentage of disposable income,Ireland,9 i,17.9 i,:
Annual,Great,Percentage of disposable income,Italy,-6.3 i,:,:
Annual,Great,Percentage of disposable income,Lithuania,5.8 i,8 i,4 i
Annual,Great,Percentage of disposable income,Luxembourg,3.8 i,0.9 i,8.7 i
Annual,Great,Percentage of disposable income,Latvia,-3.4 i,11.2 i,14.2 i
Annual,Great,Percentage of disposable income,Malta,1.7 i,1.5 i,9.7 i
Annual,Great,Percentage of disposable income,Netherlands,:,-9 i,-12.7 i
Annual,Great,Percentage of disposable income,Poland,12.5 i,11.5 i,31.2 i
Annual,Great,Percentage of disposable income,Portugal,0.6 i,6.2 i,:
Annual,Great,Percentage of disposable income,Romania,-17.4 i,-1.7 i,-29.3 i
Annual,Great,Percentage of disposable income,Sweden,1 i,7.4 i,:
Annual,Great,Percentage of disposable income,Slovenia,1.2 i,-4.2 i,9.3 i
Annual,Great,Percentage of disposable income,Slovakia,12.9 i,6.7 i,5.2 i
Annual,Great,Percentage of disposable income,United Kingdom,7.5 i,-13 i,:
Annual,Moderate,Percentage of disposable income,Austria,4.5 i,8.3 i,9.2 i
Annual,Moderate,Percentage of disposable income,Belgium,-4.9 i,11.8 i,11.9 i
Annual,Moderate,Percentage of disposable income,Bulgaria,36.4 e,15.7 i,20.4 i
Annual,Moderate,Percentage of disposable income,Cyprus,7.3 i,7.1 i,16.8 i
Annual,Moderate,Percentage of disposable income,Czechia,18.9 i,19.2 i,19.7 i
Annual,Moderate,Percentage of disposable income,Germany,1.1 i,-3.2 i,0.4 i
Annual,Moderate,Percentage of disposable income,Denmark,-14.8 i,8.8 i,16.6 i
Annual,Moderate,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,11.2 i,15.9 i
Annual,Moderate,Percentage of disposable income,Euro area – 20 countries (from 2023),:,10.9 i,15.8 i
Annual,Moderate,Percentage of disposable income,Estonia,31 i,25.9 i,32.2 i
Annual,Moderate,Percentage of disposable income,Greece,-11.7 i,-4.2 i,16 i
Annual,Moderate,Percentage of disposable income,Spain,5.9 i,10.9 i,18.9 i
Annual,Moderate,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,10.5 i,16 i
Annual,Moderate,Percentage of disposable income,European Union - 27 countries (from 2020),:,12.1 i,16 i
Annual,Moderate,Percentage of disposable income,Finland,4.5 i,3.5 i,:
Annual,Moderate,Percentage of disposable income,France,20.1 i,26.9 i,24.5 i
Annual,Moderate,Percentage of disposable income,Croatia,-1.9 i,0.9 i,13.6 i
Annual,Moderate,Percentage of disposable income,Hungary,14.4 i,11.1 i,16.9 i
Annual,Moderate,Percentage of disposable income,Ireland,9.5 i,20.3 i,:
Annual,Moderate,Percentage of disposable income,Italy,12.8 i,:,:
Annual,Moderate,Percentage of disposable income,Lithuania,13.2 i,22.5 i,34.1 i
Annual,Moderate,Percentage of disposable income,Luxembourg,14.8 i,15 i,14.6 i
Annual,Moderate,Percentage of disposable income,Latvia,8.9 i,20 i,22.4 i
Annual,Moderate,Percentage of disposable income,Malta,10.1 i,9.6 i,16.4 i
Annual,Moderate,Percentage of disposable income,Netherlands,:,-0.5 i,-5.2 i
Annual,Moderate,Percentage of disposable income,Poland,19.6 i,22.6 i,43.4 i
Annual,Moderate,Percentage of disposable income,Portugal,11 i,13.8 i,:
Annual,Moderate,Percentage of disposable income,Romania,-8.6 i,6.4 i,-16.8 i
Annual,Moderate,Percentage of disposable income,Sweden,2.8 i,15.1 i,:
Annual,Moderate,Percentage of disposable income,Slovenia,12.1 i,13.1 i,12.6 i
Annual,Moderate,Percentage of disposable income,Slovakia,19.3 i,14.3 i,21.9 i
Annual,Moderate,Percentage of disposable income,United Kingdom,8.4 i,-4.4 i,:
Annual,Some,Percentage of disposable income,Austria,10.9 i,17.2 i,16 i
Annual,Some,Percentage of disposable income,Belgium,3.9 i,13 i,20.4 i
Annual,Some,Percentage of disposable income,Bulgaria,44.1 e,25.1 i,31.9 i
Annual,Some,Percentage of disposable income,Cyprus,14.9 i,14.8 i,23 i
Annual,Some,Percentage of disposable income,Czechia,23.3 i,25.4 i,26.6 i
Annual,Some,Percentage of disposable income,Germany,6.1 i,3.2 i,4.7 i
Annual,Some,Percentage of disposable income,Denmark,-3.2 i,14.5 i,22 i
Annual,Some,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,21 i,21 i
Annual,Some,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.8 i,21.1 i
Annual,Some,Percentage of disposable income,Estonia,34.6 i,31.3 i,37 i
Annual,Some,Percentage of disposable income,Greece,-6 i,1.2 i,22.6 i
Annual,Some,Percentage of disposable income,Spain,13.9 i,19 i,27.8 i
Annual,Some,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.3 i,23.7 i
Annual,Some,Percentage of disposable income,European Union - 27 countries (from 2020),:,21.2 i,23.7 i
Annual,Some,Percentage of disposable income,Finland,14.6 i,13.1 i,:
Annual,Some,Percentage of disposable income,France,26.8 i,32.6 i,25.9 i
Annual,Some,Percentage of disposable income,Croatia,11.5 i,12 i,23.5 i
Annual,Some,Percentage of disposable income,Hungary,19.5 i,15.1 i,20.7 i
Annual,Some,Percentage of disposable income,Ireland,18 i,24.5 i,:
Annual,Some,Percentage of disposable income,Italy,28.4 i,:,:
Annual,Some,Percentage of disposable income,Lithuania,25.7 i,32.8 i,42.6 i
Annual,Some,Percentage of disposable income,Luxembourg,17.8 i,19.8 i,20.4 i
Annual,Some,Percentage of disposable income,Latvia,17.6 i,28 i,30.5 i
Annual,Some,Percentage of disposable income,Malta,15.4 i,11.2 i,24.3 i
Annual,Some,Percentage of disposable income,Netherlands,:,7.1 i,-1.2 i
Annual,Some,Percentage of disposable income,Poland,25.5 i,28.9 i,48.3 i
Annual,Some,Percentage of disposable income,Portugal,13 i,19.7 i,:
Annual,Some,Percentage of disposable income,Romania,-1.4 i,14.5 i,-1.7 i
Annual,Some,Percentage of disposable income,Sweden,6.4 i,13.9 i,:
Annual,Some,Percentage of disposable income,Slovenia,19.6 i,23 i,22.2 i
Annual,Some,Percentage of disposable income,Slovakia,25.8 i,17.6 i,27.6 i
Annual,Some,Percentage of disposable income,United Kingdom,18.4 i,6.8 i,:
Annual,Very easy,Percentage of disposable income,Austria,30.6 i,30.1 i,32.9 i
Annual,Very easy,Percentage of disposable income,Belgium,27.5 i,33.6 i,49.9 i
Annual,Very easy,Percentage of disposable income,Bulgaria,: n,34 u,55.9 u
Annual,Very easy,Percentage of disposable income,Cyprus,51.4 u,26 i,39.5 i
Annual,Very easy,Percentage of disposable income,Czechia,41.6 i,41.6 i,45.2 i
Annual,Very easy,Percentage of disposable income,Germany,26.4 i,30.8 i,30.6 i
Annual,Very easy,Percentage of disposable income,Denmark,10.5 i,36.8 i,47.1 i
Annual,Very easy,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,33 i,35.4 i
Annual,Very easy,Percentage of disposable income,Euro area – 20 countries (from 2023),:,33 i,35.4 i
Annual,Very easy,Percentage of disposable income,Estonia,53.8 u,47.8 i,50.7 i
Annual,Very easy,Percentage of disposable income,Greece,13.8 u,34.1 u,54.7 u
Annual,Very easy,Percentage of disposable income,Spain,35 i,40.4 i,48.7 i
Annual,Very easy,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,32.1 i,36.8 i
Annual,Very easy,Percentage of disposable income,European Union - 27 countries (from 2020),:,33.4 i,36.8 i
Annual,Very easy,Percentage of disposable income,Finland,31.8 i,29.2 i,:
Annual,Very easy,Percentage of disposable income,France,49.8 i,50.6 i,39.6 i
Annual,Very easy,Percentage of disposable income,Croatia,29.3 u,36.5 u,37.2 i
Annual,Very easy,Percentage of disposable income,Hungary,46.5 u,44.2 u,36.7 u
Annual,Very easy,Percentage of disposable income,Ireland,36.4 i,37.5 i,:
Annual,Very easy,Percentage of disposable income,Italy,55.6 i,:,:
Annual,Very easy,Percentage of disposable income,Lithuania,: u,66.3 u,59.3 i
Annual,Very easy,Percentage of disposable income,Luxembourg,37 i,37.3 i,36.8 i
Annual,Very easy,Percentage of disposable income,Latvia,: u,34 u,46.1 i
Annual,Very easy,Percentage of disposable income,Malta,23.8 u,37 i,37 i
Annual,Very easy,Percentage of disposable income,Netherlands,:,29.7 i,34.9 i
Annual,Very easy,Percentage of disposable income,Poland,41.2 i,40.7 i,60 i
Annual,Very easy,Percentage of disposable income,Portugal,28.7 u,36.1 i,:
Annual,Very easy,Percentage of disposable income,Romania,: u,24.4 u,30.5 i
Annual,Very easy,Percentage of disposable income,Sweden,25.9 i,32.1 i,:
Annual,Very easy,Percentage of disposable income,Slovenia,25.9 i,42.1 i,31.1 i
Annual,Very easy,Percentage of disposable income,Slovakia,32.9 u,31.2 u,42.3 i
Annual,Very easy,Percentage of disposable income,United Kingdom,34.7 i,28.3 i,:
