Time frequency,Unit of measure,Activity and employment status,Medical speciality,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per hundred thousand inhabitants,Practising,Dentists,Liechtenstein,137.9,136.92,138.69,127.27,126.44,125.5,132.25,131.1,132.72,121.54
Annual,Per hundred thousand inhabitants,Practising,Dentists,Lithuania,90.54,91.02,91.02,97.17,100.37,103.23,105.44,110.92,104.75,109.62
Annual,Per hundred thousand inhabitants,Practising,Dentists,Luxembourg,84.66,85.56 b,88.83,94.27,97.43,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Latvia,72.49,70.22,71.76,72.01,71.05,70.62,71.27,71.67,71.58,70.82
Annual,Per hundred thousand inhabitants,Practising,Dentists,Malta,46.25,46.25,46.29,47.0,47.65,47.87,50.19,52.2,52.07,50.8
Annual,Per hundred thousand inhabitants,Practising,Dentists,Netherlands,49.48,49.87,51.54 b,51.11,55.07 b,55.58,56.51,57.02,58.0,57.33
Annual,Per hundred thousand inhabitants,Practising,Dentists,Norway,87.29,86.63,84.14 b,84.66,84.97,84.88,85.42,85.18,86.33,87.81
Annual,Per hundred thousand inhabitants,Practising,Dentists,Poland,32.39,34.43,33.18,35.05,35.1,34.04,88.63 b,90.02,94.3,94.78
Annual,Per hundred thousand inhabitants,Practising,Dentists,Romania,71.3,74.57,77.66,82.66,79.11,83.51,88.54 b,96.9,105.81,114.73
Annual,Per hundred thousand inhabitants,Practising,Dentists,Serbia,:,:,:,28.15 d,27.52 d,27.64 d,:,24.05 bd,24.51 d,24.99 d
Annual,Per hundred thousand inhabitants,Practising,Dentists,Sweden,81.65,81.46,81.64,81.45,81.3,80.72,77.84,77.09,77.44,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Slovenia,64.9,66.2,67.46,68.81,70.41,71.94,72.5,74.68,74.81,74.38
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Austria,24.39,24.57,24.75,25.48,25.79,26.45,27.6,28.03,28.95,29.16
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Belgium,60.14,62.21,:,:,68.76 b,72.23,73.25,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Bulgaria,45.09,45.17,45.61,45.65,45.32,44.91,46.86,46.88,47.46,49.45
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Switzerland,30.9,29.85,31.31,32.04,31.66,32.58,33.57,33.97,34.12,34.78
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Cyprus,28.19,28.27,29.49,31.47,33.39,33.45,36.17,38.45,35.43,37.47
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Czechia,41.66,40.76 e,40.72,36.95 b,37.43,38.66,38.84,40.1,41.21,45.72 be
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Germany,27.28,28.4,28.16,27.93,29.04,28.95,30.09,31.26,30.05,31.03
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Denmark,32.11,32.55,33.22,33.99,35.0,36.11,37.48,38.76,38.72,:
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Estonia,32.70 b,33.6,34.29,33.44,34.54,34.49,36.17,36.33,37.27,38.33
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Greece,24.43 d,24.04 d,24.05 d,25.07 d,26.11 d,26.40 d,26.75 d,27.36 d,26.79 d,26.44 d
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Spain,:,:,:,:,:,:,:,:,:,26.73 e
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Finland,41.68,41.2,41.46,41.38,42.81,43.08,40.64,41.52,40.82,:
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),France,31.78,32.54,33.47,34.02,34.06,34.14,34.34,34.77,34.96,35.7
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Croatia,37.84,37.45,39.89,41.36,40.55,40.99,41.05,40.04,42.5,40.92
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Hungary,16.89,16.9,17.21,16.59,25.13 b,24.95,23.5,23.4,23.56,23.77
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Ireland,:,:,:,:,:,:,:,:,86.94,81.5
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Iceland,81.54 d,82.47 d,83.13 d,79.00 d,80.08 d,80.80 d,79.88 d,71.77 d,75.97 d,69.89 d
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Italy,24.88 e,25.72 e,25.72 e,27.23 e,27.59 e,27.94 e,28.89 e,29.00 e,28.59 e,30.27 e
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Liechtenstein,45.97 e,29.53,26.67,26.51,28.98,31.38,36.3,38.56,43.39,53.17
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Lithuania,30.5,30.9,31.4,32.11,31.93,31.55,32.0,31.31,31.13,30.37
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Luxembourg,37.36,35.05,36.34,36.16,35.89,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Latvia,19.63,19.61,20.13,20.57,20.54,20.55,21.01,20.84,20.91,21.07
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Montenegro,40.08 d,39.08 d,39.54 d,36.64 d,37.12 d,39.05 d,40.35 d,41.20 d,42.15 d,41.32 d
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Malta,41.55 e,43.95 e,44.49 e,47.66,48.08,49.32,51.78,49.29,50.72,50.61
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Netherlands,20.41,21.26 b,22.02,22.81,23.85,24.58,24.26 b,25.15,26.31,26.89
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Norway,54.37,55.34,47.28 b,47.8,47.47,47.03,47.31,47.1,47.41,46.82
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Poland,60.02,58.88,59.14,60.27,59.89,60.25,72.97 b,73.65,76.76,77.25
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Romania,17.3,17.25,16.85,16.94,17.38,17.21,17.18,16.56,16.55,16.17
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Serbia,:,:,:,36.20 d,36.15 d,36.19 d,:,15.70 bd,16.49 d,16.82 d
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Sweden,74.96,74.76,75.07,75.26,75.52,76.57,76.93,75.27,76.95,:
Annual,Per hundred thousand inhabitants,Practising,Midwives (EU recognised qualification),Slovenia,6.02,6.79,7.51,8.76,9.97,11.38,13.07,14.65,15.84,16.24
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Austria,669.20 d,679.12 d,679.56 d,677.20 d,684.55 d,685.20 d,1030.32 be,1030.33 e,1065.08 e,1069.17 e
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Belgium,:,:,:,:,:,:,:,:,1160.11 d,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Bulgaria,446.72,441.82,437.41,434.58,437.47,435.43,437.89,420.54,418.97,433.92
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Switzerland,1101.24,1108.33,1124.08,1137.8,1130.78,1148.09,1159.03,1181.1,1177.52,1175.45
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Cyprus,466.27,484.22,509.16,513.88,526.69,532.14,531.77,520.85,515.57,528.21
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Czechia,799.34,793.25 e,800.77,793.08,805.82,806.63,806.63,818.89,827.86,830.67 be
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Germany,1053.99,1071.84,1072.39,1086.84,1108.19,1151.91,1179.4,1203.69,1203.18,1198.12
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Denmark,995.47,993.47,992.09,995.13,1003.04,1010.11,1013.27,1024.06,1034.37,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Estonia,563.58 b,574.07,600.88,610.2,619.18,629.13,623.94,638.12,648.57,658.49
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Greece,182.15 d,182.01 d,182.45 d,189.86 d,192.21 d,195.24 d,197.07 d,212.70 d,215.58 d,220.93 d
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Spain,514.30 de,514.91 de,528.66 de,551.44 de,573.62 de,585.14 de,587.32 de,608.67 de,633.90 de,614.75 be
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Finland,1120.97,1135.24,1160.81,1168.12,1195.11,1219.41,1219.57,1252.29,1277.74,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),France,:,:,:,:,:,:,:,:,882.80 d,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Croatia,111.6,120.67,137.25,146.82,155.64,170.64,185.32,198.12,223.92,235.7
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Hungary,488.26,492.62,492.98,483.94,410.77 b,420.64,422.15,422.68,425.75,440.51
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Ireland,:,:,:,:,:,:,:,:,1273.0,1312.66
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Iceland,934.32 d,926.13 d,934.06 d,817.14 d,867.79 d,894.48 d,958.78 d,989.19 d,981.16 d,982.19 d
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Italy,508.09 e,527.57 e,544.37 e,556.70 e,579.83 e,576.80 e,615.59 e,627.64 e,621.27 e,652.19 e
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Liechtenstein,594.86 be,625.55 be,634.77,623.08,650.65,658.89,715.72,676.08,684.0,655.82
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Lithuania,754.78,760.0,766.29,770.47,770.82,777.89,774.09,780.64,788.3,749.85
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Luxembourg,1192.76,1196.62,1190.83,1171.64,1172.49,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Latvia,:,:,:,:,:,:,:,:,418.68 d,416.73
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Montenegro,:,:,:,:,:,:,:,:,:,92.68 d
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Malta,698.18 e,785.17 e,770.92 e,812.33 e,802.78 e,778.33 e,769.15 e,801.62 e,797.44 e,778.16 e
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Netherlands,:,1033.41 b,1052.78,1066.83,1093.58,1115.76,1076.98 b,1108.73,1139.23,1152.97
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Norway,1666.74,1689.04,1504.58 b,1518.62,1531.96,1532.8,1545.45,1556.66,1577.2,1562.4
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Poland,527.3,524.02,519.61,515.77,510.07,508.14,563.94 b,562.23,580.11,582.13
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Romania,51.39,55.56,61.08,65.52,69.8,73.91,78.42,81.94,87.94,93.54
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Serbia,:,:,:,598.70 d,607.66 d,616.59 d,:,617.01 bd,642.90 d,659.22 d
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Sweden,1096.85,1096.36,1097.75,1095.79,1092.35,1089.0,1086.34,1068.11,1089.6,:
Annual,Per hundred thousand inhabitants,Practising,Nurses (EU recognised qualification),Slovenia,232.87,243.55,259.07,307.26,321.14,342.54,382.88,430.12,446.66,491.27
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Austria,117.38 d,120.73 d,124.78 d,121.36 d,120.95 d,117.40 d,529.52 be,538.13 e,553.28 e,563.13 e
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Belgium,:,:,:,:,:,629.44,:,:,637.46,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Bulgaria,:,1.92,1.73,2.99,3.7,5.37,8.2,8.41,11.5,11.47
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Switzerland,773.78,775.74,763.61,768.71,770.68,760.53,765.85,781.11,777.89,789.05
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Czechia,230.74,237.98 e,249.02,260.68,224.25 b,227.1,229.88,240.6,247.39,250.61
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Germany,586.52,:,647.6,:,695.65,:,756.98,:,804.12,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Denmark,1593.91,1605.73,1613.96,1625.42,1636.85,1621.76,1590.96,1567.34,1548.85,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Estonia,262.90 b,272.63,279.0,279.15,279.87,288.36,297.91,307.1,288.75,297.66
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Greece,58.94 d,58.66 d,55.34 d,54.07 d,53.70 d,56.31 d,55.00 d,59.53 d,61.98 d,64.31 d
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Spain,948.88 e,917.65 e,922.67 e,937.81 e,974.03 e,1016.79 e,1052.02 e,1096.15 e,1144.62 e,1193.21 e
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Finland,2109.85,2053.35,1941.5,1962.75,1972.73,2002.06,2004.22,2046.68,2255.92,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,France,1241.69,1250.29,1286.89,1309.0,1331.3,1273.4,1268.46,1279.53,1263.57,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Croatia,11.38,10.8,9.79,9.28,10.31,15.88,16.15,15.69,17.82,19.24
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Hungary,271.08,278.29,280.85,277.63,275.67,282.02,288.89,279.9,278.53,289.24
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Ireland,496.75,500.5,509.28,512.71,513.98,522.61,515.53,528.04,539.06,526.71
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Iceland,1389.90 e,1221.80 e,1450.96 e,1371.34 e,1514.27 e,1502.61 e,1580.86 e,1773.71 e,:,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Italy,881.14,945.25,992.08,1025.57,1030.2,1036.19,1043.3,1024.71,1047.39 b,1065.81
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Liechtenstein,640.83 b,665.82 b,685.44,1728.71 b,1801.8,1900.85,1981.2,2041.08,2120.9,2167.5
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Lithuania,231.36,239.23,249.06,262.01,271.71,284.34,286.74,198.08 b,201.4,204.93
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Luxembourg,578.62,590.85,599.54,605.18,611.06,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Latvia,101.91,105.43,106.65,107.17,111.16,113.22,114.59,119.34,125.98,128.55
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Malta,675.64 e,696.11 e,687.11 e,675.08 e,657.48 e,717.66 e,702.89 e,817.53 e,1016.32 e,994.52 e
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Netherlands,1565.06 e,1440.85 e,1180.64 e,1162.63 e,1079.89 e,1305.74 e,1349.10 e,1330.16 e,1425.88 e,1457.55 e
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Norway,1656.64,1653.41,1854.37 b,1827.66,1824.48,1833.35,1821.67,1809.82,1815.89,1811.87
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Poland,:,:,:,14.95,17.77,20.33,22.56,24.61,29.6,33.65
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Portugal,275.44,270.19,280.69,286.36,290.99,305.69,331.66,365.3,373.24,376.73 p
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Romania,297.98 d,304.62 d,316.35 d,335.46 d,353.18 d,359.87 d,372.52 d,382.31 d,396.58 d,401.00 d
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Serbia,:,:,:,:,:,:,:,1.38 d,1.43 d,1.44 d
Annual,Per hundred thousand inhabitants,Practising,Caring personnel,Slovenia,203.35,192.82,184.05,86.05 e,99.59 e,112.88 e,119.71 e,128.00 e,123.48 e,121.82 e
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Austria,69.79,70.19,70.63,70.9,71.0,71.82,72.96,73.08,75.84,76.46
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Belgium,119.0,120.51,121.01,122.46,123.81,124.97,126.68,128.63,130.97,132.47
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Bulgaria,:,:,:,:,:,:,84.45,87.91,88.71,91.55
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Switzerland,64.57,64.63,64.46,70.02,69.68,69.13,67.27,:,66.09,:
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Cyprus,21.7,22.05,88.48 b,89.37,91.33,91.72,94.56,96.97,97.63,106.06
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Czechia,60.71,63.88 be,66.04,67.88,68.98,69.12,72.02,71.68,71.54,71.82
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Germany,63.77,64.22,64.35,63.67,64.7,65.73,66.69,66.95,67.38,67.28
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Denmark,50.72,50.98,51.52,51.89,53.13,54.02,55.38,55.56,58.07,:
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Estonia,65.86 b,67.13,72.07 b,73.19,72.57,72.24,71.67,72.81,71.15,71.39
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Spain,111.75 e,117.40 e,119.28 e,120.83 e,115.61 e,118.88 e,123.33 e,131.60 e,125.56 e,123.12 e
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Finland,113.07,111.93,110.81,112.61,114.67,116.36,112.45,114.31,113.05,:
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,France,94.08,94.24,94.2,93.59,92.62,92.06,92.07,91.26,91.4,90.94
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Croatia,70.09,71.76,73.2,74.59,75.92,78.14,78.61,81.29,86.13,88.91
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Hungary,76.05 b,76.97,71.51 b,74.92,77.21,80.22,83.13,78.41 b,81.41,84.38
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Ireland,:,:,:,:,:,:,107.39,:,111.70 be,110.67 e
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Iceland,47.26,46.73,48.37,49.49,49.8,51.6,53.8,56.76,59.06,60.47
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Italy,113.68 e,115.61 e,115.16 e,115.58 e,117.18 e,119.62 e,125.57 e,124.22 e,128.37 e,135.59 e
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Liechtenstein,32.45,40.27,42.67,39.77,52.68,62.75,59.64,56.55,63.81,68.37
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Lithuania,:,:,:,:,99.10 b,102.8,102.89,102.62,101.97,96.87
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Luxembourg,70.3,68.67,69.7,69.59,69.76,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Latvia,80.09 b,77.64,79.59,83.85,95.25,85.62,84.28,86.51,87.61,88.43
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Malta,110.10 e,113.45 e,125.38,132.86,129.27,128.76,129.35,135.83,147.34,151.64
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Netherlands,21.22,21.55,21.25,21.44,20.84 b,21.0,21.46,21.59,21.71,21.91
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Norway,69.02,72.22,50.87 b,53.84,55.64,56.85,58.64,59.47,60.89,62.45
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Poland,72.15,73.0,74.03,77.08,77.24,76.03,74.26,75.67,76.89,77.29
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Portugal,77.15,80.56,84.1,85.11,90.68,90.95,93.19,95.32,98.01,101.72
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Romania,81.22,85.51,86.11,86.81,90.66,90.07,92.97,100.6,111.81,118.64
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Serbia,:,:,:,30.25 d,27.99 d,26.49 d,:,15.77 bd,15.77 d,15.69 d
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Sweden,75.96 d,76.36 d,77.05 d,77.32 d,77.15 d,79.16 d,79.68 d,77.01 d,78.26 d,:
Annual,Per hundred thousand inhabitants,Practising,Pharmacists,Slovenia,57.72,60.33,62.76,65.66,68.82,70.69,72.59,74.06,74.05,73.53
Annual,Per hundred thousand inhabitants,Practising,Physicians,Austria,496.47 b,501.84,506.5,510.76,515.67,521.63,529.14,531.82,540.91,544.6
Annual,Per hundred thousand inhabitants,Practising,Physicians,Belgium,313.14 b,316.01,322.12,328.03,329.22,335.57,342.46,350.68,353.23,356.25
Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,395.24,397.75,404.04,410.66,418.4,421.71,423.6,427.69,429.55,444.63
Annual,Per hundred thousand inhabitants,Practising,Physicians,Switzerland,404.0,412.58,419.71,425.06,429.78,433.86,434.97,438.88,443.6,448.46
Annual,Per hundred thousand inhabitants,Practising,Physicians,Cyprus,319.51 d,337.83 b,359.34,376.84,386.84,407.32,427.23,466.7,490.81,518.79
Annual,Per hundred thousand inhabitants,Practising,Physicians,Czechia,368.79,:,:,:,:,403.76 be,406.67 e,413.52 e,425.59 e,431.51 be
Annual,Per hundred thousand inhabitants,Practising,Physicians,Germany,403.5,410.82,413.93,418.65,424.88,431.09,439.73,446.79,452.97,454.96
Annual,Per hundred thousand inhabitants,Practising,Physicians,Denmark,384.88,387.74,393.03,399.89,410.95,419.56,425.13,437.66,449.81,:
Annual,Per hundred thousand inhabitants,Practising,Physicians,Estonia,333.46 b,335.88,341.49,345.65,346.82,348.34,346.9,347.94,343.22,347.19
Annual,Per hundred thousand inhabitants,Practising,Physicians,Spain,381.09 e,380.08 e,384.54 e,382.35 e,387.68 e,402.08 e,440.36 e,457.64 e,448.66 e,430.00 e
Annual,Per hundred thousand inhabitants,Practising,Physicians,Finland,265.23,269.1,269.82,274.6,276.11,277.74,281.55,285.59,285.47,:
Annual,Per hundred thousand inhabitants,Practising,Physicians,France,308.47 d,309.17 d,310.58 d,312.10 d,313.84 d,313.51 d,316.38 d,317.00 d,317.97 d,319.46 d
Annual,Per hundred thousand inhabitants,Practising,Physicians,Croatia,303.35,315.67,323.15,328.97,343.13,352.62,362.23,364.3,377.96,396.0
Annual,Per hundred thousand inhabitants,Practising,Physicians,Hungary,320.91,332.35,309.72 b,321.12,332.48,338.37,349.37,313.94 b,329.83,347.07
Annual,Per hundred thousand inhabitants,Practising,Physicians,Ireland,267.46 e,301.20 b,311.91,319.18,325.75,327.94,331.68,345.63,402.45,332.58 d
Annual,Per hundred thousand inhabitants,Practising,Physicians,Iceland,360.76 d,364.40 d,377.55 d,385.17 bd,387.30 d,389.26 d,389.39 d,431.97 d,437.83 d,438.74 d
Annual,Per hundred thousand inhabitants,Practising,Physicians,Italy,390.01,388.04,383.83,395.27,398.95,399.5,405.07,400.15,410.47,423.41
Annual,Per hundred thousand inhabitants,Practising,Physicians,Liechtenstein,324.47,319.48,320.05,328.77,363.52,352.98,373.42,362.46,342.0,362.09
Annual,Per hundred thousand inhabitants,Practising,Physicians,Lithuania,427.7,430.74,433.92,446.69,455.63,459.78,456.96,448.28,447.47,444.27
Annual,Per hundred thousand inhabitants,Practising,Physicians,Luxembourg,283.05,288.14,290.73 b,288.45,298.49,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Physicians,Latvia,319.13,321.6,319.79,321.25,320.5,330.38,326.73,333.92,335.79,340.06
Annual,Per hundred thousand inhabitants,Practising,Physicians,Montenegro,213.46 d,217.11 d,235.63 d,255.34 d,265.11 d,276.41 d,272.98 d,277.00 d,280.68 d,279.66 d
Annual,Per hundred thousand inhabitants,Practising,Physicians,Malta,344.16,360.37,367.6,382.78,396.37,397.21,402.53,418.76,434.3,448.53
Annual,Per hundred thousand inhabitants,Practising,Physicians,Netherlands,:,342.5,349.14,353.68,360.33,367.22 b,375.45,384.71,391.81,392.09
Annual,Per hundred thousand inhabitants,Practising,Physicians,Norway,430.62,442.95,409.12 b,421.97,434.57,446.54,457.79,468.17,476.78,490.79
