Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Males,Croatia,6.3,7.7,7.2,6.6,5.7,5.1,4.5,4.3,3.7,4.0,3.3,3.4
Annual,Percentage,Total,Total,Males,Hungary,13.6,13.7,12.3,8.3,7.9,10.1,8.7,4.4,5.1,2.5,7.3,8.0
Annual,Percentage,Total,Total,Males,Ireland,6.5,4.7,6.1,4.1,4.4,4.0,3.5,5.8 b,4.1 b,2.3,4.1,4.7
Annual,Percentage,Total,Total,Males,Iceland,8.5,8.1,8.0,8.2,6.4,8.2,8.8,13.0,:,:,:,:
Annual,Percentage,Total,Total,Males,Italy,7.6,8.1,7.9,8.3,9.0,7.8,7.9,8.6,6.7,7.0,6.2,5.6
Annual,Percentage,Total,Total,Males,Lithuania,7.0,7.0,6.0,7.8,7.2,7.1,5.2,5.0,2.5,2.7,3.6,5.3
Annual,Percentage,Total,Total,Males,Luxembourg,4.7,5.6,6.5,5.7,6.2 b,6.5,8.7,10.1,8.8 b,4.9 b,9.7 b,10.8
Annual,Percentage,Total,Total,Males,Latvia,10.0,10.0,8.4,7.1,6.0,6.5,5.8,5.1,4.2,4.3,4.7,6.0
Annual,Percentage,Total,Total,Males,Montenegro,:,18.8,16.9,16.3,16.1,14.8,14.4,11.4,8.8,7.7,5.6,:
Annual,Percentage,Total,Total,Males,North Macedonia,20.4,17.0,15.7,11.8,12.2,11.2,10.0,9.6,8.7,:,:,:
Annual,Percentage,Total,Total,Males,Malta,2.4,2.3,1.5,1.1,1.5,1.6,1.8,3.1,3.0,2.9,3.2,6.7 b
Annual,Percentage,Total,Total,Males,Netherlands,13.5,15.2,15.3,14.5,10.2 b,9.1,8.9,9.5,7.8,7.8,9.5,9.4
Annual,Percentage,Total,Total,Males,Norway,9.7,9.5,8.1,8.9,9.0,9.1,10.6,10.3,9.2,10.5 b,12.1,14.2
Annual,Percentage,Total,Total,Males,Poland,9.8,9.4,8.9,8.1,7.0,6.1,5.8,5.5,4.3 b,5.1,5.1,5.3
Annual,Percentage,Total,Total,Males,Portugal,8.0,8.1,9.0,8.4,6.7,6.2,5.4,5.6,3.9,5.5,4.6,4.8
Annual,Percentage,Total,Total,Males,Romania,17.4,15.8,15.5,15.1,13.7,11.5,9.3,8.1,6.7,7.6,8.7,8.9
Annual,Percentage,Total,Total,Males,Serbia,:,27.8,31.4,33.4,30.6,32.9,30.9,20.9,16.8,14.2,12.6,:
Annual,Percentage,Total,Total,Males,Sweden,7.7,7.9,8.0,8.1,8.4,8.0,7.5,9.1,7.8,8.2,8.5,10.1
Annual,Percentage,Total,Total,Males,Slovenia,4.9,5.9,6.3,6.0,5.3,5.3,5.0,4.2,4.5,4.0,3.9,3.5
Annual,Percentage,Total,Total,Males,Slovakia,7.5,7.9,8.7,8.5,6.9,7.7,3.4,5.4,2.9,6.7,2.1,5.8
Annual,Percentage,Total,Total,Males,Türkiye,9.7,11.5,10.3,10.6,10.1,9.3,9.8,10.2,9.8,11.2,10.9,14.0
Annual,Percentage,Total,Total,Males,United Kingdom,7.8 b,8.1,12.4 b,12.3,12.3,12.2 b,14.4,:,:,:,:,:
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,9.2,6.0,5.5,3.8,3.3,:,:
Annual,Percentage,Total,Total,Total,Austria,7.0,7.2,6.6,6.4,7.2,7.1,6.8,7.0,6.3,6.1,7.4,6.0
Annual,Percentage,Total,Total,Total,Belgium,11.0,9.6,10.4,9.4,9.8,9.4,8.9,8.4 b,7.8,7.5,7.7,7.7
Annual,Percentage,Total,Total,Total,Bulgaria,14.5,14.3,12.9,14.8,20.7 b,18.9,17.9,16.0,14.4,11.6,15.1,11.1
Annual,Percentage,Total,Total,Total,Switzerland,12.1,10.6,11.7 b,11.7,12.0,12.7,12.8,14.2,13.6,14.8,13.3,14.2
Annual,Percentage,Total,Total,Total,Cyprus,3.3,3.3,4.0,3.9,3.1,2.8,2.0,2.3,1.9,2.5,2.5,2.6
Annual,Percentage,Total,Total,Total,Czechia,10.0,11.7,10.5,10.4,9.5,8.7,7.8,6.9,6.5,6.2,6.9,9.1
Annual,Percentage,Total,Total,Total,Germany,16.6,16.4,15.9,15.6,15.8,14.5,14.2,13.9,9.0 b,11.0,11.9,13.0 b
Annual,Percentage,Total,Total,Total,Denmark,16.7,17.9,15.6,15.1,15.1,15.7,14.7,15.6,14.1 b,15.5,14.7,15.4
