Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Early childhood to tertiary education,Lithuania,:,:,:,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0
Annual,Number,Early childhood to tertiary education,Luxembourg,:,:,:,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Annual,Number,Early childhood to tertiary education,Latvia,:,:,:,18.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0
Annual,Number,Early childhood to tertiary education,Montenegro,:,:,:,:,:,:,16.0,16.0,16.0,16.0,:
Annual,Number,Early childhood to tertiary education,North Macedonia,:,:,:,:,:,:,11 d,11.0,:,:,:
Annual,Number,Early childhood to tertiary education,Malta,:,:,:,15.0,16.0,16.0,16.0,16.0,16.0,16 bd,16 p
Annual,Number,Early childhood to tertiary education,Netherlands,:,:,:,19.0,19.0,19.0,19.0,19 e,19 e,19 e,:
Annual,Number,Early childhood to tertiary education,Norway,:,:,:,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0
Annual,Number,Early childhood to tertiary education,Poland,:,:,:,18 d,18 d,18 d,18 e,18 e,18 de,18 de,18 dep
Annual,Number,Early childhood to tertiary education,Portugal,:,:,:,17.0,17.0,17.0,17.0,18.0,18.0,18.0,19 p
Annual,Number,Early childhood to tertiary education,Romania,:,:,:,:,:,:,:,:,:,:,15.0
Annual,Number,Early childhood to tertiary education,Serbia,:,:,:,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Early childhood to tertiary education,Sweden,:,:,:,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0
Annual,Number,Early childhood to tertiary education,Slovenia,:,:,:,18 d,18 d,18 d,18.0,18.0,18.0,18.0,19.0
Annual,Number,Early childhood to tertiary education,Slovakia,:,:,:,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Early childhood to tertiary education,Türkiye,:,:,:,:,:,:,20.0,20.0,20.0,20.0,21.0
Annual,Number,Early childhood to tertiary education,United Kingdom,:,:,:,17 d,17 d,17 d,17 d,17 d,:,:,:
Annual,Number,Pre-primary to tertiary education,Austria,:,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0
Annual,Number,Pre-primary to tertiary education,Belgium,:,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19 bd,19.0,19.0
Annual,Number,Pre-primary to tertiary education,Bulgaria,:,17 e,17.0,17 d,17.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Pre-primary to tertiary education,Switzerland,:,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Annual,Number,Pre-primary to tertiary education,Cyprus,:,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0
Annual,Number,Pre-primary to tertiary education,Czechia,:,18.0,: d,: d,: d,: d,17.0,17.0,17.0,18.0,18.0
Annual,Number,Pre-primary to tertiary education,Germany,16.0,18.0,18.0,18 d,18 d,18 d,18 d,19.0,19 bd,19.0,19.0
Annual,Number,Pre-primary to tertiary education,Denmark,:,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Annual,Number,Pre-primary to tertiary education,Estonia,:,18.0,:,18 d,18 d,18 d,18 d,18 d,18 d,18 d,18 d
Annual,Number,Pre-primary to tertiary education,Greece,:,18 d,17 d,19.0,19.0,19.0,19.0,20.0,20.0,20.0,21.0
Annual,Number,Pre-primary to tertiary education,Spain,:,18.0,18 d,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0
Annual,Number,Pre-primary to tertiary education,European Union - 27 countries (from 2020),:,:,:,17 d,17 d,17 d,18 d,18 d,18 d,18 d,18 d
Annual,Number,Pre-primary to tertiary education,European Union - 28 countries (2013-2020),:,:,:,17 d,17 d,17 d,18 d,18 d,:,:,:
Annual,Number,Pre-primary to tertiary education,Finland,:,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Annual,Number,Pre-primary to tertiary education,France,:,16.0,16 be,17 d,17 d,17 d,17 p,17 ep,17 p,17 p,17 p
Annual,Number,Pre-primary to tertiary education,Croatia,:,16.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0
Annual,Number,Pre-primary to tertiary education,Hungary,:,18 e,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Annual,Number,Pre-primary to tertiary education,Ireland,:,18 d,18 d,19 d,19 d,19 d,20 d,19.0,19.0,19.0,19.0
Annual,Number,Pre-primary to tertiary education,Iceland,:,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,20.0,20.0
Annual,Number,Pre-primary to tertiary education,Italy,:,17.0,17.0,16.0,17.0,17.0,17 d,17.0,17.0,17.0,17.0
Annual,Number,Pre-primary to tertiary education,Liechtenstein,:,17.0,17.0,17.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0
Annual,Number,Pre-primary to tertiary education,Lithuania,:,18.0,18.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0
Annual,Number,Pre-primary to tertiary education,Luxembourg,:,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Annual,Number,Pre-primary to tertiary education,Latvia,:,18.0,18.0,18.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0
Annual,Number,Pre-primary to tertiary education,Montenegro,:,:,:,: d,:,:,16.0,16.0,16.0,16.0,:
Annual,Number,Pre-primary to tertiary education,North Macedonia,:,14.0,: d,: d,:,: d,11 d,11.0,:,:,:
Annual,Number,Pre-primary to tertiary education,Malta,:,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16 bd,16 p
Annual,Number,Pre-primary to tertiary education,Netherlands,:,18.0,18.0,19.0,19.0,19.0,19.0,19 e,19 e,19 e,:
Annual,Number,Pre-primary to tertiary education,Norway,:,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0
Annual,Number,Pre-primary to tertiary education,Poland,:,18 d,18 d,18 d,18 d,18 d,18 e,18 e,18 de,18 de,18 dep
Annual,Number,Pre-primary to tertiary education,Portugal,:,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,19 p
Annual,Number,Pre-primary to tertiary education,Romania,:,16.0,: d,1 d,0 d,0 d,0 d,0 d,0 d,:,15.0
Annual,Number,Pre-primary to tertiary education,Serbia,:,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Pre-primary to tertiary education,Sweden,:,19.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0
Annual,Number,Pre-primary to tertiary education,Slovenia,:,:,:,18 d,18 d,18 d,18.0,18.0,18.0,18.0,19.0
Annual,Number,Pre-primary to tertiary education,Slovakia,:,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Number,Pre-primary to tertiary education,Türkiye,:,17 e,18 e,6 d,7 d,7 d,20.0,20.0,20.0,20.0,21.0
Annual,Number,Pre-primary to tertiary education,United Kingdom,:,17.0,17.0,17 d,17 d,17 d,17 d,17 d,:,:,:
Annual,Number,Tertiary education (levels 5-8),Austria,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Belgium,:,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4 bd,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Bulgaria,:,3 e,3.0,3 d,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Annual,Number,Tertiary education (levels 5-8),Switzerland,:,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Annual,Number,Tertiary education (levels 5-8),Cyprus,:,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Czechia,:,3.0,3.0,: d,: d,: d,3.0,3.0,3.0,3.0,: d
Annual,Number,Tertiary education (levels 5-8),Germany,3.0,3.0,3.0,3 d,3 d,3 d,3 d,3.0,3 bd,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Denmark,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Estonia,:,4.0,3.0,3 d,3 d,3 d,3 d,3 d,3 d,3 d,3 d
Annual,Number,Tertiary education (levels 5-8),Greece,:,5.0,4 d,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0
Annual,Number,Tertiary education (levels 5-8),Spain,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),:,:,:,3.0,3 d,3 d,3 d,3 d,4 d,4 d,4 d
Annual,Number,Tertiary education (levels 5-8),European Union - 28 countries (2013-2020),:,:,:,3.0,3 d,3 d,3 d,3 d,:,:,:
Annual,Number,Tertiary education (levels 5-8),Finland,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
Annual,Number,Tertiary education (levels 5-8),France,:,3.0,3 be,3 d,3 d,3 d,3 p,3 ep,3 p,3 p,4 p
Annual,Number,Tertiary education (levels 5-8),Croatia,:,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Hungary,:,3 e,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
Annual,Number,Tertiary education (levels 5-8),Ireland,:,3 d,4 d,4 d,4 d,4 d,4 d,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Iceland,:,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Italy,:,3.0,3.0,3.0,3.0,3.0,3 d,3.0,3.0,3.0,3.0
Annual,Number,Tertiary education (levels 5-8),Liechtenstein,:,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Number,Tertiary education (levels 5-8),Lithuania,:,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
Annual,Number,Tertiary education (levels 5-8),Luxembourg,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Number,Tertiary education (levels 5-8),Latvia,:,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Montenegro,:,:,:,:,:,:,3.0,3.0,3.0,3.0,:
Annual,Number,Tertiary education (levels 5-8),North Macedonia,:,2.0,2.0,: d,: d,: d,2 d,2.0,: d,: d,: d
Annual,Number,Tertiary education (levels 5-8),Malta,:,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3 bd,3 p
Annual,Number,Tertiary education (levels 5-8),Netherlands,:,3.0,3.0,4.0,4.0,4.0,4.0,4 e,4 e,4 e,:
Annual,Number,Tertiary education (levels 5-8),Norway,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
Annual,Number,Tertiary education (levels 5-8),Poland,:,3 d,3 d,3 d,3 d,3 d,3 e,3 e,3 de,3 de,3 dep
Annual,Number,Tertiary education (levels 5-8),Portugal,:,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4 p
Annual,Number,Tertiary education (levels 5-8),Romania,:,2.0,: d,: d,2.0,2.0,:,:,:,:,3.0
Annual,Number,Tertiary education (levels 5-8),Serbia,:,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Annual,Number,Tertiary education (levels 5-8),Sweden,:,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Slovenia,:,4.0,4.0,4 d,4 d,4 d,4.0,4.0,4.0,4.0,4.0
Annual,Number,Tertiary education (levels 5-8),Slovakia,:,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Number,Tertiary education (levels 5-8),Türkiye,:,4 e,4 e,: d,: d,: d,6.0,6.0,6.0,7.0,6.0
Annual,Number,Tertiary education (levels 5-8),United Kingdom,:,3.0,2.0,3 d,3 d,3 d,3 d,3 d,:,:,:
