Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,From 30 to 44 years,Percentage,Estonia,44.4
Annual,From 30 to 44 years,Percentage,Greece,46.9
Annual,From 30 to 44 years,Percentage,Spain,35.2
Annual,From 30 to 44 years,Percentage,European Union (aggregate changing according to the context),33.3 e
Annual,From 30 to 44 years,Percentage,Finland,56.9
Annual,From 30 to 44 years,Percentage,France,33.6
Annual,From 30 to 44 years,Percentage,Croatia,29.8
Annual,From 30 to 44 years,Percentage,Hungary,53.9
Annual,From 30 to 44 years,Percentage,Ireland,39.2
Annual,From 30 to 44 years,Percentage,Italy,28.9 d
Annual,From 30 to 44 years,Percentage,Lithuania,27.4
Annual,From 30 to 44 years,Percentage,Luxembourg,50.0
Annual,From 30 to 44 years,Percentage,Latvia,30.8
Annual,From 30 to 44 years,Percentage,Montenegro,18.8
Annual,From 30 to 44 years,Percentage,Malta,27.6
Annual,From 30 to 44 years,Percentage,Netherlands,37.2
Annual,From 30 to 44 years,Percentage,Poland,19.2
Annual,From 30 to 44 years,Percentage,Portugal,26.0
Annual,From 30 to 44 years,Percentage,Romania,45.9
Annual,From 30 to 44 years,Percentage,Serbia,22.4
Annual,From 30 to 44 years,Percentage,Sweden,52.9
Annual,From 30 to 44 years,Percentage,Slovenia,31.6
Annual,From 30 to 44 years,Percentage,Slovakia,48.8
Annual,From 30 to 44 years,Percentage,Kosovo*,23.3
Annual,From 45 to 64 years,Percentage,Austria,34.6
Annual,From 45 to 64 years,Percentage,Belgium,31.4
Annual,From 45 to 64 years,Percentage,Bulgaria,17.3
Annual,From 45 to 64 years,Percentage,Cyprus,46.5
Annual,From 45 to 64 years,Percentage,Czechia,36.1
Annual,From 45 to 64 years,Percentage,Germany,36.4
Annual,From 45 to 64 years,Percentage,Denmark,45.8
Annual,From 45 to 64 years,Percentage,Estonia,41.3
Annual,From 45 to 64 years,Percentage,Greece,39.8
Annual,From 45 to 64 years,Percentage,Spain,24.3
Annual,From 45 to 64 years,Percentage,European Union (aggregate changing according to the context),31.7 e
Annual,From 45 to 64 years,Percentage,Finland,54.6
Annual,From 45 to 64 years,Percentage,France,28.3
Annual,From 45 to 64 years,Percentage,Croatia,26.0
Annual,From 45 to 64 years,Percentage,Hungary,60.1
Annual,From 45 to 64 years,Percentage,Ireland,35.3
Annual,From 45 to 64 years,Percentage,Italy,24.7 d
Annual,From 45 to 64 years,Percentage,Lithuania,33.4
Annual,From 45 to 64 years,Percentage,Luxembourg,45.5
Annual,From 45 to 64 years,Percentage,Latvia,30.9
Annual,From 45 to 64 years,Percentage,Montenegro,21.9
Annual,From 45 to 64 years,Percentage,Malta,27.9
Annual,From 45 to 64 years,Percentage,Netherlands,31.8
Annual,From 45 to 64 years,Percentage,Poland,20.0
Annual,From 45 to 64 years,Percentage,Portugal,20.9
Annual,From 45 to 64 years,Percentage,Romania,48.2
Annual,From 45 to 64 years,Percentage,Serbia,21.8
Annual,From 45 to 64 years,Percentage,Sweden,49.1
Annual,From 45 to 64 years,Percentage,Slovenia,27.4
Annual,From 45 to 64 years,Percentage,Slovakia,52.9
Annual,From 45 to 64 years,Percentage,Kosovo*,25.2
Annual,From 65 to 74 years,Percentage,Austria,28.5
Annual,From 65 to 74 years,Percentage,Belgium,19.2
Annual,From 65 to 74 years,Percentage,Bulgaria,13.9
Annual,From 65 to 74 years,Percentage,Cyprus,39.0
Annual,From 65 to 74 years,Percentage,Czechia,27.2
Annual,From 65 to 74 years,Percentage,Germany,30.3
Annual,From 65 to 74 years,Percentage,Denmark,29.6
Annual,From 65 to 74 years,Percentage,Estonia,32.1
Annual,From 65 to 74 years,Percentage,Greece,32.4
Annual,From 65 to 74 years,Percentage,Spain,19.0
Annual,From 65 to 74 years,Percentage,European Union (aggregate changing according to the context),26.1 e
Annual,From 65 to 74 years,Percentage,Finland,38.7
Annual,From 65 to 74 years,Percentage,France,19.4
Annual,From 65 to 74 years,Percentage,Croatia,23.9
Annual,From 65 to 74 years,Percentage,Hungary,49.8
Annual,From 65 to 74 years,Percentage,Ireland,25.3 u
Annual,From 65 to 74 years,Percentage,Italy,16.4 d
Annual,From 65 to 74 years,Percentage,Lithuania,36.7
Annual,From 65 to 74 years,Percentage,Luxembourg,36.7
Annual,From 65 to 74 years,Percentage,Latvia,29.9
Annual,From 65 to 74 years,Percentage,Montenegro,21.3
Annual,From 65 to 74 years,Percentage,Malta,17.3
Annual,From 65 to 74 years,Percentage,Netherlands,24.4
Annual,From 65 to 74 years,Percentage,Poland,17.7
Annual,From 65 to 74 years,Percentage,Portugal,19.9
Annual,From 65 to 74 years,Percentage,Romania,52.6
Annual,From 65 to 74 years,Percentage,Serbia,22.8
Annual,From 65 to 74 years,Percentage,Sweden,34.2
Annual,From 65 to 74 years,Percentage,Slovenia,21.8 u
Annual,From 65 to 74 years,Percentage,Slovakia,52.5
Annual,From 65 to 74 years,Percentage,Kosovo*,34.0
