Time frequency,Survey on variables under vines,Wine-grape vine variety,Age class,Geopolitical entity (reporting)\Time,1999.0,2009.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,30 years or over,Luxembourg,0.0,15.0
Annual,Cultivated area under wine-grape vine varieties (ha),Auxerrois,Less than 3 years,Luxembourg,11.0,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,Total,Luxembourg,138.0,162.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,From 10 to 19 years,Luxembourg,64.0,28.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,From 20 to 29 years,Luxembourg,0.0,68.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,From 3 to 5 years,Luxembourg,0.0,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,From 3 to 9 years,Luxembourg,28.0,14.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,From 6 to 9 years,Luxembourg,0.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,20 years or over,Luxembourg,37.0,113.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,30 years or over,Luxembourg,0.0,45.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot blanc,Less than 3 years,Luxembourg,9.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,Total,Luxembourg,155.0,146.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,From 10 to 19 years,Luxembourg,83.0,51.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,From 20 to 29 years,Luxembourg,0.0,41.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,From 3 to 5 years,Luxembourg,0.0,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,From 3 to 9 years,Luxembourg,33.0,23.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,From 6 to 9 years,Luxembourg,0.0,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,20 years or over,Luxembourg,24.0,64.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,30 years or over,Luxembourg,0.0,23.0
Annual,Cultivated area under wine-grape vine varieties (ha),Pinot gris,Less than 3 years,Luxembourg,15.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,Total,Luxembourg,175.0,121.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,From 10 to 19 years,Luxembourg,89.0,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,From 20 to 29 years,Luxembourg,0.0,73.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,From 3 to 5 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,From 3 to 9 years,Luxembourg,13.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,From 6 to 9 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,20 years or over,Luxembourg,68.0,106.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,30 years or over,Luxembourg,0.0,33.0
Annual,Cultivated area under wine-grape vine varieties (ha),Riesling,Less than 3 years,Luxembourg,5.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,Total,Luxembourg,12.0,20.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,From 10 to 19 years,Luxembourg,3.0,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,From 20 to 29 years,Luxembourg,0.0,2.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,From 3 to 5 years,Luxembourg,0.0,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,From 3 to 9 years,Luxembourg,2.0,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,From 6 to 9 years,Luxembourg,0.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,20 years or over,Luxembourg,5.0,5.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,30 years or over,Luxembourg,0.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Gewürztraminer,Less than 3 years,Luxembourg,2.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,Total,Luxembourg,8.0,16.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 10 to 19 years,Luxembourg,2.0,8.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 20 to 29 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 3 to 5 years,Luxembourg,0.0,3.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 3 to 9 years,Luxembourg,3.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,From 6 to 9 years,Luxembourg,0.0,4.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,20 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,30 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Chardonnay,Less than 3 years,Luxembourg,3.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,Total,Luxembourg,1.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,From 10 to 19 years,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,From 20 to 29 years,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,From 3 to 5 years,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,From 3 to 9 years,Luxembourg,1.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,From 6 to 9 years,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,20 years or over,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,30 years or over,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),Sylvaner,Less than 3 years,Luxembourg,0.0,:
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",Total,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 10 to 19 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 20 to 29 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 3 to 5 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 3 to 9 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",From 6 to 9 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",20 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",30 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Other black, varieties not mentioned",Less than 3 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,Total,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 10 to 19 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 20 to 29 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 3 to 5 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 3 to 9 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,From 6 to 9 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,20 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,30 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),Other white varieties not mentioned and other colours,Less than 3 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",Total,Luxembourg,67.0,101.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 10 to 19 years,Luxembourg,16.0,52.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 20 to 29 years,Luxembourg,0.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 3 to 5 years,Luxembourg,0.0,10.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 3 to 9 years,Luxembourg,31.0,29.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",From 6 to 9 years,Luxembourg,0.0,19.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",20 years or over,Luxembourg,1.0,7.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",30 years or over,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, black varieties",Less than 3 years,Luxembourg,19.0,12.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",Total,Luxembourg,1348.0,1301.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 10 to 19 years,Luxembourg,690.0,288.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 20 to 29 years,Luxembourg,0.0,499.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 3 to 5 years,Luxembourg,0.0,92.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 3 to 9 years,Luxembourg,142.0,191.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",From 6 to 9 years,Luxembourg,0.0,99.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",20 years or over,Luxembourg,444.0,759.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",30 years or over,Luxembourg,0.0,260.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, individual varieties",Less than 3 years,Luxembourg,72.0,63.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",Total,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 10 to 19 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 20 to 29 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 3 to 5 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 3 to 9 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",From 6 to 9 years,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",20 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",30 years or over,Luxembourg,0.0,0.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, other varieties",Less than 3 years,Luxembourg,0.0,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",Total,Luxembourg,1348.0,1302.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 10 to 19 years,Luxembourg,690.0,288.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 20 to 29 years,Luxembourg,0.0,499.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 3 to 5 years,Luxembourg,0.0,92.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 3 to 9 years,Luxembourg,142.0,191.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",From 6 to 9 years,Luxembourg,0.0,99.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",20 years or over,Luxembourg,444.0,759.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",30 years or over,Luxembourg,0.0,260.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, all varieties",Less than 3 years,Luxembourg,72.0,64.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",Total,Luxembourg,1281.0,1202.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 10 to 19 years,Luxembourg,674.0,236.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 20 to 29 years,Luxembourg,0.0,492.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 3 to 5 years,Luxembourg,0.0,82.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 3 to 9 years,Luxembourg,111.0,162.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",From 6 to 9 years,Luxembourg,0.0,80.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",20 years or over,Luxembourg,443.0,751.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",30 years or over,Luxembourg,0.0,259.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white varieties and other colours",Less than 3 years,Luxembourg,53.0,52.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",Total,Luxembourg,1281.0,1201.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 10 to 19 years,Luxembourg,674.0,236.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 20 to 29 years,Luxembourg,0.0,492.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 3 to 5 years,Luxembourg,0.0,82.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 3 to 9 years,Luxembourg,111.0,162.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",From 6 to 9 years,Luxembourg,0.0,80.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",20 years or over,Luxembourg,443.0,751.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",30 years or over,Luxembourg,0.0,259.0
Annual,Cultivated area under wine-grape vine varieties (ha),"Total, white individual varieties and other colours",Less than 3 years,Luxembourg,53.0,52.0
