Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Ratio,Total,Less than 65 years,European Union - 27 countries (2007-2013),:,:,5.2,5.1,5.16,5.14,5.06,5.13,5.23,5.2,5.26,5.48,5.52,5.43,5.33,5.37,5.26 e,:,:,:,:
Annual,Ratio,Total,Less than 65 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,5.09,5.21,5.21,5.33,5.52 e,5.52 e,5.45 e,5.28 e,5.29 e,5.17 e,5.07 b,5.18,4.88,4.85
Annual,Ratio,Total,Less than 65 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.14,5.24,5.2,5.26,5.48,5.51,5.43,5.33,5.36,5.25 e,:,:,:,:
Annual,Ratio,Total,Less than 65 years,Finland,:,3.58 b,3.65,3.66,3.75,3.75,3.68,3.65,3.75,3.68,3.59,3.67,3.63,3.68,3.64,3.78,3.8,3.83,3.66,3.84,3.88
Annual,Ratio,Total,Less than 65 years,France,:,4.15 b,3.94,3.96,3.86,4.41 b,4.3,4.44,4.62,4.51,4.5,4.19,4.22,4.27,4.34,4.25,4.31,4.65 b,4.72,4.94 b,4.9
Annual,Ratio,Total,Less than 65 years,Croatia,:,:,:,:,:,:,:,5.46,5.46,5.41,5.44,5.11,5.2,4.97,4.95,4.9,4.6,4.41,4.6,4.29,4.59 b
Annual,Ratio,Total,Less than 65 years,Hungary,:,:,4.34 b,5.9,3.86,3.78,3.67,3.58,4.19,4.28,4.59,4.65,4.57,4.52,4.42,4.59,4.51,4.19,4.39,4.06,4.68
Annual,Ratio,Total,Less than 65 years,Ireland,4.94 b,5.04,5.14,4.99,4.88,4.49,4.28,4.8,4.68,4.83,4.83,4.99,4.58,4.56,4.76,4.32,4.04 b,3.90 b,3.72,3.76,3.8
Annual,Ratio,Total,Less than 65 years,Iceland,:,3.43,3.55,3.78,3.94,3.81,4.15,3.57,3.36,3.35,3.41,3.15,3.42,3.33,3.56,3.19,3.38,:,:,:,:
Annual,Ratio,Total,Less than 65 years,Italy,:,5.90 b,5.83,5.66,5.59,5.4,5.47,5.76,6.19,6.09,6.38,6.29,6.32,6.85,6.34,6.55,6.35,5.97,6.04,5.71,5.27
Annual,Ratio,Total,Less than 65 years,Lithuania,:,:,7.52 b,6.81,6.12,6.38,6.91,8.44,6.56,5.73,6.61,6.56,8.52,7.65,7.78,7.41,6.62,6.17,6.23,6.33,6.46
Annual,Ratio,Total,Less than 65 years,Luxembourg,4.08 b,4.03,4.01,4.38,4.11,4.26,4.52,4.28,4.07,4.16,4.64,4.49,4.35,4.59 b,4.57,5.2,5.44,5.07 b,4.59 b,4.31 b,4.75
Annual,Ratio,Total,Less than 65 years,Latvia,:,:,7.33 b,8.32,6.49,7.12,7.6,7.72,7.36,7.27,6.99,6.92,6.93,6.23,6.29,6.68,6.12,6.06,6.34,6.16,6.11
Annual,Ratio,Total,Less than 65 years,Montenegro,:,:,:,:,:,:,:,:,:,:,8.94,7.75,7.78,7.82,8.1,7.71,6.99,6.16,6.08,5.78,:
Annual,Ratio,Total,Less than 65 years,North Macedonia,:,:,:,:,:,:,:,:,:,10.94,8.96,7.64,6.91,6.93,6.68,6.42,5.7,6.24,:,:,:
Annual,Ratio,Total,Less than 65 years,Malta,:,:,3.91 b,3.97,3.91,4.25,4.03,4.38,4.1,3.99,4.28,4.18,4.23,4.29,4.25,4.41,4.26,4.79,5.17,4.79,5.29
Annual,Ratio,Total,Less than 65 years,Netherlands,:,:,4.11 b,3.92,4.08,4.12,4.07,3.75,3.82,3.71,3.67,3.91,4.0,4.12 b,4.2,4.28,4.11,4.4,4.06,4.1,4.05
Annual,Ratio,Total,Less than 65 years,Norway,3.73 b,3.59,3.9,4.71,3.63,3.82,3.6,3.48,3.34,3.32,3.35,3.52,3.64,3.83,4.09,3.93,3.98,3.86,4.08 b,4.39,3.87 b
Annual,Ratio,Total,Less than 65 years,Poland,:,:,7.23 b,6.04,5.63,5.43,5.22,5.2,5.19,5.17,5.15,5.21,5.23,5.05,4.78,4.43,4.52,4.18,4.15,4.06,4.17
Annual,Ratio,Total,Less than 65 years,Portugal,:,7.05 b,7.09,6.79,6.45,6.24,6.21,5.67,5.82,5.97,6.33,6.63,6.35,6.02,5.88,5.22,5.14,4.99,5.65,5.01,5.64
Annual,Ratio,Total,Less than 65 years,Romania,:,:,:,:,8.51 b,7.41,6.97,6.57,6.72,7.19,7.4,7.85,8.79,8.03,7.04,8.05,7.82,7.21,7.8,6.56,6.5
Annual,Ratio,Total,Less than 65 years,Serbia,:,:,:,:,:,:,:,:,:,:,9.16,10.43,12.18,12.63,10.65,9.89,6.7,6.44,6.13,5.8,:
Annual,Ratio,Total,Less than 65 years,Sweden,:,3.33 b,3.38,3.7,3.42,3.73 b,4.04,4.01,4.06,4.1,4.12,4.31,4.25,4.34,4.4,4.31,4.52,4.3,4.24,4.44,4.79
Annual,Ratio,Total,Less than 65 years,Slovenia,:,:,3.34 b,3.32,3.24,3.27,3.15,3.35,3.4,3.39,3.57,3.72,3.59,3.54,3.41,3.32,3.34,3.28,3.2,3.21,3.25
Annual,Ratio,Total,Less than 65 years,Slovakia,:,:,4.12,4.19,3.61,3.48,3.7,4.04,4.01,3.95,3.81,4.25,3.78,3.9,3.72,3.18,3.52,3.16,3.3,3.3,3.64
Annual,Ratio,Total,Less than 65 years,Türkiye,:,:,:,11.32 b,9.34,9.44,10.43,9.98,9.64,9.45,8.79,8.41,8.74,8.81,8.86,8.75,8.47,9.14,8.85,9.57,9.0
Annual,Ratio,Total,Less than 65 years,United Kingdom,:,:,6.04 b,5.42,5.43,5.69,5.38,5.49,5.42,5.14 b,4.78,5.19,5.46,5.25,5.61 b,5.83,:,:,:,:,:
Annual,Ratio,Total,Less than 65 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.34,:,:,:,:,:
