Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Luxembourg,14.9,15.7,15.3,18.7,19.4 b,22.8,20.4,20.3,18.3 b,14.3 b,17.6 b,16.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Latvia,27.6,31.3,42.2,50.9,55.7,54.9,52.6,52.6,49.1,53.4,47.1,48.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Montenegro,:,14.6,16.6,20.4,17.0,20.1,19.3,18.9,17.4,14.9,14.8,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,North Macedonia,13.3,8.9,8.8,8.9,8.2,7.1,8.5,7.3,8.6,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Malta,20.0,20.7,20.7,24.2,23.9,25.5,26.4,27.6,31.7,31.2,34.1,29.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Netherlands,18.2,19.7,20.6,18.7,22.0 b,24.2,24.1,23.8,24.2,32.3,31.9,22.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Norway,24.3,25.7,28.8,28.1,27.2,25.7,27.6,26.0,27.3,24.8 b,25.4,23.8 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Poland,24.4,22.0,20.3,22.9,26.0,27.9,31.4,32.7,32.5,32.7,28.1,31.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Portugal,24.2,21.9,23.1,25.4,26.3,25.4,26.1,26.2,24.1,24.2 b,22.5,24.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Romania,24.3,24.7,25.6,29.8,30.2,28.7,31.6,34.6,34.6,30.9,29.8,23.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Serbia,:,26.3,28.4,31.2,34.4,33.0,34.3,31.8,34.0,36.5,35.4,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Sweden,29.4,29.7,29.3,31.3,30.4,29.2,30.8,28.2,27.7,26.5,27.5,27.5
