Time frequency,Unit of measure,Vehicles,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Trailers,Jordan,0.4 d,0.4 d,0.4 d,0.4 d,0.6 d,0.5 d,0.4 d,0.5 d,0.5 d,0.5 d,0.5 d,0.6 d,0.6,0.7
Annual,Thousand,Trailers,Libya,:,:,:,:,:,53.0,:,:,:,:,:,:,:,:
Annual,Thousand,Trailers,Palestine*,0.5 d,0.5 d,0.0 d,0.3 d,0.3 d,0.8 d,0.9 d,1.8 d,1.3 d,1.2 d,1.5 d,2.1 d,2.9 d,3.4 d
Annual,Thousand,Trailers,Tunisia,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,:,:
Annual,Thousand,Goods road vehicles,Algeria,1117.0 d,1166.0 d,1227.0 d,1313.0 d,1363.0 d,1403.0 d,1466.0 d,1528.0 d,1611.0 d,1689.0 d,1764.2 d,1822.4 d,1844.9 d,1867.6 d
Annual,Thousand,Goods road vehicles,Egypt,727.7,766.5,781.7,831.2,895.0,937.2,981.7,1020.4,1054.2,1117.0,1212.0,1303.0,1351.0,:
Annual,Thousand,Goods road vehicles,Israel,414.4,419.7,427.2,432.0,428.0,428.5,434.1,432.7,431.5,430.7,431.0,436.0,440.6,441.0
Annual,Thousand,Goods road vehicles,Jordan,133.9 d,144.7 d,153.1 d,163.0 d,177.7 d,172.2 d,175.8 d,186.7 d,183.1 d,190.2 d,198.5 d,207.8 d,228.0,233.8
Annual,Thousand,Goods road vehicles,Libya,:,:,:,:,:,402.0,:,:,:,:,:,:,:,:
Annual,Thousand,Goods road vehicles,Morocco,506.4 de,540.9 de,585.7 de,621.6 de,684.3 de,735.7 de,787.9 de,836.2 de,878.2 d,914.4 d,1015.2 dp,1065.3 dp,1117.6 dp,1170.1 dp
Annual,Thousand,Goods road vehicles,Palestine*,29.3 d,25.3 d,15.9 d,20.9 d,21.1 d,37.0 d,27.2 d,37.9 d,24.2 d,26.5 d,27.2 d,32.3 d,34.2 d,29.7 d
Annual,Thousand,Goods road vehicles,Tunisia,331.4 d,343.5 d,356.8 d,370.6 d,386.7 d,405.7 d,422.4 d,445.6 d,464.9 d,488.3 d,510.8 d,536.6 d,:,:
