Time frequency,Agricultural area,Arable land area,Unit of measure,Eurofarm indicators,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,Total,Thousand,hold: Pulses - total,Denmark,1.82,0.66,0.79,0.62
Annual,Total,Total,Thousand,hold: Pulses - total,Estonia,0.62,0.81,0.5,0.72
Annual,Total,Total,Thousand,hold: Pulses - total,Greece,15.71,17.83,11.06,13.82
Annual,Total,Total,Thousand,hold: Pulses - total,Spain,54.22,34.69,33.54,33.46
Annual,Total,Total,Thousand,hold: Pulses - total,Finland,1.21,0.84,2.92,2.64
Annual,Total,Total,Thousand,hold: Pulses - total,France,41.31,25.07,39.17,22.28
Annual,Total,Total,Thousand,hold: Pulses - total,Croatia,:,19.88,20.94,14.66
Annual,Total,Total,Thousand,hold: Pulses - total,Hungary,5.51,2.21,5.14,6.66
Annual,Total,Total,Thousand,hold: Pulses - total,Ireland,0.47,0.29,0.41,0.37
Annual,Total,Total,Thousand,hold: Pulses - total,Iceland,:,:,0.0,:
Annual,Total,Total,Thousand,hold: Pulses - total,Italy,35.99,45.36,35.43,35.59
Annual,Total,Total,Thousand,hold: Pulses - total,Lithuania,13.22,11.61,8.61,7.36
Annual,Total,Total,Thousand,hold: Pulses - total,Luxembourg,0.12,0.09,0.07,0.07
Annual,Total,Total,Thousand,hold: Pulses - total,Latvia,1.16,0.58,0.64,0.55
Annual,Total,Total,Thousand,hold: Pulses - total,Montenegro,:,:,1.4,:
Annual,Total,Total,Thousand,hold: Pulses - total,Malta,0.0,0.0,0.0,0.0
Annual,Total,Total,Thousand,hold: Pulses - total,Netherlands,0.87,0.57,0.68,0.52
Annual,Total,Total,Thousand,hold: Pulses - total,Norway,0.0,0.0,0.35,0.16
Annual,Total,Total,Thousand,hold: Pulses - total,Poland,80.42,83.63,72.23,65.03
Annual,Total,Total,Thousand,hold: Pulses - total,Portugal,38.67,27.8,28.23,21.19
Annual,Total,Total,Thousand,hold: Pulses - total,Romania,250.93,106.16,47.45,66.47
Annual,Total,Total,Thousand,hold: Pulses - total,Sweden,2.87,1.76,2.59,2.04
Annual,Total,Total,Thousand,hold: Pulses - total,Slovenia,12.97,12.31,9.73,11.16
Annual,Total,Total,Thousand,hold: Pulses - total,Slovakia,1.43,1.46,0.51,0.28
Annual,Total,Total,Thousand,hold: Pulses - total,United Kingdom,11.02,10.83,8.96,7.12
Annual,Total,Total,Thousand,hold: Root crops,Austria,30.72,27.95,23.54,22.59
Annual,Total,Total,Thousand,hold: Root crops,Belgium,20.92,19.47,16.45,15.98
Annual,Total,Total,Thousand,hold: Root crops,Bulgaria,142.31,129.64,89.11,69.99
Annual,Total,Total,Thousand,hold: Root crops,Switzerland,14.21,13.08,11.07,:
Annual,Total,Total,Thousand,hold: Root crops,Cyprus,3.58,3.07,1.98,2.03
Annual,Total,Total,Thousand,hold: Root crops,Czechia,15.62,13.25,5.56,7.18
Annual,Total,Total,Thousand,hold: Root crops,Germany,96.62,86.22,64.77,57.92
Annual,Total,Total,Thousand,hold: Root crops,Denmark,7.76,5.62,4.13,3.95
Annual,Total,Total,Thousand,hold: Root crops,Estonia,16.5,12.2,7.97,5.69
Annual,Total,Total,Thousand,hold: Root crops,Greece,63.58,54.13,40.64,31.32
Annual,Total,Total,Thousand,hold: Root crops,Spain,125.68,109.12,78.52,78.54
Annual,Total,Total,Thousand,hold: Root crops,Finland,19.95,16.25,13.4,9.33
Annual,Total,Total,Thousand,hold: Root crops,France,56.77,50.68,51.47,44.51
Annual,Total,Total,Thousand,hold: Root crops,Croatia,:,69.15,76.27,49.62
Annual,Total,Total,Thousand,hold: Root crops,Hungary,88.3,42.51,65.21,45.35
Annual,Total,Total,Thousand,hold: Root crops,Ireland,8.27,5.16,3.92,3.66
Annual,Total,Total,Thousand,hold: Root crops,Iceland,:,:,0.49,:
Annual,Total,Total,Thousand,hold: Root crops,Italy,82.16,61.5,38.83,23.23
Annual,Total,Total,Thousand,hold: Root crops,Lithuania,218.81,188.46,131.23,101.68
Annual,Total,Total,Thousand,hold: Root crops,Luxembourg,0.37,0.33,0.29,0.26
Annual,Total,Total,Thousand,hold: Root crops,Latvia,103.15,76.12,39.61,41.34
Annual,Total,Total,Thousand,hold: Root crops,Montenegro,:,:,5.75,:
Annual,Total,Total,Thousand,hold: Root crops,Malta,2.43,1.86,1.92,1.76
Annual,Total,Total,Thousand,hold: Root crops,Netherlands,16.28,14.82,12.8,12.36
Annual,Total,Total,Thousand,hold: Root crops,Norway,4.93,3.67,2.8,2.14
Annual,Total,Total,Thousand,hold: Root crops,Poland,1402.25,1219.19,692.98,538.96
Annual,Total,Total,Thousand,hold: Root crops,Portugal,97.7,86.31,64.92,53.33
Annual,Total,Total,Thousand,hold: Root crops,Romania,1144.14,1085.44,645.72,718.28
Annual,Total,Total,Thousand,hold: Root crops,Sweden,8.59,7.05,:,4.88
Annual,Total,Total,Thousand,hold: Root crops,Slovenia,51.93,47.9,40.0,40.51
Annual,Total,Total,Thousand,hold: Root crops,Slovakia,25.88,25.18,8.35,5.62
Annual,Total,Total,Thousand,hold: Root crops,United Kingdom,21.23,20.66,16.97,16.56
Annual,Total,Total,Thousand,hold: Industrial crops - total,Austria,25.22,25.17,26.24,24.1
Annual,Total,Total,Thousand,hold: Industrial crops - total,Belgium,4.72,4.24,3.49,2.93
Annual,Total,Total,Thousand,hold: Industrial crops - total,Bulgaria,77.75,51.45,57.61,49.53
Annual,Total,Total,Thousand,hold: Industrial crops - total,Switzerland,8.55,8.77,8.34,:
Annual,Total,Total,Thousand,hold: Industrial crops - total,Cyprus,0.25,0.14,0.12,0.11
Annual,Total,Total,Thousand,hold: Industrial crops - total,Czechia,5.16,5.42,5.44,5.53
Annual,Total,Total,Thousand,hold: Industrial crops - total,Germany,79.82,82.12,68.72,62.04
Annual,Total,Total,Thousand,hold: Industrial crops - total,Denmark,9.49,10.85,8.37,7.78
Annual,Total,Total,Thousand,hold: Industrial crops - total,Estonia,1.04,1.44,1.59,1.61
Annual,Total,Total,Thousand,hold: Industrial crops - total,Greece,112.56,85.98,59.0,70.89
Annual,Total,Total,Thousand,hold: Industrial crops - total,Spain,44.21,40.89,47.7,47.22
Annual,Total,Total,Thousand,hold: Industrial crops - total,Finland,7.81,9.32,11.94,5.35
Annual,Total,Total,Thousand,hold: Industrial crops - total,France,125.02,128.96,126.96,121.03
Annual,Total,Total,Thousand,hold: Industrial crops - total,Croatia,:,9.78,15.63,14.65
Annual,Total,Total,Thousand,hold: Industrial crops - total,Hungary,41.48,34.22,40.22,44.07
Annual,Total,Total,Thousand,hold: Industrial crops - total,Ireland,0.31,0.62,0.84,1.11
Annual,Total,Total,Thousand,hold: Industrial crops - total,Iceland,:,:,0.05,:
Annual,Total,Total,Thousand,hold: Industrial crops - total,Italy,57.74,42.97,57.29,62.0
Annual,Total,Total,Thousand,hold: Industrial crops - total,Lithuania,4.51,4.81,7.63,10.22
Annual,Total,Total,Thousand,hold: Industrial crops - total,Luxembourg,0.5,0.59,0.47,0.41
Annual,Total,Total,Thousand,hold: Industrial crops - total,Latvia,1.77,1.96,2.05,2.35
Annual,Total,Total,Thousand,hold: Industrial crops - total,Montenegro,:,:,0.19,:
Annual,Total,Total,Thousand,hold: Industrial crops - total,Malta,0.0,0.0,0.0,0.0
Annual,Total,Total,Thousand,hold: Industrial crops - total,Netherlands,1.8,1.65,1.65,1.57
Annual,Total,Total,Thousand,hold: Industrial crops - total,Norway,0.89,0.79,0.66,0.39
Annual,Total,Total,Thousand,hold: Industrial crops - total,Poland,93.42,119.94,121.18,111.47
Annual,Total,Total,Thousand,hold: Industrial crops - total,Portugal,1.61,2.19,2.57,2.77
Annual,Total,Total,Thousand,hold: Industrial crops - total,Romania,423.74,296.61,146.76,178.04
Annual,Total,Total,Thousand,hold: Industrial crops - total,Sweden,5.81,5.41,6.25,6.14
Annual,Total,Total,Thousand,hold: Industrial crops - total,Slovenia,10.97,9.88,9.91,8.42
Annual,Total,Total,Thousand,hold: Industrial crops - total,Slovakia,2.37,2.85,2.82,2.77
Annual,Total,Total,Thousand,hold: Industrial crops - total,United Kingdom,17.58,18.64,16.72,16.81
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Austria,3.8,4.31,3.73,3.79
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Belgium,8.02,7.38,6.58,5.81
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Bulgaria,98.75,87.34,71.59,64.72
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Switzerland,3.93,3.91,3.87,:
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Cyprus,4.76,4.71,3.97,4.28
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Czechia,3.03,2.27,0.92,1.04
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Germany,18.68,17.08,14.33,13.31
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Denmark,1.34,1.43,1.31,1.12
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Estonia,2.62,2.44,2.62,2.48
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Greece,58.77,57.42,46.48,42.91
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Spain,150.76,134.14,105.9,109.24
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Finland,5.44,4.8,4.08,2.78
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",France,41.39,38.21,39.12,36.35
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Croatia,:,14.59,18.48,14.13
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Hungary,31.33,25.68,31.93,32.44
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Ireland,1.77,0.88,0.83,0.64
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Iceland,:,:,0.1,:
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Italy,137.79,140.33,111.68,79.71
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Lithuania,197.19,166.54,121.44,97.03
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Luxembourg,0.04,0.04,0.04,0.05
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Latvia,37.12,28.4,5.98,13.19
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Montenegro,:,:,3.84,:
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Malta,2.36,2.38,2.37,2.11
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Netherlands,9.82,9.26,8.29,8.05
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Norway,2.31,2.15,1.56,1.32
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Poland,462.85,406.77,140.27,141.89
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Portugal,30.97,27.85,25.06,27.13
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Romania,465.96,429.53,191.0,203.12
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Sweden,3.33,2.84,2.49,2.38
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Slovenia,5.37,1.61,1.28,2.0
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",Slovakia,5.74,5.61,1.51,1.4
Annual,Total,Total,Thousand,"hold: Fresh vegetables, melons, strawberries",United Kingdom,10.36,8.6,6.82,6.76
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Austria,0.59,0.98,0.93,0.95
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Belgium,1.71,1.53,1.31,0.59
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Bulgaria,1.2,1.26,0.7,0.49
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Switzerland,1.1,1.09,0.91,:
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Cyprus,0.12,0.16,0.09,0.07
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Czechia,0.82,0.78,0.2,0.24
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Germany,10.27,9.83,6.91,6.04
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Denmark,0.55,0.52,0.56,0.43
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Estonia,0.1,0.09,0.09,0.05
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Greece,1.61,2.17,1.21,0.99
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Spain,5.25,3.97,3.62,3.86
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Finland,0.84,0.76,0.75,0.64
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,France,8.12,7.1,7.23,6.2
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Croatia,:,0.86,1.07,1.68
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Hungary,3.1,1.97,2.0,2.42
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Ireland,0.46,0.41,0.16,0.11
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Iceland,:,:,0.03,:
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Italy,13.43,14.67,14.09,8.84
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Lithuania,2.35,1.14,1.79,1.74
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Luxembourg,0.03,0.02,0.0,0.01
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Latvia,0.18,0.6,0.32,0.13
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Montenegro,:,:,0.07,:
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Malta,0.08,0.03,0.08,0.08
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Netherlands,8.04,7.15,5.5,4.78
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Norway,0.57,0.49,0.48,0.23
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Poland,13.42,10.63,6.76,4.73
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Portugal,1.66,1.59,1.32,2.56
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Romania,2.25,2.58,2.22,2.83
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Sweden,0.24,0.34,0.42,0.58
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Slovenia,13.44,13.95,1.07,0.41
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,Slovakia,0.34,0.24,0.14,0.08
Annual,Total,Total,Thousand,hold: Flowers and ornemental plants,United Kingdom,4.38,3.16,1.89,1.74
Annual,Total,Total,Thousand,hold: Fodder crops - total,Austria,64.11,58.6,52.54,48.61
Annual,Total,Total,Thousand,hold: Fodder crops - total,Belgium,26.73,25.29,23.59,25.13
Annual,Total,Total,Thousand,hold: Fodder crops - total,Bulgaria,118.41,99.53,75.08,43.63
Annual,Total,Total,Thousand,hold: Fodder crops - total,Switzerland,29.27,28.54,27.39,:
Annual,Total,Total,Thousand,hold: Fodder crops - total,Cyprus,3.84,4.82,4.44,4.17
Annual,Total,Total,Thousand,hold: Fodder crops - total,Czechia,8.42,8.17,5.87,6.95
Annual,Total,Total,Thousand,hold: Fodder crops - total,Germany,151.47,156.75,147.31,144.98
Annual,Total,Total,Thousand,hold: Fodder crops - total,Denmark,26.1,22.36,24.59,23.27
Annual,Total,Total,Thousand,hold: Fodder crops - total,Estonia,8.5,5.47,5.87,4.65
Annual,Total,Total,Thousand,hold: Fodder crops - total,Greece,95.04,106.54,78.85,75.55
Annual,Total,Total,Thousand,hold: Fodder crops - total,Spain,85.77,89.26,61.18,67.77
Annual,Total,Total,Thousand,hold: Fodder crops - total,Finland,40.5,39.91,37.59,34.17
Annual,Total,Total,Thousand,hold: Fodder crops - total,France,208.65,200.29,193.88,187.94
Annual,Total,Total,Thousand,hold: Fodder crops - total,Croatia,:,48.7,48.83,36.34
Annual,Total,Total,Thousand,hold: Fodder crops - total,Hungary,39.79,30.53,41.72,35.83
Annual,Total,Total,Thousand,hold: Fodder crops - total,Ireland,59.71,54.32,61.08,57.88
Annual,Total,Total,Thousand,hold: Fodder crops - total,Iceland,:,:,1.75,:
Annual,Total,Total,Thousand,hold: Fodder crops - total,Italy,293.19,304.25,253.79,234.0
Annual,Total,Total,Thousand,hold: Fodder crops - total,Lithuania,97.02,75.08,96.04,84.47
Annual,Total,Total,Thousand,hold: Fodder crops - total,Luxembourg,1.42,1.36,1.33,1.28
Annual,Total,Total,Thousand,hold: Fodder crops - total,Latvia,62.18,46.55,26.44,26.89
Annual,Total,Total,Thousand,hold: Fodder crops - total,Montenegro,:,:,1.9,:
Annual,Total,Total,Thousand,hold: Fodder crops - total,Malta,5.88,6.54,6.68,6.1
Annual,Total,Total,Thousand,hold: Fodder crops - total,Netherlands,34.09,32.88,32.23,32.33
Annual,Total,Total,Thousand,hold: Fodder crops - total,Norway,38.67,36.32,35.04,33.44
Annual,Total,Total,Thousand,hold: Fodder crops - total,Poland,400.54,365.58,214.52,220.39
Annual,Total,Total,Thousand,hold: Fodder crops - total,Portugal,100.46,87.11,82.76,73.72
Annual,Total,Total,Thousand,hold: Fodder crops - total,Romania,622.41,659.52,664.35,619.7
Annual,Total,Total,Thousand,hold: Fodder crops - total,Sweden,65.19,62.91,61.63,58.27
Annual,Total,Total,Thousand,hold: Fodder crops - total,Slovenia,30.52,31.21,32.08,30.69
Annual,Total,Total,Thousand,hold: Fodder crops - total,Slovakia,7.32,7.56,4.73,5.44
Annual,Total,Total,Thousand,hold: Fodder crops - total,United Kingdom,71.47,69.68,63.78,66.64
