Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Euro area - 19 countries  (2015-2022),3.3,-1.1,0.4,0.9,0.1,1.0,-0.3,0.1,1.4,-2.3,-2.4,2.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Euro area – 20 countries (from 2023),3.3,-1.1,0.4,0.9,0.1,1.0,-0.3,0.1,1.4,-2.3,-2.4,2.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Estonia,-14.2,-3.0,10.5,-0.2,16.7,0.1,-17.0,22.8,-7.3,-3.1,-1.7,-4.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Greece,1.6,5.5 p,2.3 p,2.4 p,7.2 p,-1.4 p,0.3 p,2.4 p,-0.7 p,0.5 p,1.4 p,-1.1 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Spain,1.3,2.2 p,0.2 p,1.0 p,-3.1 p,3.9 p,0.0 p,-0.5 p,1.2 p,1.2 p,0.5 p,-1.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),European Union - 27 countries (from 2020),2.8,-0.8,0.5,0.8,0.4,0.8,0.0,0.2,1.1,-2.1,-2.1,1.6
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Finland,4.4,1.8,-1.8,-1.2,-1.7,-3.2,-1.6,-2.6,-0.2,-3.7,-1.7,0.4
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),France,-0.9,0.2,-0.4,1.2,0.4,-0.3,0.5,-0.1,-0.8,-0.6,-0.1,-0.7
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Croatia,4.1,7.0,-0.7,1.1,2.4,4.8 p,1.4 p,2.6 p,1.4 p,3.2 p,3.6 p,0.9 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Hungary,-0.2,1.7,1.1,-3.0,-6.2,0.1 p,-0.8 p,-1.7 p,-1.8 p,-3.4 p,-7.5 p,-3.2 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Ireland,94.5,-43.1,14.8,8.9,-1.0,-15.8,-0.3,-2.7,65.6,-40.6,-63.0,211.9
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Italy,0.9,2.9,1.3,0.2,1.3,6.3,-0.6,1.8,1.5,-0.9,-0.4,-1.2
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Lithuania,1.2,3.8,1.3,1.2,0.9,2.7,2.2,4.3,3.1,-7.7,-1.8,2.6
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Luxembourg,10.8,-1.2,-2.5,3.1,-1.0,4.4,-3.5,-2.6,-5.3,0.5 p,0.6 p,0.5 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Latvia,-3.6,2.5,0.3,-1.1,-6.6,23.0,-5.6,-3.3,2.2,-2.6,-1.6,-2.8
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Montenegro,-8.6,5.6,0.5,-2.8,5.1,2.2,-1.7,5.8,2.2,2.7 p,1.2 p,3.1 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Malta,15.7,-16.3 p,12.5 p,11.1 p,5.3 p,-30.6 p,5.2 p,3.0 p,3.0 p,-5.2 p,3.4 p,4.4 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Netherlands,1.9,1.0,1.5,0.5,1.4,2.1,-1.6,-1.7,-2.1,0.8,0.7,0.4
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Norway,5.2,2.5,-0.4,-0.1,0.7,-0.3,-0.3,-0.2,0.8,-7.6,5.1,:
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Poland,-0.3,1.8,-2.6,1.8,0.3,4.9,3.4,2.1,3.0,-2.3,1.3,-0.6
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Portugal,3.4,1.6,-2.7,0.9,0.9,2.4 e,-0.4 e,1.2 e,1.7 e,-2.0 e,1.7 e,1.0 e
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Romania,-2.8,5.4,5.7,4.9,-0.3,4.3 p,5.2 p,1.8 p,4.8 p,-2.8 p,-2.1 p,-0.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Serbia,4.1,-4.2,0.3,0.9,2.3,3.7,2.2,2.0,3.4,-0.8,2.8,3.5
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Sweden,0.4,-1.6,1.9,-0.2,-1.6,0.3,0.0,-1.3,-0.4,0.1,-1.2,0.3
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Slovenia,2.9,-0.6,0.1,2.4,-1.0,2.3,0.8,1.2,-0.6,-1.0,-1.8,-3.9
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Slovakia,-5.8,1.9,-5.0,-8.1,22.2,-0.1,1.8,10.4,-0.9,-5.8,1.4,-2.6
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Türkiye,-1.0,0.2,-0.1,-1.0,1.9,3.0,3.1,4.9,-2.2,2.4,-3.2,2.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Kosovo*,:,:,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Albania,14.2,9.8,-8.4,1.5,5.4,1.0 p,2.7 p,0.2 p,0.5 p,3.6 p,4.9 p,4.5 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Austria,1.2,2.5,-2.8,-0.3,2.1,-2.3,-2.4,-3.9,-4.2,-5.1,-3.8,-0.5
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Bosnia and Herzegovina,5.8,1.2,-3.1,0.6,2.5,2.6,23.7,4.2,16.8,11.4,3.7,-0.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Belgium,-3.3,0.2,-1.8,2.3,5.8,3.7 p,7.3 p,6.1 p,-2.0 p,0.0 p,1.4 p,-2.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Bulgaria,-13.0,3.0,-0.9,7.7,14.0,-0.3,4.8,20.1,12.2,-0.5 p,-6.3 p,1.6 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Switzerland,2.7,1.6,-0.3,0.8,-2.2,2.9,-0.2,-0.9,-1.1,-2.8,-0.3,-0.9
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Cyprus,-40.3,-9.2,32.4,1.1,14.8,52.1,-24.3,22.5,4.8,-35.4,10.6,-6.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Czechia,6.5,9.7,7.4,4.8,4.1,0.5,1.5,2.8,4.8,-2.9,-1.5,0.0
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Germany,-2.6 p,1.5 p,-2.1 p,1.3 p,-1.3 p,-0.1 p,-0.8 p,-1.5 p,-2.3 p,-3.4 p,-2.7 p,-2.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Denmark,1.5,4.6,-2.1,-2.7,10.8,-5.3,-2.9,3.5,-18.7,-3.9,-0.5,-4.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1.6,3.9,1.7,3.1,-0.5,2.9,1.3,0.6,1.7,-1.8,-2.8,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Euro area - 19 countries  (2015-2022),1.6,3.9,1.7,3.1,-0.5,2.9,1.3,0.6,1.6,-1.8,-2.9,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Euro area – 20 countries (from 2023),1.5,4.0,1.7,3.2,-0.4,2.9,1.3,0.6,1.7,-1.8,-2.8,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Estonia,-35.5,-29.5,-19.1,-8.1,25.2,28.9,-3.7,19.1,-5.4,-8.5,8.3,-15.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Greece,27.6,19.5 p,14.4 p,11.5 p,19.8 p,10.6 p,8.6 p,8.2 p,0.7 p,2.4 p,4.2 p,0.1 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Spain,-0.3,4.4 p,5.1 p,5.9 p,-2.2 p,1.2 p,2.2 p,1.8 p,3.4 p,1.8 p,1.8 p,0.6 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),European Union - 27 countries (from 2020),1.8,4.0,1.7,3.0,0.1,2.6,1.4,1.2,2.1,-1.7,-2.7,-1.0
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Finland,5.2,5.5,0.1,3.1,-1.7,-8.5,-7.9,-9.0,-6.2,-8.4,-8.4,-4.9
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),France,0.3,1.4,-1.7,-0.5,0.6,1.6,0.8,0.0,-0.7,-1.4,-1.7,-1.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Croatia,-0.7,10.6,10.8,11.4,8.7,8.7 p,10.6 p,11.4 p,9.9 p,9.2 p,11.7 p,9.2 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Hungary,0.7,10.6,5.8,0.9,-9.3,-4.0 p,-11.0 p,-11.0 p,-3.2 p,-7.3 p,-15.3 p,-14.0 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Ireland,1.6,16.5,26.8,39.7,-30.4,5.0,-9.0,-19.4,33.1,-4.5,-64.4,13.9
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Iceland,13.3,20.7,11.2,10.8,21.2,6.8,7.2,-0.4,-5.1,4.3,5.1,2.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Italy,14.0,13.1,8.8,3.8,4.9,10.5,6.6,8.5,8.5,1.6,2.6,0.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Lithuania,5.1,6.4,0.5,6.5,7.8,9.0,6.7,9.3,11.9,-0.6,-3.9,-2.0
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Luxembourg,10.1,6.0,-31.3,10.6,-2.3,4.3,2.5,-2.4,-7.6,-10.2 p,-6.9 p,-3.5 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Latvia,0.7,2.6,-0.2,-1.9,-5.2,14.0,7.3,4.3,15.2,-8.8,-5.1,-5.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Montenegro,-17.8,-0.4,-1.1,-6.0,8.3,6.1,1.6,11.4,8.8,9.6 p,12.0 p,9.9 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Malta,41.4,-3.7 p,12.0 p,21.1 p,10.2 p,-8.7 p,-14.5 p,-20.7 p,-22.5 p,5.8 p,3.9 p,5.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Netherlands,1.1,0.1,4.8,4.7,4.2,5.6,2.8,0.2,-3.5,-4.4,-2.3,-0.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Norway,3.4,4.5,6.6,7.6,2.6,0.0,-0.1,0.0,0.0,-7.8,-2.4,:
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Poland,5.2,7.7,0.6,-1.4,1.7,2.1,12.5,10.7,19.1,3.4,4.1,-0.9
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Portugal,8.3,6.2,3.0,3.0,1.2,3.0 e,3.2 e,3.0 e,5.1 e,-0.4 e,2.6 e,2.8 e
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Romania,-5.5,-7.6,-1.7,10.2,14.0,14.3 p,14.7 p,11.1 p,18.5 p,9.2 p,1.2 p,-0.6 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Serbia,11.6,3.5 p,5.1 p,0.9 p,0.1 p,7.9 p,9.3 p,10.4 p,10.8 p,7.3 e,7.8 e,9.1 e
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Sweden,7.3,1.7,1.1,0.6,-1.9,1.1,-2.1,-2.8,-2.1,-1.9,-2.3,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Slovenia,11.1,7.7,4.8,4.7,0.0,4.5,5.3,2.6,3.2,1.0,-1.5,-8.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Slovakia,8.9,5.0,-5.7,-17.8,10.6,5.9,13.3,36.9,12.0,4.3,4.4,-8.0
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Türkiye,1.5,2.8,3.8,-1.8,0.6,4.3,5.3,14.2,9.1,9.0,0.8,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (NSA),Kosovo*,2.7,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Albania,14.3,9.7,-8.4,1.5,5.5,0.9 p,2.8 p,0.2 p,0.5 p,3.6 p,4.9 p,4.5 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Austria,1.8,1.9,-2.5,0.1,1.7,-2.0,-1.9,-4.3,-4.1,-4.8,-3.8,-1.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Belgium,-3.3,0.4,-1.5,2.6,5.5,3.9 p,7.2 p,6.0 p,-2.7 p,-0.1 p,1.4 p,-2.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Bulgaria,-10.4,0.0,0.4,4.8,10.2,6.1,9.8,11.8,7.4,3.4 p,-0.9 p,-1.9 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Switzerland,2.9,0.8,-0.1,1.0,-1.9,2.3,-0.1,-0.8,-1.1,-2.2,-0.9,-1.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Cyprus,-42.0,-9.0,32.6,0.9,15.4,49.8,-23.8,22.7,5.0,-34.7,10.3,-6.0
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Czechia,9.3,9.6,6.6,5.0,4.3,2.6,3.6,2.4,2.3,-0.2,0.2,-0.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Germany,-2.7 p,0.7 p,-2.1 p,1.6 p,-0.3 p,-0.6 p,-0.1 p,-0.8 p,-1.4 p,-1.8 p,-3.6 p,-3.4 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Denmark,1.6,3.9,-1.5,-2.7,11.5,-5.0,-3.4,3.1,-19.3,-3.0,-2.2,-4.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1.9,3.2,1.5,3.5,0.3,2.5,1.8,1.0,2.2,-1.1,-3.2,-1.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Euro area - 19 countries  (2015-2022),1.9,3.2,1.5,3.5,0.3,2.5,1.7,0.9,2.2,-1.2,-3.3,-1.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Euro area – 20 countries (from 2023),1.9,3.2,1.5,3.6,0.3,2.5,1.8,1.0,2.2,-1.1,-3.2,-1.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Estonia,-35.7,-29.5,-18.7,-8.2,24.8,28.8,-3.3,19.0,-5.5,-8.5,8.4,-15.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Greece,27.4,19.6 p,15.0 p,12.2 p,18.4 p,10.7 p,8.6 p,8.6 p,0.6 p,2.6 p,3.7 p,0.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Spain,0.9,3.8 p,4.4 p,4.7 p,0.2 p,1.9 p,1.7 p,0.3 p,4.7 p,1.9 p,2.5 p,1.6 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),European Union - 27 countries (from 2020),2.1,3.2,1.5,3.4,0.9,2.5,2.0,1.4,2.2,-0.7,-2.9,-1.5
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Finland,5.2,5.8,0.5,3.1,-3.0,-7.7,-7.5,-8.8,-7.4,-7.8,-8.0,-5.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),France,1.0,0.6,-1.7,0.1,1.4,1.0,1.9,0.6,-0.6,-1.0,-1.6,-2.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Croatia,0.8,9.0,10.5,11.8,10.0,7.8 p,10.1 p,11.7 p,10.6 p,8.9 p,11.2 p,9.4 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Hungary,3.5,9.1,4.5,-0.4,-6.4,-7.8 p,-9.6 p,-8.4 p,-4.1 p,-7.5 p,-13.8 p,-15.1 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Ireland,2.7,15.7,24.0,38.4,-29.6,4.2,-9.5,-19.1,35.2,-4.6,-64.6,13.4
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Italy,14.6,11.9,8.6,5.4,5.9,9.4,7.3,8.9,9.2,1.8,2.0,-1.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Lithuania,5.0,5.0,1.0,7.8,7.5,6.3,7.3,10.5,12.9,1.4,-2.6,-4.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Luxembourg,10.6,5.4,-31.1,10.0,-1.8,3.8,2.8,-2.9,-7.1,-10.5 p,-6.7 p,-3.8 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Latvia,1.8,2.7,-0.8,-1.9,-5.0,14.0,7.3,4.9,14.8,-9.0,-5.2,-4.7
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Montenegro,-17.3,-1.7,-0.3,-5.7,8.3,4.9,2.6,11.7,8.6,9.1 p,12.3 p,9.4 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Malta,41.3,-3.7 p,12.0 p,21.0 p,10.2 p,-8.6 p,-14.5 p,-20.7 p,-22.5 p,5.8 p,3.9 p,5.3 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Netherlands,0.9,-0.4,4.6,5.0,4.5,5.6,2.4,0.2,-3.3,-4.5,-2.3,-0.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Norway,3.4,4.1,6.7,7.4,2.8,0.0,0.0,-0.1,0.0,-7.4,-2.3,:
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Poland,4.5,5.4,1.3,0.6,1.1,4.3,10.7,11.1,14.1,6.2,4.1,1.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Portugal,8.2,7.1,2.8,3.1,0.6,1.4 e,3.8 e,4.1 e,5.0 e,0.5 e,2.5 e,2.4 e
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Romania,-5.1,-6.9,0.5,13.6,16.5,15.3 p,14.7 p,11.2 p,17.0 p,9.0 p,1.5 p,-0.6 p
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Serbia,11.6,3.5,5.6,0.9,-0.8,7.4,9.4,10.5,11.7,6.9,7.5,9.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Sweden,6.9,1.0,1.6,0.6,-1.5,0.4,-1.5,-2.6,-1.4,-1.6,-2.8,-1.2
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Slovenia,11.3,7.0,5.1,4.8,0.9,3.8,4.6,3.3,3.6,0.2,-2.3,-7.3
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Slovakia,7.5,5.5,-4.5,-16.2,8.8,6.6,14.2,37.2,11.3,5.0,4.6,-7.8
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Türkiye,1.0,2.7,3.4,-1.8,1.0,3.8,7.1,13.5,9.0,8.4,1.7,-1.1
Quarterly,Gross fixed capital formation,Percentage change q/q-4 (SCA),Kosovo*,:,:,:,:,:,: @C,: @C,:,:,:,:,:
