Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Percentage,Iceland,0.9,0.82,0.69,1.08,0.93,1.08,1.05,1.29
Annual,Total,Percentage,Italy,1.67,1.93,2.04,2.15 d,1.17,1.19,1.93,2.31
Annual,Total,Percentage,Liechtenstein,4.33,4.67,12.39,3.98,2.23,2.69,2.94,3.18
Annual,Total,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Luxembourg,4.23,3.16,4.3,3.88,3.87,2.67,3.94,1.62
Annual,Total,Percentage,Latvia,1.86,1.73,1.3,0.98,1.74,1.67,1.32,1.34
Annual,Total,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Total,Percentage,North Macedonia,: d,: d,: d,8.58 d,10.66,: d,: d,: d
Annual,Total,Percentage,Malta,0.38,0.15,0.35,0.55,0.68,1.26,1.19,1.61 p
Annual,Total,Percentage,Netherlands,0.26,0.28,0.39,0.39,0.34 e,0.36 e,0.37 e,0.44
Annual,Total,Percentage,Norway,0.26,0.32,0.25,0.36,0.38,0.48,0.39,0.46
Annual,Total,Percentage,Poland,4.33 d,4.71 d,4.90 d,4.82 e,4.68 e,4.42 e,3.97,2.76 dep
Annual,Total,Percentage,Portugal,0.26,0.52,0.66,0.75,0.0,0.0,0.0,0.00 p
Annual,Total,Percentage,Romania,8.61,9.54 d,10.38 d,11.25 d,11.49 d,11.92 d,12.20 d,15.86
Annual,Total,Percentage,Serbia,0.05,1.32,1.55,1.73,2.08,2.79,2.55,2.06
Annual,Total,Percentage,Sweden,0.81,0.0,0.0,0.36,0.7,0.56,0.42,0.47
Annual,Total,Percentage,Slovenia,2.39 d,2.50 d,1.98 d,1.39,1.26,1.06,1.61,1.3
Annual,Total,Percentage,Slovakia,4.07,4.26,4.48,4.57,4.58,4.58,4.2,3.18
Annual,Total,Percentage,Türkiye,50.94,49.48,48.87,0.0,0.0,0.0,0.0,0.0
