Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,From 25 to 64 years,Total,Population on 1 January - total,Algeria,13900726.0,14441869.0,15015249.0,15442232.0,16019859.0,16231514.0,16829518.0,17428432.0,18113786.0,18662820.0,19685955.0,19686052.0,20160845.0,:,:
Annual,From 25 to 64 years,Total,Population on 1 January - total,Egypt,28825010.0,30474208.0,31577009.0,31560203.0,32716660.0,33937811.0,35196279.0,36542873.0,37959728.0,38148533.0,39134850.0,40079418.0,41451372.0,42093445.0,42883485.0
Annual,From 25 to 64 years,Total,Population on 1 January - total,Israel,3115840 d,3181830 d,3250630 d,3323000 d,3459360 d,3528140 d,3591570 d,3642450 d,3688450 d,3742450 d,3802380 d,3858650 d,3914487 d,3971894 d,4032145 d
Annual,From 25 to 64 years,Total,Population on 1 January - total,Jordan,2355930 d,2423690 d,2495250 d,2570180 d,2648890 d,2731810 d,2819370 d,2943540 d,3126220 d,3415400 d,3705840 d,4023640 d,4124240 d,4231574 d,:
Annual,From 25 to 64 years,Total,Population on 1 January - total,Lebanon,:,:,1737318 de,:,1801015 de,:,:,1828451 d,:,:,:,:,:,:,:
Annual,From 25 to 64 years,Total,Population on 1 January - total,Morocco,13094419 e,13450641 e,13816659 e,14192477 e,14578097.0,14973516.0,15378734.0,15793753.0,16218571.0,16111809.0,16458544.0,16791728.0,17112020.0,17420753.0,17718609.0
Annual,From 25 to 64 years,Total,Population on 1 January - total,Palestine*,:,:,1200357.0,1251294.0,1305582.0,1359795.0,1414011.0,1468302.0,1522592.0,1576811.0,1631025.0,1685315.0,1739604.0,1801814.0,1872800.0
Annual,From 25 to 64 years,Total,Population on 1 January - total,Tunisia,4585437 d,4706377 d,4902535 d,5037056 d,5172975 d,5315292 d,5455583 d,5578092 d,5783680 d,5855257 dp,5847471 de,5935567 de,5998445 de,6046510 de,:
Annual,65 years or over,Females,Population on 1 January - total,Algeria,865183.0,896375.0,927494.0,927053.0,957516.0,970167.0,999975.0,1031505.0,1075277.0,1117162.0,1214844.0,1215098.0,1271322.0,:,:
Annual,65 years or over,Females,Population on 1 January - total,Egypt,1253619.0,937632 p,1482169.0,1441479.0,1520591.0,1605978.0,1695046.0,1792573.0,1900528.0,1865422.0,1914517.0,1961469.0,1262491 p,1739268.0,1772894.0
