Annual,Number,Oldenburg (Oldenburg),34.0,35.0,13.0,:,71.0,29.0,68.0,:,:,94.0,77.0,213.0,68.0,28 p
Annual,Number,Heidelberg,179.0,170.0,94.0,168.0,126.0,353.0,126.0,93.0,139.0,132.0,158.0,94.0,140.0,117 p
Annual,Number,Paderborn,99.0,329.0,279.0,256.0,129.0,174.0,210.0,131.0,95.0,94.0,51.0,166.0,81.0,8 p
Annual,Number,Würzburg,37.0,76.0,:,:,:,:,137.0,39.0,62.0,111.0,79.0,92.0,:,86 p
Annual,Number,Bremerhaven,11.0,:,7.0,34.0,2.0,:,16.0,:,3.0,:,6.0,2.0,20.0,:
Annual,Number,Heilbronn,69.0,126.0,68.0,58.0,395.0,260.0,115.0,95.0,83.0,279.0,124.0,211.0,204.0,48 p
Annual,Number,Ulm,85.0,137.0,100.0,132.0,93.0,152.0,227.0,133.0,142.0,131.0,123.0,174.0,134.0,94 p
Annual,Number,Pforzheim,21.0,20.0,68.0,80.0,64.0,131.0,161.0,72.0,97.0,102.0,82.0,68.0,38.0,77 p
Annual,Number,Ingolstadt,:,:,:,:,38.0,:,35.0,49.0,39.0,:,:,12.0,:,:
Annual,Number,Reutlingen,15.0,53.0,40.0,15.0,108.0,67.0,33.0,98.0,33.0,43.0,39.0,45.0,14.0,9 p
Annual,Number,Siegen,21.0,:,:,23.0,60.0,45.0,27.0,:,44.0,:,37.0,58.0,22.0,:
Annual,Number,Hildesheim,2.0,18.0,:,42.0,50.0,65.0,4.0,14.0,34.0,13.0,19.0,49.0,17.0,27 p
Annual,Number,Zwickau,:,:,6.0,7.0,2.0,3.0,9.0,7.0,2.0,2.0,12.0,:,1.0,2 p
Annual,Number,Wuppertal,48.0,15.0,135.0,93.0,155.0,148.0,134.0,71.0,89.0,126.0,144.0,198.0,122.0,45 p
Annual,Number,København,365.0,330.0,276.0,367.0,396.0,348.0,440.0,333.0,440.0,438.0,669.0,487.0,706.0,508 p
Annual,Number,Århus,296.0,202.0,252.0,308.0,422.0,283.0,232.0,198.0,261.0,291.0,256.0,351.0,300.0,299 p
Annual,Number,Odense,64.0,51.0,87.0,84.0,56.0,70.0,86.0,80.0,49.0,101.0,133.0,70.0,93.0,58 p
Annual,Number,Aalborg,20.0,31.0,41.0,30.0,22.0,47.0,48.0,40.0,50.0,36.0,39.0,36.0,22.0,123 p
Annual,Number,Non-metropolitan regions in Denmark,:,:,:,:,:,:,:,344.0,443.0,:,:,:,424.0,232 p
Annual,Number,Tallinn,:,12.0,4.0,19.0,23.0,18.0,31.0,38.0,77.0,79.0,129.0,45.0,71.0,39 p
Annual,Number,Non-metropolitan regions in Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,59 p
Annual,Number,Athina,:,:,:,:,:,:,:,:,:,63.0,:,:,180.0,:
Annual,Number,Thessaloniki,:,:,6.0,:,10.0,1.0,6.0,4.0,11.0,:,16.0,21.0,11.0,14 p
Annual,Number,Madrid,372.0,234.0,246.0,518.0,735.0,598.0,354.0,542.0,392.0,342.0,378.0,392.0,464.0,335 p
Annual,Number,Barcelona,726.0,998.0,1461.0,1014.0,1153.0,965.0,1032.0,994.0,919.0,998.0,784.0,782.0,668.0,587 p
Annual,Number,Valencia,375.0,412.0,613.0,583.0,482.0,448.0,581.0,390.0,386.0,405.0,296.0,315.0,303.0,325 p
Annual,Number,Sevilla,3.0,27.0,50.0,15.0,81.0,45.0,44.0,13.0,23.0,25.0,36.0,43.0,31.0,34 p
Annual,Number,Zaragoza,44.0,28.0,118.0,54.0,52.0,48.0,20.0,136.0,66.0,32.0,35.0,64.0,33.0,26 p
