Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,United Kingdom,9.6,11.4,20.2,:
Annual,From 50 to 249 persons employed,Hour,Austria,9.1,12.9,11.8,8.1
Annual,From 50 to 249 persons employed,Hour,Belgium,11.8,17.9,23.9,10.5
Annual,From 50 to 249 persons employed,Hour,Bulgaria,11.8,13.0,13.0,7.1
Annual,From 50 to 249 persons employed,Hour,Cyprus,8.1,11.6,9.5,6.5
Annual,From 50 to 249 persons employed,Hour,Czechia,13.6,9.5,11.8 b,7.9
Annual,From 50 to 249 persons employed,Hour,Germany,11.6,10.4,9.5,8.0
Annual,From 50 to 249 persons employed,Hour,Denmark,12.4,20.6,11.0,11.6
Annual,From 50 to 249 persons employed,Hour,Estonia,8.8,9.2,17.8,10.1
Annual,From 50 to 249 persons employed,Hour,Greece,7.3,4.5,8.0,9.2
Annual,From 50 to 249 persons employed,Hour,Spain,10.1,9.5,10.5,4.8
Annual,From 50 to 249 persons employed,Hour,European Union - 27 countries (from 2020),10.6,11.2,11.1,9.4
Annual,From 50 to 249 persons employed,Hour,European Union - 28 countries (2013-2020),10.4,11.3,11.7,:
Annual,From 50 to 249 persons employed,Hour,Finland,9.5,9.0,7.9,7.7
Annual,From 50 to 249 persons employed,Hour,France,10.1,10.4,11.0,10.9
Annual,From 50 to 249 persons employed,Hour,Croatia,:,8.5,11.4,11.2
Annual,From 50 to 249 persons employed,Hour,Hungary,5.4,4.7,4.2,5.1 b
Annual,From 50 to 249 persons employed,Hour,Ireland,13.6,:,20.2,19.5
Annual,From 50 to 249 persons employed,Hour,Italy,10.3,9.0,10.6,12.9
Annual,From 50 to 249 persons employed,Hour,Lithuania,8.1,13.4,6.6,8.5
Annual,From 50 to 249 persons employed,Hour,Luxembourg,13.9,18.5,22.5,18.4
Annual,From 50 to 249 persons employed,Hour,Latvia,6.2,6.9,9.1,6.1
Annual,From 50 to 249 persons employed,Hour,North Macedonia,:,:,8.2,4.6
Annual,From 50 to 249 persons employed,Hour,Malta,12.3,13.0,17.0,13.8
Annual,From 50 to 249 persons employed,Hour,Netherlands,11.7,14.3,13.0,14.0
Annual,From 50 to 249 persons employed,Hour,Norway,15.9,19.3,9.7,12.7
Annual,From 50 to 249 persons employed,Hour,Poland,8.8,8.6,7.5,6.9
Annual,From 50 to 249 persons employed,Hour,Portugal,11.1,23.7,15.0,12.1
Annual,From 50 to 249 persons employed,Hour,Romania,7.6,10.5,13.5,10.4
Annual,From 50 to 249 persons employed,Hour,Serbia,:,:,:,6.0
Annual,From 50 to 249 persons employed,Hour,Sweden,12.2,11.5,11.0 b,9.5 b
Annual,From 50 to 249 persons employed,Hour,Slovenia,13.8,25.5,11.7,11.8
Annual,From 50 to 249 persons employed,Hour,Slovakia,12.1,17.2,11.2,9.5
Annual,From 50 to 249 persons employed,Hour,United Kingdom,9.0,11.6,15.5,:
Annual,250 persons employed or more,Hour,Austria,12.2,11.2,12.3,7.5
Annual,250 persons employed or more,Hour,Belgium,18.1,22.4,20.7,13.0
Annual,250 persons employed or more,Hour,Bulgaria,8.8,10.8,13.9,9.6
Annual,250 persons employed or more,Hour,Cyprus,10.6,17.2,12.2,16.4
Annual,250 persons employed or more,Hour,Czechia,17.4,11.3,13.0 b,9.7
Annual,250 persons employed or more,Hour,Germany,11.3,11.2,10.2,18.7
Annual,250 persons employed or more,Hour,Denmark,10.7,13.8,17.7,10.5
Annual,250 persons employed or more,Hour,Estonia,8.3,13.7,23.6,8.2
Annual,250 persons employed or more,Hour,Greece,6.9,6.8,14.4,4.4
Annual,250 persons employed or more,Hour,Spain,14.5,13.7,15.0,7.7
Annual,250 persons employed or more,Hour,European Union - 27 countries (from 2020),13.7,13.8,13.6,14.1
Annual,250 persons employed or more,Hour,European Union - 28 countries (2013-2020),12.5,12.8,12.3,:
Annual,250 persons employed or more,Hour,Finland,12.3,11.6,9.7,7.0
Annual,250 persons employed or more,Hour,France,16.8,16.6,15.9,12.8
Annual,250 persons employed or more,Hour,Croatia,:,7.6,10.3,8.8
Annual,250 persons employed or more,Hour,Hungary,10.3,11.3,9.7,9.8 b
Annual,250 persons employed or more,Hour,Ireland,16.6,:,22.4,17.7
Annual,250 persons employed or more,Hour,Italy,13.9,15.0,14.8,15.9
Annual,250 persons employed or more,Hour,Lithuania,9.3,8.1,7.7,8.3
Annual,250 persons employed or more,Hour,Luxembourg,24.2,26.1,27.5,16.3
Annual,250 persons employed or more,Hour,Latvia,7.4,7.5,9.0,6.6
Annual,250 persons employed or more,Hour,North Macedonia,:,:,7.8,10.4
Annual,250 persons employed or more,Hour,Malta,20.6,32.1,27.7,14.6
Annual,250 persons employed or more,Hour,Netherlands,16.1,16.3,14.5,19.5
Annual,250 persons employed or more,Hour,Norway,17.4,13.0,11.7,14.4
Annual,250 persons employed or more,Hour,Poland,11.6,13.6,15.6,9.5
Annual,250 persons employed or more,Hour,Portugal,12.0,24.3,21.1,14.0
Annual,250 persons employed or more,Hour,Romania,10.0,15.0,15.5,15.2
Annual,250 persons employed or more,Hour,Serbia,:,:,:,7.7
Annual,250 persons employed or more,Hour,Sweden,20.4,9.9,12.0 b,10.4 b
Annual,250 persons employed or more,Hour,Slovenia,17.8,20.3,19.8,13.0
Annual,250 persons employed or more,Hour,Slovakia,20.5,16.9,13.8,11.0
Annual,250 persons employed or more,Hour,United Kingdom,7.1,8.2,7.2,:
Annual,Total,Hour,Austria,10.2,11.2,11.1,7.8
Annual,Total,Hour,Belgium,15.8,19.5,20.4,11.7
Annual,Total,Hour,Bulgaria,10.0,11.8,13.7,8.8
Annual,Total,Hour,Cyprus,9.3,13.7,10.3,10.5
Annual,Total,Hour,Czechia,15.5,10.4,11.9 b,8.8
Annual,Total,Hour,Germany,11.5,10.7,9.9,14.6
Annual,Total,Hour,Denmark,11.3,19.5,14.2,10.6
Annual,Total,Hour,Estonia,8.7,10.6,17.7,8.9
Annual,Total,Hour,Greece,7.1,6.5,12.5,5.5
Annual,Total,Hour,Spain,12.9,11.4,12.3,6.5
Annual,Total,Hour,European Union - 27 countries (from 2020),12.6,12.6,12.4,12.3
Annual,Total,Hour,European Union - 28 countries (2013-2020),11.8,12.1,12.1,:
Annual,Total,Hour,Finland,11.4,10.8,9.1,7.4
Annual,Total,Hour,France,14.0,14.0,13.4,12.1
Annual,Total,Hour,Croatia,:,8.9,11.0,9.8
Annual,Total,Hour,Hungary,8.5,8.7,8.0,10.6 b
Annual,Total,Hour,Ireland,14.7,:,24.7,17.9
Annual,Total,Hour,Italy,12.6,11.8,12.6,15.0
Annual,Total,Hour,Lithuania,9.0,10.5,7.2,8.1
Annual,Total,Hour,Luxembourg,19.8,22.5,24.0,18.5
Annual,Total,Hour,Latvia,7.2,7.3,8.9,6.6
Annual,Total,Hour,North Macedonia,:,:,8.7,7.7
Annual,Total,Hour,Malta,18.4,22.4,21.1,13.6
Annual,Total,Hour,Netherlands,14.0,15.5,13.9,17.3
Annual,Total,Hour,Norway,15.5,14.2,11.0,13.7
Annual,Total,Hour,Poland,10.8,12.2,12.9,8.8
Annual,Total,Hour,Portugal,12.1,23.5,17.9,12.9
Annual,Total,Hour,Romania,9.5,13.9,14.9,13.9
Annual,Total,Hour,Serbia,:,:,:,7.5
Annual,Total,Hour,Sweden,17.0,12.5,11.5 b,10.1 b
Annual,Total,Hour,Slovenia,16.9,22.8,15.7,12.5
Annual,Total,Hour,Slovakia,17.7,16.2,12.7,10.5
Annual,Total,Hour,United Kingdom,7.9,9.2,10.6,:
