Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Cyprus,-1.0,3.9,-4.2,9.9,0.5,0.9,-3.4,10.5,-0.6,7.7 p,-0.5 p,10.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Czechia,-5.7,-4.0,0.1,-3.1,-5.3,-6.3,-0.9,-2.4,-5.6,-3.4 p,0.1 p,-1.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Germany,-2.1 p,-0.3 p,0.3 p,-3.1 p,-5.3 p,-2.2 p,-1.6 p,-3.1 p,-3.3 p,-2.7 p,-1.4 p,-3.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Denmark,2.8,3.3,4.3,3.4,2.8,4.3,4.2,3.9,1.0,5.4 p,4.9 p,2.9 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Euro area - 19 countries  (2015-2022),-2.9,-3.6,-2.1,-3.6,-4.5,-4.1,-3.2,-3.3,-3.8,-4.0,-2.9,-2.4
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Euro area – 20 countries (from 2023),-2.9,-3.6,-2.1,-3.6,-4.5,-4.1,-3.2,-3.2,-3.8,-4.0,-2.9,-2.3
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Estonia,-1.1,-3.6,2.2,-0.1,-2.9,-4.2,0.4,-2.0,-5.5,-4.8 p,-1.9 p,-0.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Greece,-3.7,-9.4,1.4,-2.2,-0.4,-10.0,1.2,2.2,-0.1,-6.3 p,4.7 p,5.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Spain,-8.3,-2.0,-8.4,2.4,-9.8,-1.0,-8.6,2.3,-6.4,-1.7 p,-6.8 p,2.4 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",European Union - 27 countries (from 2020),-3.2,-3.2,-1.6,-3.2,-4.7,-3.8,-2.9,-3.1,-4.2,-3.7,-2.7,-2.5
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Finland,-0.7,0.1,4.2,-3.7,-1.2,-0.6,-0.7,-5.8,-4.9,-2.5 p,-3.1 p,-8.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",France,-1.3,-6.1,-4.2,-5.6,-3.2,-5.8,-6.0,-6.3,-4.0,-6.3 p,-6.4 p,-7.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Croatia,-4.8,-0.2,2.7,4.6,-7.1,-1.4,0.8,4.3,-8.1,-1.2 p,-2.7 p,3.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Hungary,-10.7,-3.0,-1.6,-5.6,-13.1,-10.2,-3.0,-3.9,-10.0,-5.9 p,-2.3 p,-3.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Ireland,4.0,-0.2,1.3,1.4,3.9,0.5,1.2,-0.2,4.4,0.3 p,3.1 p,11.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Iceland,-8.4,-0.4,-4.1,-4.9,-6.1,-0.2,-3.3,-0.5,-3.9,0.3 p,-7.1 p,-3.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Italy,-6.0,-11.6,-5.7,-9.0,-6.3,-11.0,-5.0,-6.3,-6.6,-8.4 p,-3.2 p,-2.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Lithuania,-3.0,0.6,4.7,0.5,-8.0,-1.3,3.9,1.0,-6.2,-1.0 p,2.4 p,-0.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Luxembourg,-0.1,2.4,3.2,-0.6,-4.0,0.4,2.5,-1.0,-4.8,3.0 p,2.6 p,-0.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Latvia,-13.7,-2.2,-1.9,-0.4,-14.3,-1.2,3.0,-1.7,-9.0,1.0 p,3.2 p,1.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Malta,-6.0,-8.5,-1.8,-3.7,-7.2,-5.3,-0.3,-1.4,-11.3,-2.3 p,0.7 p,0.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Netherlands,-1.3,2.7,1.2,-2.8,-0.9,1.1 p,0.0 p,-2.2 p,-0.3 p,1.1 p,-0.3 p,-1.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Norway,16.8,23.7,26.1,31.2,21.0,22.4,19.4,11.9,11.9,13.4,15.4,:
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Poland,-5.1,0.4,-0.7,-2.5,-9.5,-0.9,-3.5,-5.4,-10.5,-0.4 p,-7.3 p,-6.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Portugal,-3.7,-0.7,1.6,6.4,-8.3,1.3,1.0,7.3,-4.6,0.1 p,2.2 p,6.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Romania,-9.3,-9.0,-2.3,-5.5,-8.7,-8.5,-5.0,-4.9,-7.9,-11.1 p,-4.9 p,-7.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Sweden,-1.4,0.3,5.3,0.7,-2.2,-1.2,1.7,-0.5,-3.2,-1.7 p,1.2 p,-1.9 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Slovenia,-3.2,-3.1,-3.5,-1.3,-4.2,-3.5,-2.6,-1.3,-2.9,-1.3 p,-2.3 p,-0.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Slovakia,-8.2,-1.3,-0.8,0.0,-4.5,-4.1,-3.3,-2.6,-10.5,-3.7 p,-5.0 p,0.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Austria,-2.7,-3.3,-0.6,-4.8,-4.5,-2.2,-2.1,-3.6,-2.4,-3.0 p,-4.0 p,-5.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Belgium,-3.2,-1.9,-3.9,-4.8,-3.7,-5.0 p,-3.8 p,-3.7 p,-4.3 p,-3.3 p,-4.9 p,-4.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Bulgaria,-10.8,-3.4,-3.4,-4.9,0.2,-3.1,-4.1,-4.4,3.1,-5.4 p,-3.5 p,-8.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Switzerland,0.8,1.2,1.4,1.3,1.1,0.6,0.3,0.0,-0.1,-0.1 p,0.1 p,0.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Cyprus,3.0,2.1,-0.4,4.6,4.0,-0.5,0.4,5.3,2.8,5.9 p,3.1 p,4.9 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Czechia,-3.8,-2.1,-2.6,-4.3,-3.2,-4.2,-3.7,-3.8,-3.4,-2.0 p,-2.6 p,-2.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Germany,-1.6 p,-0.5 p,-0.8 p,-2.5 p,-4.7 p,-2.5 p,-2.6 p,-2.4 p,-2.8 p,-3.1 p,-2.4 p,-2.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Denmark,4.0,3.0,3.4,3.4,3.8,3.9,3.4,3.6,2.8,4.8 p,4.1 p,2.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Euro area - 19 countries  (2015-2022),-3.3,-2.6,-2.5,-3.9,-4.9,-3.2,-3.4,-3.6,-4.2,-3.1,-3.1,-2.6
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Euro area – 20 countries (from 2023),-3.3,-2.6,-2.4,-3.8,-4.9,-3.2,-3.3,-3.6,-4.2,-3.1,-3.1,-2.6
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Estonia,-0.2,-1.7,1.0,-1.5,-2.0,-2.4,-0.8,-3.4,-4.8,-2.9 p,-3.1 p,-1.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Greece,-4.0,-2.5,-1.9,-3.3,-2.1,-2.4,-1.8,-0.7,-0.4,0.7,1.5,2.2
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Spain,-4.2,-3.4,-4.4,-4.8,-5.7,-2.6,-4.5,-4.0,-3.0,-3.0 p,-3.2 p,-3.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",European Union - 27 countries (from 2020),-3.1,-2.4,-2.2,-3.6,-4.6,-3.0,-3.3,-3.6,-4.1,-3.0,-3.3,-2.9
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Finland,0.0,-1.0,1.4,-0.9,-0.3,-1.6,-3.7,-3.2,-3.6,-3.6 p,-5.3 p,-5.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",France,-4.3,-4.8,-3.7,-4.7,-5.7,-5.1,-5.2,-5.6,-6.0,-5.8 p,-5.7 p,-6.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Croatia,0.7,1.5,1.2,-0.4,-1.1,-0.3,0.2,-0.7,-2.2,-0.6 p,-3.3 p,-2.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Hungary,-5.7,-3.9,-4.6,-7.4,-8.7,-9.5,-6.1,-5.7,-5.8,-5.5 p,-5.1 p,-4.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Ireland,0.9,1.4,1.3,2.9,1.1,2.1,1.1,1.4,1.4,1.9,2.8,14.5
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Lithuania,1.3,0.6,0.5,-0.9,-2.8,-1.8,-0.4,-0.1,-0.3,-1.0 p,-1.4 p,-1.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Luxembourg,2.6,1.5,0.6,-0.1,-1.0,-0.7,-0.2,-0.4,-1.5,1.5 p,0.0 p,-0.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Latvia,-5.7,-3.9,-5.5,-3.2,-5.7,-3.1,-1.1,-4.5,-1.3,-1.2 p,-1.3 p,-1.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Malta,-5.9,-6.4,-3.3,-4.7,-5.2,-3.5,-3.4,-2.5,-6.8,-1.2 p,-2.4 p,-2.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Netherlands,-0.7,0.1,1.2,-1.0,-0.5,-0.9 p,-0.2 p,-0.4 p,0.0 p,-0.6 p,-0.6 p,0.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Poland,-2.3,-1.1,-2.0,-3.3,-6.2,-2.6,-4.6,-6.4,-7.0,-1.9 p,-8.3 p,-6.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Portugal,-0.8,0.9,1.7,1.7,-5.3,2.8,1.1,2.4,-1.3,1.5 p,2.5 p,2.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Romania,-7.6,-7.0,-4.3,-7.2,-7.0,-6.4,-7.1,-6.3,-6.4,-8.5 p,-7.3 p,-8.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Sweden,0.7,1.1,2.4,0.7,-0.1,-0.4,-1.0,-0.6,-1.3,-0.9,-1.4,-2.0
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Slovenia,-3.7,-2.4,-3.0,-3.1,-3.4,-3.2,-2.1,-2.5,-1.6,-0.7 p,-1.9 p,-2.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (SCA)",Slovakia,-5.5,-2.0,-1.1,-1.7,-1.9,-4.9,-3.6,-5.0,-7.3,-4.5 p,-5.3 p,-1.7 p
