Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Employed persons,Percentage of disposable income,United Kingdom,:,81.2 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Austria,:,107.9 i,105.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Belgium,:,101.7 i,86.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Bulgaria,:,92.5 i,100.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Cyprus,:,80.7 i,75.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Czechia,:,71.6 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Germany,:,94.3 i,91.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Denmark,:,108.7 i,86.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,86.5 i,87.4 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Euro area – 20 countries (from 2023),:,86.7 i,87.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Estonia,:,162.3 i,100 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Greece,:,107.6 i,102.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Spain,:,69.4 i,67.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,105.5 i,88.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,European Union - 27 countries (from 2020),:,91.9 i,88.3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Finland,:,103.1 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,France,:,74 i,80.6 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Croatia,:,129.5 i,110.5 u
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Hungary,:,91.6 i,68.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Ireland,:,101.8 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Lithuania,:,101.7 i,90.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Luxembourg,:,60.3 i,79.2 u
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Latvia,:,69.7 i,71.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Malta,:,112.5 i,95.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Netherlands,:,:,117 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Poland,:,88 i,72.4 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Portugal,115.2 i,84.6 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Romania,:,246.5 i,177.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Sweden,:,109.8 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Slovenia,:,174.3 i,164.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Slovakia,:,74.1 i,70.6 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,United Kingdom,:,160.8 u,:
Annual,Not employed persons,Percentage of disposable income,Austria,:,83.7 i,80.2 i
Annual,Not employed persons,Percentage of disposable income,Belgium,:,93.3 i,80.2 i
Annual,Not employed persons,Percentage of disposable income,Bulgaria,:,84.6 i,79.9 i
Annual,Not employed persons,Percentage of disposable income,Cyprus,:,79.2 i,68.9 i
Annual,Not employed persons,Percentage of disposable income,Czechia,:,74.4 i,:
Annual,Not employed persons,Percentage of disposable income,Germany,:,90.5 i,89.4 i
Annual,Not employed persons,Percentage of disposable income,Denmark,:,87.7 i,76.6 i
Annual,Not employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,80.3 i,78.7 i
Annual,Not employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,80.7 i,78.9 i
Annual,Not employed persons,Percentage of disposable income,Estonia,:,110.9 i,67.6 i
Annual,Not employed persons,Percentage of disposable income,Greece,:,100.8 i,81 i
Annual,Not employed persons,Percentage of disposable income,Spain,:,77 i,62.6 i
Annual,Not employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,83.2 i,77.9 i
Annual,Not employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,80.6 i,77.9 i
Annual,Not employed persons,Percentage of disposable income,Finland,:,81 i,:
Annual,Not employed persons,Percentage of disposable income,France,:,63 i,75.1 i
Annual,Not employed persons,Percentage of disposable income,Croatia,:,103.9 i,89.4 i
Annual,Not employed persons,Percentage of disposable income,Hungary,:,84.7 i,79.4 i
Annual,Not employed persons,Percentage of disposable income,Ireland,:,79.1 i,:
Annual,Not employed persons,Percentage of disposable income,Lithuania,:,73.5 i,65.2 i
Annual,Not employed persons,Percentage of disposable income,Luxembourg,:,70.8 i,72.1 i
Annual,Not employed persons,Percentage of disposable income,Latvia,:,73.7 i,64 i
Annual,Not employed persons,Percentage of disposable income,Malta,:,96 i,82.1 i
Annual,Not employed persons,Percentage of disposable income,Netherlands,:,:,85.8 i
Annual,Not employed persons,Percentage of disposable income,Poland,:,69.2 i,52.9 i
Annual,Not employed persons,Percentage of disposable income,Portugal,82.1 i,79.4 i,:
Annual,Not employed persons,Percentage of disposable income,Romania,:,95.6 i,101.1 i
Annual,Not employed persons,Percentage of disposable income,Sweden,:,80.8 i,:
Annual,Not employed persons,Percentage of disposable income,Slovenia,:,85.7 i,83.3 i
Annual,Not employed persons,Percentage of disposable income,Slovakia,:,73.8 i,62.6 i
Annual,Not employed persons,Percentage of disposable income,United Kingdom,:,99.8 i,:
Annual,Retired persons,Percentage of disposable income,Austria,:,81.2 i,76.8 i
Annual,Retired persons,Percentage of disposable income,Belgium,:,95.1 i,79 i
Annual,Retired persons,Percentage of disposable income,Bulgaria,:,80 i,77.8 i
Annual,Retired persons,Percentage of disposable income,Cyprus,:,78.1 i,68.6 i
Annual,Retired persons,Percentage of disposable income,Czechia,:,73.9 i,:
Annual,Retired persons,Percentage of disposable income,Germany,:,88 i,87.9 i
Annual,Retired persons,Percentage of disposable income,Denmark,:,78.7 i,69.8 i
Annual,Retired persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,77.6 i,77.2 i
Annual,Retired persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78 i,77.3 i
Annual,Retired persons,Percentage of disposable income,Estonia,:,98.7 i,63.2 i
Annual,Retired persons,Percentage of disposable income,Greece,:,93.6 i,74.7 i
Annual,Retired persons,Percentage of disposable income,Spain,:,71.7 i,58.8 i
Annual,Retired persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.7 i,76.2 i
Annual,Retired persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,77.8 i,76.2 i
Annual,Retired persons,Percentage of disposable income,Finland,:,75.2 i,:
Annual,Retired persons,Percentage of disposable income,France,:,63.5 i,75.6 i
Annual,Retired persons,Percentage of disposable income,Croatia,:,100.7 i,87.4 i
Annual,Retired persons,Percentage of disposable income,Hungary,:,83 i,79.9 i
Annual,Retired persons,Percentage of disposable income,Ireland,:,68.4 i,:
Annual,Retired persons,Percentage of disposable income,Lithuania,:,68.6 i,61.5 i
Annual,Retired persons,Percentage of disposable income,Luxembourg,:,73.6 i,69.6 i
Annual,Retired persons,Percentage of disposable income,Latvia,:,74.1 i,67 i
Annual,Retired persons,Percentage of disposable income,Malta,:,90.1 i,77.1 i
Annual,Retired persons,Percentage of disposable income,Poland,:,64.5 i,50.9 i
Annual,Retired persons,Percentage of disposable income,Portugal,76.7 i,76.6 i,:
Annual,Retired persons,Percentage of disposable income,Romania,:,91.2 i,97.6 i
Annual,Retired persons,Percentage of disposable income,Sweden,:,76.2 i,:
Annual,Retired persons,Percentage of disposable income,Slovenia,:,76.6 i,75.2 i
Annual,Retired persons,Percentage of disposable income,Slovakia,:,72.1 i,60.7 i
Annual,Retired persons,Percentage of disposable income,United Kingdom,:,92.8 i,:
Annual,Employees,Percentage of disposable income,Austria,:,78.3 i,76.4 i
Annual,Employees,Percentage of disposable income,Belgium,:,72.1 i,59.2 i
Annual,Employees,Percentage of disposable income,Bulgaria,:,74.5 i,59.7 i
Annual,Employees,Percentage of disposable income,Cyprus,:,91.9 i,83.1 i
Annual,Employees,Percentage of disposable income,Czechia,:,64.3 i,:
Annual,Employees,Percentage of disposable income,Germany,:,77.3 i,72.9 i
Annual,Employees,Percentage of disposable income,Denmark,:,66.7 i,57.6 i
Annual,Employees,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,76.7 i,68.7 i
Annual,Employees,Percentage of disposable income,Euro area – 20 countries (from 2023),:,76.8 i,68.7 i
Annual,Employees,Percentage of disposable income,Estonia,:,71.2 i,54.8 i
Annual,Employees,Percentage of disposable income,Greece,:,112.4 i,94.5 i
Annual,Employees,Percentage of disposable income,Spain,:,78.8 i,68.6 i
Annual,Employees,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,76.7 i,67.7 i
Annual,Employees,Percentage of disposable income,European Union - 27 countries (from 2020),:,75.9 i,67.7 i
Annual,Employees,Percentage of disposable income,Finland,:,80.7 i,:
Annual,Employees,Percentage of disposable income,France,:,71.5 i,64.9 i
Annual,Employees,Percentage of disposable income,Croatia,:,88.3 i,75.6 i
Annual,Employees,Percentage of disposable income,Hungary,:,84.3 i,74.5 i
Annual,Employees,Percentage of disposable income,Ireland,:,71.1 i,:
Annual,Employees,Percentage of disposable income,Lithuania,:,62.9 i,50.5 i
Annual,Employees,Percentage of disposable income,Luxembourg,:,73.7 i,66.2 i
Annual,Employees,Percentage of disposable income,Latvia,:,66.9 i,67.1 i
Annual,Employees,Percentage of disposable income,Malta,:,85.2 i,75.6 i
Annual,Employees,Percentage of disposable income,Netherlands,:,:,54.7 i
Annual,Employees,Percentage of disposable income,Poland,:,66.5 i,47.7 i
Annual,Employees,Percentage of disposable income,Portugal,96.2 i,83 i,:
Annual,Employees,Percentage of disposable income,Romania,:,88.5 i,87.1 i
Annual,Employees,Percentage of disposable income,Sweden,:,70 i,:
Annual,Employees,Percentage of disposable income,Slovenia,:,78.8 i,79 i
Annual,Employees,Percentage of disposable income,Slovakia,:,77 i,69.9 i
Annual,Employees,Percentage of disposable income,United Kingdom,:,80.6 i,:
Annual,Self-employed persons,Percentage of disposable income,Austria,:,77.9 i,62.1 i
Annual,Self-employed persons,Percentage of disposable income,Belgium,:,84.1 i,:
Annual,Self-employed persons,Percentage of disposable income,Bulgaria,:,58.5 i,55 i
Annual,Self-employed persons,Percentage of disposable income,Cyprus,:,82.7 i,:
Annual,Self-employed persons,Percentage of disposable income,Czechia,:,55.5 i,:
Annual,Self-employed persons,Percentage of disposable income,Germany,:,59.9 i,57.2 i
Annual,Self-employed persons,Percentage of disposable income,Denmark,:,46.7 i,:
Annual,Self-employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,77.5 i,58.8 i
Annual,Self-employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,77.7 i,59.4 i
Annual,Self-employed persons,Percentage of disposable income,Estonia,:,88.1 i,:
Annual,Self-employed persons,Percentage of disposable income,Greece,:,122.3 i,:
Annual,Self-employed persons,Percentage of disposable income,Spain,:,91.3 i,:
Annual,Self-employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79 i,59 i
Annual,Self-employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,77.4 i,59 i
Annual,Self-employed persons,Percentage of disposable income,Finland,:,74.6 i,:
Annual,Self-employed persons,Percentage of disposable income,France,:,62.9 i,:
Annual,Self-employed persons,Percentage of disposable income,Croatia,:,93.6 i,70.1 i
Annual,Self-employed persons,Percentage of disposable income,Hungary,:,72.6 i,:
Annual,Self-employed persons,Percentage of disposable income,Ireland,:,70.2 i,:
Annual,Self-employed persons,Percentage of disposable income,Lithuania,:,41.8 i,:
Annual,Self-employed persons,Percentage of disposable income,Luxembourg,:,71 i,:
Annual,Self-employed persons,Percentage of disposable income,Latvia,:,68.3 i,65.5 i
Annual,Self-employed persons,Percentage of disposable income,Malta,:,90.9 i,:
Annual,Self-employed persons,Percentage of disposable income,Poland,:,67.4 i,:
Annual,Self-employed persons,Percentage of disposable income,Portugal,97.3 i,85.2 i,:
Annual,Self-employed persons,Percentage of disposable income,Romania,:,109.9 i,:
Annual,Self-employed persons,Percentage of disposable income,Sweden,:,66.5 i,:
Annual,Self-employed persons,Percentage of disposable income,Slovenia,:,101.8 i,85.1 i
Annual,Self-employed persons,Percentage of disposable income,Slovakia,:,86.8 i,:
Annual,Self-employed persons,Percentage of disposable income,United Kingdom,:,85.7 i,:
Annual,Total,Percentage of disposable income,Austria,89.1 i,80.1 i,76.9 i
Annual,Total,Percentage of disposable income,Belgium,89.3 i,81.8 i,67 i
Annual,Total,Percentage of disposable income,Bulgaria,:,72.6 i,59.2 i
Annual,Total,Percentage of disposable income,Cyprus,93 i,88.1 i,76.9 i
Annual,Total,Percentage of disposable income,Czechia,: u,66.9 i,70.1 i
Annual,Total,Percentage of disposable income,Germany,82.9 i,81.2 i,77.7 i
Annual,Total,Percentage of disposable income,Denmark,95.1 i,70.5 i,63.7 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.4 i,73.2 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78.6 i,73.3 i
Annual,Total,Percentage of disposable income,Estonia,67.2 i,66.6 i,58 i
Annual,Total,Percentage of disposable income,Greece,116.5 i,110.2 i,90.7 i
Annual,Total,Percentage of disposable income,Spain,84.4 i,80.4 i,67.2 i
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.2 i,71.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,78 i,71.6 i
Annual,Total,Percentage of disposable income,Finland,79.3 i,81.3 i,:
Annual,Total,Percentage of disposable income,France,71.1 i,67.5 i,70.2 i
Annual,Total,Percentage of disposable income,Croatia,91.9 i,93.9 i,79.2 i
Annual,Total,Percentage of disposable income,Hungary,82 i,84.6 i,77.5 i
Annual,Total,Percentage of disposable income,Ireland,82.5 i,74.5 i,:
Annual,Total,Percentage of disposable income,Italy,77.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,75.3 i,62.6 i,53.7 i
Annual,Total,Percentage of disposable income,Luxembourg,70.5 i,73.3 i,68.6 i
Annual,Total,Percentage of disposable income,Latvia,87.8 i,72.4 i,69.3 i
Annual,Total,Percentage of disposable income,Malta,92.9 i,85.3 i,72.9 i
Annual,Total,Percentage of disposable income,Netherlands,:,79.4 i,73 i
Annual,Total,Percentage of disposable income,Poland,73.5 i,68.5 i,49.8 i
Annual,Total,Percentage of disposable income,Portugal,91.8 i,84.1 i,:
Annual,Total,Percentage of disposable income,Romania,98.5 i,95 i,88.5 i
Annual,Total,Percentage of disposable income,Sweden,82.5 i,74.9 i,:
Annual,Total,Percentage of disposable income,Slovenia,82.7 i,80.4 i,78.5 i
Annual,Total,Percentage of disposable income,Slovakia,70.8 i,81.3 i,71.7 i
Annual,Total,Percentage of disposable income,United Kingdom,: u,86.1 i,:
Annual,Unemployed persons,Percentage of disposable income,Austria,:,93 i,99.3 i
Annual,Unemployed persons,Percentage of disposable income,Belgium,:,75.2 i,76.3 i
Annual,Unemployed persons,Percentage of disposable income,Bulgaria,:,120.2 i,85.3 i
Annual,Unemployed persons,Percentage of disposable income,Cyprus,:,82.9 i,65.2 i
Annual,Unemployed persons,Percentage of disposable income,Czechia,:,79.2 i,:
Annual,Unemployed persons,Percentage of disposable income,Germany,:,96.3 i,89.2 i
Annual,Unemployed persons,Percentage of disposable income,Denmark,:,99.3 i,86.1 i
Annual,Unemployed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,95 i,81.8 i
Annual,Unemployed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,95.5 i,82.1 i
Annual,Unemployed persons,Percentage of disposable income,Estonia,:,111 u,64 i
Annual,Unemployed persons,Percentage of disposable income,Greece,:,212.9 i,130.2 i
Annual,Unemployed persons,Percentage of disposable income,Spain,:,99.7 i,69.9 i
Annual,Unemployed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,96.9 i,81.6 i
Annual,Unemployed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,93.9 i,81.6 i
Annual,Unemployed persons,Percentage of disposable income,Finland,:,83.5 i,:
Annual,Unemployed persons,Percentage of disposable income,France,:,70.9 i,77 i
Annual,Unemployed persons,Percentage of disposable income,Croatia,:,132.4 i,107.3 i
Annual,Unemployed persons,Percentage of disposable income,Hungary,:,95.2 i,83.6 i
Annual,Unemployed persons,Percentage of disposable income,Ireland,:,76.5 i,:
Annual,Unemployed persons,Percentage of disposable income,Lithuania,:,82 i,64.3 i
Annual,Unemployed persons,Percentage of disposable income,Luxembourg,:,123.2 i,72.8 u
Annual,Unemployed persons,Percentage of disposable income,Latvia,:,83.8 i,54.6 u
Annual,Unemployed persons,Percentage of disposable income,Malta,:,106.8 u,113.6 u
Annual,Unemployed persons,Percentage of disposable income,Poland,:,61.6 i,48 i
Annual,Unemployed persons,Percentage of disposable income,Portugal,113.5 i,93.2 u,:
Annual,Unemployed persons,Percentage of disposable income,Romania,:,121.1 i,137.4 u
Annual,Unemployed persons,Percentage of disposable income,Sweden,:,64 i,:
Annual,Unemployed persons,Percentage of disposable income,Slovenia,:,125.9 i,111.3 i
Annual,Unemployed persons,Percentage of disposable income,Slovakia,:,83.9 i,94.8 u
Annual,Unemployed persons,Percentage of disposable income,United Kingdom,:,146.2 i,:
