Time frequency,Unit of measure,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Age class,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,815.19,824.03,799.82,803.38,781.76,782.2,762.64,762.22,735.48,735.53,745.68
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,668.79,688.65,670.89,644.43,669.76,649.92,649.15,637.67,629.4,668.46,656.06
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,1198.91,1106.81 d,1106.63 d,1109.9,1178.37,1088.92,1133.35,1081.41,1054.51,1143.44,1261.35
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,1236.92 d,1252.5 d,1214.13 d,1180.39,1230.82,1146.58,1187.68,1164.06,1145.29,1229.04,1329.45
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Ireland,868.29,870.51,877.65,843.82,855.24,839.91,803.2,784.54,744.35,761.83,774.27
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Iceland,813.59,804.78,825.89,760.89,823.95,811.93,788.84,774.26,759.53,754.81,742.75
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Italy,746.99,754.92,717.71,698.82,746.62,692.46,717.9,688.71,685.24,777.3,739.23
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Liechtenstein,787.62,706.05,757.54,890.7,775.7,734.34,680.65,714.76,684.49,801.97,656.07
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Lithuania,1142.83,1132.07,1135.15,1086.05,1130.07,1090.63,1078.44,1047.8,995.86,1110.54,1249.5
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Luxembourg,850.56,829.34,798.99,731.28,784.99,738.83,758.77,727.91,705.29,739.99,702.69
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Latvia,1215.8,1234.75,1208.09,1145.66,1161.11,1135.76,1129.26,1126.37,1076.66,1110.07,1328.36
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Malta,872.15,880.75,818.35,785.05,798.39,766.68,763.73,762.45,735.5,773.83,785.89
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Netherlands,858.19,869.79,859.33,826.17,855.79,848.83,842.35,843.49,814.63,873.85,869.5
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Norway,829.19,845.94,798.61,770.62,773.69,773.04,766.93,752.09,733.06,714.48,729.19
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Poland,1028.23,1030.52,1019.55,966.02,991.37,941.07,965.07,971.0,941.54,1064.8,1165.73
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Portugal,815.6,839.03,812.15,783.8,806.65,797.31,777.57,784.79,765.76,828.83,788.11
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Romania,1306.74,1312.93,1241.94,1234.2,1243.22,1190.85,1192.73,1179.16,1137.83,1264.02,1482.57
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Serbia,1549.47,1509.13,1439.23,1423.25,1431.96,1362.7,1393.47,1339.85,1309.06,1455.12,1728.28
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Sweden,818.31,834.22,813.98,786.78,790.26,782.81,784.05,770.75,727.49,786.83,721.12
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Slovenia,880.06,884.04,858.84,821.9,839.19,810.72,813.38,787.1,773.27,893.79,824.07
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Slovakia,1188.85,1186.16,1143.25,1085.84,1127.92,1071.45,1081.0,1059.76,1005.66,1092.38,1352.63
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Türkiye,887.42 d,875.56 d,931.02 d,965.82 d,963.82 d,981.14 d,973.51 d,936.1 d,911.57 d,1038.02 d,1168.21 d
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,United Kingdom,845.25 d,873.0,858.97,838.69,869.0,853.09,848.36,835.8,:,:,:
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Austria,1249.91,1257.76,1242.68,1182.34,1222.55,1164.47,1160.54,1160.6,1128.2,1229.83,1214.08
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Belgium,1284.74,1322.67,1298.78,1205.63,1229.07,1194.02,1185.69,1163.21,1118.76,1293.97,1151.38
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Bulgaria,2076.46,2103.79,1992.87,2040.46,2060.48,2007.48,2026.55,1998.18,1976.84,2317.35,2738.9
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Switzerland,1087.15,1086.75,1076.14,1034.28,1065.0,989.21,995.16,967.72,949.89,1074.38,969.73
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Cyprus,1160.28,1221.25,1140.4,1139.73,1231.28,1126.29,1202.88,1100.37,1124.02,1137.78,1246.23
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Czechia,1680.05,1656.31,1644.34,1564.31,1603.85,1529.6,1539.38,1514.4,1487.71,1730.76,1867.8
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Germany,1322.71,1316.86,1325.48,1260.57,1302.22,1259.47,1260.1,1262.38,1218.89,1258.6,1291.73
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Denmark,1342.07,1316.59,1300.13,1243.15,1245.39,1218.88,1211.68,1238.38,1176.7,1177.0,1193.94
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Estonia,1882.65,1897.11,1795.06,1805.84,1727.49,1701.44,1672.38,1665.93,1581.89,1602.71,1880.19
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Greece,1237.81,1251.06,1169.0,1154.06,1188.09,1134.03,1160.57,1108.29,1117.25,1162.22,1298.76
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Spain,1155.59,1162.2,1095.86,1078.41,1119.31,1068.04,1070.6,1058.56,1015.93,1179.61,1072.44
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,European Union - 27 countries (from 2020),1351.6,1354.39,1315.75,1269.12,1303.06,1257.96,1259.49,1244.85,1211.43,1336.65,1348.39
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Finland,1338.42,1319.31,1283.12,1261.36,1227.32,1245.15,1209.3,1192.64,1157.61,1158.77,1179.65
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,France,1156.97,1170.39,1138.41,1086.1,1118.85,1091.3,1080.21,1067.79,1049.63,1135.08,1112.77
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Croatia,1815.38,1751.88 d,1729.94 d,1717.02,1792.3,1695.95,1706.18,1688.82,1619.53,1777.25,1960.63
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Hungary,1978.41 d,1971.18 d,1909.97 d,1872.97,1908.59,1847.79,1873.71,1843.7,1787.52,1930.49,2123.61
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Ireland,1250.95,1273.06,1247.79,1194.52,1193.5,1167.51,1101.56,1087.58,1046.89,1043.16,1075.54
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Iceland,1079.08,974.79,1089.78,1048.39,1031.0,1111.09,1006.92,985.79,980.53,953.86,923.72
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Italy,1169.74,1167.48,1112.85,1079.32,1123.06,1059.67,1083.02,1036.66,1031.28,1194.59,1118.29
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Liechtenstein,1156.39,1056.24,1209.93,1106.94,1027.97,1167.87,909.19,1041.62,1024.7,1348.69,916.0
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Lithuania,2138.4,2107.05,2128.32,2049.53,2074.05,2054.99,1959.7,1928.28,1842.82,2094.71,2244.98
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Luxembourg,1347.63,1178.87,1118.33,1191.23,1119.03,1133.83,1100.22,1092.92,1042.56,1124.32,1068.02
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Latvia,2204.28,2206.35,2139.12,2112.67,2039.09,2072.21,2067.12,2036.15,1954.97,2018.22,2396.44
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Malta,1260.47,1328.25,1195.52,1142.18,1157.11,1032.66,1121.97,1084.88,1033.37,1110.77,1041.66
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Netherlands,1218.38,1237.77,1213.43,1146.81,1184.48,1163.65,1139.52,1134.78,1099.81,1219.3,1203.09
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Norway,1228.4,1211.27,1137.5,1114.28,1092.33,1073.27,1049.94,1027.6,1003.11,976.64,962.89
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Poland,1761.13,1766.94,1729.15,1641.53,1681.34,1616.03,1631.31,1642.04,1586.15,1867.9,1988.41
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Portugal,1316.42,1350.0,1323.46,1285.43,1286.85,1300.99,1273.22,1292.49,1255.61,1352.57,1298.45
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Romania,1989.14,1986.0,1889.32,1886.41,1905.75,1856.44,1852.4,1854.67,1797.83,2096.51,2375.56
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Serbia,2094.01,2052.24,1946.14,1898.42,1914.35,1828.25,1835.84,1781.39,1759.83,2057.08,2415.95
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Sweden,1169.84,1173.27,1136.02,1104.86,1110.77,1086.7,1078.54,1064.01,1007.14,1126.87,1017.51
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Slovenia,1440.33,1409.92,1385.53,1301.92,1327.91,1301.61,1310.81,1281.69,1224.97,1435.85,1371.72
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Slovakia,1881.69,1862.66,1824.25,1751.36,1769.31,1689.54,1705.4,1664.23,1592.46,1761.24,2129.78
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,Türkiye,1325.05 d,1303.74 d,1406.74 d,1434.38 d,1441.49 d,1464.98 d,1465.42 d,1403.51 d,1378.52 d,1669.64 d,1781.98 d
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Males,United Kingdom,1171.08 d,1191.65,1176.7,1147.82,1177.43,1158.53,1153.77,1129.8,:,:,:
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Austria,994.58,1014.65,998.03,957.32,990.02,939.7,952.19,944.5,919.97,993.92,982.06
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Belgium,1023.1,1051.47,1035.24,970.8,1001.94,960.71,955.7,946.05,912.29,1050.91,921.4
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Bulgaria,1689.88,1709.04,1604.92,1648.69,1660.22,1601.88,1621.74,1588.85,1565.26,1786.72,2131.88
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Switzerland,872.6,881.8,873.58,838.92,868.04,812.4,815.81,799.23,788.02,869.31,796.99
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Cyprus,1024.77,1055.78,951.52,980.1,1047.48,966.21,1042.15,944.02,970.38,979.82,1071.02
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Czechia,1331.4,1323.36,1308.17,1237.38,1280.23,1206.06,1223.84,1212.37,1182.51,1352.94,1436.99
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Germany,1059.88,1061.01,1072.4,1017.32,1057.59,1017.25,1022.94,1030.37,994.21,1020.38,1045.22
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Denmark,1111.5,1088.07,1074.09,1028.53,1032.58,1016.28,1005.8,1023.93,978.19,970.33,992.8
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Estonia,1326.09,1317.07,1283.83,1269.42,1236.76,1206.88,1186.88,1180.78,1126.97,1142.08,1322.26
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Greece,1024.27,1047.05,978.32,967.28,1003.37,957.87,980.9,930.15,946.2,982.37,1079.29
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Spain,889.55,898.41,848.32,837.46,872.68,829.05,835.93,825.2,790.68,918.85,828.83
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,European Union - 27 countries (from 2020),1063.11,1070.44,1042.47,1006.92,1040.6,999.05,1005.68,994.75,968.7,1060.68,1073.37
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Finland,1028.94,1026.98,999.43,994.85,968.81,976.05,948.92,944.49,913.17,916.64,929.27
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,France,870.25,887.79,864.93,829.13,858.16,834.57,829.65,817.77,805.84,863.46,848.26
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Croatia,1451.42,1371.21 d,1359.18 d,1355.97,1429.88,1336.05,1370.18,1331.51,1289.26,1404.77,1551.55
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Hungary,1532.84 d,1538.63 d,1489.03 d,1455.53,1500.2,1425.36,1461.98,1438.52,1406.1,1512.75,1651.65
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Ireland,1030.07,1039.49,1034.34,993.58,1000.98,983.02,937.25,921.37,881.2,891.88,914.15
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Iceland,933.23,880.54,943.31,882.53,913.05,944.58,891.55,868.82,861.04,848.17,827.82
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Italy,917.39,922.62,878.29,854.08,901.26,843.15,868.14,833.48,829.37,953.42,899.26
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Liechtenstein,945.45,847.32,915.81,976.36,878.16,891.57,795.36,868.56,806.8,961.18,783.48
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Lithuania,1522.52,1506.04,1510.91,1449.26,1490.35,1455.39,1408.99,1377.19,1314.42,1482.0,1623.16
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Luxembourg,1029.86,983.19,941.98,917.54,930.15,904.72,900.0,882.34,848.18,905.11,859.57
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Latvia,1576.89,1591.06,1549.27,1503.16,1489.41,1476.67,1472.94,1463.82,1399.03,1445.21,1728.01
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Malta,1036.18,1059.82,974.72,936.34,947.55,881.82,911.68,902.22,864.52,926.27,904.07
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Netherlands,1002.1,1017.89,1003.64,958.23,991.78,980.31,967.83,967.32,935.22,1020.55,1011.66
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Norway,996.15,999.06,941.43,913.73,907.3,899.01,886.87,871.28,849.41,828.46,832.27
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Poland,1325.61,1328.29,1308.16,1241.07,1273.62,1218.22,1239.64,1249.02,1210.37,1393.13,1504.5
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Portugal,1025.5,1052.09,1024.83,991.41,1005.36,1005.03,980.61,993.02,966.22,1044.03,1000.31
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Romania,1600.13,1602.12,1520.65,1516.64,1529.97,1479.39,1479.85,1474.32,1427.6,1621.57,1860.81
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Serbia,1786.88,1745.7,1663.71,1636.2,1648.21,1570.96,1593.58,1539.45,1513.9,1724.93,2032.92
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Sweden,966.34,975.9,950.13,922.22,926.7,913.05,909.21,897.38,848.12,934.38,849.74
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Slovenia,1099.64,1090.86,1072.08,1018.63,1041.14,1013.64,1014.74,984.96,962.29,1112.42,1050.9
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Slovakia,1471.24,1461.04,1418.12,1353.52,1390.61,1323.93,1335.86,1308.85,1249.35,1365.47,1676.4
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,Türkiye,1075.76 d,1060.93 d,1135.98 d,1167 d,1168.38 d,1189.56 d,1182.1 d,1139.43 d,1114.01 d,1304.03 d,1425.61 d
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Total,United Kingdom,984.49 d,1008.99,995.65,972.21,1003.64,986.86,983.3,966.59,:,:,:
