Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Not employed persons,Percentage of disposable income,Ireland,14.3 i,20.9 i,:
Annual,Not employed persons,Percentage of disposable income,Italy,29.5 i,:,:
Annual,Not employed persons,Percentage of disposable income,Lithuania,13.4 i,20.3 i,33.8 i
Annual,Not employed persons,Percentage of disposable income,Luxembourg,28.5 i,27.2 i,24.1 i
Annual,Not employed persons,Percentage of disposable income,Latvia,5.2 i,13.4 i,19.2 i
Annual,Not employed persons,Percentage of disposable income,Malta,12.5 i,16.9 i,27.9 i
Annual,Not employed persons,Percentage of disposable income,Netherlands,:,0.9 i,1.9 i
Annual,Not employed persons,Percentage of disposable income,Poland,20.1 i,25.2 i,45 i
Annual,Not employed persons,Percentage of disposable income,Portugal,19.6 i,21.8 i,:
Annual,Not employed persons,Percentage of disposable income,Romania,-4.6 i,9.2 i,-17.9 i
Annual,Not employed persons,Percentage of disposable income,Sweden,7.9 i,14.4 i,:
Annual,Not employed persons,Percentage of disposable income,Slovenia,14.9 i,21 i,20.4 i
Annual,Not employed persons,Percentage of disposable income,Slovakia,16.6 i,13.1 i,26.9 i
Annual,Not employed persons,Percentage of disposable income,United Kingdom,13.2 i,4.1 i,:
Annual,Retired persons,Percentage of disposable income,Austria,17.9 i,22.7 i,21.1 i
Annual,Retired persons,Percentage of disposable income,Belgium,0.2 i,9.4 i,23.8 i
Annual,Retired persons,Percentage of disposable income,Bulgaria,:,11.8 i,12.8 i
Annual,Retired persons,Percentage of disposable income,Cyprus,19.4 i,11.5 i,26.5 i
Annual,Retired persons,Percentage of disposable income,Czechia,16.1 i,18.6 i,24.9 i
Annual,Retired persons,Percentage of disposable income,Germany,7.4 i,9.1 i,11.3 i
Annual,Retired persons,Percentage of disposable income,Denmark,-5.2 i,22.2 i,31 i
Annual,Retired persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,22.7 i,24.2 i
Annual,Retired persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,22.4 i,24 i
Annual,Retired persons,Percentage of disposable income,Estonia,35.9 i,29.4 i,34.9 i
Annual,Retired persons,Percentage of disposable income,Greece,8 i,9.7 i,26.7 i
Annual,Retired persons,Percentage of disposable income,Spain,24 i,28.9 i,40.9 i
Annual,Retired persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,20.7 i,23.2 i
Annual,Retired persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,21.6 i,23.2 i
Annual,Retired persons,Percentage of disposable income,Finland,31 i,25.7 i,:
Annual,Retired persons,Percentage of disposable income,France,35.2 i,41 i,32.7 i
Annual,Retired persons,Percentage of disposable income,Croatia,0 i,2.7 i,14.2 i
Annual,Retired persons,Percentage of disposable income,Hungary,16.8 i,13.4 i,17.2 i
Annual,Retired persons,Percentage of disposable income,Ireland,24 i,26.4 i,:
Annual,Retired persons,Percentage of disposable income,Italy,34 i,:,:
Annual,Retired persons,Percentage of disposable income,Lithuania,18.9 i,26.1 i,36.5 i
Annual,Retired persons,Percentage of disposable income,Luxembourg,33.6 i,30.8 i,26.2 i
Annual,Retired persons,Percentage of disposable income,Latvia,10.3 i,14.7 i,20.3 i
Annual,Retired persons,Percentage of disposable income,Malta,16.9 i,18.6 i,30.6 i
Annual,Retired persons,Percentage of disposable income,Netherlands,:,8.6 i,10.1 i
Annual,Retired persons,Percentage of disposable income,Poland,23.5 i,29.1 i,46.1 i
Annual,Retired persons,Percentage of disposable income,Portugal,23.8 i,25.3 i,:
Annual,Retired persons,Percentage of disposable income,Romania,-2.8 i,11.6 i,-16.8 i
Annual,Retired persons,Percentage of disposable income,Sweden,13 i,19.6 i,:
Annual,Retired persons,Percentage of disposable income,Slovenia,18 i,24.6 i,22 i
Annual,Retired persons,Percentage of disposable income,Slovakia,17.9 i,14.5 i,29.1 i
Annual,Retired persons,Percentage of disposable income,United Kingdom,20.1 i,14.7 i,:
Annual,Employees,Percentage of disposable income,Austria,21.9 i,23.4 i,27.2 i
Annual,Employees,Percentage of disposable income,Belgium,17.7 i,28.5 i,41.9 i
Annual,Employees,Percentage of disposable income,Bulgaria,:,23.2 i,37.1 i
Annual,Employees,Percentage of disposable income,Cyprus,10 i,11.4 i,25.3 i
Annual,Employees,Percentage of disposable income,Czechia,28.7 i,30.9 i,35.7 i
Annual,Employees,Percentage of disposable income,Germany,20.4 i,22 i,24.6 i
Annual,Employees,Percentage of disposable income,Denmark,14.4 i,34.9 i,45.2 i
Annual,Employees,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,23.7 i,29 i
Annual,Employees,Percentage of disposable income,Euro area – 20 countries (from 2023),:,23.6 i,29 i
Annual,Employees,Percentage of disposable income,Estonia,37.7 i,39.3 i,46.1 i
Annual,Employees,Percentage of disposable income,Greece,-20.5 i,-14.4 i,9.1 i
Annual,Employees,Percentage of disposable income,Spain,18.3 i,19.6 i,32.9 i
Annual,Employees,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,23.6 i,30.6 i
Annual,Employees,Percentage of disposable income,European Union - 27 countries (from 2020),:,24.3 i,30.6 i
Annual,Employees,Percentage of disposable income,Finland,22.8 i,21.5 i,:
Annual,Employees,Percentage of disposable income,France,26.6 i,31.4 i,31.3 i
Annual,Employees,Percentage of disposable income,Croatia,11.8 i,11 i,27 i
Annual,Employees,Percentage of disposable income,Hungary,20 i,16.7 i,25.2 i
Annual,Employees,Percentage of disposable income,Ireland,22.4 i,27.9 i,:
Annual,Employees,Percentage of disposable income,Italy,23.2 i,:,:
Annual,Employees,Percentage of disposable income,Lithuania,29.7 i,37.1 i,50.5 i
Annual,Employees,Percentage of disposable income,Luxembourg,27.9 i,26.9 i,31.2 i
Annual,Employees,Percentage of disposable income,Latvia,15.3 i,31.8 i,36.5 i
Annual,Employees,Percentage of disposable income,Malta,15.4 i,18.1 i,30 i
Annual,Employees,Percentage of disposable income,Netherlands,:,24.9 i,30.3 i
Annual,Employees,Percentage of disposable income,Poland,28.3 i,32.4 i,53.2 i
Annual,Employees,Percentage of disposable income,Portugal,9.3 i,17.2 i,:
Annual,Employees,Percentage of disposable income,Romania,-0.8 i,15.3 i,9.1 i
Annual,Employees,Percentage of disposable income,Sweden,23.6 i,31.4 i,:
Annual,Employees,Percentage of disposable income,Slovenia,21.1 i,25.5 i,25.4 i
Annual,Employees,Percentage of disposable income,Slovakia,31 i,21.4 i,29 i
Annual,Employees,Percentage of disposable income,United Kingdom,28.8 i,19.6 i,:
Annual,Self-employed persons,Percentage of disposable income,Austria,20 i,19.4 i,27.4 i
Annual,Self-employed persons,Percentage of disposable income,Belgium,15.5 i,26 i,:
Annual,Self-employed persons,Percentage of disposable income,Bulgaria,:,23.8 i,34.6 i
Annual,Self-employed persons,Percentage of disposable income,Cyprus,11.1 i,7.4 i,:
Annual,Self-employed persons,Percentage of disposable income,Czechia,30 i,33.2 i,37.9 i
Annual,Self-employed persons,Percentage of disposable income,Germany,24 i,26.6 i,29.9 i
Annual,Self-employed persons,Percentage of disposable income,Denmark,18.3 i,44.9 i,:
Annual,Self-employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.8 i,29.4 i
Annual,Self-employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.6 i,29.3 i
Annual,Self-employed persons,Percentage of disposable income,Estonia,35.5 i,30.3 i,:
Annual,Self-employed persons,Percentage of disposable income,Greece,-22.7 i,-21.8 i,:
Annual,Self-employed persons,Percentage of disposable income,Spain,7.5 i,11.6 i,:
Annual,Self-employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.9 i,31.4 i
Annual,Self-employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,20.7 i,31.4 i
Annual,Self-employed persons,Percentage of disposable income,Finland,21.8 i,23.8 i,:
Annual,Self-employed persons,Percentage of disposable income,France,32.7 i,34.6 i,:
Annual,Self-employed persons,Percentage of disposable income,Croatia,12.9 i,8.1 i,28.5 i
Annual,Self-employed persons,Percentage of disposable income,Hungary,10.2 i,18.3 i,:
Annual,Self-employed persons,Percentage of disposable income,Ireland,14.7 i,25.7 i,:
Annual,Self-employed persons,Percentage of disposable income,Italy,25.1 i,:,:
Annual,Self-employed persons,Percentage of disposable income,Lithuania,19.3 i,46.2 i,:
Annual,Self-employed persons,Percentage of disposable income,Luxembourg,35.4 i,27.1 i,:
Annual,Self-employed persons,Percentage of disposable income,Latvia,15.8 i,29.3 i,29.3 i
Annual,Self-employed persons,Percentage of disposable income,Malta,12 i,20.6 i,:
Annual,Self-employed persons,Percentage of disposable income,Netherlands,:,30.3 i,:
Annual,Self-employed persons,Percentage of disposable income,Poland,24.7 i,29.4 i,:
Annual,Self-employed persons,Percentage of disposable income,Portugal,1.6 i,12.1 i,:
Annual,Self-employed persons,Percentage of disposable income,Romania,-30.7 i,-3.2 i,:
Annual,Self-employed persons,Percentage of disposable income,Sweden,26.6 i,34.7 i,:
Annual,Self-employed persons,Percentage of disposable income,Slovenia,7.1 i,2.6 i,23.1 i
Annual,Self-employed persons,Percentage of disposable income,Slovakia,20.6 i,18.2 i,:
Annual,Self-employed persons,Percentage of disposable income,United Kingdom,26.5 i,16.6 i,:
Annual,Total,Percentage of disposable income,Austria,18 i,21.1 i,23.8 i
Annual,Total,Percentage of disposable income,Belgium,8.9 i,19 i,32.8 i
Annual,Total,Percentage of disposable income,Bulgaria,:,17.4 i,26.8 i
Annual,Total,Percentage of disposable income,Cyprus,12.2 i,10.5 i,25.1 i
Annual,Total,Percentage of disposable income,Czechia,23.9 i,25.5 i,31.2 i
Annual,Total,Percentage of disposable income,Germany,13.5 i,14.9 i,18.3 i
Annual,Total,Percentage of disposable income,Denmark,4.3 i,25.6 i,35 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.7 i,25.5 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.5 i,25.4 i
Annual,Total,Percentage of disposable income,Estonia,34.9 i,34.9 i,41.6 i
Annual,Total,Percentage of disposable income,Greece,-11.2 i,-6.5 i,15.7 i
Annual,Total,Percentage of disposable income,Spain,16.1 i,19.2 i,33 i
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,20.1 i,26.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,21 i,26.6 i
Annual,Total,Percentage of disposable income,Finland,22.2 i,19.5 i,:
Annual,Total,Percentage of disposable income,France,29.1 i,34.6 i,30.9 i
Annual,Total,Percentage of disposable income,Croatia,4 i,4.4 i,19.8 i
Annual,Total,Percentage of disposable income,Hungary,16.3 i,14.6 i,21.5 i
Annual,Total,Percentage of disposable income,Ireland,18.4 i,25.2 i,:
Annual,Total,Percentage of disposable income,Italy,26.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,22.8 i,31.6 i,44.7 i
Annual,Total,Percentage of disposable income,Luxembourg,28.4 i,27 i,28.7 i
Annual,Total,Percentage of disposable income,Latvia,10.5 i,24.6 i,30 i
Annual,Total,Percentage of disposable income,Malta,13.7 i,17.8 i,29.4 i
Annual,Total,Percentage of disposable income,Netherlands,:,15.8 i,19.4 i
Annual,Total,Percentage of disposable income,Poland,24.7 i,29.5 i,50.2 i
Annual,Total,Percentage of disposable income,Portugal,13.1 i,18.9 i,:
Annual,Total,Percentage of disposable income,Romania,-5.1 i,10.9 i,-1 i
Annual,Total,Percentage of disposable income,Sweden,18 i,24.6 i,:
Annual,Total,Percentage of disposable income,Slovenia,18 i,22.8 i,22.8 i
Annual,Total,Percentage of disposable income,Slovakia,24.4 i,17.6 i,28.2 i
Annual,Total,Percentage of disposable income,United Kingdom,22.9 i,15 i,:
Annual,Unemployed persons,Percentage of disposable income,Austria,-8 i,4.3 i,3.8 i
Annual,Unemployed persons,Percentage of disposable income,Belgium,-15.8 i,7.9 i,1.3 i
Annual,Unemployed persons,Percentage of disposable income,Bulgaria,:,-1.9 i,11 i
Annual,Unemployed persons,Percentage of disposable income,Cyprus,-5.7 i,2.5 i,19.2 i
Annual,Unemployed persons,Percentage of disposable income,Czechia,10.5 i,6 i,-6.4 i
Annual,Unemployed persons,Percentage of disposable income,Germany,-7.8 i,-10.7 i,-2.7 i
Annual,Unemployed persons,Percentage of disposable income,Denmark,-17 i,-3.7 i,4 i
Annual,Unemployed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,-7.1 i,6 i
Annual,Unemployed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,-7.7 i,5.9 i
Annual,Unemployed persons,Percentage of disposable income,Estonia,3.5 i,14.2 i,21.3 i
Annual,Unemployed persons,Percentage of disposable income,Greece,-53.2 i,-59.5 i,-16.3 i
Annual,Unemployed persons,Percentage of disposable income,Spain,-12 i,-19.9 i,3.7 i
Annual,Unemployed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,-9.3 i,6.5 i
Annual,Unemployed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,-6.7 i,6.5 i
Annual,Unemployed persons,Percentage of disposable income,Finland,-1.3 i,-6.5 i,:
Annual,Unemployed persons,Percentage of disposable income,France,13.6 i,19.8 i,21.9 i
Annual,Unemployed persons,Percentage of disposable income,Croatia,-40.6 i,-53.8 i,-4.9 i
Annual,Unemployed persons,Percentage of disposable income,Hungary,2.9 i,0.8 i,7.2 i
Annual,Unemployed persons,Percentage of disposable income,Ireland,7.4 i,14.7 i,:
Annual,Unemployed persons,Percentage of disposable income,Italy,-23 i,:,:
Annual,Unemployed persons,Percentage of disposable income,Lithuania,3.7 i,-13.9 i,16.1 i
Annual,Unemployed persons,Percentage of disposable income,Luxembourg,4.3 i,4 i,5.8 i
Annual,Unemployed persons,Percentage of disposable income,Latvia,-19 i,9.2 i,19.2 i
Annual,Unemployed persons,Percentage of disposable income,Malta,-4.4 i,-14.3 u,-83.8 u
Annual,Unemployed persons,Percentage of disposable income,Netherlands,:,-6.3 i,0 i
Annual,Unemployed persons,Percentage of disposable income,Poland,3.9 i,-1.3 i,33.8 i
Annual,Unemployed persons,Percentage of disposable income,Portugal,-7.9 i,-0.5 i,:
Annual,Unemployed persons,Percentage of disposable income,Romania,-41 i,-37.3 i,-24.7 u
Annual,Unemployed persons,Percentage of disposable income,Sweden,0.1 i,9.2 i,:
Annual,Unemployed persons,Percentage of disposable income,Slovenia,-6.9 i,-34 i,-2.8 i
Annual,Unemployed persons,Percentage of disposable income,Slovakia,1.6 i,-9.7 i,-33.8 i
Annual,Unemployed persons,Percentage of disposable income,United Kingdom,-19.2 i,-51.8 i,:
