Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Police,Percentage,Greece,14.2
Annual,Police,Percentage,Spain,24.6
Annual,Police,Percentage,European Union (aggregate changing according to the context),17.2 e
Annual,Police,Percentage,Finland,11.0
Annual,Police,Percentage,France,24.5
Annual,Police,Percentage,Croatia,18.3
Annual,Police,Percentage,Hungary,6.1 u
Annual,Police,Percentage,Ireland,18.0 u
Annual,Police,Percentage,Lithuania,26.1
Annual,Police,Percentage,Luxembourg,17.7
Annual,Police,Percentage,Latvia,26.4
Annual,Police,Percentage,Montenegro,: u
Annual,Police,Percentage,Malta,39.3
Annual,Police,Percentage,Netherlands,10.1
Annual,Police,Percentage,Poland,31.4
Annual,Police,Percentage,Portugal,21.7 u
Annual,Police,Percentage,Romania,7.8
Annual,Police,Percentage,Serbia,24.9
Annual,Police,Percentage,Sweden,13.9
Annual,Police,Percentage,Slovenia,24.9 u
Annual,Police,Percentage,Slovakia,: u
Annual,Police,Percentage,Kosovo*,: u
Annual,Support service,Percentage,Austria,11.8
Annual,Support service,Percentage,Belgium,9.5
Annual,Support service,Percentage,Bulgaria,12.8 u
Annual,Support service,Percentage,Cyprus,5.8 u
Annual,Support service,Percentage,Czechia,: u
Annual,Support service,Percentage,Germany,: u
Annual,Support service,Percentage,Denmark,: u
Annual,Support service,Percentage,Estonia,9.1
Annual,Support service,Percentage,Greece,6.4
Annual,Support service,Percentage,Spain,16.5
Annual,Support service,Percentage,European Union (aggregate changing according to the context),9.5 e
Annual,Support service,Percentage,Finland,7.6
Annual,Support service,Percentage,France,14.2
Annual,Support service,Percentage,Croatia,6.8 u
Annual,Support service,Percentage,Hungary,3.2 u
Annual,Support service,Percentage,Ireland,10.6 u
Annual,Support service,Percentage,Lithuania,6.9 u
Annual,Support service,Percentage,Luxembourg,8.3 u
Annual,Support service,Percentage,Latvia,7.0 u
Annual,Support service,Percentage,Montenegro,: u
Annual,Support service,Percentage,Malta,26.6
Annual,Support service,Percentage,Netherlands,12.3
Annual,Support service,Percentage,Poland,14.7
Annual,Support service,Percentage,Portugal,9.4 u
Annual,Support service,Percentage,Romania,4.1 u
Annual,Support service,Percentage,Serbia,8.0 u
Annual,Support service,Percentage,Sweden,11.1
Annual,Support service,Percentage,Slovenia,: u
Annual,Support service,Percentage,Slovakia,: u
Annual,Support service,Percentage,Kosovo*,: u
