Time frequency,Quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Third quintile,Purchasing power standard (PPS),Latvia,315.0,342.0,334.0
Annual,Third quintile,Purchasing power standard (PPS),Montenegro,264.0,367.0,129.0
Annual,Third quintile,Purchasing power standard (PPS),North Macedonia,221.0,360.0,:
Annual,Third quintile,Purchasing power standard (PPS),Malta,1035.0,846.0,805 e
Annual,Third quintile,Purchasing power standard (PPS),Netherlands,:,835.0,905 e
Annual,Third quintile,Purchasing power standard (PPS),Norway,:,1466.0,:
Annual,Third quintile,Purchasing power standard (PPS),Poland,615.0,433.0,303.0
Annual,Third quintile,Purchasing power standard (PPS),Portugal,538.0,407.0,:
Annual,Third quintile,Purchasing power standard (PPS),Romania,178.0,178.0,:
Annual,Third quintile,Purchasing power standard (PPS),Serbia,:,280.0,160.0
Annual,Third quintile,Purchasing power standard (PPS),Sweden,1172 e,1260 e,:
Annual,Third quintile,Purchasing power standard (PPS),Slovenia,836.0,729.0,730.0
Annual,Third quintile,Purchasing power standard (PPS),Slovakia,367.0,583.0,274.0
Annual,Third quintile,Purchasing power standard (PPS),Türkiye,194.0,286.0,:
Annual,Third quintile,Purchasing power standard (PPS),United Kingdom,1097.0,1085.0,:
Annual,Third quintile,Purchasing power standard (PPS),Kosovo*,:,47.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Austria,1824.0,1337.0,1500.0
Annual,Fourth quintile,Purchasing power standard (PPS),Belgium,1372.0,1179.0,753.0
Annual,Fourth quintile,Purchasing power standard (PPS),Bulgaria,190.0,267.0,216.0
Annual,Fourth quintile,Purchasing power standard (PPS),Cyprus,1412.0,793.0,761 e
Annual,Fourth quintile,Purchasing power standard (PPS),Czechia,692.0,649.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Germany,1204 e,1354 e,1440 e
Annual,Fourth quintile,Purchasing power standard (PPS),Denmark,1801.0,1422.0,1356.0
Annual,Fourth quintile,Purchasing power standard (PPS),Estonia,486.0,653 e,513 e
Annual,Fourth quintile,Purchasing power standard (PPS),Greece,630.0,592.0,349.0
Annual,Fourth quintile,Purchasing power standard (PPS),Spain,1082.0,816.0,521.0
Annual,Fourth quintile,Purchasing power standard (PPS),Finland,1351.0,1041.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),France,1119.0,1129 e,1102 e
Annual,Fourth quintile,Purchasing power standard (PPS),Croatia,685.0,718.0,639.0
Annual,Fourth quintile,Purchasing power standard (PPS),Hungary,550.0,443.0,416.0
Annual,Fourth quintile,Purchasing power standard (PPS),Ireland,1925.0,1166.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Lithuania,404.0,474.0,270.0
Annual,Fourth quintile,Purchasing power standard (PPS),Luxembourg,1224.0,1205.0,953.0
Annual,Fourth quintile,Purchasing power standard (PPS),Latvia,448.0,440.0,520.0
Annual,Fourth quintile,Purchasing power standard (PPS),Montenegro,400.0,397.0,192.0
Annual,Fourth quintile,Purchasing power standard (PPS),North Macedonia,188.0,177.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Malta,1358.0,1186.0,1129 e
Annual,Fourth quintile,Purchasing power standard (PPS),Netherlands,:,1120.0,1258 e
Annual,Fourth quintile,Purchasing power standard (PPS),Norway,:,1775.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Poland,815.0,527.0,401.0
Annual,Fourth quintile,Purchasing power standard (PPS),Portugal,795.0,595.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Romania,228.0,217.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Serbia,:,365.0,217.0
Annual,Fourth quintile,Purchasing power standard (PPS),Sweden,1834 e,1605 e,:
Annual,Fourth quintile,Purchasing power standard (PPS),Slovenia,1055.0,930.0,905.0
Annual,Fourth quintile,Purchasing power standard (PPS),Slovakia,543.0,641.0,346.0
Annual,Fourth quintile,Purchasing power standard (PPS),Türkiye,326.0,438.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),United Kingdom,1417.0,1334.0,:
Annual,Fourth quintile,Purchasing power standard (PPS),Kosovo*,:,70.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Austria,2586.0,2090.0,1837.0
Annual,Fifth quintile,Purchasing power standard (PPS),Belgium,1899.0,1487.0,1133.0
Annual,Fifth quintile,Purchasing power standard (PPS),Bulgaria,292.0,379.0,392.0
Annual,Fifth quintile,Purchasing power standard (PPS),Cyprus,2187.0,1276.0,1226 e
Annual,Fifth quintile,Purchasing power standard (PPS),Czechia,1000.0,966.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Germany,1772 e,1999 e,2059 e
Annual,Fifth quintile,Purchasing power standard (PPS),Denmark,2552.0,1986.0,1837.0
Annual,Fifth quintile,Purchasing power standard (PPS),Estonia,832.0,1124 e,718 e
Annual,Fifth quintile,Purchasing power standard (PPS),Greece,1252.0,1138.0,611.0
Annual,Fifth quintile,Purchasing power standard (PPS),Spain,1602.0,1307.0,781.0
Annual,Fifth quintile,Purchasing power standard (PPS),Finland,1914.0,1553.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),France,1795.0,1694 e,1654 e
Annual,Fifth quintile,Purchasing power standard (PPS),Croatia,832.0,1051.0,887.0
Annual,Fifth quintile,Purchasing power standard (PPS),Hungary,786.0,681.0,679.0
Annual,Fifth quintile,Purchasing power standard (PPS),Ireland,2688.0,1588.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Italy,:,802.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Lithuania,592.0,965.0,526.0
Annual,Fifth quintile,Purchasing power standard (PPS),Luxembourg,1625.0,1904.0,1554.0
Annual,Fifth quintile,Purchasing power standard (PPS),Latvia,694.0,792.0,894.0
Annual,Fifth quintile,Purchasing power standard (PPS),Montenegro,607.0,661.0,244.0
Annual,Fifth quintile,Purchasing power standard (PPS),North Macedonia,422.0,440.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Malta,1724.0,1576.0,1501 e
Annual,Fifth quintile,Purchasing power standard (PPS),Netherlands,:,1596.0,1725 e
Annual,Fifth quintile,Purchasing power standard (PPS),Norway,:,2367.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Poland,1247.0,875.0,649.0
Annual,Fifth quintile,Purchasing power standard (PPS),Portugal,1612.0,1025.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Romania,366.0,390.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Serbia,:,523.0,377.0
Annual,Fifth quintile,Purchasing power standard (PPS),Sweden,2141 e,2089 e,:
Annual,Fifth quintile,Purchasing power standard (PPS),Slovenia,1497.0,1269.0,1252.0
Annual,Fifth quintile,Purchasing power standard (PPS),Slovakia,811.0,806.0,375.0
Annual,Fifth quintile,Purchasing power standard (PPS),Türkiye,627.0,843.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),United Kingdom,2300.0,2097.0,:
Annual,Fifth quintile,Purchasing power standard (PPS),Kosovo*,:,133.0,:
Annual,Total,Purchasing power standard (PPS),Austria,1569.0,1215.0,1221.0
Annual,Total,Purchasing power standard (PPS),Belgium,1171.0,905.0,672.0
Annual,Total,Purchasing power standard (PPS),Bulgaria,156.0,206.0,193.0
Annual,Total,Purchasing power standard (PPS),Cyprus,1085.0,618.0,593 e
Annual,Total,Purchasing power standard (PPS),Czechia,615.0,571.0,584.0
Annual,Total,Purchasing power standard (PPS),Germany,1188 e,1275 e,1194.0
Annual,Total,Purchasing power standard (PPS),Denmark,1593.0,1372.0,1173.0
Annual,Total,Purchasing power standard (PPS),Estonia,380.0,539 e,430.0
Annual,Total,Purchasing power standard (PPS),Greece,555.0,502.0,296.0
Annual,Total,Purchasing power standard (PPS),Spain,884.0,677.0,420.0
Annual,Total,Purchasing power standard (PPS),Finland,1148.0,892.0,:
Annual,Total,Purchasing power standard (PPS),France,1001.0,981 e,958 e
Annual,Total,Purchasing power standard (PPS),Croatia,499.0,590.0,513.0
Annual,Total,Purchasing power standard (PPS),Hungary,467.0,360.0,348.0
Annual,Total,Purchasing power standard (PPS),Ireland,1620.0,1012.0,:
Annual,Total,Purchasing power standard (PPS),Italy,761 e,583.0,432.0
Annual,Total,Purchasing power standard (PPS),Lithuania,311.0,433.0,263.0
Annual,Total,Purchasing power standard (PPS),Luxembourg,1098.0,1044.0,914.0
Annual,Total,Purchasing power standard (PPS),Latvia,369.0,409.0,433.0
Annual,Total,Purchasing power standard (PPS),Montenegro,308.0,360.0,133.0
Annual,Total,Purchasing power standard (PPS),North Macedonia,200.0,246.0,:
Annual,Total,Purchasing power standard (PPS),Malta,1069.0,913.0,869 e
Annual,Total,Purchasing power standard (PPS),Netherlands,:,953.0,1026.0
Annual,Total,Purchasing power standard (PPS),Norway,:,1493.0,:
Annual,Total,Purchasing power standard (PPS),Poland,671.0,472.0,355.0
Annual,Total,Purchasing power standard (PPS),Portugal,698.0,488.0,:
Annual,Total,Purchasing power standard (PPS),Romania,202.0,212.0,:
Annual,Total,Purchasing power standard (PPS),Serbia,:,292.0,181.0
Annual,Total,Purchasing power standard (PPS),Sweden,1378 e,1435 e,:
Annual,Total,Purchasing power standard (PPS),Slovenia,913.0,787.0,767.0
Annual,Total,Purchasing power standard (PPS),Slovakia,443.0,556.0,282.0
Annual,Total,Purchasing power standard (PPS),Türkiye,269.0,378.0,:
Annual,Total,Purchasing power standard (PPS),United Kingdom,1227.0,1158.0,:
Annual,Total,Purchasing power standard (PPS),Kosovo*,:,65.0,:
