Time frequency,Unit of measure,Type of victim,Sea basins,Country of registration\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Killed,Mediterranean Sea,Others,8.0,0.0,14.0,9.0,1.0,1.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0
Annual,Person,Killed,Mediterranean Sea,Unknown,:,1.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Killed,North Sea,European Union - 27 countries (from 2020),0.0,15.0,1.0,2.0,11.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,2.0
Annual,Person,Killed,North Sea,Others,3.0,22.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0
Annual,Person,Killed,North Sea,Unknown,0.0,0.0,0.0,2.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Killed,Other sea basins,European Union - 27 countries (from 2020),5.0,3.0,3.0,7.0,4.0,37.0,2.0,7.0,9.0,9.0,4.0,3.0,2.0
Annual,Person,Killed,Other sea basins,Others,10.0,3.0,5.0,19.0,7.0,37.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0
Annual,Person,Killed,Other sea basins,Unknown,3.0,0.0,0.0,:,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Annual,Person,Killed,Unknown,European Union - 27 countries (from 2020),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Killed,Unknown,Others,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Killed,Unknown,Unknown,:,:,:,0.0,:,:,:,0.0,:,0.0,:,0.0,:
