Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Estonia,:,8.0,6.0,5.0,5.0,9.0,9.0,9.0,1.0,1.0,2.0,8.0
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Finland,:,2.0,2.0,1.0,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Poland,:,40.0,39.0,38.0,41.0,42.0,38.0,41.0,5.0,5.0,9.0,13.0
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Portugal,:,11.0,10.0,12.2,20.26,15.36,18.22,17.2,2.55,3.39,8.530 p,11.81
Annual,Million vehicle-kilometres (VKM),International transport - outgoing,Belgium,:,61.0,57.0,61.0,52.0,37.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport - outgoing,North Macedonia,:,:,:,17.974,13.59,19.4,36.067,53.788,12.824,13.539,14.444,15.628
Annual,Million vehicle-kilometres (VKM),International transport - outgoing,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Million vehicle-kilometres (VKM),International transport - outgoing,Poland,:,104.0,113.0,108.0,108.0,108.0,99.0,105.0,60.0,50.0,85.0,108.0
Annual,Million vehicle-kilometres (VKM),International transport - regular,Belgium,:,0 e,0 e,0.0,0.0,0.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport - regular,Estonia,:,12.0,12.0,25.0,20.0,22.0,23.0,25.0,10.0,3.0,8.0,11.0
Annual,Million vehicle-kilometres (VKM),International transport - regular,Finland,:,5.0,5.0,5.0,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport - regular,Latvia,:,7.16,6.97,4.0,3.95,3.61,3.65,2.8,1.91,0.65,2.2,2.6
Annual,Million vehicle-kilometres (VKM),International transport - regular,North Macedonia,:,:,:,17.974,13.59,19.4,36.067,53.788,12.824,13.539,14.444,15.628
Annual,Million vehicle-kilometres (VKM),International transport - regular,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Million vehicle-kilometres (VKM),International transport - regular,Poland,:,64.0,74.0,70.0,67.0,66.0,61.0,64.0,55.0,45.0,76.0,95.0
Annual,Million vehicle-kilometres (VKM),International transport - regular,Portugal,:,41.0,33.0,30.9,31.84,28.41,23.03,20.5,6.31,11.56,23.420 p,25.88
Annual,Million vehicle-kilometres (VKM),National transport,Austria,:,507.0,:,:,505.521,519.723,492.154,485.057,397.522,411.429,496.312,506.0
Annual,Million vehicle-kilometres (VKM),National transport,Belgium,:,573 b,588.0,598.0,561 b,578.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport,Bulgaria,:,449.0,423.7,440.6,471.1,432.0,510.0,413.5,306.5,322.6,314.7,342.1
Annual,Million vehicle-kilometres (VKM),National transport,Czechia,:,565.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport,Germany,:,3040.0,3129.0,3192.0,3188.0,3095.0,3126.0,3166.0,2635.0,2788.0,2976.0,:
Annual,Million vehicle-kilometres (VKM),National transport,Estonia,:,128.0,138.0,115.0,124.0,128.0,126.0,134.0,121.0,126.0,133.0,137.0
Annual,Million vehicle-kilometres (VKM),National transport,Finland,:,450.0,442.0,443.0,453.0,474.0,:,:,337.0,:,348.0,:
Annual,Million vehicle-kilometres (VKM),National transport,Ireland,:,129.14,133.48,133.09,135.69,133.65,139.24,125.71,117.52,115.57,123.76,:
Annual,Million vehicle-kilometres (VKM),National transport,Iceland,:,:,:,:,:,:,:,:,:,23 e,:,:
Annual,Million vehicle-kilometres (VKM),National transport,Italy,:,:,:,:,:,1630.0,1640 p,1635.0,1471.0,1616.0,1625.0,1624.0
Annual,Million vehicle-kilometres (VKM),National transport,Lithuania,:,221.7,227.8,204.5,210.9,210.9,206.4,206.5,171.7,160.6,190.3,208.8
Annual,Million vehicle-kilometres (VKM),National transport,Luxembourg,:,:,:,64.734,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport,North Macedonia,:,:,:,87.923,72.076,72.167,78.684,69.957,35.098,36.637,36.792,40.129
Annual,Million vehicle-kilometres (VKM),National transport,Malta,:,:,58.900 e,66.970 e,78.45,71 e,81.930 e,81.440 e,64.34,59.43,72.9,80.274
Annual,Million vehicle-kilometres (VKM),National transport,Netherlands,:,619.0,602.0,601.0,591.0,635.0,613.0,595.0,486.0,477.0,474.0,463.0
Annual,Million vehicle-kilometres (VKM),National transport,Poland,:,1438.0,1442.0,1478.0,1437.0,1375.0,1333.0,1336.0,1049.0,1075.0,1119.0,1147.0
Annual,Million vehicle-kilometres (VKM),National transport,Portugal,:,353.0,346.0,376.39,398.46,411.69,441.03,396.43,299.1,387.94,454.660 p,497.15
Annual,Million vehicle-kilometres (VKM),National transport,Slovenia,:,:,:,:,:,:,:,:,65.0,81 b,95 b,99 p
Annual,Million vehicle-kilometres (VKM),National transport,Ukraine,:,:,:,:,:,2017.0,2084.0,2117.0,1468.0,1539.0,:,:
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Austria,:,:,:,:,208.151,204.334,182.935,172.698,188.03,187.021,211.998,209.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Bulgaria,:,263.9,263.9,274.1,288.2,297.2,385.0,282.1,192.2,203.7,206.8,227.4
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Czechia,:,379.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Germany,:,1451.0,1543.0,1540.0,1566.0,1536.0,1490.0,1583.0,1418.0,1501.0,1601.0,:
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Estonia,:,72.0,74.0,77.0,71.0,70.0,71.0,77.0,68.0,74.0,76.0,77.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Finland,:,166.0,159.0,182.0,191.0,198.0,:,:,121.0,:,120.0,:
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Croatia,:,:,157.0,161.0,176.0,191.0,162.0,162.0,84.0,87.0,116.0,136.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Hungary,:,410.633,412.19,412.31,424.978,445.04,515.15,464.27,443.051,520.547,548.435,695.299
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Ireland,:,71.17,70.8,69.39,71.4,67.03,74.16,69.88,61.41,58.85,63.67,:
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Italy,:,:,:,:,:,975.0,977 p,968.0,854.0,954.0,959.0,959.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Lithuania,:,111.3,114.5,107.6,109.6,108.6,104.0,102.8,76.0,69.5,81.7,79.5
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Latvia,:,78.18,78.4,78.7,79.63,79.51,78.69,78.2,73.91,73.18,71.3,69.85
Annual,Million vehicle-kilometres (VKM),National transport - interurban,North Macedonia,:,:,:,48.474,26.175,22.95,33.018,25.931,8.416,10.076,10.533,10.969
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Norway,:,235.0,230.0,194.0,221.0,216.0,205.0,196.0,189.0,170.0,167.0,180.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Poland,:,711.0,704.0,730.0,683.0,614.0,565.0,560.0,336.0,350.0,375.0,415.0
Annual,Million vehicle-kilometres (VKM),National transport - interurban,Slovenia,:,:,:,:,:,:,:,:,:,:,78 b,82 p
Annual,Million vehicle-kilometres (VKM),National transport - interurban,United Kingdom,:,:,:,:,:,:,:,1341.0,1017.0,1182.0,1152.0,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Austria,:,421.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Belgium,:,79 b,75.0,79.0,68.0,74.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Germany,:,482.0,464.0,494.0,474.0,454.0,453.0,445.0,96.0,117.0,232.0,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Estonia,:,15.0,19.0,15.0,11.0,15.0,12.0,16.0,11.0,9.0,12.0,14.0
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Finland,:,99.0,86.0,85.0,85.0,96.0,:,:,34.0,:,40.0,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Lithuania,:,13.6,16.3,16.1,18.7,20.7,21.1,24.2,22.7,23.1,35.3,36.7
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Malta,:,:,39.010 e,:,43.04,38.990 e,47.190 e,45.970 e,31.38,30.17,40.04,43.856
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Netherlands,:,119.0,120.0,125.0,130.0,142.0,144.0,132.0,52.0,57.0,78.0,85.0
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Poland,:,56.0,58.0,49.0,54.0,51.0,52.0,50.0,16.0,22.0,27.0,31.0
Annual,Million vehicle-kilometres (VKM),National transport - occasional,Portugal,:,45.0,38.0,41.11,49.6,45.91,43.48,39.8,12.18,32.66,67.020 p,81.99
Annual,Million vehicle-kilometres (VKM),National transport - regular,Austria,:,86.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Belgium,:,333 b,331.0,332.0,332.0,329.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Czechia,:,565.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Germany,:,2559.0,2664.0,2699.0,2714.0,2641.0,2673.0,2721.0,2539.0,2670.0,2744.0,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Estonia,:,113.0,119.0,100.0,113.0,111.0,114.0,118.0,110.0,117.0,121.0,123.0
Annual,Million vehicle-kilometres (VKM),National transport - regular,Finland,:,343.0,345.0,357.0,368.0,378.0,:,:,303.0,:,308.0,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Ireland,:,129.14,133.48,133.09,135.65,133.65,139.24,125.71,117.52,115.57,123.76,:
Annual,Million vehicle-kilometres (VKM),National transport - regular,Lithuania,:,208.1,211.5,188.4,192.2,190.2,185.3,182.3,148.9,137.5,155.0,172.1
Annual,Million vehicle-kilometres (VKM),National transport - regular,Latvia,:,136.84,131.45,132.2,133.5,132.87,134.09,128.6,114.75,111.06,106.44,102.49
Annual,Million vehicle-kilometres (VKM),National transport - regular,North Macedonia,:,:,:,87.923,72.076,72.167,78.684,69.957,35.098,36.637,36.792,40.129
Annual,Million vehicle-kilometres (VKM),National transport - regular,Malta,:,:,19.890 e,:,35.4,32.010 e,34.750 e,35.470 e,32.96,29.26,32.85,36.418
Annual,Million vehicle-kilometres (VKM),National transport - regular,Netherlands,:,500.0,482.0,476.0,461.0,493.0,469.0,464.0,434.0,419.0,396.0,378.0
Annual,Million vehicle-kilometres (VKM),National transport - regular,Norway,:,367.0,363.0,354.0,382.0,377.0,358.0,357.0,327.0,328.0,348.0,363.0
Annual,Million vehicle-kilometres (VKM),National transport - regular,Poland,:,1382.0,1384.0,1429.0,1383.0,1324.0,1281.0,1286.0,1033.0,1053.0,1092.0,1116.0
Annual,Million vehicle-kilometres (VKM),National transport - regular,Portugal,:,308.0,308.0,335.28,348.86,365.78,397.55,356.64,286.92,355.28,387.630 p,415.16
Annual,Million vehicle-kilometres (VKM),National transport - regular,United Kingdom,:,:,:,:,:,:,:,2275.0,1864.0,2081.0,2003.0,:
Annual,Million vehicle-kilometres (VKM),National transport - urban,Austria,:,:,:,:,145.261,159.33,147.208,142.649,147.929,154.927,166.314,161.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Bulgaria,:,159.8,159.8,166.5,182.9,134.8,125.0,131.5,114.3,118.9,107.9,114.7
Annual,Million vehicle-kilometres (VKM),National transport - urban,Czechia,:,187.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),National transport - urban,Germany,:,1108.0,1121.0,1159.0,1148.0,1105.0,1182.0,1138.0,1122.0,1169.0,1143.0,:
Annual,Million vehicle-kilometres (VKM),National transport - urban,Estonia,:,41.0,45.0,38.0,42.0,41.0,43.0,41.0,42.0,43.0,45.0,45.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Finland,:,184.0,183.0,175.0,177.0,180.0,:,:,182.0,:,188.0,:
Annual,Million vehicle-kilometres (VKM),National transport - urban,Croatia,:,69.0,68.0,69.0,71.0,72.0,72.0,71.0,55.0,65.0,66.0,70.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Hungary,:,165.089,169.99,169.63,164.313,166.88,166.523,172.54,161.431,161.227,162.221,154.273
Annual,Million vehicle-kilometres (VKM),National transport - urban,Ireland,:,57.96,62.68,63.7,64.29,66.62,65.08,55.83,56.12,56.72,60.09,:
Annual,Million vehicle-kilometres (VKM),National transport - urban,Italy,:,:,:,:,:,655.0,663 p,667.0,617.0,663.0,666.0,666.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Lithuania,:,96.8,97.0,80.8,82.5,81.7,81.3,79.5,72.9,68.0,73.3,92.6
Annual,Million vehicle-kilometres (VKM),National transport - urban,Latvia,:,58.66,53.05,53.5,53.87,53.36,51.74,50.4,40.84,37.88,35.14,32.64
Annual,Million vehicle-kilometres (VKM),National transport - urban,North Macedonia,:,:,:,39.449,45.901,49.217,45.666,44.026,26.683,26.56,26.259,29.16
Annual,Million vehicle-kilometres (VKM),National transport - urban,Norway,:,132.0,133.0,160.0,161.0,161.0,153.0,161.0,138.0,158.0,181.0,183.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Poland,:,671.0,680.0,699.0,700.0,710.0,716.0,726.0,697.0,703.0,717.0,701.0
Annual,Million vehicle-kilometres (VKM),National transport - urban,Slovenia,:,:,:,:,:,:,:,:,:,:,18 b,18 p
Annual,Million vehicle-kilometres (VKM),National transport - urban,United Kingdom,:,:,:,:,:,:,:,934.0,847.0,899.0,851.0,:
Annual,Million vehicle-kilometres (VKM),Total transport,Austria,:,507.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,Belgium,:,633 b,646.0,659.0,614 b,614.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,Bulgaria,:,510.6,474.1,512.8,577.7,560.3,573.7,614.0,329.0,353.0,359.6,404.7
Annual,Million vehicle-kilometres (VKM),Total transport,Switzerland,406.0,415.0,421.0,431.0,441.0,445.0,458.0,469.0,452.0,480.0,496.0,509.0
Annual,Million vehicle-kilometres (VKM),Total transport,Czechia,:,708.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,Germany,:,3254.0,3350.0,3446.0,3446.0,3352.0,3381.0,3399.0,2681.0,2821.0,3072.0,:
Annual,Million vehicle-kilometres (VKM),Total transport,Denmark,:,567.0,580.0,606.0,624.0,648.0,642.0,630.0,567.0,624.0,686.0,705.0
Annual,Million vehicle-kilometres (VKM),Total transport,Estonia,:,148.0,156.0,145.0,149.0,159.0,158.0,168.0,132.0,130.0,143.0,156.0
Annual,Million vehicle-kilometres (VKM),Total transport,Finland,:,450.0,442.0,443.0,453.0,474.0,:,:,337.0,:,348.0,:
Annual,Million vehicle-kilometres (VKM),Total transport,France,:,2896.0,2924.0,2974.0,3038.0,2954.0,3001.0,3053.0,2294.0,2725.0,2995.0,2933.0
Annual,Million vehicle-kilometres (VKM),Total transport,Croatia,:,224.0,226.0,230.0,247.0,263.0,234.0,233.0,139.0,152.0,182.0,206.0
Annual,Million vehicle-kilometres (VKM),Total transport,Hungary,:,575.722,582.17,581.93,589.29,598.15,681.673,636.81,604.482,681.774,710.656,849.572
Annual,Million vehicle-kilometres (VKM),Total transport,Ireland,:,129.14,133.48,133.09,135.69,133.65,139.24,125.71,117.52,115.57,123.76,:
Annual,Million vehicle-kilometres (VKM),Total transport,Iceland,:,:,:,:,:,:,:,:,:,23 e,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,Italy,:,:,:,:,:,1630.0,1640 p,1635.0,1471.0,1616.0,1625.0,1624.0
Annual,Million vehicle-kilometres (VKM),Total transport,Lithuania,:,247.9,254.6,235.3,243.5,249.7,246.7,250.3,183.6,168.9,211.0,242.2
Annual,Million vehicle-kilometres (VKM),Total transport,Luxembourg,:,:,:,64.734,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,North Macedonia,:,:,:,105.847,85.666,91.567,114.751,123.745,47.922,50.176,51.236,55.757
Annual,Million vehicle-kilometres (VKM),Total transport,Malta,:,50.900 e,58.900 e,66.970 e,78.45,71 e,81.930 e,81.440 e,64.34,59.43,73.29,80.274
Annual,Million vehicle-kilometres (VKM),Total transport,Netherlands,:,699.0,673.0,670.0,657.0,696.0,674.0,661.0,508.0,498.0,540.0,545.0
Annual,Million vehicle-kilometres (VKM),Total transport,Norway,:,583.0,572.0,564.0,570.0,578.0,579.0,584.0,552.0,501.0,541.3,563.9
Annual,Million vehicle-kilometres (VKM),Total transport,Poland,:,1542.0,1555.0,1606.0,1545.0,1483.0,1432.0,1441.0,1109.0,1125.0,1204.0,1255.0
Annual,Million vehicle-kilometres (VKM),Total transport,Portugal,:,405.0,389.0,419.49,450.56,455.46,482.28,434.17,307.97,402.89,486.610 p,534.84
Annual,Million vehicle-kilometres (VKM),Total transport,Serbia,:,:,:,:,:,:,:,:,167.0,135.0,174.0,377.0
Annual,Million vehicle-kilometres (VKM),Total transport,Sweden,:,963.0,959.0,975.0,982.0,994.0,999.0,996.0,909.0,887.0,929.0,949.0
Annual,Million vehicle-kilometres (VKM),Total transport,Slovenia,:,:,:,:,:,:,:,:,76.0,100.0,121.0,132 p
Annual,Million vehicle-kilometres (VKM),Total transport,Ukraine,:,:,:,:,:,2017.0,2084.0,2117.0,1468.0,1539.0,:,:
Annual,Million vehicle-kilometres (VKM),Total transport,United Kingdom,:,:,:,:,:,:,:,3822.0,2598.0,2900.0,:,:
