Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Zagreb Resnik - Sesvete,Goods trains,2946.0
Annual,Number,Zagreb Resnik - Sesvete,Passenger trains,54.0
Annual,Number,Sava - Zagreb Resnik,Goods trains,3267.0
Annual,Number,Sava - Zagreb Resnik,Passenger trains,104.0
Annual,Number,Zagreb RK OS S461 - Sava,Goods trains,0.0
Annual,Number,Zagreb RK OS S461 - Sava,Passenger trains,0.0
Annual,Number,Zagreb RK PS - Zagreb RK OS,Goods trains,2041.0
Annual,Number,Zagreb RK PS - Zagreb RK OS,Passenger trains,24.0
Annual,Number,Zagreb Klara - Zagreb RK PS,Goods trains,3632.0
Annual,Number,Zagreb Klara - Zagreb RK PS,Passenger trains,225.0
Annual,Number,Delta - Zagreb Klara,Goods trains,3161.0
Annual,Number,Delta - Zagreb Klara,Passenger trains,5284.0
Annual,Number,Tre¿njevka (R) - Zagreb ZK,Goods trains,1609.0
Annual,Number,Tre¿njevka (R) - Zagreb ZK,Passenger trains,16.0
Annual,Number,Zagreb Resnik - Zagreb Borongaj,Goods trains,51.0
Annual,Number,Zagreb Resnik - Zagreb Borongaj,Passenger trains,236.0
Annual,Number,Micevac - Sava,Goods trains,3197.0
Annual,Number,Micevac - Sava,Passenger trains,104.0
Annual,Number,Velika Gorica - Micevac,Goods trains,254.0
Annual,Number,Velika Gorica - Micevac,Passenger trains,59.0
Annual,Number,Micevac - Zagreb RK OS,Goods trains,2308.0
Annual,Number,Micevac - Zagreb RK OS,Passenger trains,29.0
Annual,Number,Zagreb RK PS - Zagreb Klara Mlaka,Goods trains,0.0
Annual,Number,Zagreb RK PS - Zagreb Klara Mlaka,Passenger trains,0.0
Annual,Number,Zagreb RK PS - Zagreb RK OS S461,Goods trains,0.0
Annual,Number,Zagreb RK PS - Zagreb RK OS S461,Passenger trains,0.0
Annual,Number,Tre¿njevka (S) - Zagreb GK,Goods trains,5.0
Annual,Number,Tre¿njevka (S) - Zagreb GK,Passenger trains,10480.0
Annual,Number,Zagreb Klara - Tre¿njevka (S),Goods trains,1614.0
Annual,Number,Zagreb Klara - Tre¿njevka (S),Passenger trains,10528.0
Annual,Number,Zagreb Klara Mlaka - Zagreb Klara,Goods trains,558.0
Annual,Number,Zagreb Klara Mlaka - Zagreb Klara,Passenger trains,5083.0
Annual,Number,Sisak - Velika Gorica,Goods trains,814.0
Annual,Number,Sisak - Velika Gorica,Passenger trains,5152.0
Annual,Number,Sisak Caprag - Sisak,Goods trains,823.0
Annual,Number,Sisak Caprag - Sisak,Passenger trains,6081.0
Annual,Number,Sunja - Sisak Caprag,Goods trains,358.0
Annual,Number,Sunja - Sisak Caprag,Passenger trains,3441.0
Annual,Number,Novska - Sunja,Goods trains,16.0
Annual,Number,Novska - Sunja,Passenger trains,1429.0
Annual,Number,Zagreb RK OS - Zagreb RK OS S461,Goods trains,2088.0
Annual,Number,Zagreb RK OS - Zagreb RK OS S461,Passenger trains,0.0
Annual,Number,Tre¿njevka (S) - Tre¿njevka (R),Goods trains,1401.0
Annual,Number,Tre¿njevka (S) - Tre¿njevka (R),Passenger trains,48.0
Annual,Number,Velika Gorica - Zagreb Klara Mlaka,Goods trains,563.0
Annual,Number,Velika Gorica - Zagreb Klara Mlaka,Passenger trains,5083.0
Annual,Number,Botovo - Koprivnica DG,Goods trains,1865.0
Annual,Number,Botovo - Koprivnica DG,Passenger trains,559.0
Annual,Number,Koprivnica - Botovo,Goods trains,2321.0
Annual,Number,Koprivnica - Botovo,Passenger trains,567.0
Annual,Number,Kri¿evci - Koprivnica,Goods trains,2330.0
Annual,Number,Kri¿evci - Koprivnica,Passenger trains,4417.0
Annual,Number,Dugo Selo - Kri¿evci,Goods trains,2295.0
Annual,Number,Dugo Selo - Kri¿evci,Passenger trains,6427.0
Annual,Number,Tre¿njevka (R) - Zagreb GK,Goods trains,0.0
Annual,Number,Tre¿njevka (R) - Zagreb GK,Passenger trains,439.0
Annual,Number,Delta - Tre¿njevka (R),Goods trains,0.0
Annual,Number,Delta - Tre¿njevka (R),Passenger trains,407.0
Annual,Number,Karlovac - Delta,Goods trains,2981.0
Annual,Number,Karlovac - Delta,Passenger trains,5738.0
Annual,Number,O¿tarije - Karlovac,Goods trains,3130.0
