Time frequency,Economical indicator for structural business statistics,Size classes in number of persons employed,Cross border trade,Geopolitical entity (reporting)\Time,2004.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Finland,15263.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Lithuania,4115.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Latvia,3487.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Malta,2178.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Norway,29345.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Poland,37194.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Romania,39596.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Sweden,114584.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Slovenia,11875.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Slovakia,3605.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,United Kingdom,272511.0
Annual,Enterprises - number,Total,Total,Germany,286468.0
Annual,Enterprises - number,Total,Total,Denmark,27226.0
Annual,Enterprises - number,Total,Total,Greece,92780.0
Annual,Enterprises - number,Total,Total,Spain,297732.0
Annual,Enterprises - number,Total,Total,Finland,17895.0
Annual,Enterprises - number,Total,Total,Lithuania,5104.0
Annual,Enterprises - number,Total,Total,Latvia,4372.0
Annual,Enterprises - number,Total,Total,Malta,2268.0
Annual,Enterprises - number,Total,Total,Norway,35768.0
Annual,Enterprises - number,Total,Total,Poland,40560.0
Annual,Enterprises - number,Total,Total,Romania,41459.0
Annual,Enterprises - number,Total,Total,Sweden,128641.0
Annual,Enterprises - number,Total,Total,Slovenia,13688.0
Annual,Enterprises - number,Total,Total,Slovakia,5150.0
Annual,Enterprises - number,Total,Total,United Kingdom,335964.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Germany,59442.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Denmark,6666.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Greece,1500.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Spain,6129.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Finland,2632.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Lithuania,989.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Latvia,885.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Malta,90.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Norway,6423.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Poland,3366.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Romania,1863.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Sweden,14057.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Slovenia,1813.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,Slovakia,1545.0
Annual,Enterprises - number,Total,Enterprises carrying out cross border trade,United Kingdom,63453.0
