Time frequency,Waste categories,Hazard class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2006.0,2008.0,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,270.0,495.0,407.0,750.0,593.0,426.0,613.0,708.0,397.0,722.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,7.0,29.0,31.0,32.0,47.0,52.0,34.0,40.0,74.0,31.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,:,:,:,:,337.0,436.0,524.0,546.0,553.0,477.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,:,:,3.0,73.0,329.0,20.0,28.0,10.0,202.0,224.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,110 e,126 e,135 e,60.0,91.0,85.0,296.0,68.0,81.0,84.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,131.0,314.0,271.0,270.0,290.0,287.0,301.0,298.0,288.0,246.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,146.0,261.0,304.0,361.0,271.0,310.0,310.0,308.0,347.0,349.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,42.0,62.0,39.0,39.0,46.0,44.0,50.0,100.0,59.0,61.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,216 e,576 e,54.0,64.0,70.0,71.0,81.0,108 b,91.0,79.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,107 i,50.0,26.0,34.0,34.0,30.0,32.0,38.0,40.0,57.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,:,:,:,1531.0,2008.0,1890 b,2441.0,2199.0,1645.0,4444.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,181.0,292.0,224.0,270.0,283.0,265.0,240.0,283.0,768.0,684.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,54.0,58.0,76.0,57.0,65.0,75.0,60.0,62.0,63.0,63.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,79.0,99.0,98.0,77.0,68.0,69.0,91.0,83.0,80.0,91.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,15.0,0.0,14.0,44.0,53.0,44.0,70.0,183.0,368.0,318.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,133.0,139.0,118.0,84.0,91.0,87.0,92.0,93.0,:,:
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,:,:,:,:,1.0,0.0,0.0,145.0,0.0,:
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Albania,:,:,:,:,:,:,:,:,:,245 d
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Austria,6488.0,6565.0,6767.0,5596.0,5699.0,6537.0,7008.0,7428.0,7728.0,8079.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,:,:,:,:,1161.0,1447.0,1744.0,1930.0,:,1797.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Belgium,5068.0,5627 e,4540.0,5630.0,4847.0,5171.0,5573.0,5967.0,5899.0,5363.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,26050.0,21429.0,22375.0,22635.0,22072.0,24872.0,16907.0,18470.0,16785.0,14603.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,3079.0,1663.0,2343.0,2861.0,2171.0,2321.0,2897.0,2646.0,2491.0,3294.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2871.0,2417.0,2448.0,2268.0,2205.0,2223.0,2402.0,3560 b,3598.0,3672.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,4412.0,4416.0,4540.0,4446.0,4576.0,4785.0,4858.0,4891.0,4824.0,4604.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2329.0,2704.0,2759.0,2923.0,2989.0,3687.0,3663.0,3702.0,3453.0,3333.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,15310.0,14058.0,14647.0,14270.0,16627.0,16587.0,18451.0,17539.0,12163.0,16752.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,3044.0,4657.0,6197.0,6333.0,6549.0,6404.0,6712.0,4215.0,2651.0,2858 p
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,3743.0,3625.0,3248.0,2953.0,2535.0,2378.0,2774.0,2945.0,2230.0,2480.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),5186.0,5214.0,4881.0,5017.0,5086.0,5062.0,5074.0,5235.0,4817.0,4991.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),5161.0,5162.0,4842.0,4872.0,4922.0,4936.0,4955.0,5107.0,:,:
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Finland,13333.0,13711.0,15394.0,19454.0,16961.0,17572.0,22359.0,23253.0,20993.0,19950.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,France,4743 i,4923 i,5376.0,5478.0,5264.0,4893.0,4836.0,5112.0,4577.0,5076.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Croatia,1673.0,1258.0,968.0,735.0,846.0,879.0,1286.0,1355.0,1483.0,1838.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Hungary,2440 e,2213 e,1688 e,1674.0,1644.0,1688.0,1624.0,1879.0,1759.0,2838.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Ireland,6019.0,6926 e,5288.0,4344.0,2764.0,3256.0,3207.0,2874.0,3248.0,2971.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Iceland,1717.0,:,2434.0,1607.0,1651.0,2490.0,3182.0,3667.0,2895.0,:
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Italy,2424.0,2666.0,3047.0,2676.0,2594.0,2597.0,2702.0,2855.0,2942.0,3212.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Liechtenstein,:,:,10806.0,8666.0,12727.0,15278.0,13325.0,11448.0,13951.0,11088.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Lithuania,2076.0,1945.0,1980.0,1801.0,1901.0,2114.0,2327.0,2527.0,2396.0,2003.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Luxembourg,18153.0,17728.0,19630.0,20597.0,15816.0,12713.0,17217.0,14828.0,14618.0,15169.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Latvia,556.0,838.0,687.0,714.0,1135.0,1315.0,975.0,920.0,1501.0,1330.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Montenegro,:,:,:,:,1634.0,1757.0,1820.0,1965.0,2007.0,2050.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,North Macedonia,:,:,666.0,1133.0,4111.0,1058.0,688.0,549.0,716.0,1038.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Malta,7840 e,7060 e,5057 e,3245.0,3636.0,3960.0,4379.0,5336.0,6938.0,5004.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,5678.0,6067.0,6242.0,7291.0,7233.0,7848.0,8281.0,8429.0,7175.0,6921.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,1623.0,2127.0,2157.0,1929.0,2136.0,2066.0,2127.0,2662.0,2610.0,2573.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,3601.0,4028.0,3645.0,4171.0,4266.0,4714.0,4793.0,4621.0,4492.0,4739.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2796 e,3322 e,1599.0,1290.0,1271.0,1381.0,1427.0,1546 b,1612.0,1878.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,17215 i,16248.0,9209.0,9949.0,12432.0,8871.0,9012.0,10425.0,7344.0,8410.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,:,:,:,4610.0,7640.0,6890 b,6937.0,7319.0,8499.0,26325.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,10203.0,10459.0,9346.0,12545.0,16420.0,17226.0,14272.0,13628.0,14664.0,15627.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2890.0,3008.0,2493.0,2922.0,2210.0,2273.0,2661.0,3964.0,3576.0,5397.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,1986.0,2699.0,2133.0,1741.0,1558.0,1636.0,1953.0,2277.0,2338.0,2462.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,870.0,665.0,912.0,869.0,896.0,947.0,953.0,1195.0,1291.0,1284.0
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,4981.0,4785.0,4566.0,3853.0,3791.0,4071.0,4147.0,4249.0,:,:
Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,:,:,:,:,649.0,574.0,1607.0,1648.0,1448.0,:
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Albania,:,:,:,:,:,:,:,:,:,241 d
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,6364.0,6449.0,6607.0,5420.0,5573.0,6388.0,6863.0,7279.0,7583.0,7916.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,:,:,:,:,915.0,1445.0,1740.0,1926.0,:,1793.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,4569.0,5244 e,3987.0,5193.0,4597.0,4907.0,5237.0,5625.0,5557.0,5174.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,24508.0,19646.0,20634.0,20802.0,20236.0,23183.0,15037.0,16558.0,14773.0,12431.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2926.0,1640.0,2312.0,2816.0,2135.0,2118.0,2710.0,2388.0,2455.0,3231.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2729.0,2289.0,2302.0,2138.0,2064.0,2112.0,2299.0,3401 b,3433.0,3526.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,4169.0,4153.0,4268.0,4202.0,4303.0,4516.0,4578.0,4600.0,4542.0,4332.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2270.0,2636.0,2682.0,2703.0,2771.0,3383.0,3312.0,3340.0,3218.0,3110.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,9928.0,9143.0,9009.0,7539.0,9702.0,8667.0,11093.0,9308.0,10965 b,15622.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,3013.0,4632.0,6174.0,6307.0,6522.0,6384.0,6666.0,4157.0,2599.0,2787 p
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,3671.0,3534.0,3168.0,2888.0,2468.0,2314.0,2706.0,2876.0,2160.0,2406.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),5000.0,5001.0,4684.0,4812.0,4883.0,4861.0,4862.0,5007.0,4603.0,4725.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),4982.0,4958.0,4655.0,4682.0,4733.0,4749.0,4758.0,4897.0,:,:
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,12921.0,13196.0,14987.0,18976.0,16655.0,17206.0,21924.0,22908.0,20401.0,14682.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,4603 i,4783 i,5206.0,5300.0,5091.0,4730.0,4671.0,4932.0,4411.0,4908.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,1647.0,1079.0,917.0,718.0,818.0,849.0,1245.0,1312.0,1437.0,1791.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2305 e,2084 e,1622 e,1619.0,1574.0,1627.0,1577.0,1824.0,1700.0,2777.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,5841.0,6760 e,5122.0,3911.0,2660.0,3153.0,3095.0,2744.0,3070.0,2841.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,1688.0,:,2149.0,1580.0,1600.0,2379.0,3039.0,3576.0,2782.0,:
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2317.0,2538.0,2930.0,2532.0,2443.0,2451.0,2542.0,2687.0,2775.0,3041.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,:,:,10603.0,8434.0,12628.0,15124.0,13229.0,11378.0,13922.0,11056.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2049.0,1916.0,1944.0,1767.0,1855.0,2058.0,2266.0,2459.0,2304.0,1919.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,17883.0,17233.0,19222.0,19847.0,15222.0,12287.0,16604.0,14119.0,14221.0,14447.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,548.0,808.0,656.0,682.0,1089.0,1263.0,941.0,880.0,1427.0,1300.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,:,:,:,:,1297.0,1322.0,1296.0,1419.0,1453.0,1573.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,:,:,662.0,1060.0,3781.0,1038.0,660.0,539.0,515.0,814.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,7730.0,6934.0,4922.0,3185.0,3545.0,3875.0,4084.0,5268.0,6857.0,4920.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,5547.0,5752.0,5971.0,7021.0,6944.0,7562.0,7979.0,8131.0,6887.0,6675.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,1477.0,1866.0,1854.0,1569.0,1866.0,1756.0,1817.0,2354.0,2263.0,2225.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,3558.0,3965.0,3607.0,4131.0,4221.0,4670.0,4743.0,4521.0,4432.0,4678.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2581 e,2746 e,1546.0,1226.0,1201.0,1310.0,1347.0,1437 b,1521.0,1800.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,17108 i,16198.0,9183.0,9914.0,12397.0,8841.0,8981.0,10387.0,7304.0,8353.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,:,:,:,3080.0,5632.0,5000 b,4496.0,5120.0,6854.0,21880.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,10022.0,10167.0,9122.0,12275.0,16137.0,16961.0,14033.0,13345.0,13896.0,14943.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2836.0,2950.0,2417.0,2865.0,2145.0,2197.0,2601.0,3902.0,3513.0,5334.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,1907.0,2600.0,2035.0,1663.0,1490.0,1567.0,1862.0,2194.0,2258.0,2371.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,855.0,665.0,897.0,825.0,843.0,902.0,883.0,1012.0,923.0,966.0
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,4848.0,4646.0,4448.0,3769.0,3701.0,3984.0,4055.0,4156.0,:,:
Annual,Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,:,:,:,:,648.0,573.0,1607.0,1502.0,1448.0,:
