Time frequency,Agricultural area,Eurofarm indicators,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Belgium,11.31,10.89,10.47,10.11
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Bulgaria,139.17,123.66,93.81,64.1
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Switzerland,:,:,16.23,:
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Cyprus,12.01,11.68,11.63,10.64
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Czechia,11.61,11.21,6.41,8.89
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Germany,80.65,83.72,79.27,84.8
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Denmark,12.42,10.66,10.26,10.57
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Estonia,6.91,5.55,4.59,4.19
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Greece,174.25,173.75,156.23,176.37
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Spain,264.17,256.05,253.18,243.01
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Finland,19.45,20.32,19.31,15.86
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,France,127.2,126.11,132.72,127.32
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Croatia,:,38.77,63.57,47.19
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Hungary,173.27,169.81,160.82,143.69
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Ireland,30.9,32.76,35.0,35.53
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Iceland,:,:,0.79,:
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Italy,425.34,402.02,393.86,235.78
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Lithuania,56.45,42.0,37.68,35.91
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Luxembourg,0.49,0.52,0.6,0.57
Annual,Total,hold: Total number of holdings,Thousand,From 55 to 64 years,Latvia,28.47,22.29,17.32,19.75
