Time frequency,Classification of activities for time use,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Belgium,7.3
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Bulgaria,3.8
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Switzerland,4.4 u
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Cyprus,2.1
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Czechia,4.9
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Denmark,4.3
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Estonia,2.1
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Greece,4.4
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Spain,11.0
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Finland,2.7
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,France,8.5
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Croatia,1.1
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Hungary,9.0
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Ireland,5.9
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Italy,6.1
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Lithuania,5.6
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Luxembourg,6.2
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Latvia,5.5
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Montenegro,2.8
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Malta,5.3
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Netherlands,4.7
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Norway,1.8
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Poland,2.2
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Portugal,8.6
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,4.0
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,4.1
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,3.8
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,5.0
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,1.8
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Türkiye,8.8
