Time frequency,n_book,lev_limit,sex,age,unit,geo\TIME_PERIOD,2022.0
Annual,0.0,SM_SEV,T,Y_GE16,PC,LV,52.2
Annual,0.0,SM_SEV,T,Y_GE16,PC,ME,83.8
Annual,0.0,SM_SEV,T,Y_GE16,PC,MT,63.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,NL,35.6
Annual,0.0,SM_SEV,T,Y_GE16,PC,NO,34.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,PL,54.2
Annual,0.0,SM_SEV,T,Y_GE16,PC,PT,66.4
Annual,0.0,SM_SEV,T,Y_GE16,PC,RO,81.6
Annual,0.0,SM_SEV,T,Y_GE16,PC,RS,78.8
Annual,0.0,SM_SEV,T,Y_GE16,PC,SE,38.1
Annual,0.0,SM_SEV,T,Y_GE16,PC,SI,49.2
Annual,0.0,SM_SEV,T,Y_GE16,PC,SK,56.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,TR,81.9
Annual,0.0,SOME,T,Y_GE16,PC,AT,41.0
Annual,0.0,SOME,T,Y_GE16,PC,BE,45.3
Annual,0.0,SOME,T,Y_GE16,PC,BG,71.6
Annual,0.0,SOME,T,Y_GE16,PC,CH,20.1
Annual,0.0,SOME,T,Y_GE16,PC,CY,68.8
Annual,0.0,SOME,T,Y_GE16,PC,CZ,37.6
Annual,0.0,SOME,T,Y_GE16,PC,DE,: u
Annual,0.0,SOME,T,Y_GE16,PC,DK,30.2
Annual,0.0,SOME,T,Y_GE16,PC,EA20,49.9 e
Annual,0.0,SOME,T,Y_GE16,PC,EE,32.3
Annual,0.0,SOME,T,Y_GE16,PC,EL,67.4
Annual,0.0,SOME,T,Y_GE16,PC,ES,50.4
Annual,0.0,SOME,T,Y_GE16,PC,EU27_2020,51.1 e
Annual,0.0,SOME,T,Y_GE16,PC,FI,31.9
Annual,0.0,SOME,T,Y_GE16,PC,FR,40.1
Annual,0.0,SOME,T,Y_GE16,PC,HR,69.1
Annual,0.0,SOME,T,Y_GE16,PC,HU,55.6
Annual,0.0,SOME,T,Y_GE16,PC,IE,39.0
Annual,0.0,SOME,T,Y_GE16,PC,IT,69.6
Annual,0.0,SOME,T,Y_GE16,PC,LT,56.9
Annual,0.0,SOME,T,Y_GE16,PC,LU,27.3
Annual,0.0,SOME,T,Y_GE16,PC,LV,48.9
Annual,0.0,SOME,T,Y_GE16,PC,ME,83.4
Annual,0.0,SOME,T,Y_GE16,PC,MT,61.5
Annual,0.0,SOME,T,Y_GE16,PC,NL,33.7
Annual,0.0,SOME,T,Y_GE16,PC,NO,34.9
Annual,0.0,SOME,T,Y_GE16,PC,PL,50.5
Annual,0.0,SOME,T,Y_GE16,PC,PT,63.1
Annual,0.0,SOME,T,Y_GE16,PC,RO,80.2
Annual,0.0,SOME,T,Y_GE16,PC,RS,76.1
Annual,0.0,SOME,T,Y_GE16,PC,SE,34.9
Annual,0.0,SOME,T,Y_GE16,PC,SI,46.5
Annual,0.0,SOME,T,Y_GE16,PC,SK,53.2
Annual,0.0,SOME,T,Y_GE16,PC,TR,80.4
Annual,0.0,TOTAL,T,Y_GE16,PC,AT,36.2
Annual,0.0,TOTAL,T,Y_GE16,PC,BE,40.0
Annual,0.0,TOTAL,T,Y_GE16,PC,BG,62.2
Annual,0.0,TOTAL,T,Y_GE16,PC,CH,19.4
Annual,0.0,TOTAL,T,Y_GE16,PC,CY,66.9
Annual,0.0,TOTAL,T,Y_GE16,PC,CZ,35.8
Annual,0.0,TOTAL,T,Y_GE16,PC,DE,: u
Annual,0.0,TOTAL,T,Y_GE16,PC,DK,27.8
Annual,0.0,TOTAL,T,Y_GE16,PC,EA20,46.7 e
Annual,0.0,TOTAL,T,Y_GE16,PC,EE,29.2
Annual,0.0,TOTAL,T,Y_GE16,PC,EL,57.0
Annual,0.0,TOTAL,T,Y_GE16,PC,ES,45.8
Annual,0.0,TOTAL,T,Y_GE16,PC,EU27_2020,47.2 e
Annual,0.0,TOTAL,T,Y_GE16,PC,FI,30.2
Annual,0.0,TOTAL,T,Y_GE16,PC,FR,38.5
Annual,0.0,TOTAL,T,Y_GE16,PC,HR,58.0
Annual,0.0,TOTAL,T,Y_GE16,PC,HU,47.7
Annual,0.0,TOTAL,T,Y_GE16,PC,IE,33.5
Annual,0.0,TOTAL,T,Y_GE16,PC,IT,64.8
Annual,0.0,TOTAL,T,Y_GE16,PC,LT,47.6
Annual,0.0,TOTAL,T,Y_GE16,PC,LU,24.7
Annual,0.0,TOTAL,T,Y_GE16,PC,LV,49.6
Annual,0.0,TOTAL,T,Y_GE16,PC,ME,64.6
Annual,0.0,TOTAL,T,Y_GE16,PC,MT,56.2
Annual,0.0,TOTAL,T,Y_GE16,PC,NL,32.9
Annual,0.0,TOTAL,T,Y_GE16,PC,NO,29.2
Annual,0.0,TOTAL,T,Y_GE16,PC,PL,45.4
Annual,0.0,TOTAL,T,Y_GE16,PC,PT,58.1
Annual,0.0,TOTAL,T,Y_GE16,PC,RO,70.6
Annual,0.0,TOTAL,T,Y_GE16,PC,RS,64.8
Annual,0.0,TOTAL,T,Y_GE16,PC,SE,30.5
Annual,0.0,TOTAL,T,Y_GE16,PC,SI,40.5
Annual,0.0,TOTAL,T,Y_GE16,PC,SK,52.1
Annual,0.0,TOTAL,T,Y_GE16,PC,TR,69.7
