Time frequency,Unit of measure,Sex,Age class,Reason,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.3 b,5.4,5.3
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.1 bd,4.0 d,3.2 d
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.0 b,3.1,3.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.1 b,8.7,7.8
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.2 bd,3.6 d,3.9 d
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.8 b,1.0,1.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7 b,0.6,0.6
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.6 b,2.7,2.7
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.5,4.1
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.2 b,5.0,4.4
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.4 b,0.4,0.5
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.3 b,2.6,3.1
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.9 bu,0.8 u,1.2 u
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.7 b,3.2,5.1
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.6 b,0.5,0.5
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.0 b,1.4,1.3
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.6 b,3.2,3.5
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.1 b,3.2,3.7
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2 b,0.3,0.3
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.1 b,2.4,2.1
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.6 b,7.1,6.4
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.6 b,1.9,1.8
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: bu,: u,0.3 u
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.3 b,0.2,0.2
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Austria,:,1.1,1.3,1.1,1.0,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.6,0.3 b,0.3 u,0.2 u
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.2 b,8.7,7.1
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Belgium,5.9 b,5.7,5.4,4.7,4.5,6.0,6.7,6.3,6.3,6.6,7.2,7.1,7.3 b,6.8,7.0,6.4,2.9 b,2.7,1.8
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Bulgaria,3.7 b,3.5,2.9,2.2 b,3.1,2.8 b,2.8 b,2.9,3.7,3.4,2.8,2.6,3.5,2.6,3.0 b,2.5,1.7 b,2.1,1.7
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Switzerland,:,:,:,:,:,1.3 b,1.4,1.2,1.1,1.2,1.6,1.5,1.5,1.4,1.5,1.5,1.8 b,1.6,1.4
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Cyprus,12.7 b,12.0,11.9,12.7,12.9 b,13.1,13.4,14.4,16.7,17.9,17.1,15.2,14.1,12.8,12.8,13.0,11.6 b,10.2,12.2
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Czechia,5.5 b,5.4,5.0,4.9,5.1,6.1,6.2 b,6.9,7.1,7.3,8.1,7.5,7.3,4.9,4.6,4.1,2.5 b,2.0,1.7
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Germany,2.3 b,2.6 b,2.8,2.5,2.2,2.4 b,2.4,2.1 b,1.9,1.7,1.6,1.9,1.9,1.7,1.5,0.7 b,0.8 b,0.7,0.6
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Denmark,4.8 b,4.2,3.3,3.1 b,3.7,3.9,3.9,4.3,4.2,4.4,3.4,4.5 b,4.9 b,3.9,3.8,3.7,1.8 b,1.4,1.2
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Euro area – 20 countries (from 2023),4.8 b,8.2,8.0,7.9,7.4,7.8,8.0,7.8,7.7,8.0,8.3,8.6,8.8,8.7,8.4,7.3,5.7 b,4.9,4.3
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Estonia,1.3 b,1.1,0.7,0.8,1.0,1.4,1.4,1.3,1.0,0.8,0.9,0.7,0.4 u,0.5,0.2 u,0.3 u,0.5 bu,0.2 u,: u
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Greece,8.6 b,7.6,7.9,8.3,8.7 b,9.2,9.0,7.7,7.5,8.0,8.0,8.0,8.3,8.2,9.3,7.4,5.6 b,3.5,6.9
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Spain,:,22.4 b,20.6,21.1,19.4 b,20.3,20.9,20.4,19.8,20.7,21.7,23.0,22.7,21.3,21.2,19.5,17.3 bd,13.6 d,10.2 d
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,European Union - 27 countries (from 2020),5.3 b,8.5,8.4,8.1,7.9,8.3,8.2,8.1,8.2,8.5,8.7,8.8,8.8,8.3,7.8,6.8,5.1 b,4.4,3.9
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Finland,12.0 b,11.6,10.6 b,9.0,9.9,9.8,9.7,9.8,10.2,10.7,10.9,11.2,11.2,11.3,10.2,9.6,4.1 b,3.4,2.5
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,France,7.7 b,8.1 b,8.0,8.0,7.6,8.3,8.3,8.3,8.6,9.1 b,9.1,9.3,9.7,8.9,8.3,7.4,5.9 bd,4.5 d,3.8 d
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Croatia,6.9 b,6.7,6.5,6.3,5.9,6.1,6.5,6.6 b,7.2,7.7 b,8.7,17.5,17.5,17.0,15.1,12.1,8.3 b,8.4,6.3
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Hungary,3.4 b,4.2,4.4,4.7,5.5,6.8,6.0,6.8,8.0,8.0,8.7,7.8,6.8,5.3 b,4.6,4.1,1.4 b,1.3,1.1
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Ireland,0.7 b,1.1,1.3 b,1.5,2.1,2.8,3.1,5.0,5.3,4.8,4.6,4.3,3.5 b,2.9,2.4,2.3,1.8 b,1.6,1.5
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Iceland,2.7 b,0.6,0.6,0.5,0.9,1.6,1.5,1.4,1.3,0.9,0.8,0.7,0.6,0.8,0.6,: bu,:,:,:
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Italy,7.9 b,8.3,8.5,8.6,8.3,8.6,9.3,9.8,9.6,9.8,10.3,10.2,11.2,13.7 b,13.6,12.0,8.4 b,8.6,8.3
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Lithuania,4.3 b,3.4,2.6,1.4 u,1.7,1.7,1.7,1.7,1.7,1.6,1.3,1.2,1.0,0.8,0.7,0.7,0.5 b,0.4,0.5
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Luxembourg,2.7 b,2.7,2.5 b,3.0,2.9 b,2.5,2.8,3.6,3.4,4.3,4.4 b,4.1,5.1,5.5,0.2 u,4.9,0.9 b,1.0,1.0 u
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Latvia,3.6 b,5.3,2.6,2.2,3.5,5.1,4.8,3.4,3.0,2.1,1.9,1.9,1.1,1.7,1.8,1.6,0.9 bu,: u,: u
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Montenegro,:,:,:,:,:,:,16.0,20.1,21.3,24.0,27.0,30.3,26.7,29.1,29.3,28.0,:,:,:
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,North Macedonia,:,8.9,9.2,10.8,11.7,12.8,10.0,9.0,12.0,12.4,9.8,0.5,12.2,11.2,12.3,12.5,:,:,:
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Malta,2.3 b,1.8,2.6,2.1,2.6,2.8,3.3,3.6,4.0,4.5,4.2,3.5,2.8,2.9,2.4,2.6,0.9 bu,1.4,1.2
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Netherlands,4.6 b,4.7 b,4.8,4.5,5.0,4.2,4.3,4.8,6.0,6.9,7.5,7.2,6.8,5.9,5.6,4.6,4.3 b,3.7,3.6
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Norway,0.3 b,5.1 b,4.6,4.2,3.7,3.5,4.2,4.2,3.9,3.8,4.0,4.0,4.7,3.9,4.0,4.0,2.1 b,2.5,2.1
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Poland,12.7 b,20.7,20.6,19.1,19.1,20.2 b,16.5 b,17.4,17.9,18.8,18.1,17.2,15.4,12.8,10.0 b,8.3,5.0 b,4.2,3.6
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Portugal,14.0 b,16.5,18.2,18.6,18.1,19.2,18.9 b,17.9,18.4,18.0,18.2,18.9,18.1,18.1,17.2,14.7,9.6 b,9.1,9.8
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Romania,1.6 b,1.3,1.2,1.0,0.8,0.8 b,1.1,1.3,1.3,1.3,1.2,1.1,1.0,0.8,1.1,1.0,1.4 b,1.3,1.4
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Serbia,:,:,:,:,:,7.9,10.0,11.5,13.1,16.0 b,19.2,21.5,20.6,21.2,20.0,18.0,15.6 b,15.7,14.0
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Sweden,9.5 b,9.9,9.7,8.5,8.8,9.3,9.3,9.0,9.4,9.8,9.6,8.7,8.3,8.2 b,7.8,8.0,2.7 b,2.9,2.8
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Slovenia,7.6 b,8.6,9.5,7.7,7.8,8.9,10.2,8.6,9.1,10.8,10.6,9.7,9.4,6.1,4.3,4.4,3.2 b,2.4,2.3
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Slovakia,3.3 b,3.6,3.4,3.3,3.4,3.1,5.5 b,5.7,5.9,7.3,8.5,6.0,7.3,6.2,5.7,4.7,2.5 b,2.2,2.0
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,Türkiye,:,10.8,10.2,9.9,9.5,9.9,10.6,10.4,10.2,10.7 b,10.8,10.6,10.7,9.9,9.2,8.5,8.4 b,7.3,6.9
Annual,Percentage of employees,Total,From 15 to 64 years,No permanent job found,United Kingdom,1.4 b,1.4,1.6 b,1.2 b,1.6,2.0,2.2,2.3,2.1,2.0,1.9,1.8,1.5,1.4,1.2,:,:,:,:
