Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Females,75 years or over,Portugal,33.8,34.3
Annual,Percentage,Females,75 years or over,Romania,24.8,18.5
Annual,Percentage,Females,75 years or over,Serbia,:,31.1
Annual,Percentage,Females,75 years or over,Sweden,: u,56.3 u
Annual,Percentage,Females,75 years or over,Slovenia,45.2,33.4
Annual,Percentage,Females,75 years or over,Slovakia,32.9,28.0
Annual,Percentage,Females,75 years or over,Türkiye,10.5,12.4
Annual,Percentage,Females,75 years or over,United Kingdom,45.9,:
Annual,Percentage,Males,From 55 to 64 years,Austria,:,: u
Annual,Percentage,Males,From 55 to 64 years,Belgium,:,63.8 u
Annual,Percentage,Males,From 55 to 64 years,Bulgaria,:,: u
Annual,Percentage,Males,From 55 to 64 years,Cyprus,:,: u
Annual,Percentage,Males,From 55 to 64 years,Czechia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Germany,:,22.9 u
Annual,Percentage,Males,From 55 to 64 years,Denmark,:,: u
Annual,Percentage,Males,From 55 to 64 years,Estonia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Greece,:,: u
Annual,Percentage,Males,From 55 to 64 years,Spain,:,19.3 u
Annual,Percentage,Males,From 55 to 64 years,European Union - 27 countries (from 2020),:,22.7
Annual,Percentage,Males,From 55 to 64 years,Finland,:,: u
Annual,Percentage,Males,From 55 to 64 years,France,:,: u
Annual,Percentage,Males,From 55 to 64 years,Croatia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Hungary,:,: u
Annual,Percentage,Males,From 55 to 64 years,Ireland,:,: u
Annual,Percentage,Males,From 55 to 64 years,Iceland,:,: u
Annual,Percentage,Males,From 55 to 64 years,Italy,:,35.4 u
Annual,Percentage,Males,From 55 to 64 years,Lithuania,:,: u
Annual,Percentage,Males,From 55 to 64 years,Luxembourg,:,: u
Annual,Percentage,Males,From 55 to 64 years,Latvia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Malta,:,: u
Annual,Percentage,Males,From 55 to 64 years,Netherlands,:,: u
