Time frequency,Economical indicator for structural business statistics,Means of goods and services supply,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Portugal,245.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Bulgaria,28.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Denmark,41.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Hungary,45.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Italy,182.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Latvia,48.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Portugal,125.0
Annual,Enterprises - number,Total,Manufacturing,Number,Bulgaria,332.0
Annual,Enterprises - number,Total,Manufacturing,Number,Denmark,244.0
Annual,Enterprises - number,Total,Manufacturing,Number,Hungary,485.0
Annual,Enterprises - number,Total,Manufacturing,Number,Italy,1897.0
Annual,Enterprises - number,Total,Manufacturing,Number,Latvia,66.0
Annual,Enterprises - number,Total,Manufacturing,Number,Portugal,325.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,60.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Denmark,170.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,238.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,357.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,42.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,106.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Bulgaria,438.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Denmark,558.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Hungary,835.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Italy,1570.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Latvia,199.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Portugal,632.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Bulgaria,858.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Denmark,1013.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Hungary,1603.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Italy,4006.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Latvia,355.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Portugal,1188.0
