Time frequency,International Standard Classification of Education (ISCED 2011),Classification of activities for time use,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Montenegro,2.6,6.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,North Macedonia,11.7,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Malta,8.9,9.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Netherlands,24.2,15.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Norway,14.2,36.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Poland,6.4 u,2.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Portugal,12.6,11.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Romania,3.5,3.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Serbia,4.2,4.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Sweden,30.3,20.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Slovenia,8.2,5.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Slovakia,2.3,3.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,United Kingdom,18.6 u,:
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Austria,21.7,19.9
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Belgium,8.3,8.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Bulgaria,8.3,3.2
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Switzerland,35.6,34.0
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Cyprus,3.4,3.1
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Czechia,7.3,10.2
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Germany,21.7,: u
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Denmark,13.8,13.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),:,15.3 e
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Estonia,12.1,10.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Greece,11.9,9.4
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Spain,13.9,9.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),21.2,14.3 e
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Finland,33.1,:
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,France,40.0,20.4
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Croatia,10.0,4.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Hungary,9.1,8.0
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Ireland,17.4 u,12.5
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Iceland,37.3,:
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Italy,11.7,4.1
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Lithuania,12.6,8.9
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Luxembourg,25.2,21.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Latvia,10.6,6.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Montenegro,6.0,8.6
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,North Macedonia,17.4,:
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Malta,11.3,7.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Netherlands,36.3,25.6
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Norway,22.3,46.5
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Poland,13.1 u,7.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Portugal,25.8,18.3
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Romania,9.3,5.5
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Serbia,6.1,6.9
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Sweden,38.8,26.2
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Slovenia,17.3,12.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,Slovakia,5.5,6.8
Annual,Tertiary education (levels 5-8),Active citizenship,16 years or over,Total,Percentage,United Kingdom,31.9 u,:
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Austria,11.9,12.0
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Belgium,4.9,5.4
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Bulgaria,3.7,1.9
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Switzerland,26.9,26.0
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Cyprus,2.1,2.0
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Czechia,4.2,5.2
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Germany,13.9,: u
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Denmark,9.5,9.9
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),:,8.9 e
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Estonia,8.7,7.7
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Greece,8.4,6.3
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Spain,7.9,5.6
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),12.1,8.1 e
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Finland,24.2,:
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,France,24.8,11.9
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Croatia,5.7,2.9
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Hungary,4.7,3.5
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Ireland,13.0 u,7.5
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Iceland,24.9,:
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Italy,6.3,2.2
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Lithuania,6.3,5.7
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Luxembourg,17.2,21.6
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Latvia,5.6,3.3
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Montenegro,2.9,5.7
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,North Macedonia,9.8,:
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Malta,9.8,9.0
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Netherlands,25.3,18.1
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Norway,16.2,39.4
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Poland,7.3 u,3.6
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Portugal,9.9,9.3
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Romania,3.6,3.1
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Serbia,4.0,4.1
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Sweden,31.3,20.2
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Slovenia,9.8,7.7
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,Slovakia,2.8,4.1
Annual,All ISCED 2011 levels,Active citizenship,16 years or over,Total,Percentage,United Kingdom,20.2 u,:
