Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,From 15 to 34 years,Hungary,58.8 e,53.3,57.0,55.9,52.5 e,56.1 e,64.9 e,62.8 be,68.9 e,68.3 e
Annual,Thousand persons,From 15 to 34 years,Ireland,34.5 e,33.1 e,36.8 e,37.2 be,37.5 e,40.1 e,46.0 e,56.3 be,58.7 e,61.8 e
Annual,Thousand persons,From 15 to 34 years,Iceland,2.5 e,3.0 e,3.5 e,3.7 e,2.9 e,2.6 e,3.1 be,2.8 be,3.7 e,3.8 e
Annual,Thousand persons,From 15 to 34 years,Italy,191.8 e,188.1 e,185.2 e,185.4 e,192.5 be,205.2 e,218.5 e,230.7 be,253.8 e,284.6 e
Annual,Thousand persons,From 15 to 34 years,Lithuania,13.0 e,15.5 e,17.3 e,19.9 e,20.5 e,21.9 e,21.7 e,29.5 be,33.3 e,36.3 e
Annual,Thousand persons,From 15 to 34 years,Luxembourg,3.8 e,4.1 be,4.0,5.2 e,6.8 e,6.8 e,7.3,7.9 b,9.1 e,9.0 e
Annual,Thousand persons,From 15 to 34 years,Latvia,12.2 e,12.4 e,12.1 e,13.1 e,11.3 e,13.6 e,17.5 e,16.5 be,20.9 e,18.9 e
Annual,Thousand persons,From 15 to 34 years,Montenegro,2.2 e,1.8 u,2.0 e,2.4 e,2.0 e,2.6 e,2.2 e,:,:,:
Annual,Thousand persons,From 15 to 34 years,North Macedonia,5.6 e,6.3 e,7.3 e,6.2 e,7.4 e,8.9,10.1 e,:,:,:
Annual,Thousand persons,From 15 to 34 years,Malta,3.7 e,4.2 e,5.2 e,5.7 e,6.3,6.1 e,6.4 e,7.4 be,7.8 e,7.2 e
Annual,Thousand persons,From 15 to 34 years,Netherlands,133.9,135.4,143.8,148.9,163.2,174.5,191.5,230.5 be,255.5,252.7
Annual,Thousand persons,From 15 to 34 years,Norway,37.2 e,37.4 e,35.6 e,39.2 e,41.9,45.6 e,49.3 e,50.1 be,57.0 e,61.1 e
Annual,Thousand persons,From 15 to 34 years,Poland,211.0 e,208.7 e,231.8 e,230.7,224.2,255.4 b,265.8,269.0 b,268.8,321.1
Annual,Thousand persons,From 15 to 34 years,Portugal,57.1 e,52.0 e,51.4 e,51.1 e,61.8 e,71.1 e,71.2 e,80.0 be,86.9,93.5 e
Annual,Thousand persons,From 15 to 34 years,Romania,72.7,83.2 e,81.4 e,87.8 e,90.9 e,94.4 e,95.1 e,96.4 be,105.2 e,81.6 e
Annual,Thousand persons,From 15 to 34 years,Serbia,18.0 be,23.3 e,24.7 e,25.6 e,29.6 e,35.8 e,40.2 e,41.2 b,42.6 e,56.8 be
Annual,Thousand persons,From 15 to 34 years,Sweden,85.1,88.4,93.6 e,104.9 e,109.7 b,114.8,120.9 e,134.5 b,154.3 e,151.7 e
Annual,Thousand persons,From 15 to 34 years,Slovenia,13.2 e,13.7 e,11.4 e,12.8,14.5 e,14.1 e,17.1 e,16.1 be,15.0,13.0
Annual,Thousand persons,From 15 to 34 years,Slovakia,33.2 e,34.0,34.2 e,31.7 e,39.4 e,41.7,41.9 e,43.1 be,44.6 e,37.3 e
Annual,Thousand persons,From 15 to 34 years,Türkiye,204.3 be,214.2 e,212.2 e,223.6 e,222.6 e,210.6 e,215.0 e,238.6 b,290.0,278.1
Annual,Thousand persons,From 15 to 34 years,United Kingdom,559.9 e,570.9 e,586.9 e,585.5 e,629.3 e,646.5 e,:,:,:,:
Annual,Thousand persons,From 35 to 74 years,Austria,85.8,98.8,106.2,110.9,118.0,109.2,115.4,115.2 b,141.5,142.6
Annual,Thousand persons,From 35 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,8.7 be,8.8 e,10.0 e
Annual,Thousand persons,From 35 to 74 years,Belgium,123.5,125.5,125.8,150.7 b,158.9,153.0,156.8,181.6 b,188.9,181.0
Annual,Thousand persons,From 35 to 74 years,Bulgaria,39.8 e,48.6 e,49.0 e,49.0 e,53.3 e,53.7,60.5,63.1 b,69.7 be,77.8
Annual,Thousand persons,From 35 to 74 years,Switzerland,129.3,135.5,141.8,141.5,147.2,157.4,154.5,157.1 b,168.0,170.7
Annual,Thousand persons,From 35 to 74 years,Cyprus,5.8 e,5.3 e,5.6 e,6.0,7.7,6.8,7.8,9.1 b,10.8,13.3 e
Annual,Thousand persons,From 35 to 74 years,Czechia,113.9,108.4,111.0,114.1,134.1,134.9,143.2,160.9 b,154.5,139.3
Annual,Thousand persons,From 35 to 74 years,Germany,908.7,935.5,987.2,996.6,1032.5,1068.7,1184.5 b,1259.5 b,1297.2,1297.0
Annual,Thousand persons,From 35 to 74 years,Denmark,88.5 e,88.0 e,95.3 be,97.6 be,94.8 e,98.9 e,103.4 e,104.7 b,107.0,111.4 b
Annual,Thousand persons,From 35 to 74 years,Estonia,11.6,13.2 e,17.5 e,16.8,16.3,18.8,21.6 e,21.2 b,20.9,26.4 e
Annual,Thousand persons,From 35 to 74 years,Greece,36.7 e,36.5 e,43.4 e,51.2 e,58.3 e,56.4 e,55.5 e,65.1 b,67.9,67.2
Annual,Thousand persons,From 35 to 74 years,Spain,347.6 e,372.3 e,415.8 e,444.3 e,466.6 e,493.9 e,503.9 e,543.2 bd,573.5 d,592.8 d
Annual,Thousand persons,From 35 to 74 years,European Union - 27 countries (from 2020),3991.9 e,4174.2 e,4441.2 e,4607.8 e,4870.3 e,5009.2 e,5374.5 e,5712.8 be,5950.8 e,6139.8 e
Annual,Thousand persons,From 35 to 74 years,Finland,105.4,109.4,114.1,115.2,116.8,117.0,136.0,127.2 b,132.5,134.7
Annual,Thousand persons,From 35 to 74 years,France,535.7 b,555.1,618.5,643.3,673.7,683.8,777.2,781.1 bd,777.1 de,823.9 d
Annual,Thousand persons,From 35 to 74 years,Croatia,21.7 e,24.3 e,31.6 e,30.5 e,30.7 e,32.5 e,30.8 e,31.0 be,36.3 e,38.4 be
Annual,Thousand persons,From 35 to 74 years,Hungary,85.6,99.3,101.1,101.8,113.3,97.1,105.9 e,119.3 be,125.1 e,129.8 e
Annual,Thousand persons,From 35 to 74 years,Ireland,60.5 e,62.2 e,68.2 e,71.6 be,69.6 e,72.9 e,83.8 e,96.9 be,103.8 e,105.3 e
Annual,Thousand persons,From 35 to 74 years,Iceland,4.8 e,5.1 e,5.1 e,5.4 e,5.7 e,6.0 e,6.0 be,4.9 be,5.1 e,6.0 e
Annual,Thousand persons,From 35 to 74 years,Italy,533.3 e,543.5 e,575.0 e,589.1 e,624.3 be,610.9 e,599.5 e,618.7 be,645.2 e,687.1 e
Annual,Thousand persons,From 35 to 74 years,Lithuania,11.2 e,12.5 e,17.0,17.1,17.0,20.1 e,22.9,23.0 b,28.4,34.3 e
Annual,Thousand persons,From 35 to 74 years,Luxembourg,8.9,8.7 b,9.5 e,8.9,10.0 e,11.0 e,11.3 e,12.6 b,15.1,16.9
Annual,Thousand persons,From 35 to 74 years,Latvia,10.4 e,12.3 e,12.2 e,12.4 e,11.9 e,14.5 e,14.9 e,16.3 b,18.6,20.3
Annual,Thousand persons,From 35 to 74 years,Montenegro,2.8 e,3.5 e,2.7 e,3.0 e,2.6 e,2.0 e,3.4 e,:,:,:
Annual,Thousand persons,From 35 to 74 years,North Macedonia,5.2 e,6.3 e,5.7 e,5.8 e,4.9 e,6.3 e,8.3 e,:,:,:
Annual,Thousand persons,From 35 to 74 years,Malta,3.1,3.3,3.1 e,3.8,5.1,5.7,5.0 e,5.3 be,6.6,6.9 e
Annual,Thousand persons,From 35 to 74 years,Netherlands,260.5,279.0,283.5,285.0,305.7,330.1,335.6,390.8 b,429.5,421.0
Annual,Thousand persons,From 35 to 74 years,Norway,81.8 e,80.8 e,76.8 e,83.0 e,80.8 e,81.0 e,87.4 e,98.9 be,89.8,93.0
Annual,Thousand persons,From 35 to 74 years,Poland,202.5,216.0 e,201.1 e,221.3,262.1,291.6 b,328.9 e,357.4 be,375.8,424.0 e
Annual,Thousand persons,From 35 to 74 years,Portugal,79.8 e,79.4 e,85.8 e,82.5 e,85.6 e,100.4 e,113.2 e,133.5 b,123.2,126.7
Annual,Thousand persons,From 35 to 74 years,Romania,67.8 e,78.1,86.5,97.7,99.7,103.4 e,108.3,106.8 b,110.0 e,115.5 e
Annual,Thousand persons,From 35 to 74 years,Serbia,32.1 b,33.5 e,37.3 e,38.5,38.6,38.7 e,39.1 e,52.7 b,55.7,65.0 b
Annual,Thousand persons,From 35 to 74 years,Sweden,191.8,205.3,217.4,228.2,236.8 b,245.6 e,258.9 e,271.1 b,294.4,306.3 e
Annual,Thousand persons,From 35 to 74 years,Slovenia,19.1,19.4 e,20.8,23.3 e,24.6 e,24.4 e,25.4 e,30.4 b,29.8,24.3 e
Annual,Thousand persons,From 35 to 74 years,Slovakia,32.6 e,34.1,39.1,39.1,42.7 e,53.9,64.2,67.7 b,67.5,75.4
Annual,Thousand persons,From 35 to 74 years,Türkiye,98.2 be,108.6 e,115.3 e,129.7 e,140.5 e,153.7 e,160.3 e,166.9 b,184.4 e,203.5
Annual,Thousand persons,From 35 to 74 years,United Kingdom,957.8 e,1067.7 e,1088.9 e,1075.0 e,1121.5 e,1169.8 e,:,:,:,:
