Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Sweden,4.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Slovenia,7.7
Annual,Cinema,Total,Total,Total,No time,Percentage,Slovakia,8.6
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Albania,7.7
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Austria,100.0
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Belgium,16.9
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Bulgaria,32.0
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Switzerland,46.4 u
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Cyprus,22.1
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Czechia,32.9
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Denmark,51.8
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Estonia,27.6
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Greece,18.0
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Spain,28.7
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Finland,43.4
Annual,Cinema,Total,Total,Total,Other reason,Percentage,France,39.8
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Croatia,22.2
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Hungary,11.7
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Ireland,40.5
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Italy,47.0
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Lithuania,28.1
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Luxembourg,12.8
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Latvia,28.2
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Malta,26.8
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Netherlands,32.3
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Norway,28.8
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Poland,17.4 u
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Portugal,25.2
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Romania,13.2
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Serbia,14.3
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Sweden,43.1
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Slovenia,29.4
Annual,Cinema,Total,Total,Total,Other reason,Percentage,Slovakia,32.5
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Albania,17.5
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Austria,0.0 n
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Belgium,28.1
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Bulgaria,42.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Switzerland,17.5 u
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Cyprus,36.4
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Czechia,27.8
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Denmark,0.0 n
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Estonia,51.3
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Greece,31.6
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Spain,26.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Finland,27.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,France,11.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Croatia,39.4
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Hungary,47.0
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Ireland,11.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Italy,12.8
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Lithuania,42.0
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Luxembourg,38.4
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Latvia,36.2
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Malta,36.7
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Netherlands,24.5
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Norway,26.2
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Poland,39.8 u
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Portugal,16.6
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Romania,43.0
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Serbia,32.9
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Sweden,19.3
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Slovenia,24.6
Annual,Cinema,Total,Total,Total,Watching/experiencing by other means,Percentage,Slovakia,35.7
