Time frequency,At risk of poverty - Yes/No,Age class,Work intensity,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Slovakia,:,:,:,:,:,:,:,48.2,63.3,61.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Türkiye,:,75.5,74.7,68.7,66.0,70.2,71.6,76.5,81.1,62.1
Annual,Total,From 18 to 64 years,Total,Percentage,Austria,:,79.4,79.0,80.4,81.0,80.3,81.3,78.1,81.8,85.8
Annual,Total,From 18 to 64 years,Total,Percentage,Belgium,:,80.4,81.2,82.2,84.2,81.0 b,81.1 b,71.5,76.4,85.3
Annual,Total,From 18 to 64 years,Total,Percentage,Bulgaria,:,77.9,81.3 b,82.3,79.7,82.7,84.0,81.1,83.8,87.9
Annual,Total,From 18 to 64 years,Total,Percentage,Switzerland,:,:,80.2,79.4,81.1,79.2,78.6,85.5,87.3,87.3
Annual,Total,From 18 to 64 years,Total,Percentage,Cyprus,:,80.7,79.6,80.3,82.1,84.6,85.9,84.9,88.0,88.1
Annual,Total,From 18 to 64 years,Total,Percentage,Czechia,:,69.6,68.8,69.7,72.2,72.9,73.8,71.8,75.9,85.1
Annual,Total,From 18 to 64 years,Total,Percentage,Germany,:,80.9,81.8,81.9,83.0,83.5,84.3 b,80.0,79.4,81.4
Annual,Total,From 18 to 64 years,Total,Percentage,Denmark,:,:,:,:,:,:,:,88.6,89.7,91.0
Annual,Total,From 18 to 64 years,Total,Percentage,Euro area – 20 countries (from 2023),:,79.6 e,80.6 e,81.2 e,81.5 e,81.8 e,81.5 e,78.6 e,81.2,84.2
Annual,Total,From 18 to 64 years,Total,Percentage,Estonia,:,86.2,82.3,81.8,82.4,84.0,82.3,80.8,82.5,87.6
Annual,Total,From 18 to 64 years,Total,Percentage,Greece,:,89.4,91.5,91.9,90.3,88.4,88.5,87.8,88.3,91.0
Annual,Total,From 18 to 64 years,Total,Percentage,Spain,:,64.7,67.2,67.9,69.7,69.0,70.1,67.1,69.1,74.6
Annual,Total,From 18 to 64 years,Total,Percentage,European Union - 27 countries (from 2020),:,79.7 e,80.5 e,80.8 e,81.1 e,82.1 e,81.6 e,79.3 e,81.7,84.5
Annual,Total,From 18 to 64 years,Total,Percentage,Finland,:,:,:,:,:,:,:,:,:,77.2
Annual,Total,From 18 to 64 years,Total,Percentage,France,:,78.8,79.3,80.3,79.5,80.9,78.0 b,78.4,84.0 b,83.3
Annual,Total,From 18 to 64 years,Total,Percentage,Croatia,72.2,71.2,70.7,76.2,73.8,76.2,77.2,78.1,76.5,80.9 b
Annual,Total,From 18 to 64 years,Total,Percentage,Hungary,:,79.3,79.4,:,83.4,:,:,81.7,85.8,89.4
Annual,Total,From 18 to 64 years,Total,Percentage,Ireland,:,65.8,79.1,77.7,78.7,71.7 b,76.6 b,69.3,75.0,82.5
Annual,Total,From 18 to 64 years,Total,Percentage,Italy,:,86.1,86.7,86.1,85.6,85.8,85.8,80.8,82.7,88.0
Annual,Total,From 18 to 64 years,Total,Percentage,Lithuania,:,89.7,88.3,89.2,88.2,88.8,87.8,76.5,76.8,80.4
Annual,Total,From 18 to 64 years,Total,Percentage,Luxembourg,:,81.8,81.9 b,82.4,82.7,83.7,83.8 b,85.8 b,86.5,86.2
Annual,Total,From 18 to 64 years,Total,Percentage,Latvia,:,87.2,85.6,84.3,84.6,83.5,85.6,82.0,76.9,82.7
Annual,Total,From 18 to 64 years,Total,Percentage,North Macedonia,:,61.7,65.8,67.1,70.5,70.9,63.7,:,:,:
Annual,Total,From 18 to 64 years,Total,Percentage,Malta,:,:,:,:,:,:,:,:,:,95.3
Annual,Total,From 18 to 64 years,Total,Percentage,Netherlands,:,:,:,:,:,:,:,89.7,91.4,91.2
Annual,Total,From 18 to 64 years,Total,Percentage,Norway,:,:,:,:,:,:,:,:,:,81.9 b
Annual,Total,From 18 to 64 years,Total,Percentage,Poland,:,75.4,75.6,74.0,71.7,81.7,79.3,78.8,80.3,82.0
Annual,Total,From 18 to 64 years,Total,Percentage,Portugal,:,84.8,84.5,87.5,88.6,86.9,88.7,86.8,87.5,85.1
Annual,Total,From 18 to 64 years,Total,Percentage,Romania,:,93.7,91.1,90.0,91.5,93.3,91.6,88.8,90.4,89.7
Annual,Total,From 18 to 64 years,Total,Percentage,Serbia,:,74.9,71.6,76.3,75.9,78.5,78.4,93.5,94.4,:
Annual,Total,From 18 to 64 years,Total,Percentage,Sweden,:,74.8,76.2,77.2,78.2,77.2,78.1,80.9,80.8,82.7
Annual,Total,From 18 to 64 years,Total,Percentage,Slovenia,:,80.9,80.2,81.5,82.4,84.1,84.9,85.6,86.9,87.4
Annual,Total,From 18 to 64 years,Total,Percentage,Slovakia,:,:,:,:,:,:,:,84.3,87.3,91.5
Annual,Total,From 18 to 64 years,Total,Percentage,Türkiye,:,89.2,89.0,89.4,88.4,89.9,90.7,91.2,93.9,92.0
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Austria,:,31.4,33.1,31.3,31.8,25.2,25.9,27.3,29.0,48.1
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Belgium,:,19.7,23.3,23.8,26.8,24.5 b,23.9 b,16.8,20.1,15.7
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Bulgaria,:,73.8,73.7 b,77.6,72.3,72.4,77.8,67.1,70.6,66.2
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Switzerland,:,:,54.5,62.2 u,79.5 u,43.0 u,43.6 u,-0.8,9.7,-0.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Cyprus,:,43.4,32.5,23.7,33.2,29.1,45.4,38.6,42.7,44.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Czechia,:,25.1,32.3,31.8,33.9,33.5,32.3,34.8,38.2,37.5
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Germany,:,28.5,27.8,28.3,30.1,31.8,39.3 b,36.3,15.7,17.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Denmark,:,:,:,:,:,:,:,22.5,26.9,24.4
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Euro area – 20 countries (from 2023),:,38.7 e,40.3 e,40.8 e,40.2 e,42.1 e,42.3 e,38.6 e,32.7,35.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Estonia,:,53.4,49.6,53.9,55.5,50.3,46.9,46.5,50.7,52.6
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Greece,:,76.7,78.9,73.7,59.3,55.3,57.2,58.0,58.0,56.9
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Spain,:,38.5,38.8,43.8,39.9,41.3,44.1,45.8,44.0,47.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,European Union - 27 countries (from 2020),:,40.6 e,41.8 e,41.9 e,41.6 e,43.1 e,43.3 e,39.6 e,34.9,37.6
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Finland,:,:,:,:,:,:,:,: u,:,20.7
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,France,:,34.6,38.1,37.3,34.5,37.8,31.4 b,30.7,32.7 b,34.9
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Croatia,65.2,58.7,63.3,65.8,67.8,69.2,71.8,67.1,70.9,66.0 b
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Hungary,:,47.1,53.4,:,54.9,:,:,56.4,64.3,62.0
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Ireland,:,13.7,18.5,19.7,19.8,15.6 b,16.3 b,20.1,20.5,15.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Italy,:,66.2,67.1,63.1,62.7,67.8,63.7,53.4,51.4,61.3
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Lithuania,:,88.4,88.3,90.0,87.1,91.2,83.7,57.0,55.1,49.6
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Luxembourg,:,20.6,44.6 b,46.0,44.4,48.6,31.3 b,19.7 b,33.4 b,43.3
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Latvia,:,67.6,70.6,69.3,72.6,68.5,65.7,65.3,61.7,63.5
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,North Macedonia,:,63.2,67.3,66.5,69.4,70.9,60.7,:,:,:
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Malta,:,:,:,:,:,:,:,: u,:,53.0
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Netherlands,:,:,:,:,:,:,:,18.2,17.5,10.3
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Norway,:,:,:,:,:,:,:,: u,:,8.5 b
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Poland,:,49.7,45.6,44.0,40.6,44.7,46.5,51.2,46.1,50.5
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Portugal,:,51.2,47.5,52.8,54.4,54.8,52.3,51.1,46.9,52.4
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Romania,:,72.1,71.0,70.4,74.8,80.9,83.5,80.2,82.3,77.5
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Serbia,:,75.0,74.5,78.8,75.9,77.6,77.0,90.3,90.3,:
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Sweden,:,26.7,27.0,28.8,29.5,29.4,28.7,30.0,30.2,33.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Slovenia,:,49.2,49.5,48.0,46.9,42.9,38.7,43.0,45.1,49.8
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Slovakia,:,:,:,:,:,:,:,48.4,62.4,61.4
Annual,Total,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Türkiye,:,73.9,71.2,66.5,63.8,67.9,70.3,75.9,80.2,61.5
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Austria,:,65.4,67.0,66.6,66.7,68.9,66.5,55.9,68.8,74.5
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Belgium,:,52.2,54.8,58.8,65.6,55.7 b,54.8 b,36.0,37.0,50.3
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Bulgaria,:,79.0,82.4 b,84.2,83.0,83.3,86.4,82.1,85.9,89.6
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Switzerland,:,:,76.1,79.8,87.2,80.2,78.9,76.5,79.1,81.0
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Cyprus,:,75.0,72.9,73.8,68.4,77.8,85.2,85.2,84.9,82.6
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Czechia,:,61.3,55.3,67.6,68.1,67.1,66.1,61.5,67.6,71.9
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Germany,:,47.6,50.3,54.4,57.6,49.7,71.8 b,70.5,66.7,65.1
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Denmark,:,:,:,:,:,:,:,57.9,61.7,64.6
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Euro area – 20 countries (from 2023),:,64.3 e,65.9 e,66.9 e,68.1 e,67.0 e,70.8 e,66.9 e,66.9,69.1
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Estonia,:,81.0,75.0,74.8,72.0,73.7,73.0,72.4,76.1,78.4
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Greece,:,90.7,89.8,90.8,90.3,80.5,84.7,84.8,85.3,87.0
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Spain,:,68.5,69.5,70.7,71.5,72.4,72.5,70.6,72.2,75.0
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,European Union - 27 countries (from 2020),:,67.8 e,68.7 e,69.0 e,69.9 e,69.4 e,72.2 e,68.4 e,69.1,71.2
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Finland,:,:,:,:,:,:,:,: u,:,37.5
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,France,:,62.7,65.2,62.0,59.7,63.3,57.0 b,53.2,57.6 b,57.8
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Croatia,76.4,77.1,75.1,79.5,77.5,80.0,81.8,78.2,77.3,85.2 b
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Hungary,:,69.8,74.5,:,81.1,:,:,80.4,79.5,83.5
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Ireland,:,29.5,33.2,34.0,35.2,37.0 b,37.7 b,40.0,45.8,49.9
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Italy,:,86.4,85.3,85.4,86.2,85.7,82.5,78.7,78.1,81.1
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Lithuania,:,88.8,88.9,91.3,90.2,90.3,88.5,70.3,66.1,72.4
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Luxembourg,:,77.4,78.8 b,80.3,79.5,80.2,75.9 b,79.2 b,84.4 b,84.8
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Latvia,:,85.4,84.7,83.8,82.5,82.5,83.9,82.7,78.8,86.9
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,North Macedonia,:,70.8,78.8,73.4,76.8,75.0,67.3,:,:,:
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Malta,:,:,:,:,:,:,:,: u,:,91.7
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Netherlands,:,:,:,:,:,:,:,44.7,44.6,64.3
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Norway,:,:,:,:,:,:,:,: u,:,77.0 b
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Poland,:,77.7,78.6,71.7,69.7,76.5,76.5,74.3,77.6,80.6
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Portugal,:,82.9,81.8,79.9,80.3,80.0,86.2,81.6,83.6,84.5
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Romania,:,92.2,89.0,89.2,89.3,91.1,89.0,87.5,87.4,88.1
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Serbia,:,82.5,81.0,82.3,80.7,82.2,79.7,92.5,93.5,:
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Sweden,:,51.4,51.9,54.1,52.3,52.4,51.7,51.5,59.1,59.7
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Slovenia,:,68.3,65.1,69.9,69.8,69.3,70.7,68.4,65.7,68.2
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Slovakia,:,:,:,:,:,:,:,72.5,80.9,83.3
Annual,At risk of poverty,From 16 to 64 years,Total,Percentage,Türkiye,:,93.7,93.1,94.3,93.9,95.2,94.9,93.5,95.5,92.6
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Austria,:,36.4,40.2,36.0,39.1,36.3,35.6,31.2,36.2,55.1
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Belgium,:,30.7,34.5,35.5,33.7,33.4 b,33.7 b,25.9,26.7,23.3
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Bulgaria,:,75.2,77.8 b,79.7,74.0,76.5,79.6,77.3,78.2,75.9
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Switzerland,:,:,54.5 u,: u,: u,60.4 u,: u,13.7,20.6,19.2
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Cyprus,:,52.5,46.5,32.6,35.9,39.8,47.8,57.8,57.7,46.1
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Czechia,:,35.2,38.6,42.8,43.6,42.4,42.1,43.5,50.2,49.3
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Germany,:,29.9,29.9,30.9,32.6,32.9,49.4 b,49.2,34.1,35.4
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Denmark,:,:,:,:,:,:,:,38.8,40.1,43.0
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Euro area – 20 countries (from 2023),:,45.2 e,46.6 e,46.4 e,45.6 e,47.4 e,49.8 e,47.4 e,42.7,44.4
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Estonia,:,55.2,50.1,53.9,55.9,53.3,46.9,51.0,52.0,57.8
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Greece,:,86.8,89.1,85.2,69.0,57.3,63.2,65.7,64.3,63.0
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Spain,:,60.1,56.2,58.0,55.8,52.4,52.4,58.4,53.9,55.5
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,European Union - 27 countries (from 2020),:,46.9 e,48.3 e,47.8 e,47.3 e,48.4 e,50.6 e,48.1 e,44.9,46.5
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Finland,:,:,:,:,:,:,:,: u,:,24.8
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,France,:,38.0,39.1,39.3,35.2,39.4,34.7 b,35.7,36.2 b,39.1
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Croatia,65.9,62.8,67.9,67.5,67.8,69.5,70.5,67.1,71.4,67.8 b
