Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Media,Geopolitical entity (reporting)\Time,2004.0
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Norway,691.1
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Romania,117.0
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Sweden,1567.4
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Slovenia,36.0
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Slovakia,30.4
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",United Kingdom,6367.3
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Germany,797.6
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Greece,307.3
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Spain,2296.0
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Finland,38.2
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Lithuania,12.6
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Latvia,36.2
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Norway,142.5
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Romania,75.6
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Sweden,717.5
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Slovenia,9.7
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,Slovakia,60.1
Annual,Turnover or gross premiums written - million euro,Advertising,Other media,United Kingdom,1749.3
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Germany,3875.8
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Greece,319.0
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Spain,1498.5
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Finland,47.1
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Lithuania,43.8
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Latvia,21.3
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Norway,100.3
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Romania,93.5
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Sweden,519.9
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Slovenia,48.7
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",Slovakia,42.3
Annual,Turnover or gross premiums written - million euro,Advertising,"Outdoor and transport advertising (airplanes, buses, taxis, posters etc.)",United Kingdom,4767.4
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Germany,870.4
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Greece,116.9
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Spain,506.1
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Finland,26.9
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Lithuania,14.5
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Latvia,7.7
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Norway,118.4
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Romania,30.2
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Sweden,12.2
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Slovenia,15.2
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,Slovakia,7.2
Annual,Turnover or gross premiums written - million euro,Advertising,Radio,United Kingdom,694.2
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Germany,13404.7
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Greece,1702.8
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Spain,14707.5
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Finland,1008.5
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Lithuania,179.3
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Latvia,143.9
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Norway,1600.3
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Romania,470.6
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Sweden,3519.8
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Slovenia,202.1
Annual,Turnover or gross premiums written - million euro,Advertising,Total,Slovakia,188.8
Annual,Turnover or gross premiums written - million euro,Advertising,Total,United Kingdom,23433.8
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Germany,1804.4
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Greece,489.3
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Spain,4861.8
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Finland,170.0
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Lithuania,55.1
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Latvia,35.8
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Norway,379.0
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Romania,122.9
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Sweden,579.1
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Slovenia,66.4
Annual,Turnover or gross premiums written - million euro,Advertising,Television,Slovakia,19.8
Annual,Turnover or gross premiums written - million euro,Advertising,Television,United Kingdom,8205.8
