Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,Other ischaemic heart diseases,Females,Türkiye,44.64 d,41.11 d,47.33 d,44.59 d,47.01 d,44.38 d,42 d,38.89 d,36.12 d,46.86 d,47.77 d
Annual,Rate,Total,Other ischaemic heart diseases,Females,United Kingdom,54.4 d,54.74,51.23,47.95,47.15,43.49,41.69,37.86,:,:,:
Annual,Rate,Total,Other ischaemic heart diseases,Males,Austria,162.34,165.01,167.34,158.49,161.44,147.17,139.64,142.69,136.7,132.06,120.68
Annual,Rate,Total,Other ischaemic heart diseases,Males,Belgium,50.72,52.78,51.89,48.1,48.82,45.72,44.94,42.13,39.05,36.73,37.24
Annual,Rate,Total,Other ischaemic heart diseases,Males,Bulgaria,150.98,179.82,156.93,141.89,162.57,147.61,159.34,140.82,157.15,182.18,193.07
Annual,Rate,Total,Other ischaemic heart diseases,Males,Switzerland,108.35,109.7,106.93,96.68,93.97,88.06,85.35,82.97,76.69,76.37,67.17
Annual,Rate,Total,Other ischaemic heart diseases,Males,Cyprus,90.19,86.15,75.25,88.67,80.06,73.83,78.74,73.19,56.37,66.97,55.49
Annual,Rate,Total,Other ischaemic heart diseases,Males,Czechia,340.15,337.7,349.7,326.83,337.15,299.04,293.02,286.54,266.44,286.4,274.32
Annual,Rate,Total,Other ischaemic heart diseases,Males,Germany,124.19,124.17,124.83,117.87,123.7,117.42,122.94,117.95,112.13,113.37,110.03
Annual,Rate,Total,Other ischaemic heart diseases,Males,Denmark,76.06,72.93,69.19,66.86,63.54,65.7,63.9,59.9,57.06,59.6,57.99
Annual,Rate,Total,Other ischaemic heart diseases,Males,Estonia,436.38,453.95,361.1,357.82,316.74,300.85,271.93,261.76,205.87,182.79,178.52
Annual,Rate,Total,Other ischaemic heart diseases,Males,Greece,47.84,54.13,55.23,65.23,68.24,62.37,65.56,61.99,72.59,73.07,74.61
Annual,Rate,Total,Other ischaemic heart diseases,Males,Spain,54.77,55.49,53.31,51.8,53.21,51.29,50.86,47.44,44.29,45.12,43.9
Annual,Rate,Total,Other ischaemic heart diseases,Males,European Union - 27 countries (from 2020),113.66,113.1,108.9,104.77,107.15,101.64,102.99,97.88,94.88,98.94,100.83
Annual,Rate,Total,Other ischaemic heart diseases,Males,Finland,214.49,202.19,195.48,190.33,190.45,193.57,182.46,178.88,165.64,162.69,166.21
Annual,Rate,Total,Other ischaemic heart diseases,Males,France,46.61,46.97,45.26,43.72,44.85,42.99,41.93,41.05,39.3,38.41,37.72
Annual,Rate,Total,Other ischaemic heart diseases,Males,Croatia,250.24,248.18 d,236.29 d,235.34,243.71,221.5,232.22,203.09,153.96,149.37,154.49
Annual,Rate,Total,Other ischaemic heart diseases,Males,Hungary,405.11 d,398.72 d,395.65 d,392.41,389.77,375.74,386.96,375.86,361.91,360.3,355.16
Annual,Rate,Total,Other ischaemic heart diseases,Males,Ireland,132.27,132.71,130.03,117.38,118.31,119.21,108.91,105.09,97.65,95.61,98.41
Annual,Rate,Total,Other ischaemic heart diseases,Males,Iceland,128.27,144.69,140.82,128.64,127.67,124.2,112.72,112.69,93.48,104.27,97.76
Annual,Rate,Total,Other ischaemic heart diseases,Males,Italy,95.27,94.58,89.8,84.55,87.93,81.08,81.02,74.3,73.36,75.5,69.5
Annual,Rate,Total,Other ischaemic heart diseases,Males,Liechtenstein,152.14,144.71,125.71,91.01,154.63,58.42,54.96,81.74,58.53,56.86,76.27
Annual,Rate,Total,Other ischaemic heart diseases,Males,Lithuania,714.4,707.14,700.69,684.52,688.88,690.82,636.88,600.43,558.28,618.94,595.62
Annual,Rate,Total,Other ischaemic heart diseases,Males,Luxembourg,48.79,63.92,64.41,69.74,47.7,66.54,61.01,65.32,55.64,43.72,43.91
Annual,Rate,Total,Other ischaemic heart diseases,Males,Latvia,582.93,563.73,542.47,523.55,507.19,479.51,454.14,435.1,404.24,411.34,447.14
Annual,Rate,Total,Other ischaemic heart diseases,Males,Malta,146.92,203.47,132.67,113.76,125.21,103.84,129.06,98.39,108.89,91.29,82.35
Annual,Rate,Total,Other ischaemic heart diseases,Males,Netherlands,40.89,41.81,40.03,39.93,39.49,37.68,35.13,34.4,32.58,32.34,30.2
Annual,Rate,Total,Other ischaemic heart diseases,Males,Norway,62.72,56.48,55.69,50.46,57.36,51.13,47.25,46.12,44.67,46.86,54.33
Annual,Rate,Total,Other ischaemic heart diseases,Males,Poland,150.25,140.99,123.11,117.66,115.76,117.61,137.33,130.65,132.36,158.33,229.34
Annual,Rate,Total,Other ischaemic heart diseases,Males,Portugal,30.3,29.94,29.81,37.44,38.1,37.89,35.64,33.14,37.77,33.75,31.2
Annual,Rate,Total,Other ischaemic heart diseases,Males,Romania,257.01,257.69,237.94,232.42,237.24,222.48,217.14,209.96,206.64,240.3,252.72
Annual,Rate,Total,Other ischaemic heart diseases,Males,Serbia,107.69,104.56,93.16,94.93,90.26,86.72,85.43,90.59,83.73,80.06,79.92
Annual,Rate,Total,Other ischaemic heart diseases,Males,Sweden,109.35,107.86,102.63,98.87,96.94,92.02,92.5,84.29,78.92,81.07,77.01
Annual,Rate,Total,Other ischaemic heart diseases,Males,Slovenia,103.71,98.67,86.39,74.71,67.82,62.49,56.65,62.68,45.16,43.41,47.78
Annual,Rate,Total,Other ischaemic heart diseases,Males,Slovakia,448.82,422.7,416.93,392.78,381.03,354.31,354.17,305.58,337.56,398.4,392.64
Annual,Rate,Total,Other ischaemic heart diseases,Males,Türkiye,70.4 d,70.59 d,84.01 d,78.17 d,79.52 d,79.78 d,77.01 d,70.37 d,68.26 d,92.12 d,86.78 d
Annual,Rate,Total,Other ischaemic heart diseases,Males,United Kingdom,115.23 d,115.57,112.75,105.43,104.2,98.39,97.56,92.74,:,:,:
Annual,Rate,Total,Other ischaemic heart diseases,Total,Austria,127.25,132.98,129.98,123.06,124.19,112.29,107.56,106.67,101.49,98.24,89.21
Annual,Rate,Total,Other ischaemic heart diseases,Total,Belgium,34.8,34.16,33.39,30.58,31.83,29.42,28.81,26.81,25.52,23.76,23.41
Annual,Rate,Total,Other ischaemic heart diseases,Total,Bulgaria,125.64,149.0,128.23,120.41,131.91,120.72,126.88,115.3,127.58,147.53,155.42
Annual,Rate,Total,Other ischaemic heart diseases,Total,Switzerland,76.74,78.49,75.67,68.88,66.66,61.15,59.79,56.16,53.03,51.16,46.01
Annual,Rate,Total,Other ischaemic heart diseases,Total,Cyprus,70.84,62.99,48.91,58.59,58.42,52.98,51.72,48.1,39.76,49.42,38.74
Annual,Rate,Total,Other ischaemic heart diseases,Total,Czechia,281.21,280.4,288.82,269.37,276.78,235.03,236.36,225.16,211.41,223.74,208.17
Annual,Rate,Total,Other ischaemic heart diseases,Total,Germany,92.21,91.1,91.24,84.78,89.21,82.49,86.37,83.82,78.66,78.83,76.61
Annual,Rate,Total,Other ischaemic heart diseases,Total,Denmark,55.88,52.54,50.18,48.07,46.46,45.64,44.44,39.91,39.82,39.4,39.72
Annual,Rate,Total,Other ischaemic heart diseases,Total,Estonia,319.41,319.16,270.95,257.7,228.74,215.15,194.8,186.72,140.08,120.72,121.89
Annual,Rate,Total,Other ischaemic heart diseases,Total,Greece,35.64,40.09,41.54,49.95,50.36,44.82,48.82,47.19,54.03,54.51,57.39
Annual,Rate,Total,Other ischaemic heart diseases,Total,Spain,38.14,37.8,36.33,34.77,36.31,34.07,33.65,31.66,28.88,29.08,28.03
Annual,Rate,Total,Other ischaemic heart diseases,Total,European Union - 27 countries (from 2020),88.82,88.01,84.3,80.68,82.66,76.78,78.14,74.25,71.5,74.35,76.76
Annual,Rate,Total,Other ischaemic heart diseases,Total,Finland,146.98,141.23,135.53,131.3,130.35,129.24,123.32,118.79,107.9,105.69,106.66
Annual,Rate,Total,Other ischaemic heart diseases,Total,France,29.18,29.47,28.38,27.28,27.48,26.21,25.5,24.98,23.87,23.02,22.68
Annual,Rate,Total,Other ischaemic heart diseases,Total,Croatia,234.66,220.01 d,214.74 d,214.95,225.98,195.46,208.52,180.47,137.44,130.69,130.22
Annual,Rate,Total,Other ischaemic heart diseases,Total,Hungary,337.64 d,334.48 d,324.72 d,323.98,328.38,304.89,316.19,304.13,295.1,295.52,288.51
Annual,Rate,Total,Other ischaemic heart diseases,Total,Ireland,96.39,91.14,90.89,83.84,85.18,84.33,75.21,74.25,68.67,68.52,70.0
Annual,Rate,Total,Other ischaemic heart diseases,Total,Iceland,105.34,93.75,101.16,88.77,85.35,80.83,83.21,75.68,67.53,70.36,67.04
Annual,Rate,Total,Other ischaemic heart diseases,Total,Italy,71.31,70.78,66.22,62.4,64.86,58.53,58.77,53.23,52.45,53.66,49.18
Annual,Rate,Total,Other ischaemic heart diseases,Total,Liechtenstein,112.98,92.8,57.41,62.68,81.62,41.96,40.62,74.42,28.64,46.79,83.12
Annual,Rate,Total,Other ischaemic heart diseases,Total,Lithuania,544.93,546.08,543.65,523.83,540.27,522.2,490.96,460.23,425.83,455.01,450.52
Annual,Rate,Total,Other ischaemic heart diseases,Total,Luxembourg,33.97,39.8,48.11,42.63,38.13,45.26,40.1,41.52,34.25,30.31,27.62
Annual,Rate,Total,Other ischaemic heart diseases,Total,Latvia,412.23,419.25,397.38,382.12,376.85,340.81,313.09,315.0,289.78,291.55,316.04
Annual,Rate,Total,Other ischaemic heart diseases,Total,Malta,117.48,158.01,101.82,92.2,105.22,87.15,100.81,75.21,78.14,79.28,64.3
Annual,Rate,Total,Other ischaemic heart diseases,Total,Netherlands,26.04,26.2,26.06,25.33,24.9,24.18,22.33,21.32,21.08,20.46,19.57
Annual,Rate,Total,Other ischaemic heart diseases,Total,Norway,42.94,42.1,39.62,36.24,40.06,34.57,31.9,32.03,30.16,32.71,38.27
Annual,Rate,Total,Other ischaemic heart diseases,Total,Poland,114.57,104.96,90.88,86.33,85.52,87.01,103.74,97.91,99.99,119.54,182.93
Annual,Rate,Total,Other ischaemic heart diseases,Total,Portugal,23.77,23.45,22.72,26.9,27.64,26.95,24.57,22.97,24.71,23.27,21.6
Annual,Rate,Total,Other ischaemic heart diseases,Total,Romania,223.56,226.98,208.58,205.13,206.85,192.97,190.24,186.09,180.0,202.37,213.15
Annual,Rate,Total,Other ischaemic heart diseases,Total,Serbia,92.88,90.68,78.75,83.65,80.6,76.26,78.58,80.86,73.28,69.39,70.1
Annual,Rate,Total,Other ischaemic heart diseases,Total,Sweden,79.48,77.44,73.42,71.64,68.74,65.4,63.49,59.83,54.91,56.71,53.54
Annual,Rate,Total,Other ischaemic heart diseases,Total,Slovenia,72.57,66.47,59.83,50.25,51.48,43.69,40.5,40.48,33.35,31.37,32.93
Annual,Rate,Total,Other ischaemic heart diseases,Total,Slovakia,386.38,369.9,366.47,334.35,336.87,305.04,309.23,275.53,288.76,334.68,346.53
Annual,Rate,Total,Other ischaemic heart diseases,Total,Türkiye,55.64 d,53.81 d,62.94 d,58.83 d,61.08 d,59.53 d,56.95 d,52.48 d,49.82 d,65.76 d,63.97 d
Annual,Rate,Total,Other ischaemic heart diseases,Total,United Kingdom,80.25 d,80.58,77.5,72.8,71.89,67.51,66.1,62.0,:,:,:
