Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Non-partner - male or female,Percentage,Malta,20.8
Annual,Non-partner - male or female,Percentage,Netherlands,17.4
Annual,Non-partner - male or female,Percentage,Poland,6.5
Annual,Non-partner - male or female,Percentage,Portugal,20.2
Annual,Non-partner - male or female,Percentage,Romania,8.2
Annual,Non-partner - male or female,Percentage,Serbia,11.1
Annual,Non-partner - male or female,Percentage,Sweden,20.1
Annual,Non-partner - male or female,Percentage,Slovenia,18.0
Annual,Non-partner - male or female,Percentage,Slovakia,32.4
Annual,Non-partner - male or female,Percentage,Kosovo*,4.3
Annual,Non-partner - female,Percentage,Austria,3.0 u
Annual,Non-partner - female,Percentage,Belgium,4.4
Annual,Non-partner - female,Percentage,Bulgaria,2.1
Annual,Non-partner - female,Percentage,Cyprus,1.8 u
Annual,Non-partner - female,Percentage,Czechia,2.5 u
Annual,Non-partner - female,Percentage,Germany,: u
Annual,Non-partner - female,Percentage,Denmark,1.8
Annual,Non-partner - female,Percentage,Estonia,3.1
Annual,Non-partner - female,Percentage,Greece,1.9
Annual,Non-partner - female,Percentage,Spain,2.3
Annual,Non-partner - female,Percentage,European Union (aggregate changing according to the context),2.4 e
Annual,Non-partner - female,Percentage,Finland,4.6
Annual,Non-partner - female,Percentage,France,4.4
Annual,Non-partner - female,Percentage,Croatia,3.6
Annual,Non-partner - female,Percentage,Hungary,: u
Annual,Non-partner - female,Percentage,Ireland,3.7 u
Annual,Non-partner - female,Percentage,Lithuania,0.7 u
Annual,Non-partner - female,Percentage,Luxembourg,3.4
Annual,Non-partner - female,Percentage,Latvia,2.0
Annual,Non-partner - female,Percentage,Montenegro,1.6 u
Annual,Non-partner - female,Percentage,Malta,3.1
Annual,Non-partner - female,Percentage,Netherlands,3.8
Annual,Non-partner - female,Percentage,Poland,1.5
Annual,Non-partner - female,Percentage,Portugal,3.8
Annual,Non-partner - female,Percentage,Romania,2.3 u
Annual,Non-partner - female,Percentage,Serbia,1.0 u
Annual,Non-partner - female,Percentage,Sweden,3.2
Annual,Non-partner - female,Percentage,Slovenia,4.3
Annual,Non-partner - female,Percentage,Slovakia,5.2
Annual,Non-partner - female,Percentage,Kosovo*,: u
Annual,Non-partner - male,Percentage,Austria,9.1 u
Annual,Non-partner - male,Percentage,Belgium,14.4
Annual,Non-partner - male,Percentage,Bulgaria,6.7
Annual,Non-partner - male,Percentage,Cyprus,18.7
Annual,Non-partner - male,Percentage,Czechia,6.6
Annual,Non-partner - male,Percentage,Germany,10.1
Annual,Non-partner - male,Percentage,Denmark,14.0
Annual,Non-partner - male,Percentage,Estonia,10.9
Annual,Non-partner - male,Percentage,Greece,19.0
Annual,Non-partner - male,Percentage,Spain,12.4
Annual,Non-partner - male,Percentage,European Union (aggregate changing according to the context),11.9 e
Annual,Non-partner - male,Percentage,Finland,18.6
Annual,Non-partner - male,Percentage,France,15.2
Annual,Non-partner - male,Percentage,Croatia,11.3
Annual,Non-partner - male,Percentage,Hungary,15.6
Annual,Non-partner - male,Percentage,Ireland,13.4
Annual,Non-partner - male,Percentage,Lithuania,4.8
Annual,Non-partner - male,Percentage,Luxembourg,16.2
Annual,Non-partner - male,Percentage,Latvia,5.9
Annual,Non-partner - male,Percentage,Montenegro,6.8
Annual,Non-partner - male,Percentage,Malta,17.3
Annual,Non-partner - male,Percentage,Netherlands,14.9
Annual,Non-partner - male,Percentage,Poland,4.9
Annual,Non-partner - male,Percentage,Portugal,14.2
Annual,Non-partner - male,Percentage,Romania,6.4
Annual,Non-partner - male,Percentage,Serbia,10.2
Annual,Non-partner - male,Percentage,Sweden,18.4
Annual,Non-partner - male,Percentage,Slovenia,15.1
Annual,Non-partner - male,Percentage,Slovakia,29.0
Annual,Non-partner - male,Percentage,Kosovo*,3.8
Annual,Perpetrators - male or female,Percentage,Austria,21.9 u
Annual,Perpetrators - male or female,Percentage,Belgium,22.7
Annual,Perpetrators - male or female,Percentage,Bulgaria,10.4
Annual,Perpetrators - male or female,Percentage,Cyprus,25.8
Annual,Perpetrators - male or female,Percentage,Czechia,12.2
Annual,Perpetrators - male or female,Percentage,Germany,13.8
Annual,Perpetrators - male or female,Percentage,Denmark,23.5
Annual,Perpetrators - male or female,Percentage,Estonia,18.3
Annual,Perpetrators - male or female,Percentage,Greece,26.1
Annual,Perpetrators - male or female,Percentage,Spain,19.2
Annual,Perpetrators - male or female,Percentage,European Union (aggregate changing according to the context),18.5 e
Annual,Perpetrators - male or female,Percentage,Finland,29.7
Annual,Perpetrators - male or female,Percentage,France,23.8
Annual,Perpetrators - male or female,Percentage,Croatia,18.5
Annual,Perpetrators - male or female,Percentage,Hungary,22.2
Annual,Perpetrators - male or female,Percentage,Ireland,21.7
Annual,Perpetrators - male or female,Percentage,Lithuania,8.5
Annual,Perpetrators - male or female,Percentage,Luxembourg,27.0
Annual,Perpetrators - male or female,Percentage,Latvia,10.2
Annual,Perpetrators - male or female,Percentage,Montenegro,11.4
Annual,Perpetrators - male or female,Percentage,Malta,25.2
Annual,Perpetrators - male or female,Percentage,Netherlands,21.6
Annual,Perpetrators - male or female,Percentage,Poland,10.6
Annual,Perpetrators - male or female,Percentage,Portugal,23.8
Annual,Perpetrators - male or female,Percentage,Romania,13.3
Annual,Perpetrators - male or female,Percentage,Serbia,13.8
Annual,Perpetrators - male or female,Percentage,Sweden,29.4
Annual,Perpetrators - male or female,Percentage,Slovenia,19.3
Annual,Perpetrators - male or female,Percentage,Slovakia,32.4
Annual,Perpetrators - male or female,Percentage,Kosovo*,4.8
Annual,Perpetrators - female,Percentage,Austria,3.0 u
Annual,Perpetrators - female,Percentage,Belgium,4.6
Annual,Perpetrators - female,Percentage,Bulgaria,2.1
Annual,Perpetrators - female,Percentage,Cyprus,2.4 u
Annual,Perpetrators - female,Percentage,Czechia,2.5 u
Annual,Perpetrators - female,Percentage,Germany,: u
Annual,Perpetrators - female,Percentage,Denmark,1.9
Annual,Perpetrators - female,Percentage,Estonia,3.1
Annual,Perpetrators - female,Percentage,Greece,2.0
Annual,Perpetrators - female,Percentage,Spain,2.3
Annual,Perpetrators - female,Percentage,European Union (aggregate changing according to the context),2.5 e
Annual,Perpetrators - female,Percentage,Finland,4.8
Annual,Perpetrators - female,Percentage,France,4.5
Annual,Perpetrators - female,Percentage,Croatia,3.6
Annual,Perpetrators - female,Percentage,Hungary,: u
Annual,Perpetrators - female,Percentage,Ireland,3.7 u
Annual,Perpetrators - female,Percentage,Lithuania,0.7 u
Annual,Perpetrators - female,Percentage,Luxembourg,3.5
Annual,Perpetrators - female,Percentage,Latvia,2.0
Annual,Perpetrators - female,Percentage,Montenegro,1.6 u
Annual,Perpetrators - female,Percentage,Malta,3.1
Annual,Perpetrators - female,Percentage,Netherlands,3.9
Annual,Perpetrators - female,Percentage,Poland,1.5
Annual,Perpetrators - female,Percentage,Portugal,3.8
Annual,Perpetrators - female,Percentage,Romania,2.5 u
Annual,Perpetrators - female,Percentage,Serbia,1.0 u
Annual,Perpetrators - female,Percentage,Sweden,3.2
Annual,Perpetrators - female,Percentage,Slovenia,4.3
Annual,Perpetrators - female,Percentage,Slovakia,5.2
Annual,Perpetrators - female,Percentage,Kosovo*,: u
Annual,Perpetrators - male,Percentage,Austria,11.6 u
Annual,Perpetrators - male,Percentage,Belgium,18.7
Annual,Perpetrators - male,Percentage,Bulgaria,9.1
Annual,Perpetrators - male,Percentage,Cyprus,22.8
Annual,Perpetrators - male,Percentage,Czechia,10.1
Annual,Perpetrators - male,Percentage,Germany,12.7
Annual,Perpetrators - male,Percentage,Denmark,21.3
Annual,Perpetrators - male,Percentage,Estonia,14.5
Annual,Perpetrators - male,Percentage,Greece,24.2
Annual,Perpetrators - male,Percentage,Spain,16.5
Annual,Perpetrators - male,Percentage,European Union (aggregate changing according to the context),15.6 e
Annual,Perpetrators - male,Percentage,Finland,23.2
Annual,Perpetrators - male,Percentage,France,19.3
Annual,Perpetrators - male,Percentage,Croatia,14.6
Annual,Perpetrators - male,Percentage,Hungary,21.5
Annual,Perpetrators - male,Percentage,Ireland,17.9
Annual,Perpetrators - male,Percentage,Lithuania,7.2
Annual,Perpetrators - male,Percentage,Luxembourg,24.3
Annual,Perpetrators - male,Percentage,Latvia,7.9
Annual,Perpetrators - male,Percentage,Montenegro,9.7
Annual,Perpetrators - male,Percentage,Malta,20.6
Annual,Perpetrators - male,Percentage,Netherlands,16.8
Annual,Perpetrators - male,Percentage,Poland,8.8
Annual,Perpetrators - male,Percentage,Portugal,16.5
Annual,Perpetrators - male,Percentage,Romania,11.1
Annual,Perpetrators - male,Percentage,Serbia,12.8
Annual,Perpetrators - male,Percentage,Sweden,27.1
Annual,Perpetrators - male,Percentage,Slovenia,16.3
Annual,Perpetrators - male,Percentage,Slovakia,29.0
Annual,Perpetrators - male,Percentage,Kosovo*,4.2
