Time frequency,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Less than 18 years,Percentage,France,7.5,7.6,7.5,7.5,7.1,9.7 b,11.5,10.7 b,9.6
Annual,Total,Less than 18 years,Percentage,Croatia,12.6,10.8,10.8,8.8,6.6,6.7,6.2,5.7,4.3
Annual,Total,Less than 18 years,Percentage,Hungary,11.0,9.0,7.4,4.7,4.6,5.3,6.0,5.2,5.0
Annual,Total,Less than 18 years,Percentage,Ireland,19.2,19.2,17.4,14.7,14.2 b,12.2 b,13.4,10.1,9.8
Annual,Total,Less than 18 years,Percentage,Iceland,5.0,3.7,3.5,3.3,3.8,:,:,:,:
Annual,Total,Less than 18 years,Percentage,Italy,8.5,9.0,7.8,7.1,6.2,7.4,8.2,6.2,6.4
Annual,Total,Less than 18 years,Percentage,Lithuania,8.7,9.8,9.5,10.4,7.5,6.7,8.1,8.6,6.6
Annual,Total,Less than 18 years,Percentage,Luxembourg,2.7,3.5,3.9,3.9,4.7,5.4 b,4.1 b,2.0 b,1.9
Annual,Total,Less than 18 years,Percentage,Latvia,7.6,6.3,6.5,6.0,5.6,7.0,6.0,6.4,6.2
Annual,Total,Less than 18 years,Percentage,Montenegro,23.5,23.7,24.7,25.2,17.7,14.0,21.4,23.5,:
Annual,Total,Less than 18 years,Percentage,North Macedonia,18.6,18.1,19.9,17.9,13.2,15.5,:,:,:
Annual,Total,Less than 18 years,Percentage,Malta,10.6,7.6,7.8,6.3,5.3,6.1,6.5,4.4,4.0
Annual,Total,Less than 18 years,Percentage,Netherlands,6.4,7.8,6.6,5.8,6.6,7.2,7.0,6.7,6.3
Annual,Total,Less than 18 years,Percentage,Norway,5.5,5.2,6.3,6.4,6.8,6.7,7.9 b,6.2,5.0
Annual,Total,Less than 18 years,Percentage,Poland,5.0,5.0,4.1,4.3,3.6,3.2,2.9,3.1,3.1
Annual,Total,Less than 18 years,Percentage,Portugal,8.7,6.4,6.0,5.5,5.2,3.8,4.1,5.3,6.7
Annual,Total,Less than 18 years,Percentage,Romania,7.6,8.1,5.8,7.1,5.0,5.7,3.2,4.7,5.9
Annual,Total,Less than 18 years,Percentage,Serbia,19.8,20.7,19.1,16.3,15.6,13.6,13.3,10.5,:
Annual,Total,Less than 18 years,Percentage,Sweden,8.4,8.1,8.0,9.2,9.2,8.8,8.5,7.4,7.5
Annual,Total,Less than 18 years,Percentage,Slovenia,3.8,3.4,3.3,2.3,2.6,2.2,1.7,2.4,2.5
Annual,Total,Less than 18 years,Percentage,Slovakia,8.1,8.6,7.3,6.3,6.8,3.9,4.7,4.8,6.1
Annual,Total,Less than 18 years,Percentage,Türkiye,8.6,7.3,7.7,7.1,7.7,8.0,9.5,7.7,6.0
Annual,Total,Less than 18 years,Percentage,United Kingdom,14.8,12.9,10.9,9.5,:,:,:,:,:
Annual,Total,Less than 18 years,Thousand,Albania,:,:,79.4,80.4,68.5,70.8,65.6,:,:
Annual,Total,Less than 18 years,Thousand,Austria,111.0,102.8,121.7,96.7,120.0,103.0,111.1,76.8,87.5
Annual,Total,Less than 18 years,Thousand,Belgium,318.6,301.3,305.6,282.5,252.4,262.4,237.8,235.6,213.7
Annual,Total,Less than 18 years,Thousand,Bulgaria,168.9,179.0,167.7,128.5,135.9,130.2,127.6,128.1,91.9
Annual,Total,Less than 18 years,Thousand,Switzerland,70.9,69.5,90.3,80.3,88.9,66.6,64.5,56.8,58.0
Annual,Total,Less than 18 years,Thousand,Cyprus,15.8,15.3,12.8,14.7,9.3,6.7,8.3,4.3,5.6
Annual,Total,Less than 18 years,Thousand,Czechia,154.5,158.9,121.1,91.0,75.0,83.7,130.7,109.5,136.4
Annual,Total,Less than 18 years,Thousand,Germany,931.5,1115.9,942.3,813.3,713.3,1323.0 b,1527.4,1581.0,1591.6
Annual,Total,Less than 18 years,Thousand,Denmark,85.5,76.7,78.1,84.1,56.7,65.9,64.5,52.1,74.3
Annual,Total,Less than 18 years,Thousand,Euro area - 19 countries  (2015-2022),5332.6,5544.2,4978.1,4431.8,4167.0,5088.3,923.9,:,:
Annual,Total,Less than 18 years,Thousand,Euro area – 20 countries (from 2023),5429.0,5625.1,5057.4,4494.6,4213.4,5134.5,5761.3,5238.6,5032.9
Annual,Total,Less than 18 years,Thousand,Estonia,12.5,8.9,9.8,9.5,9.3,7.9,10.2,9.3,11.7
Annual,Total,Less than 18 years,Thousand,Greece,199.2,201.0,174.9,164.1,143.9,140.3,134.6,81.9,71.5
Annual,Total,Less than 18 years,Thousand,Spain,986.4,963.1,807.9,611.3,669.1,588.0,746.2,525.3,552.8
Annual,Total,Less than 18 years,Thousand,European Union - 27 countries (from 2020),6822.6,7005.4,6213.3,5624.8,5186.5,6123.2,6690.6,6156.5,6002.6
Annual,Total,Less than 18 years,Thousand,Finland,77.3,87.9,92.0,91.8,72.2 b,79.2,70.7,88.1 b,60.2
Annual,Total,Less than 18 years,Thousand,France,1006.1,1033.9,1016.3,1011.0,934.2,1286.6 b,1498.2,1457.3 b,1285.2
Annual,Total,Less than 18 years,Thousand,Croatia,96.4,80.9,79.3,62.8,46.4,46.2,42.2,37.7,27.8
Annual,Total,Less than 18 years,Thousand,Hungary,185.0,151.3,124.7,78.3,78.7,88.4,101.6,89.0,85.0
Annual,Total,Less than 18 years,Thousand,Ireland,235.6,237.9,215.8,183.8,172.0 b,146.7 b,160.5,124.6,118.3
Annual,Total,Less than 18 years,Thousand,Iceland,3.9,2.9,2.8,2.6,3.2,:,:,:,:
Annual,Total,Less than 18 years,Thousand,Italy,883.6,914.3,785.5,708.9,603.2,713.7,782.9,580.0,581.0
Annual,Total,Less than 18 years,Thousand,Lithuania,45.9,50.6,48.0,51.8,37.3,33.4,40.4,42.4,33.7
Annual,Total,Less than 18 years,Thousand,Luxembourg,2.9,4.2,4.6,4.3,5.2,6.7 b,5.0 b,2.5 b,2.4
Annual,Total,Less than 18 years,Thousand,Latvia,26.3,21.9,22.7,21.5,20.0,25.5,22.0,23.6,23.0
Annual,Total,Less than 18 years,Thousand,Montenegro,33.4,33.5,35.0,38.8,25.6,19.8,29.8,32.5,:
Annual,Total,Less than 18 years,Thousand,North Macedonia,78.3,75.7,82.5,74.5,54.7,62.2,:,:,:
Annual,Total,Less than 18 years,Thousand,Malta,8.3,6.0,6.2,5.1,4.3,5.1,5.4,3.7,3.3
Annual,Total,Less than 18 years,Thousand,Netherlands,223.8,266.2,222.3,194.7,220.9,240.7,230.8,219.1,209.2
Annual,Total,Less than 18 years,Thousand,Norway,59.6,57.8,67.3,70.2,76.9,74.2,87.1 b,68.7,54.9
Annual,Total,Less than 18 years,Thousand,Poland,341.9,338.7,274.5,291.0,241.0,217.0,202.0,209.8,211.7
Annual,Total,Less than 18 years,Thousand,Portugal,156.6,115.7,106.7,94.9,90.0,66.3,69.1,86.5,112.2
Annual,Total,Less than 18 years,Thousand,Romania,286.7,307.5,217.8,259.1,182.1,206.8,117.0,169.0,206.3
Annual,Total,Less than 18 years,Thousand,Serbia,241.0,255.3,230.3,197.0,185.7,162.0,157.2,121.9,:
Annual,Total,Less than 18 years,Thousand,Sweden,171.1,168.2,172.1,198.2,203.7,196.7,185.8,160.5,164.1
Annual,Total,Less than 18 years,Thousand,Slovenia,14.3,13.1,12.6,8.6,9.9,8.7,6.5,9.3,9.8
Annual,Total,Less than 18 years,Thousand,Slovakia,76.8,84.1,70.4,63.4,67.4,38.6,47.9,49.5,62.8
Annual,Total,Less than 18 years,Thousand,Türkiye,1932.6,1629.5,1752.0,1617.0,1751.0,1841.7,2171.5,1727.7,1348.0
Annual,Total,Less than 18 years,Thousand,United Kingdom,1917.9,1685.3,1494.6,1298.3,:,:,:,:,:
Annual,Total,Less than 65 years,Percentage,Albania,:,:,13.3,12.9,11.8,11.3,11.6,:,:
Annual,Total,Less than 65 years,Percentage,Austria,6.3,7.0,7.2,6.4,6.6,6.1,7.4,5.7,5.7
Annual,Total,Less than 65 years,Percentage,Belgium,15.0,15.2,14.5,13.1,12.8,12.3,11.9,11.5,10.5
Annual,Total,Less than 65 years,Percentage,Bulgaria,11.5,11.5,11.1,9.0,9.2,8.4,8.4,8.6,7.0
Annual,Total,Less than 65 years,Percentage,Switzerland,5.2,5.2,5.6,6.1,6.2,5.5,5.6,5.5,5.0
Annual,Total,Less than 65 years,Percentage,Cyprus,10.4,10.1,8.7,8.1,6.6,5.3,5.8,4.1,4.4
Annual,Total,Less than 65 years,Percentage,Czechia,6.8,6.7,5.7,4.5,4.4,4.4,5.4,4.5,5.1
Annual,Total,Less than 65 years,Percentage,Germany,9.5,9.4,8.7,8.0,7.6,8.3 b,9.5,9.8,9.9
Annual,Total,Less than 65 years,Percentage,Denmark,11.9,11.1,10.5,10.0,9.5,9.1,9.7,8.8,9.8
Annual,Total,Less than 65 years,Percentage,Euro area - 19 countries  (2015-2022),10.8,10.8,9.9,9.1,8.8,9.2,10.0,:,:
Annual,Total,Less than 65 years,Percentage,Euro area – 20 countries (from 2023),10.9,10.8,9.9,9.1,8.7,9.1,10.0,9.1,8.8
Annual,Total,Less than 65 years,Percentage,Estonia,6.2,5.5,5.4,5.3,5.3,4.8,5.1,5.7,5.9
Annual,Total,Less than 65 years,Percentage,Greece,15.3,15.7,14.3,13.6,12.7,11.8,12.1,9.5,8.3
Annual,Total,Less than 65 years,Percentage,Spain,15.4,14.9,12.8,10.8,10.9,10.0,11.6,8.7,8.4
Annual,Total,Less than 65 years,Percentage,European Union - 27 countries (from 2020),10.1,10.0,9.1,8.5,8.0,8.3,9.0,8.3,8.0
Annual,Total,Less than 65 years,Percentage,Finland,11.5,12.1,11.4,11.1,8.1 b,8.3,8.6,10.1 b,8.7
Annual,Total,Less than 65 years,Percentage,France,8.3,7.8,7.7,7.5,7.1,9.7 b,10.8,9.9 b,9.2
Annual,Total,Less than 65 years,Percentage,Croatia,12.3,11.1,10.6,9.3,7.5,7.2,7.5,6.3,5.5
Annual,Total,Less than 65 years,Percentage,Hungary,8.8,7.7,6.3,5.5,4.9,4.9,5.4,6.2,4.9
Annual,Total,Less than 65 years,Percentage,Ireland,18.8,17.8,16.1,13.2,12.9 b,11.4 b,12.4,9.6,9.1
Annual,Total,Less than 65 years,Percentage,Iceland,5.2,4.3,4.0,4.0,4.4,:,:,:,:
Annual,Total,Less than 65 years,Percentage,Italy,11.2,12.1,10.8,10.7,9.6,10.2,10.8,9.8,8.9
Annual,Total,Less than 65 years,Percentage,Lithuania,9.1,10.2,9.4,9.2,7.6,7.2,8.1,8.3,8.0
Annual,Total,Less than 65 years,Percentage,Luxembourg,5.4,6.5,6.5,7.8,6.9,7.1 b,5.5 b,3.5 b,3.9
Annual,Total,Less than 65 years,Percentage,Latvia,7.7,7.0,7.3,7.3,7.4,7.4,6.6,7.2,7.0
Annual,Total,Less than 65 years,Percentage,Montenegro,22.2,23.3,23.2,22.6,17.5,14.0,20.4,20.9,:
Annual,Total,Less than 65 years,Percentage,North Macedonia,17.6,16.4,16.9,16.2,13.5,14.8,:,:,:
Annual,Total,Less than 65 years,Percentage,Malta,9.2,6.8,6.6,5.3,4.9,5.4,5.3,3.8,3.6
Annual,Total,Less than 65 years,Percentage,Netherlands,10.0,9.5,9.4,8.4,8.9,8.7,8.6,8.4,8.2
Annual,Total,Less than 65 years,Percentage,Norway,7.4,7.2,8.1,8.2,7.7,9.0,9.4 b,9.2,8.7
Annual,Total,Less than 65 years,Percentage,Poland,6.9,6.6,5.8,5.7,5.0,4.3,4.2,3.8,3.9
Annual,Total,Less than 65 years,Percentage,Portugal,10.2,8.5,7.7,6.9,6.2,5.0,5.3,5.6,6.3
Annual,Total,Less than 65 years,Percentage,Romania,6.2,6.4,5.4,6.0,4.5,4.7,3.5,4.2,5.2
Annual,Total,Less than 65 years,Percentage,Serbia,20.2,20.8,20.3,17.5,16.2,15.3,14.8,12.5,:
Annual,Total,Less than 65 years,Percentage,Sweden,7.8,7.8,8.2,8.3,8.3,7.9,8.8,8.1,8.0
Annual,Total,Less than 65 years,Percentage,Slovenia,5.8,6.0,5.2,4.4,4.3,3.9,3.6,3.8,3.8
Annual,Total,Less than 65 years,Percentage,Slovakia,7.0,6.4,5.3,5.2,6.3,4.3,4.9,3.8,4.6
Annual,Total,Less than 65 years,Percentage,Türkiye,10.0,9.1,9.1,8.9,9.4,10.3,11.9,9.8,8.6
Annual,Total,Less than 65 years,Percentage,United Kingdom,11.7,10.8,9.8,8.4,:,:,:,:,:
Annual,Total,Less than 65 years,Thousand,Albania,:,:,316.2,304.0,277.4,262.5,267.5,:,:
Annual,Total,Less than 65 years,Thousand,Austria,388.7,438.1,455.3,410.0,416.8,390.8,469.5,363.0,370.4
Annual,Total,Less than 65 years,Thousand,Belgium,1295.7,1314.9,1262.9,1140.1,1115.5,1076.7,1051.1,1020.0,937.3
Annual,Total,Less than 65 years,Thousand,Bulgaria,607.4,594.2,570.4,461.7,472.1,423.9,421.3,428.5,322.9
Annual,Total,Less than 65 years,Thousand,Switzerland,333.6,342.7,370.1,401.4,411.0,370.3,376.5,372.5,340.6
Annual,Total,Less than 65 years,Thousand,Cyprus,73.4,70.4,61.4,57.8,47.2,38.9,42.8,30.3,33.2
Annual,Total,Less than 65 years,Thousand,Czechia,532.4,527.7,449.0,359.5,346.2,351.3,432.9,354.2,405.7
Annual,Total,Less than 65 years,Thousand,Germany,5730.9,5791.5,5368.0,4908.3,4692.1,5117.6 b,5903.4,6149.5,6276.1
Annual,Total,Less than 65 years,Thousand,Denmark,510.6,480.0,452.2,440.4,414.4,401.9,429.3,385.6,433.0
Annual,Total,Less than 65 years,Thousand,Euro area - 19 countries  (2015-2022),27198.5,27038.3,24781.8,22920.3,21909.5,23042.5,3901.7,:,:
Annual,Total,Less than 65 years,Thousand,Euro area – 20 countries (from 2023),27569.3,27368.8,25094.4,23191.4,22039.0,23156.1,25451.7,23380.6,22603.1
Annual,Total,Less than 65 years,Thousand,Estonia,60.7,54.4,53.4,52.7,53.1,47.8,51.1,50.2,57.6
Annual,Total,Less than 65 years,Thousand,Greece,1187.1,1206.1,1098.4,1039.0,970.2,897.2,925.7,711.4,613.9
Annual,Total,Less than 65 years,Thousand,Spain,5612.2,5408.7,4593.8,3893.8,3963.3,3668.6,4242.8,3160.0,3092.1
Annual,Total,Less than 65 years,Thousand,European Union - 27 countries (from 2020),33356.2,32974.0,30105.3,27970.1,26297.3,27153.9,29484.2,27273.7,26545.4
Annual,Total,Less than 65 years,Thousand,Finland,462.4,482.4,453.8,440.2,310.4 b,315.3,329.9,385.6 b,332.4
Annual,Total,Less than 65 years,Thousand,France,3814.3,3577.9,3542.1,3442.2,3179.2,4480.3 b,4964.6,4753.6 b,4472.5
Annual,Total,Less than 65 years,Thousand,Croatia,370.8,330.5,312.6,271.2,215.4,203.8,210.0,167.7,144.8
Annual,Total,Less than 65 years,Thousand,Hungary,646.5,562.8,464.5,402.7,355.6,359.2,398.2,451.4,359.6
Annual,Total,Less than 65 years,Thousand,Ireland,737.6,708.3,647.6,537.2,526.5 b,462.8 b,518.8,408.7,386.3
Annual,Total,Less than 65 years,Thousand,Iceland,13.9,11.8,11.5,11.8,12.7,:,:,:,:
Annual,Total,Less than 65 years,Thousand,Italy,5028.5,5402.6,4814.5,4763.9,4251.1,4395.9,4641.7,4147.9,3791.0
Annual,Total,Less than 65 years,Thousand,Lithuania,203.9,225.0,202.9,196.1,160.7,153.0,174.3,178.3,176.4
Annual,Total,Less than 65 years,Thousand,Luxembourg,22.2,30.3,30.8,35.9,32.4,34.5 b,27.1 b,17.5 b,20.2
Annual,Total,Less than 65 years,Thousand,Latvia,113.1,101.8,105.0,104.2,104.5,105.7,92.2,97.6,94.3
Annual,Total,Less than 65 years,Thousand,Montenegro,110.7,115.9,113.6,115.5,88.0,70.9,101.4,106.1,:
Annual,Total,Less than 65 years,Thousand,North Macedonia,308.2,287.0,294.8,282.3,234.0,255.0,:,:,:
Annual,Total,Less than 65 years,Thousand,Malta,31.1,23.3,23.0,18.9,18.4,21.3,20.9,15.2,15.1
Annual,Total,Less than 65 years,Thousand,Netherlands,1269.0,1188.1,1176.3,1062.6,1140.3,1112.6,1098.2,1079.4,1076.0
Annual,Total,Less than 65 years,Thousand,Norway,286.8,276.4,313.6,325.5,310.0,371.1,389.6 b,385.0,363.3
Annual,Total,Less than 65 years,Thousand,Poland,2006.7,1927.3,1691.2,1622.1,1395.0,1192.5,1183.8,1050.6,1086.3
Annual,Total,Less than 65 years,Thousand,Portugal,788.9,657.3,594.2,533.4,472.2,380.0,405.3,426.3,486.0
Annual,Total,Less than 65 years,Thousand,Romania,927.5,949.6,788.0,879.5,655.4,666.8,491.9,597.2,717.6
Annual,Total,Less than 65 years,Thousand,Serbia,1049.1,1074.7,1039.8,890.6,822.5,769.9,745.2,625.2,:
Annual,Total,Less than 65 years,Thousand,Sweden,555.9,563.5,595.6,612.7,619.6,602.1,675.1,625.6,617.2
Annual,Total,Less than 65 years,Thousand,Slovenia,86.8,90.0,78.2,65.3,65.1,59.4,54.8,57.5,58.7
Annual,Total,Less than 65 years,Thousand,Slovakia,292.1,267.2,220.2,218.5,264.9,182.3,205.2,160.9,194.5
Annual,Total,Less than 65 years,Thousand,Türkiye,6433.4,5881.8,5965.5,5971.6,6354.6,6997.9,8135.9,6739.0,5867.6
Annual,Total,Less than 65 years,Thousand,United Kingdom,5705.4,5365.6,4900.4,4256.8,:,:,:,:,:
