Time frequency,Economical indicator for structural business statistics,Client/Trader,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,Luxembourg,:,20.4
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,Portugal,:,19.4
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,Sweden,14.3,:
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,United Kingdom,:,2432.8
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Denmark,:,110.4
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Spain,:,40.0
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Finland,:,63.7
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,France,1170.8,:
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Luxembourg,:,15.5
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Portugal,:,26.9
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,Sweden,25.9,:
Annual,Turnover or gross premiums written - million euro,Households,Computer and related activities,United Kingdom,:,1095.0
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,Denmark,:,0.8
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,Spain,:,11.9
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,France,388.4,:
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,Luxembourg,:,5.7
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,Portugal,:,1.5
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,Sweden,5.1,:
Annual,Turnover or gross premiums written - million euro,Households,Hardware consultancy,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Denmark,:,83.6
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Spain,:,15.8
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Finland,:,8.3
