Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Estonia,10.0,9.4,11.8 b,12.3,11.4,11.9,12.0,11.0,10.7,10.5 b,10.2,10.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Greece,34.2,32.8,31.6 b,29.6,28.2,27.1,26.4,23.2,21.2,20.2 b,19.2,18.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Spain,45.3,44.5,43.4 b,42.6,41.7,40.9,39.9,38.7,37.1,36.6 b,36.3,35.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,European Union - 27 countries (from 2020),26.2,25.3,24.5 b,23.9,23.4,22.8,22.2,21.5,21.0,21.0 b,20.6,20.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Finland,15.2,14.1,13.5 b,12.3,11.9,11.7,10.8,9.9,8.9,11.1 b,10.9,11.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,France,27.6,25.0 b,23.3 b,22.4,21.9,21.6,20.6,19.5,18.5,17.8 b,16.7,16.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Croatia,19.0 b,18.2,17.2 b,17.0,17.5,16.4,15.1,14.4,13.5,12.6 b,11.8,10.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Hungary,18.0,17.5,16.9 b,16.8,16.6,16.0,15.1 b,15.1,14.4,13.6 b,12.9,12.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Ireland,25.1,22.9,19.7 b,18.9,18.6,17.5 b,16.8,16.3,14.5,12.5 b,12.2,11.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Iceland,29.0,27.8,26.4 b,25.0,21.8,22.7,22.0,21.4,21.8 b,18.0 b,18.7,18.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Italy,42.8,41.8,40.7 b,40.1,39.9,39.1,38.2 b,37.7,37.4,37.3 b,37.0,34.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Lithuania,6.7,6.6,6.7 b,6.5,5.4,5.2,5.2,5.0,4.6,5.1 b,5.4,5.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Luxembourg,21.7,19.5,18.0 b,24.0 b,21.6 u,23.6 u,21.4,20.7,21.5,19.7 b,18.4,18.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Latvia,10.9,10.6,10.5 b,9.9,9.3,9.6,9.3,8.8,8.3,7.8 b,8.2,8.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Montenegro,16.4,15.4,14.4 b,14.1,14.5,13.9,13.2,12.2,12.4,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,North Macedonia,35.1,34.4,34.3 b,33.6,31.6,30.4,29.8,28.4,27.4,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Malta,61.5,58.5,55.4 b,53.2,50.6,48.0,45.0,42.1,40.5,37.1 b,34.5,31.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Netherlands,26.6,24.2 b,24.1 b,23.6,22.9,21.6,21.0,20.4 b,19.0,19.4 b,18.8,19.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Norway,17.9,17.6,17.3 b,17.3,17.7,17.8,17.0,16.8,16.6,17.6 b,17.5,16.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Poland,10.4,9.9,9.5 b,9.2,8.7,7.9,7.6,7.3,6.7,6.7 b,6.5,5.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Portugal,62.7,60.2,56.8 b,54.9,53.1,52.0,50.2,47.7,45.6,43.1 b,41.7,41.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Romania,24.6,24.3,27.2 b,25.0,23.3,22.1,21.5,21.0,19.6,19.0 b,18.1,19.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Serbia,24.2,23.7,21.2 b,20.3,20.2,20.0,19.1,18.5,17.7,17.5 b,16.6,15.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Sweden,17.6,16.8,16.3 b,15.7,15.0,14.7,14.4 b,13.9,13.5,12.5 b,11.7,11.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Slovenia,15.0,14.5,14.3 b,13.2,12.7,12.1,11.9,11.2,9.8,8.7 b,9.0,11.5 b
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Slovakia,8.3,8.1,9.0 b,8.6,8.1,8.6,8.3,8.6,7.3,6.7 b,6.3,6.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Türkiye,69.1,68.1,67.4 b,65.8,64.4,63.6,62.6,61.1,59.3,57.8 b,56.0,54.0
