Time frequency,Type of mortality,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Total,Total,Total,Rate,Spain,202.44,198.27,193.81,188.6,187.73,184.65,181.38,178.01,172.59,205.59,194.98
Annual,Total,Total,Total,Rate,European Union - 27 countries (from 2020),281.35,276.75,269.66,260.65,262.14,255.64,252.09,249.88,243.16,271.62,294.1
Annual,Total,Total,Total,Rate,European Union - 28 countries (2013-2020),278.0,273.39,266.66,258.25,259.85,254.32,250.75,:,:,:,:
Annual,Total,Total,Total,Rate,Finland,274.53,267.92,259.75,246.23,238.15,242.82,236.59,230.22,222.82,228.61,226.18
Annual,Total,Total,Total,Rate,France,214.83,208.84,205.16,198.33,199.34,196.06,191.95,189.02,185.84,201.71,204.06
Annual,Total,Total,Total,Rate,Croatia,414.76,404.92,384.47,383.23,393.71,371.26,370.95,371.74,360.91,395.15,451.75
Annual,Total,Total,Total,Rate,Hungary,556.06,542.36,516.64,512.73,518.21,501.24,506.76,501.57,488.59,529.99,641.22
Annual,Total,Total,Total,Rate,Ireland,251.71,242.57,236.64,230.95,220.73,218.24,202.72,207.96,198.03,211.42,217.62
Annual,Total,Total,Total,Rate,Iceland,202.3,192.02,200.06,180.86,192.87,201.69,180.48,178.4,162.1,156.33,169.92
Annual,Total,Total,Total,Rate,Italy,200.23,197.18,187.83,181.87,184.92,176.65,175.07,169.63,164.92,197.05,192.43
Annual,Total,Total,Total,Rate,Liechtenstein,209.42,179.51,210.18,151.12,165.82,181.75,158.31,149.74,158.1,184.92,148.54
Annual,Total,Total,Total,Rate,Lithuania,602.34,591.03,579.86,546.46,556.71,541.71,492.78,478.62,466.15,540.06,584.96
Annual,Total,Total,Total,Rate,Luxembourg,233.01,228.08,231.21,213.29,205.48,211.19,203.31,199.97,179.89,193.94,187.32
Annual,Total,Total,Total,Rate,Latvia,606.08,591.8,581.64,558.07,547.82,535.05,525.32,522.1,485.06,502.57,644.03
Annual,Total,Total,Total,Rate,Malta,240.98,239.33,209.74,215.6,200.85,202.5,203.13,202.51,186.9,204.17,214.57
Annual,Total,Total,Total,Rate,Netherlands,220.45,218.25,210.35,200.87,205.98,202.84,193.19,193.33,184.97,200.43,206.26
Annual,Total,Total,Total,Rate,Norway,219.85,211.89,208.06,195.7,192.6,192.01,180.86,178.52,172.27,171.75,169.48
Annual,Total,Total,Total,Rate,Poland,395.4,389.06,377.51,355.18,352.57,348.26,351.47,355.02,352.28,418.88,481.71
Annual,Total,Total,Total,Rate,Portugal,244.04,236.26,231.22,233.11,228.64,229.33,222.28,221.27,214.65,224.82,230.42
Annual,Total,Total,Total,Rate,Romania,563.26,552.27,529.09,526.28,522.99,518.22,512.89,517.63,504.81,593.2,694.8
Annual,Total,Total,Total,Rate,Serbia,437.03,426.2,411.26,401.92,417.53,408.12,407.04,398.66,399.84,488.65,599.24
Annual,Total,Total,Total,Rate,Sweden,205.11,201.45,201.33,194.46,193.24,188.91,184.68,183.31,170.21,185.38,177.48
Annual,Total,Total,Total,Rate,Slovenia,309.25,297.41,294.53,277.59,284.88,263.62,265.47,252.86,245.36,268.3,278.78
Annual,Total,Total,Total,Rate,Slovakia,462.01,458.45,444.41,423.71,435.2,412.2,412.46,406.67,394.71,431.28,585.27
Annual,Total,Total,Total,Rate,Türkiye,307.88,294.9,336.16,332.4,325.75,328.34,315.53,305.98,285.0,358.52,390.32
Annual,Total,Total,Total,Rate,United Kingdom,253.61,248.82,244.81,240.72,243.05,244.39,240.7,237.95,:,:,:
Annual,Treatable mortality,Total,Total,Rate,Austria,81.28,79.89,78.75,77.66,79.02,77.8,76.22,75.24,73.16,70.44,71.19
Annual,Treatable mortality,Total,Total,Rate,Belgium,82.31,82.04,81.65,74.86,73.93,71.5,70.97,69.89,65.17,62.67,61.64
Annual,Treatable mortality,Total,Total,Rate,Bulgaria,195.09,206.11,192.83,200.79,197.45,194.35,191.84,188.26,188.99,212.97,225.09
Annual,Treatable mortality,Total,Total,Rate,Switzerland,62.46,59.66,57.62,56.3,55.81,52.7,51.95,51.08,49.78,48.55,46.08
Annual,Treatable mortality,Total,Total,Rate,Cyprus,79.15,84.24,74.06,73.46,79.6,71.21,73.93,78.93,77.09,70.84,78.41
Annual,Treatable mortality,Total,Total,Rate,Czechia,147.74,145.47,142.95,131.86,135.29,128.2,127.23,124.17,120.31,122.85,125.85
Annual,Treatable mortality,Total,Total,Rate,Germany,94.48,92.0,91.54,87.42,89.37,86.92,85.51,85.36,81.75,80.84,81.27
Annual,Treatable mortality,Total,Total,Rate,Denmark,91.23,86.9,80.42,78.03,77.81,76.03,73.16,72.97,66.16,63.47,64.25
Annual,Treatable mortality,Total,Total,Rate,Estonia,160.97,162.69,154.29,152.33,148.24,142.98,136.6,133.47,129.41,123.88,135.62
Annual,Treatable mortality,Total,Total,Rate,Greece,94.15,96.36,91.13,94.51,96.65,94.93,94.2,90.04,93.05,92.37,94.54
Annual,Treatable mortality,Total,Total,Rate,Spain,74.24,72.53,70.49,68.46,68.33,66.84,65.52,64.62,62.58,62.24,61.01
Annual,Treatable mortality,Total,Total,Rate,European Union - 27 countries (from 2020),103.39,101.73,98.65,94.83,95.85,93.16,92.09,91.3,89.16,91.71,93.27
Annual,Treatable mortality,Total,Total,Rate,European Union - 28 countries (2013-2020),102.32,100.63,97.62,94.05,95.09,92.8,91.65,:,:,:,:
Annual,Treatable mortality,Total,Total,Rate,Finland,86.49,84.97,80.46,77.36,74.89,76.81,75.72,71.11,69.09,71.25,69.77
Annual,Treatable mortality,Total,Total,Rate,France,67.64,66.06,65.08,62.9,62.86,62.54,62.05,61.15,60.31,59.04,58.82
Annual,Treatable mortality,Total,Total,Rate,Croatia,154.72,150.64,141.75,144.91,149.37,139.54,139.08,133.13,128.28,130.77,139.74
Annual,Treatable mortality,Total,Total,Rate,Hungary,197.53,193.03,184.94,182.65,183.9,175.96,179.0,175.95,173.23,179.55,188.86
Annual,Treatable mortality,Total,Total,Rate,Ireland,93.99,89.67,86.49,83.73,83.81,80.12,73.31,75.9,71.03,69.65,69.19
Annual,Treatable mortality,Total,Total,Rate,Iceland,64.15,62.15,68.47,62.69,66.81,62.35,56.19,63.57,56.85,57.73,59.16
Annual,Treatable mortality,Total,Total,Rate,Italy,75.43,75.07,71.4,69.02,71.31,66.68,66.5,65.19,63.71,66.45,64.48
Annual,Treatable mortality,Total,Total,Rate,Liechtenstein,67.87,71.48,70.95,47.31,75.26,62.64,61.11,53.49,56.08,56.03,52.34
Annual,Treatable mortality,Total,Total,Rate,Lithuania,221.45,219.07,214.73,201.96,212.98,205.61,184.89,185.63,181.03,199.73,190.86
Annual,Treatable mortality,Total,Total,Rate,Luxembourg,83.01,76.56,83.65,67.02,70.56,70.86,73.14,68.51,63.64,60.25,54.69
Annual,Treatable mortality,Total,Total,Rate,Latvia,236.17,226.0,220.85,209.33,206.92,203.16,198.95,196.43,188.59,185.53,205.04
Annual,Treatable mortality,Total,Total,Rate,Malta,107.44,109.36,91.64,93.87,86.61,87.35,85.08,91.77,84.99,89.3,81.77
Annual,Treatable mortality,Total,Total,Rate,Netherlands,79.08,78.44,73.85,68.58,70.71,68.93,64.98,64.65,61.35,58.96,59.74
Annual,Treatable mortality,Total,Total,Rate,Norway,76.02,74.74,70.08,66.86,64.33,62.97,61.61,58.67,57.0,56.89,55.61
Annual,Treatable mortality,Total,Total,Rate,Poland,149.1,146.39,142.25,130.93,131.19,129.79,131.99,133.12,133.71,144.19,145.87
Annual,Treatable mortality,Total,Total,Rate,Portugal,94.78,93.05,90.06,89.16,86.9,88.87,84.01,82.92,79.06,79.12,74.53
Annual,Treatable mortality,Total,Total,Rate,Romania,224.5,219.8,210.96,207.64,208.96,208.0,205.98,210.63,208.64,235.06,254.72
Annual,Treatable mortality,Total,Total,Rate,Serbia,185.31,180.25,172.07,167.79,178.63,172.76,173.51,169.82,169.88,183.26,186.55
Annual,Treatable mortality,Total,Total,Rate,Sweden,77.46,75.7,74.74,70.54,70.85,67.64,66.61,65.63,60.19,62.05,59.65
Annual,Treatable mortality,Total,Total,Rate,Slovenia,100.58,94.13,94.89,89.34,92.27,79.64,78.17,77.38,71.98,69.75,66.91
Annual,Treatable mortality,Total,Total,Rate,Slovakia,181.97,182.3,183.33,170.9,176.93,168.34,173.71,165.35,163.56,168.84,206.0
Annual,Treatable mortality,Total,Total,Rate,Türkiye,126.14,120.96,137.07,139.09,139.28,141.17,137.27,135.24,130.71,167.32,164.16
Annual,Treatable mortality,Total,Total,Rate,United Kingdom,94.39,92.47,90.08,88.41,89.59,90.17,88.43,87.44,:,:,:
