Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Italy,:,:,:,:,:,99.1 e,99.8 e,99.5 e,100.5 e,99.5 e,102.8 e,101.5 e,101.8 e,102.1 e,101.3 e,94.9 e,93.4 e,92.0 e,92.8 e,102.9 e,99.4 be,94.7 e,87.3,94.4 e,96.5,100.0,102.0,105.3,102.0,102.9,68.6,80.1,83.0
Annual,"Index, 2015=100",Lithuania,:,:,:,:,:,:,:,:,:,:,124.8 e,120.2 e,113.7,120.0 e,146.2 e,177.6 e,185.3,165.0,155.9,171.6,153.4,134.2,146.0,138.1,101.1,100.0,100.7,115.5,107.5,106.9 e,93.5 e,94.6 e,100.1 e
Annual,"Index, 2015=100",Luxembourg,:,:,:,:,:,122.8 e,123.5 e,119.7 e,114.4 e,106.1 e,110.4 e,111.2 e,109.1 e,108.0 e,105.5 e,106.4 e,103.8 e,98.0 e,100.6 e,103.7 e,98.1 e,98.8 e,99.4 e,98.3 e,98.8 e,100.0,97.6 e,98.5 e,99.4 e,99.0 e,84.2 e,84.2 e,90.6 e
Annual,"Index, 2015=100",Latvia,:,:,:,:,:,146.7 e,143.2 e,145.6 e,149.7 e,160.4 e,152.7 e,139.9 e,137.6 e,129.9 e,119.1 e,113.6 e,112.7 e,112.5 e,104.8,106.9,111.3,102.7,96.5,95.8,99.0,100.0,99.3,102.0,99.9,100.8,94.1,79.4,76.2
Annual,"Index, 2015=100",Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,108.8 e,101.0 e,105.8 e,104.7 e,101.8 e,100.0,106.7 e,103.7 e,104.5 e,105.2 e,99.9 e,97.9 e,98.9 e
Annual,"Index, 2015=100",North Macedonia,:,:,:,:,:,:,:,:,:,:,79.7 e,79.7 e,82.1 e,90.6 e,85.3 e,82.6 e,79.1 e,66.4 e,69.0 e,69.3 e,75.1 e,83.0 e,77.7,96.3,102.6,100.0,96.2,95.0,96.9,93.0,103.8 e,109.7,112.3 ep
Annual,"Index, 2015=100",Malta,:,:,:,:,:,:,:,:,:,:,122.8 e,124.8 e,124.9 e,123.1 e,126.0 e,123.9 e,123.8 e,120.7 e,118.7 e,121.2 e,115.5 e,115.2 e,111.0 e,106.9 e,104.6 e,100.0,99.8 e,91.0 e,86.5 e,82.8 e,74.8 e,71.2 e,71.8 e
Annual,"Index, 2015=100",Netherlands,:,:,:,:,:,155.9 e,149.8 e,149.1 e,131.5 e,128.1 e,120.4 b,118.2,119.4,119.5,121.0,117.0,112.7,108.8 e,105.4 e,108.9 e,106.9 e,105.9 e,106.8 e,108.0 e,106.8 e,100.0,99.0 e,95.0 e,97.0 e,97.0 e,68.4 e,71.5 e,77.6 ep
Annual,"Index, 2015=100",Norway,122.6,117.6,113.4,111.6,:,104.8,103.8,98.5,98.1,97.3,94.8,102.1 be,102.3 e,101.8 e,96.5,96.4,95.6,95.7,97.2,100.0,100.4,101.0,98.1,98.5,99.6,100.0,100.2 e,87.0 e,87.0 e,86.8 e,77.9 e,77.8 e,81.0 e
Annual,"Index, 2015=100",Poland,:,:,:,:,:,146.5 e,141.3 e,140.1 e,141.5 e,136.7 e,135.9 e,137.9 e,139.1 e,137.3 e,127.4 be,124.8,142.4 be,104.7 e,153.8 be,162.2 e,112.5 e,110.4,104.9,104.5 e,102.4 e,100.0,101.8 e,99.9 e,96.1 e,94.4 e,84.9 e,83.4 e,84.3 e
Annual,"Index, 2015=100",Portugal,:,:,:,:,:,92.0 e,92.9 e,93.1 e,94.8 e,95.6 e,95.4 e,95.2 e,97.9 e,103.4 e,103.4 e,100.1 e,99.3 e,97.8 e,98.1 e,100.0 e,95.9 e,95.7 e,98.3 e,98.7 e,99.3 e,100.0,104.4 e,103.8 e,104.7 e,104.8 e,95.3 e,97.7 e,100.7 ep
Annual,"Index, 2015=100",Romania,:,:,:,:,:,106.0 be,105.5 e,110.4 e,109.2 e,108.2 e,107.3 e,103.6 e,96.4 e,97.8 e,91.1 e,92.4 e,88.9 e,86.0 e,88.2 be,90.3 be,96.3 e,91.0 e,92.0 e,94.8 e,97.1 e,100.0,102.9 e,97.5 e,96.8 e,99.1 e,88.2 e,91.2 e,94.8 ep
Annual,"Index, 2015=100",Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,110.8 e,94.9 e,96.8 e,96.0 e,98.4 e,100.0,98.2 e,97.3 e,95.5 e,93.5 e,80.5 e,81.7 e,88.8 ep
Annual,"Index, 2015=100",Sweden,:,:,:,132.5,128.9,125.6,124.2,120.7,116.7,114.6,110.9,110.5,110.8,109.5,105.3,102.9,98.6,98.0,98.7,104.1,98.1,104.0 e,104.2 e,103.1 e,102.6 e,100.0,84.6 e,84.8 e,83.9 e,82.1 e,74.7 e,70.0 e,75.9 e
Annual,"Index, 2015=100",Slovenia,:,:,:,:,:,113.7,118.9,119.6,113.4,113.8,108.4,106.6,105.0,102.7,99.9 e,97.5,94.0,92.9,91.2,101.9,99.9,98.6 e,100.5 e,101.5 e,100.5 e,100.0,97.4 e,96.1 e,94.0 e,92.3 e,68.9 e,66.5 e,72.6 e
Annual,"Index, 2015=100",Slovakia,:,:,:,:,:,241.8 e,220.5 e,198.8 e,186.0 e,192.6 e,187.0 e,181.3 e,174.4 e,162.1 e,157.0 e,146.7 e,135.3 e,118.3 e,111.8 e,112.3 e,106.3 e,104.1 e,102.4 e,102.2 e,100.6 e,100.0,99.6,96.5,93.6,91.9,77.0,76.9,84.7
Annual,"Index, 2015=100",Türkiye,:,:,:,:,:,:,:,:,123.7 e,128.9 e,122.2 e,123.0 e,118.2 e,114.2 e,112.8 e,106.7 e,104.6 e,103.2 e,105.1 e,112.9 b,111.1,105.8 b,107.4 e,102.5 e,100.7,100.0,100.0,94.5 e,99.1,101.4,84.0,81.1 e,87.8 e
Annual,"Index, 2015=100",United Kingdom,146.5 e,146.3 e,146.1,144.4,141.1,138.7,138.3,134.0,130.5,128.0,123.3,122.6,123.8,120.1,117.3,114.8,110.2 e,108.3 e,108.3 e,112.2 e,108.4 e,107.2 e,106.1,102.9,102.0,100.0,99.4,101.0 e,100.8 e,75.6 e,:,:,:
