Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Euro per inhabitant,Non-coastal regions,Sweden,39100.0,38100.0,38800.0,39900.0,40900.0,39400.0,38800.0,39000.0,44200.0,:
Annual,Euro per inhabitant,Non-coastal regions,Slovenia,18000.0,18500.0,19100.0,19800.0,21100.0,22400.0,23600.0,22900.0,25400.0,27500.0
Annual,Euro per inhabitant,Non-coastal regions,Slovakia,13800.0,14100.0,14800.0,15000.0,15600.0,16500.0,17300.0,17100.0,18400.0,20000 e
Annual,Euro per inhabitant,Non-coastal regions,Türkiye,7300.0,7000.0,7600.0,7600.0,7200.0,6100.0,6200.0,5900.0,6200.0,7600.0
Annual,Million euro,Coastal regions,Albania,8537.83,8886.44,9164.32,9548.88,10363.02,11512.29,12378.71,11985.51,13695 p,:
Annual,Million euro,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Belgium,128838.45,132623.05,138274.39,143049.04,148576.43,152781.13,158262.46,153326.88,171711.91,186018 p
Annual,Million euro,Coastal regions,Bulgaria,5567.3,5631.22,6056.9,6386.82,6871.58,7213.61,7668.5,7067.93,8687.16,:
Annual,Million euro,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Million euro,Coastal regions,Cyprus,18040.35,17482.8,17944.15,19013.82,20312.44,21675.1,23177.86,22086.57,24927.63,27777 p
Annual,Million euro,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Germany,270688.29,279832.08,288775.36,297020.87,312710.98,319273 e,334356 e,326958 e,351902 e,:
Annual,Million euro,Coastal regions,Denmark,251187.89,259465.91,269071.54,279639.71,291400.25,298330.55,306402.16,309656.89,340733.51,375601.34
Annual,Million euro,Coastal regions,Estonia,15787.35,16676.65,17043.57,17998.05,19731.94,21352.21,22864.01,22345.11,25173.22,29106.28
Annual,Million euro,Coastal regions,Greece,170266.81,167814.8,167215.24,165737.77,168175.78,170897.44,174817.27,157410.34,173238.31,:
Annual,Million euro,Coastal regions,Spain,580489.03,589764.87,615837.17,637570.89,666353.84,689054.09,713482.93,632896.8,693876 p,:
Annual,Million euro,Coastal regions,Finland,137509.84,138930.1,143113.48,147191.77,153469.68,158162.62,163158.37,161664.21,169788.64,:
Annual,Million euro,Coastal regions,France,682224.2,693193.19,710410.83,721183.09,740898.56,760205.46,781915.34,755109.58,829328 p,:
Annual,Million euro,Coastal regions,Croatia,14112.76,14152.49,14515.81,15272.15,16248.18,17071.7,17825.44,15170.2,18173.55,21604 p
Annual,Million euro,Coastal regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Ireland,174391.44,190001.5,:,:,:,:,349006.05,367707.97,426005.69,:
Annual,Million euro,Coastal regions,Italy,829938.93,833724.92,847034.06,865943.06,882787.22,895724.49,907582.79,838632.3,913567.33,:
Annual,Million euro,Coastal regions,Lithuania,4162.24,4305.64,4318.39,4450.44,4770.97,4989.8,5343.59,5313.62,5952.15,:
Annual,Million euro,Coastal regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Latvia,17884.04,18414.28,19282.74,19989.2,21324.74,23024.62,24223.13,23443.35,26059.34,:
Annual,Million euro,Coastal regions,Montenegro,3362.48,3457.92,3654.51,3954.21,4299.09,4663.13,4950.72,4185.55,4955.12,5924.02
Annual,Million euro,Coastal regions,North Macedonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Malta,7929.45,8735.74,9981.21,10524.99,11919.34,13025.01,14273.97,13337.82,15304.48,17428.54
Annual,Million euro,Coastal regions,Netherlands,375920.5,381866.5,392921.18,402695.77,417215.6,437380.8,458808.14,444887.54,485326 p,:
Annual,Million euro,Coastal regions,Poland,36321.07,37943.36,40536.09,40142.81,43936.63,47324.94,50476.81,49441.4,54868.45,:
Annual,Million euro,Coastal regions,Portugal,149598.64,151961.02,157927.83,164092.98,172749.4,180876.04,189172.15,176299.3,190144.91,214505.88
Annual,Million euro,Coastal regions,Romania,8106.7,8847.78,8623.49,8871.09,9400.19,10191.43,10251.76,9752.36,11237.42,:
Annual,Million euro,Coastal regions,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Sweden,373440.41,371821.14,386639.94,394657.6,405821.88,398526.21,405335.5,408434.84,458605.59,:
Annual,Million euro,Coastal regions,Slovenia,4526.99,4658.78,4903.58,5114.73,5477.27,5774.54,5961.66,5562.94,6173.74,6943.99
Annual,Million euro,Coastal regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Coastal regions,Türkiye,471465.12,466413.87,514606.74,517216.05,504640.5,440426.69,450986.54,408721.5,461332.76,579646.48
Annual,Million euro,Non-coastal regions,Albania,1087.52,1082.14,1099.79,1170.97,1196.03,1315.76,1375.48,1324.9,1463 p,:
Annual,Million euro,Non-coastal regions,Austria,323784.5,333026.16,344139.17,357474.53,369229.57,385137.56,397009.55,380749.19,405102.76,:
Annual,Million euro,Non-coastal regions,Belgium,263769.89,270110.78,278168.39,286855.28,296282.32,307021.27,320137.18,307141.91,335902.97,367681 p
Annual,Million euro,Non-coastal regions,Bulgaria,36488.86,37393.48,39740.94,42365.32,45630.23,48986.2,53862.33,54539.83,62372.98,:
Annual,Million euro,Non-coastal regions,Switzerland,531729.08,548014.46,625532.69,621765.13,615776.25,614304.38,644443.18,650742.62,687568.44,:
Annual,Million euro,Non-coastal regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Non-coastal regions,Czechia,159461.55,157821.23,169558.19,177438.52,194132.91,210970.54,225613.49,215805.37,238249.48,276265.65
Annual,Million euro,Non-coastal regions,Germany,2540661.69,2647597.91,2737404.66,2837719.17,2954449.11,3046177 e,3139754 e,3076772 e,3265548 e,:
Annual,Million euro,Non-coastal regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Non-coastal regions,Estonia,3123.43,3371.59,3587.8,3749.85,4101.79,4580.09,5087.01,5084.76,5995.63,6904.75
Annual,Million euro,Non-coastal regions,Greece,9617.56,9421.15,9153.62,8756.37,8727.57,8660.22,8530.15,7605.39,8262.06,:
Annual,Million euro,Non-coastal regions,Spain,439031.91,441728.29,461077.47,475777.39,495051.48,513713.25,530901.11,484968.76,527235 p,:
Annual,Million euro,Non-coastal regions,Finland,66746.85,67901.29,68211.73,70268.67,72772.42,75226.68,76604.56,76290.08,80788.12,:
Annual,Million euro,Non-coastal regions,France,1434019.92,1455658.44,1487071.4,1511992.82,1555375.71,1602139.94,1654758.8,1561763.54,1671846 p,:
Annual,Million euro,Non-coastal regions,Croatia,30420.1,29931.65,30844.91,32176.75,33848.68,35805.17,37946.91,35372.92,40281.55,46385 p
Annual,Million euro,Non-coastal regions,Hungary,102239.71,106263.85,112791.02,116255.68,127024.68,136055.41,146554.5,137865.95,153963.31,168865.03
Annual,Million euro,Non-coastal regions,Ireland,4894.19,5468.37,5520.33,6157.64,6493.63,6669.51,7351.33,7541.67,8064.04,:
Annual,Million euro,Non-coastal regions,Italy,780988.75,792186.47,807040.3,828588.79,852337.34,874110.09,887829.05,821619.28,906896.84,:
Annual,Million euro,Non-coastal regions,Lithuania,30877.31,32275.67,33027.32,34439.42,37505.33,40525.41,43615.58,44559.56,50525.95,:
Annual,Million euro,Non-coastal regions,Luxembourg,49094.49,51791.32,54142.3,56208.07,58168.78,60121.16,62431.53,64524.27,72360.86,77529.0
Annual,Million euro,Non-coastal regions,Latvia,4879.35,5176.8,5252.93,5347.54,5622.93,6089.33,6308.22,6623.26,7246.23,:
Annual,Million euro,Non-coastal regions,Montenegro,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Non-coastal regions,North Macedonia,8149.58,8562.05,9072.29,9656.47,10038.29,10743.98,11262.04,10851.71,11834.71,:
Annual,Million euro,Non-coastal regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Million euro,Non-coastal regions,Netherlands,279269.52,285512.99,293757.0,303470.98,318710.03,334365.69,352470.38,350791.62,382509 p,:
Annual,Million euro,Non-coastal regions,Norway,16492.81,16309.19,16206.41,16326.66,16864.24,17100.31,17246.77,15651.14,17838.55,:
Annual,Million euro,Non-coastal regions,Poland,352035.08,368468.9,389299.56,384593.26,421834.88,451677.85,482028.12,476705.28,521514.21,:
Annual,Million euro,Non-coastal regions,Portugal,20746.7,20967.55,21634.2,22256.12,23049.15,24162.84,25046.53,24068.69,25756.97,27675.63
Annual,Million euro,Non-coastal regions,Romania,134705.96,141568.63,151536.49,158504.82,176849.5,195721.44,213769.87,210579.4,230232.72,:
Annual,Million euro,Non-coastal regions,Sweden,68294.2,66902.95,68749.22,71501.04,74094.44,72048.25,71435.12,72027.03,82031.79,:
Annual,Million euro,Non-coastal regions,Slovenia,31927.34,32975.5,33949.06,35328.49,37534.05,40101.82,42620.66,41482.0,46105.02,50093.71
Annual,Million euro,Non-coastal regions,Slovakia,74492.79,76354.52,80126.04,81265.21,84669.89,89874.7,94429.74,93444.09,100255.73,109645 e
Annual,Million euro,Non-coastal regions,Türkiye,248261.48,240586.91,262435.55,268402.87,255856.55,218536.77,228149.28,218063.83,228913.23,282663.15
