Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Luxembourg,2687 e,2652.0,2782.0,2753.0,2587.0,2451.0,2905.0,2354.0,2479.0,2966.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Latvia,12384.0,10188.0,10910.0,11938.0,9273.0,6750.0,5405.0,4042.0,4683.0,5107.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Montenegro,:,:,:,:,:,:,:,22.0,:,46.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,North Macedonia,654.0,537.0,590.0,352.0,288.0,247.0,298.0,395.0,509.0,1036.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Malta,:,:,:,:,:,:,:,4786.0,4522.0,5885.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Netherlands,61888.0,61123.0,61129.0,58200.0,54608.0,53194.0,50456.0,44855.0,46867.0,43728.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Norway,6300.0,11906.0,11453.0,12274.0,10835.0,8481.0,8825.0,7763.0,12043.0,10411.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Poland,100395.0,115073 ep,114976 ep,98572 ep,68407 ep,63923 ep,60970 ep,58796.0,75951.0,92434.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Portugal,25277 e,26398 e,22954 e,20022 e,16425 e,15540.0,10922.0,11839.0,10797.0,14605.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Romania,25582 e,40189 e,61295 e,63023 e,73488 e,58819 e,59115 e,56693.0,80304.0,46289 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Sweden,28564.0,26826.0,26431.0,22645.0,21876.0,22045.0,21950.0,20960.0,23024.0,25665.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Slovenia,6220.0,6137.0,6391.0,6748.0,7502.0,6143.0,7596.0,10365.0,13727.0,12820.0
