Time frequency,Sex,Modalities of the variable for the ad-hoc module,Activity and employment status,Geopolitical entity (reporting)\Time,2006.0
Annual,Females,No financial incentive,Employed persons,Hungary,56.1
Annual,Females,No financial incentive,Employed persons,Iceland,: u
Annual,Females,No financial incentive,Employed persons,Italy,58.5
Annual,Females,No financial incentive,Employed persons,Lithuania,: u
Annual,Females,No financial incentive,Employed persons,Latvia,58.5 u
Annual,Females,No financial incentive,Employed persons,Malta,: u
Annual,Females,No financial incentive,Employed persons,Netherlands,58.0
Annual,Females,No financial incentive,Employed persons,Norway,56.9
Annual,Females,No financial incentive,Employed persons,Poland,57.3
Annual,Females,No financial incentive,Employed persons,Portugal,60.2
Annual,Females,No financial incentive,Employed persons,Romania,56.7 u
Annual,Females,No financial incentive,Employed persons,Sweden,61.2
Annual,Females,No financial incentive,Employed persons,Slovenia,57.6 u
Annual,Females,No financial incentive,Employed persons,Slovakia,55.6 u
Annual,Females,No financial incentive,Employed persons,United Kingdom,58.1
Annual,Females,No answer,Employed persons,Germany,62.0
Annual,Females,No answer,Employed persons,Euro area - 13 countries (2007),60.5
Annual,Females,No answer,Employed persons,Euro area - 17 countries (2011-2013),60.5
Annual,Females,No answer,Employed persons,Euro area - 18 countries (2014),60.5
Annual,Females,No answer,Employed persons,Spain,: u
Annual,Females,No answer,Employed persons,European Union - 15 countries (1995-2004),60.4
Annual,Females,No answer,Employed persons,European Union - 27 countries (2007-2013),60.4
Annual,Females,No answer,Employed persons,Finland,57.8
Annual,Females,No answer,Employed persons,France,55.4 u
Annual,Females,No answer,Employed persons,Ireland,59.4
Annual,Females,No answer,Employed persons,Lithuania,: u
Annual,Females,No answer,Employed persons,Netherlands,: u
Annual,Females,No answer,Employed persons,Sweden,: u
Annual,Females,No answer,Employed persons,United Kingdom,: u
Annual,Females,Total,Employed persons,Austria,58.1
Annual,Females,Total,Employed persons,Belgium,57.3 u
Annual,Females,Total,Employed persons,Bulgaria,55.6
Annual,Females,Total,Employed persons,Cyprus,62.7 u
Annual,Females,Total,Employed persons,Czechia,56.9
Annual,Females,Total,Employed persons,Germany,62.3
Annual,Females,Total,Employed persons,Denmark,61.7
Annual,Females,Total,Employed persons,Euro area - 13 countries (2007),60.5
Annual,Females,Total,Employed persons,Euro area - 17 countries (2011-2013),60.2
Annual,Females,Total,Employed persons,Euro area - 18 countries (2014),60.1
Annual,Females,Total,Employed persons,Estonia,57.1
Annual,Females,Total,Employed persons,Greece,62.0
Annual,Females,Total,Employed persons,Spain,58.9 u
Annual,Females,Total,Employed persons,European Union - 15 countries (1995-2004),59.0
Annual,Females,Total,Employed persons,European Union - 27 countries (2007-2013),58.1
Annual,Females,Total,Employed persons,Finland,59.3
Annual,Females,Total,Employed persons,France,54.6 u
Annual,Females,Total,Employed persons,Hungary,55.5
Annual,Females,Total,Employed persons,Ireland,59.4
Annual,Females,Total,Employed persons,Iceland,: u
Annual,Females,Total,Employed persons,Italy,58.4
Annual,Females,Total,Employed persons,Lithuania,57.3
Annual,Females,Total,Employed persons,Latvia,56.4
Annual,Females,Total,Employed persons,Malta,: u
Annual,Females,Total,Employed persons,Netherlands,55.2
Annual,Females,Total,Employed persons,Norway,55.7
Annual,Females,Total,Employed persons,Poland,56.4
Annual,Females,Total,Employed persons,Portugal,60.2
Annual,Females,Total,Employed persons,Romania,56.3
Annual,Females,Total,Employed persons,Sweden,60.6
Annual,Females,Total,Employed persons,Slovenia,58.0 u
Annual,Females,Total,Employed persons,Slovakia,55.5
Annual,Females,Total,Employed persons,United Kingdom,57.4
Annual,Males,To increase retirement pension entitlements,Employed persons,Austria,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Belgium,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Bulgaria,56.4 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Cyprus,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Czechia,61.2 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Germany,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Denmark,61.3
Annual,Males,To increase retirement pension entitlements,Employed persons,Euro area - 13 countries (2007),60.8 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Euro area - 17 countries (2011-2013),60.8 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Euro area - 18 countries (2014),60.8 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Estonia,61.0 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Greece,60.9
Annual,Males,To increase retirement pension entitlements,Employed persons,Spain,58.0
Annual,Males,To increase retirement pension entitlements,Employed persons,European Union - 15 countries (1995-2004),58.5
Annual,Males,To increase retirement pension entitlements,Employed persons,European Union - 27 countries (2007-2013),58.2
Annual,Males,To increase retirement pension entitlements,Employed persons,Finland,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,France,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Hungary,57.2 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Italy,60.4
Annual,Males,To increase retirement pension entitlements,Employed persons,Lithuania,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Luxembourg,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Latvia,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Malta,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Netherlands,57.6 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Norway,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Poland,54.2 u
Annual,Males,To increase retirement pension entitlements,Employed persons,Portugal,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Romania,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Sweden,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Slovenia,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,Slovakia,: u
Annual,Males,To increase retirement pension entitlements,Employed persons,United Kingdom,55.2
Annual,Males,To provide sufficient household income,Employed persons,Austria,: u
Annual,Males,To provide sufficient household income,Employed persons,Belgium,57.0 u
Annual,Males,To provide sufficient household income,Employed persons,Bulgaria,55.3
Annual,Males,To provide sufficient household income,Employed persons,Cyprus,62.4
Annual,Males,To provide sufficient household income,Employed persons,Czechia,60.1
Annual,Males,To provide sufficient household income,Employed persons,Germany,: u
Annual,Males,To provide sufficient household income,Employed persons,Denmark,62.0
Annual,Males,To provide sufficient household income,Employed persons,Euro area - 13 countries (2007),59.2
Annual,Males,To provide sufficient household income,Employed persons,Euro area - 17 countries (2011-2013),59.3
Annual,Males,To provide sufficient household income,Employed persons,Euro area - 18 countries (2014),59.4
Annual,Males,To provide sufficient household income,Employed persons,Estonia,59.7
Annual,Males,To provide sufficient household income,Employed persons,Greece,: u
Annual,Males,To provide sufficient household income,Employed persons,Spain,55.5
Annual,Males,To provide sufficient household income,Employed persons,European Union - 15 countries (1995-2004),55.4
Annual,Males,To provide sufficient household income,Employed persons,European Union - 27 countries (2007-2013),56.4
Annual,Males,To provide sufficient household income,Employed persons,Finland,59.7 u
Annual,Males,To provide sufficient household income,Employed persons,France,: u
Annual,Males,To provide sufficient household income,Employed persons,Hungary,57.7
Annual,Males,To provide sufficient household income,Employed persons,Iceland,: u
Annual,Males,To provide sufficient household income,Employed persons,Italy,: u
Annual,Males,To provide sufficient household income,Employed persons,Lithuania,58.4 u
Annual,Males,To provide sufficient household income,Employed persons,Luxembourg,: u
Annual,Males,To provide sufficient household income,Employed persons,Latvia,60.4
Annual,Males,To provide sufficient household income,Employed persons,Malta,: u
Annual,Males,To provide sufficient household income,Employed persons,Netherlands,58.5
Annual,Males,To provide sufficient household income,Employed persons,Norway,56.5 u
Annual,Males,To provide sufficient household income,Employed persons,Poland,56.1
Annual,Males,To provide sufficient household income,Employed persons,Portugal,59.4
Annual,Males,To provide sufficient household income,Employed persons,Romania,58.2
Annual,Males,To provide sufficient household income,Employed persons,Sweden,58.7
Annual,Males,To provide sufficient household income,Employed persons,Slovenia,61.3 u
Annual,Males,To provide sufficient household income,Employed persons,Slovakia,58.4
Annual,Males,To provide sufficient household income,Employed persons,United Kingdom,54.0
Annual,Males,No financial incentive,Employed persons,Austria,61.7
Annual,Males,No financial incentive,Employed persons,Belgium,56.8 u
Annual,Males,No financial incentive,Employed persons,Bulgaria,: u
Annual,Males,No financial incentive,Employed persons,Cyprus,62.1
Annual,Males,No financial incentive,Employed persons,Czechia,60.5
Annual,Males,No financial incentive,Employed persons,Germany,63.3
Annual,Males,No financial incentive,Employed persons,Euro area - 13 countries (2007),60.2
Annual,Males,No financial incentive,Employed persons,Euro area - 17 countries (2011-2013),60.2
Annual,Males,No financial incentive,Employed persons,Euro area - 18 countries (2014),60.2
Annual,Males,No financial incentive,Employed persons,Estonia,: u
Annual,Males,No financial incentive,Employed persons,Greece,: u
Annual,Males,No financial incentive,Employed persons,Spain,60.3
Annual,Males,No financial incentive,Employed persons,European Union - 15 countries (1995-2004),59.5
Annual,Males,No financial incentive,Employed persons,European Union - 27 countries (2007-2013),59.5
Annual,Males,No financial incentive,Employed persons,Finland,60.8
Annual,Males,No financial incentive,Employed persons,France,: u
Annual,Males,No financial incentive,Employed persons,Hungary,58.9
Annual,Males,No financial incentive,Employed persons,Iceland,: u
Annual,Males,No financial incentive,Employed persons,Italy,58.1
Annual,Males,No financial incentive,Employed persons,Lithuania,: u
Annual,Males,No financial incentive,Employed persons,Latvia,: u
Annual,Males,No financial incentive,Employed persons,Malta,: u
Annual,Males,No financial incentive,Employed persons,Netherlands,61.0
Annual,Males,No financial incentive,Employed persons,Norway,60.7
Annual,Males,No financial incentive,Employed persons,Poland,59.2
Annual,Males,No financial incentive,Employed persons,Portugal,58.3
Annual,Males,No financial incentive,Employed persons,Romania,57.0 u
Annual,Males,No financial incentive,Employed persons,Sweden,61.6
Annual,Males,No financial incentive,Employed persons,Slovenia,60.3 u
Annual,Males,No financial incentive,Employed persons,Slovakia,57.0 u
Annual,Males,No financial incentive,Employed persons,United Kingdom,57.5
Annual,Males,No answer,Employed persons,Germany,61.9
Annual,Males,No answer,Employed persons,Euro area - 13 countries (2007),59.7
Annual,Males,No answer,Employed persons,Euro area - 17 countries (2011-2013),59.7
Annual,Males,No answer,Employed persons,Euro area - 18 countries (2014),59.7
Annual,Males,No answer,Employed persons,Spain,: u
Annual,Males,No answer,Employed persons,European Union - 15 countries (1995-2004),59.7
Annual,Males,No answer,Employed persons,European Union - 27 countries (2007-2013),59.7
Annual,Males,No answer,Employed persons,Finland,57.8
Annual,Males,No answer,Employed persons,France,54.6
Annual,Males,No answer,Employed persons,Ireland,59.7
Annual,Males,No answer,Employed persons,Iceland,: u
Annual,Males,No answer,Employed persons,Italy,54.6 u
Annual,Males,No answer,Employed persons,Netherlands,: u
Annual,Males,No answer,Employed persons,Sweden,: u
Annual,Males,No answer,Employed persons,United Kingdom,: u
Annual,Males,Total,Employed persons,Austria,61.3
Annual,Males,Total,Employed persons,Belgium,56.3
Annual,Males,Total,Employed persons,Bulgaria,55.4
Annual,Males,Total,Employed persons,Cyprus,62.3
Annual,Males,Total,Employed persons,Czechia,60.3
Annual,Males,Total,Employed persons,Germany,62.6
Annual,Males,Total,Employed persons,Denmark,61.7
Annual,Males,Total,Employed persons,Euro area - 13 countries (2007),60.0
Annual,Males,Total,Employed persons,Euro area - 17 countries (2011-2013),60.0
Annual,Males,Total,Employed persons,Euro area - 18 countries (2014),60.0
Annual,Males,Total,Employed persons,Estonia,60.2
Annual,Males,Total,Employed persons,Greece,60.8
Annual,Males,Total,Employed persons,Spain,58.4
Annual,Males,Total,Employed persons,European Union - 15 countries (1995-2004),58.2
Annual,Males,Total,Employed persons,European Union - 27 countries (2007-2013),58.1
Annual,Males,Total,Employed persons,Finland,59.3
Annual,Males,Total,Employed persons,France,54.4
Annual,Males,Total,Employed persons,Hungary,58.0
Annual,Males,Total,Employed persons,Ireland,59.7
Annual,Males,Total,Employed persons,Iceland,64.4
Annual,Males,Total,Employed persons,Italy,58.1
Annual,Males,Total,Employed persons,Lithuania,58.4
Annual,Males,Total,Employed persons,Luxembourg,: u
Annual,Males,Total,Employed persons,Latvia,60.0
Annual,Males,Total,Employed persons,Malta,: u
Annual,Males,Total,Employed persons,Netherlands,59.7
Annual,Males,Total,Employed persons,Norway,59.2
Annual,Males,Total,Employed persons,Poland,56.9
Annual,Males,Total,Employed persons,Portugal,58.8
Annual,Males,Total,Employed persons,Romania,58.2
Annual,Males,Total,Employed persons,Sweden,60.9
Annual,Males,Total,Employed persons,Slovenia,60.8 u
Annual,Males,Total,Employed persons,Slovakia,58.1
Annual,Males,Total,Employed persons,United Kingdom,55.2
Annual,Total,To increase retirement pension entitlements,Employed persons,Austria,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Belgium,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Bulgaria,56.1 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Cyprus,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Czechia,59.7 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Germany,63.5
Annual,Total,To increase retirement pension entitlements,Employed persons,Denmark,61.3
Annual,Total,To increase retirement pension entitlements,Employed persons,Euro area - 13 countries (2007),61.0
Annual,Total,To increase retirement pension entitlements,Employed persons,Euro area - 17 countries (2011-2013),60.9
Annual,Total,To increase retirement pension entitlements,Employed persons,Euro area - 18 countries (2014),60.8
Annual,Total,To increase retirement pension entitlements,Employed persons,Estonia,58.6
Annual,Total,To increase retirement pension entitlements,Employed persons,Greece,61.2
Annual,Total,To increase retirement pension entitlements,Employed persons,Spain,58.4
Annual,Total,To increase retirement pension entitlements,Employed persons,European Union - 15 countries (1995-2004),58.9
Annual,Total,To increase retirement pension entitlements,Employed persons,European Union - 27 countries (2007-2013),58.3
Annual,Total,To increase retirement pension entitlements,Employed persons,Finland,58.7 u
Annual,Total,To increase retirement pension entitlements,Employed persons,France,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Hungary,54.6
Annual,Total,To increase retirement pension entitlements,Employed persons,Italy,59.1
Annual,Total,To increase retirement pension entitlements,Employed persons,Lithuania,57.6 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Luxembourg,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Latvia,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Malta,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Netherlands,55.4 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Norway,55.0 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Poland,54.5
Annual,Total,To increase retirement pension entitlements,Employed persons,Portugal,56.6
Annual,Total,To increase retirement pension entitlements,Employed persons,Romania,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,Sweden,58.6
Annual,Total,To increase retirement pension entitlements,Employed persons,Slovenia,61.8 u
Annual,Total,To increase retirement pension entitlements,Employed persons,Slovakia,: u
Annual,Total,To increase retirement pension entitlements,Employed persons,United Kingdom,56.4
Annual,Total,To provide sufficient household income,Employed persons,Austria,59.2 u
Annual,Total,To provide sufficient household income,Employed persons,Belgium,55.7
Annual,Total,To provide sufficient household income,Employed persons,Bulgaria,55.4
Annual,Total,To provide sufficient household income,Employed persons,Cyprus,62.5
Annual,Total,To provide sufficient household income,Employed persons,Czechia,58.2
Annual,Total,To provide sufficient household income,Employed persons,Germany,62.3
Annual,Total,To provide sufficient household income,Employed persons,Denmark,62.0
Annual,Total,To provide sufficient household income,Employed persons,Euro area - 13 countries (2007),59.2
Annual,Total,To provide sufficient household income,Employed persons,Euro area - 17 countries (2011-2013),58.9
Annual,Total,To provide sufficient household income,Employed persons,Euro area - 18 countries (2014),58.8
Annual,Total,To provide sufficient household income,Employed persons,Estonia,57.9
Annual,Total,To provide sufficient household income,Employed persons,Greece,: u
Annual,Total,To provide sufficient household income,Employed persons,Spain,54.9
Annual,Total,To provide sufficient household income,Employed persons,European Union - 15 countries (1995-2004),56.3
Annual,Total,To provide sufficient household income,Employed persons,European Union - 27 countries (2007-2013),56.6
Annual,Total,To provide sufficient household income,Employed persons,Finland,60.1
Annual,Total,To provide sufficient household income,Employed persons,France,: u
Annual,Total,To provide sufficient household income,Employed persons,Hungary,56.8
Annual,Total,To provide sufficient household income,Employed persons,Iceland,: u
Annual,Total,To provide sufficient household income,Employed persons,Italy,57.0 u
Annual,Total,To provide sufficient household income,Employed persons,Lithuania,57.8
Annual,Total,To provide sufficient household income,Employed persons,Luxembourg,: u
Annual,Total,To provide sufficient household income,Employed persons,Latvia,57.9
Annual,Total,To provide sufficient household income,Employed persons,Malta,: u
Annual,Total,To provide sufficient household income,Employed persons,Netherlands,56.8
Annual,Total,To provide sufficient household income,Employed persons,Norway,53.4
Annual,Total,To provide sufficient household income,Employed persons,Poland,56.1
Annual,Total,To provide sufficient household income,Employed persons,Portugal,59.7
Annual,Total,To provide sufficient household income,Employed persons,Romania,57.2
Annual,Total,To provide sufficient household income,Employed persons,Sweden,58.9
Annual,Total,To provide sufficient household income,Employed persons,Slovenia,59.5 u
Annual,Total,To provide sufficient household income,Employed persons,Slovakia,56.5
Annual,Total,To provide sufficient household income,Employed persons,United Kingdom,55.3
Annual,Total,No financial incentive,Employed persons,Austria,59.8
Annual,Total,No financial incentive,Employed persons,Belgium,58.0
Annual,Total,No financial incentive,Employed persons,Bulgaria,: u
Annual,Total,No financial incentive,Employed persons,Cyprus,62.0
Annual,Total,No financial incentive,Employed persons,Czechia,58.8
Annual,Total,No financial incentive,Employed persons,Germany,62.9
Annual,Total,No financial incentive,Employed persons,Euro area - 13 countries (2007),60.4
Annual,Total,No financial incentive,Employed persons,Euro area - 17 countries (2011-2013),60.4
Annual,Total,No financial incentive,Employed persons,Euro area - 18 countries (2014),60.4
Annual,Total,No financial incentive,Employed persons,Estonia,59.2
Annual,Total,No financial incentive,Employed persons,Greece,60.2 u
Annual,Total,No financial incentive,Employed persons,Spain,60.5
Annual,Total,No financial incentive,Employed persons,European Union - 15 countries (1995-2004),59.6
Annual,Total,No financial incentive,Employed persons,European Union - 27 countries (2007-2013),59.4
Annual,Total,No financial incentive,Employed persons,Finland,61.1
Annual,Total,No financial incentive,Employed persons,France,: u
Annual,Total,No financial incentive,Employed persons,Hungary,57.5
Annual,Total,No financial incentive,Employed persons,Iceland,64.1
Annual,Total,No financial incentive,Employed persons,Italy,58.2
Annual,Total,No financial incentive,Employed persons,Lithuania,: u
Annual,Total,No financial incentive,Employed persons,Latvia,57.9
Annual,Total,No financial incentive,Employed persons,Malta,: u
Annual,Total,No financial incentive,Employed persons,Netherlands,60.2
Annual,Total,No financial incentive,Employed persons,Norway,59.2
Annual,Total,No financial incentive,Employed persons,Poland,58.2
Annual,Total,No financial incentive,Employed persons,Portugal,59.0
Annual,Total,No financial incentive,Employed persons,Romania,56.9
Annual,Total,No financial incentive,Employed persons,Sweden,61.4
Annual,Total,No financial incentive,Employed persons,Slovenia,59.0
Annual,Total,No financial incentive,Employed persons,Slovakia,56.3
Annual,Total,No financial incentive,Employed persons,United Kingdom,57.8
Annual,Total,No answer,Employed persons,Germany,62.0
Annual,Total,No answer,Employed persons,Euro area - 13 countries (2007),60.0
Annual,Total,No answer,Employed persons,Euro area - 17 countries (2011-2013),60.0
Annual,Total,No answer,Employed persons,Euro area - 18 countries (2014),60.0
Annual,Total,No answer,Employed persons,Spain,58.7 u
Annual,Total,No answer,Employed persons,European Union - 15 countries (1995-2004),60.0
Annual,Total,No answer,Employed persons,European Union - 27 countries (2007-2013),60.0
Annual,Total,No answer,Employed persons,Finland,57.8
Annual,Total,No answer,Employed persons,France,54.8
Annual,Total,No answer,Employed persons,Ireland,59.6
Annual,Total,No answer,Employed persons,Iceland,: u
Annual,Total,No answer,Employed persons,Italy,54.6 u
Annual,Total,No answer,Employed persons,Lithuania,: u
Annual,Total,No answer,Employed persons,Netherlands,: u
Annual,Total,No answer,Employed persons,Sweden,: u
Annual,Total,No answer,Employed persons,United Kingdom,: u
Annual,Total,Total,Employed persons,Austria,59.8
Annual,Total,Total,Employed persons,Belgium,56.6
Annual,Total,Total,Employed persons,Bulgaria,55.5
Annual,Total,Total,Employed persons,Cyprus,62.3
Annual,Total,Total,Employed persons,Czechia,58.4
Annual,Total,Total,Employed persons,Germany,62.5
Annual,Total,Total,Employed persons,Denmark,61.7
Annual,Total,Total,Employed persons,Euro area - 13 countries (2007),60.2
Annual,Total,Total,Employed persons,Euro area - 17 countries (2011-2013),60.1
Annual,Total,Total,Employed persons,Euro area - 18 countries (2014),60.0
Annual,Total,Total,Employed persons,Estonia,58.2
Annual,Total,Total,Employed persons,Greece,61.1
Annual,Total,Total,Employed persons,Spain,58.5
Annual,Total,Total,Employed persons,European Union - 15 countries (1995-2004),58.5
Annual,Total,Total,Employed persons,European Union - 27 countries (2007-2013),58.1
Annual,Total,Total,Employed persons,Finland,59.3
Annual,Total,Total,Employed persons,France,54.5
Annual,Total,Total,Employed persons,Hungary,56.7
Annual,Total,Total,Employed persons,Ireland,59.6
Annual,Total,Total,Employed persons,Iceland,64.3
Annual,Total,Total,Employed persons,Italy,58.2
Annual,Total,Total,Employed persons,Lithuania,57.7
Annual,Total,Total,Employed persons,Luxembourg,: u
Annual,Total,Total,Employed persons,Latvia,57.9
Annual,Total,Total,Employed persons,Malta,: u
Annual,Total,Total,Employed persons,Netherlands,58.4
Annual,Total,Total,Employed persons,Norway,57.7
Annual,Total,Total,Employed persons,Poland,56.6
Annual,Total,Total,Employed persons,Portugal,59.2
Annual,Total,Total,Employed persons,Romania,57.2
Annual,Total,Total,Employed persons,Sweden,60.8
Annual,Total,Total,Employed persons,Slovenia,59.4
Annual,Total,Total,Employed persons,Slovakia,56.5
Annual,Total,Total,Employed persons,United Kingdom,56.2
