Time frequency,Unit of measure,Water process,Water sources,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Denmark,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 p,0.00 p
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Estonia,1527.9,1307.1,1480.5,1460.05,1329.61,1516.63,1454.27,1306.63,683.9,547.16,681.01,889.86
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Greece,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Spain,6150.00 e,6100.00 e,5950.00 e,5870.00 e,5750.00 e,5620.00 e,5320.00 e,5450.00 e,5350.00 e,5500.00 e,:,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,France,16993.11,18826.09,17081.14,17244.34,17271.61,15743.25,16145.66,16033.4,15288.9,13587.48,14367.12,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Croatia,83.48 e,96.59,76.82,73.94,94.83,108.08,166.27,165.0,171.86,164.18,167.28,194.05
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Hungary,3767.1,3576.1,:,:,:,:,:,:,:,:,:,3291.3
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Ireland,:,:,:,:,:,:,:,359.08 b,359.08,359.08,359.08,359.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Lithuania,267.56,351.0,159.54,120.63,143.59,71.97,22.59,15.42,12.54,131.22,87.53,38.24
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Latvia,2.12,2.08,3.26,2.59,3.05,2.41,1.36,2.33,2.81,1.99,2.41,1.77
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,2215.96,2960.25,2077.16
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Netherlands,5354.96,5962.4,5939.01,5092.59,4342.27,3584.98,3582.53,3366.0,3766.7,3520.3,3179.3,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Poland,6876.2,6574.6,6461.1,6596.3,6379.5,6386.74,5968.05,5729.76,5263.59,4893.78,5208.32,5365.1
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Romania,1192.00 d,1121.0,986.0,802.0,737.0,685.0,752.0,677.00 i,602.00 i,527.0,562.0,466.0
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Serbia,3327.48,2929.8,3263.69,2533.77,3148.12,3244.17,3834.07,4029.81,4080.28,3825.69,3574.53,3037.98
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Sweden,124.60 i,114.20 i,103.80 i,93.40 i,83.0,82.60 i,82.20 i,81.80 i,81.40 i,81.0,:,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Slovenia,632.0,576.0,681.8,769.6,685.5,678.6,713.9,742.3,727.08,792.01,717.09,605.94
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Slovakia,:,:,113.6,56.0,53.8,51.5,54.2,57.2,54.6,51.2,50.4,53.9
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Türkiye,:,61.98,:,68.69,:,64.13,:,67.82,:,46.98,:,47.71
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,United Kingdom,165.9,154.47 i,143.03 i,131.6,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by electricity production - cooling,Fresh surface water,Kosovo*,12.76,12.94,13.66,12.09,14.8,15.32,12.25,14.16,15.25,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Albania,:,:,:,:,:,:,2.77 e,2.44,2.1,2.03,0.9,1.15
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Bosnia and Herzegovina,66.0,50.13,59.69,51.36,45.63,44.74,48.73,46.41,50.8,51.61,41.5,40.7
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Belgium,1078.09,1059.48,966.83,985.38,901.09,906.67,982.97,965.76,924.17,910.72,989.02 e,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Bulgaria,63.65,54.09,50.2,46.2,52.23,54.95,62.13,60.74,58.82,56.03,56.14,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Switzerland,:,442.40 e,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Czechia,208.3,209.6,190.2,201.9,201.3,192.1,197.4,201.2,197.4,180.1,191.6,185.7
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Germany,3762.83 i,3629.65 i,3496.48,3549.49 i,3602.50 i,3655.52,3557.73 i,3459.95 i,3362.17,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Denmark,2.23,1.31,1.33,1.18,1.16,1.35,1.71,1.76,1.44,1.47,1.62 p,0.95 p
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Estonia,13.1,17.4,29.36,18.06,27.99,27.47,28.91,28.57,49.75 b,50.43,50.01,44.52
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Greece,1.59,1.59,1.59,1.59,1.59,24.19 b,24.19,24.19,24.19,24.19,24.19,24.19 p
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Spain,326.09 e,312.78 e,311.68 e,310.31 e,292.0,275.00 e,270.90 e,266.80 e,270.50 e,271.80 e,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Finland,1336.65 i,1259.3,1417.1,1417.0,1353.0,1407.0,1101.0,1425.0,1540.0,1490.33,1398.8,1281.9
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,France,1074.18,1526.83,1426.98,1378.57,1304.65,1273.79,1342.87,1332.31,1334.69,1153.56,1108.98,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Croatia,24.67 e,23.59 e,23.02,21.79,22.89,22.05,22.63,21.58,21.56,18.36,16.74,13.3
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Hungary,36.9,59.5,:,:,:,:,:,:,:,:,:,129.0
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Ireland,:,:,:,:,:,:,:,:,:,:,:,20.56
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Italy,:,:,:,:,3651.00 d,3667.25 de,4258.96 de,3991.84 de,3891.29 de,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Lithuania,24.48,27.82,26.44,25.79,25.55,24.91,26.55,25.01,24.55,24.9,23.39,17.83
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Luxembourg,2.8,3.1,0.21,1.47,0.95,0.16,0.62,0.79,3.01,2.47,2.84,0.54
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Latvia,17.32,15.98,14.2,13.15,11.56,13.58,11.96,7.9,8.36,9.3,11.3,12.52
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,0.28,0.09,0.03
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,North Macedonia,38.6,73.7,44.4,37.4,3.64 b,1.02,26.79,17.28,17.43,8.86,8.5,9.31
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Netherlands,2787.15,2837.12,2696.53,2381.18,2082.36,2396.86,2390.71,2326.1,2285.2,2307.6,2506.7,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Poland,314.2,308.6,315.4,304.3,309.5,326.26,329.86,328.94,321.64,314.9,319.83,317.74
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Romania,3235.0,3059.0,3163.0,3227.0,3265.0,3245.0,3325.0,3318.33 i,3311.67 i,3305.0,3349.0,3314.0
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Serbia,105.89,86.14,73.82,70.58,82.43,79.69,98.91,45.58,44.94,41.96,41.85,42.21
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Sweden,1479.60 i,1407.20 i,1334.80 i,1262.40 i,1190.0,1199.80 i,1209.60 i,1219.40 i,1229.20 i,1239.0,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Slovenia,26.0,20.1,23.5,22.5,22.4,22.0,22.6,21.4,20.88,19.21,17.22,19.47
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Slovakia,199.1,259.2,107.7,104.9,105.3,103.4,105.0,108.2,107.5,105.9,108.7,99.49
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Türkiye,:,196.82,:,205.54,:,212.03,:,220.51,:,182.6,:,248.99
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,United Kingdom,483.5,950.0,815.05 i,680.1,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry,Fresh surface water,Kosovo*,15.11,15.22,15.65,13.79,17.39,16.6,15.49,15.12,16.32,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Albania,:,:,:,:,:,:,0.70 e,0.44,0.5,0.48,0.2,0.4
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Bosnia and Herzegovina,:,23.0,23.92,18.91,23.51,27.52,34.52,33.18,34.74,34.58,38.4,11.6
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Belgium,809.41,821.47,762.44,779.92,682.09,703.62,777.92,755.44,716.78,704.98,789.12 e,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Bulgaria,26.59,27.01,24.69,24.53,27.47,25.9,27.5,23.85,23.84,26.29,28.04,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Switzerland,:,0.00 e,:,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Czechia,48.0,48.2,32.0,41.6,39.9,35.9,33.5,37.4,36.1,31.3,30.9,29.8
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Germany,3092.41 i,2990.59 i,2888.77 e,2943.43 i,2998.09 i,3052.75 e,2960.83 i,2868.92 i,2777.00 e,:,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 p,0.00 p
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Spain,147.50 e,125.90 e,125.10 e,120.00 e,121.2,141.90 e,143.60 e,131.60 e,125.30 e,122.80 e,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Croatia,3.20 e,3.29 e,3.24,3.07,2.96,2.06,3.11,3.26,5.0,7.0,6.6,5.03
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Hungary,:,:,:,:,:,:,:,:,:,:,:,126.5
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Ireland,:,:,:,:,:,:,:,:,:,:,:,2.41
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Lithuania,:,:,16.03,14.11,10.8,11.19,11.44,13.69,16.3,16.55,16.25,7.49
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Luxembourg,2.7,2.7,0.16,1.26,0.5,0.0,0.09,0.44,1.87,1.71,1.92,0.1
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Netherlands,2704.44,2748.9,2617.36,2315.4,2024.84,2330.64,2324.66,2261.83,2222.06,2243.84,2437.44,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Poland,247.8,230.5,237.4,247.5,236.4,237.56,236.59,212.34,189.2,198.72,197.4,189.13
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Serbia,88.07,63.28,46.76,40.44,48.13,53.56,66.68,21.36,17.68,14.07,17.93,17.62
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Sweden,599.80 i,601.60 i,603.40 i,605.20 i,607.0,609.40 i,611.80 i,614.20 i,616.60 i,619.0,:,:
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Slovakia,:,:,37.5,35.2,34.5,30.6,28.7,31.4,32.4,33.5,29.6,26.3
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,Türkiye,:,74.58,:,94.07,:,66.85,:,74.33,:,93.53,:,105.11
Annual,Million cubic metres,Water abstraction by manufacturing industry - cooling,Fresh surface water,United Kingdom,175.8,154.60 i,133.40 i,112.2,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Albania,291.0,:,:,:,:,:,283.00 e,205.6,180.56,156.57,125.42,126.84
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Austria,:,:,:,:,:,0.00 e,0.00 e,0.00 e,0.00 e,0.00 e,0.00 e,0.00 e
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Bosnia and Herzegovina,55.4,55.3,54.6,49.4,50.2,51.51,53.61,54.49,55.1,58.98,60.04,62.65
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Belgium,265.42,261.43,263.32,260.13,272.96,261.61,279.87,282.88,290.12,284.47,295.65 e,280.92 e
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Bulgaria,480.35,487.62,468.15,426.94,428.45,421.29,414.09,390.72,391.7,360.05,377.79,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Switzerland,191.0,174.0,173.0,165.0,180.0,177.0,184.0,199.0,188.0,200.0,191.0,202.0
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Cyprus,25.9,52.5,59.1,41.6,38.3,21.7,23.7,24.8,34.6,55.4,43.6,42.9
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Czechia,326.6,327.3,314.8,309.6,316.1,313.1,320.6,326.0,326.2,312.3,305.9,309.0
