Time frequency,Accommodation unit,Unit of measure,Size of tourism establishments by number of rooms,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Bedrooms,Percentage,Total,Euro area - 19 countries  (2015-2022),:,:,:,56.72,58.09,:,60.88,61.11,38.45,43.64,55.77,:
Annual,Bedrooms,Percentage,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,55.76,60.61
Annual,Bedrooms,Percentage,Total,Estonia,52.0,52.0,51.0,52.0,54.0,55.0,56.0,56.0,26.0,33.0,49.0,48.0
Annual,Bedrooms,Percentage,Total,Greece,44.1,44.2,46.2,46.8,47.7,50.2,48.8,47.3,29.6,42.8,50.7,54.3
Annual,Bedrooms,Percentage,Total,Spain,56.1,57.2,59.2,61.97,65.72,67.07,66.77,67.22,38.0,48.86,58.52,68.17
Annual,Bedrooms,Percentage,Total,European Union - 27 countries (from 2020),52.89,53.24,54.31,55.72,57.22,58.94,59.86,60.11,37.26,42.69,54.78,59.22
Annual,Bedrooms,Percentage,Total,Finland,51.3,50.0,50.3,51.13,52.9,54.76,54.28,55.04,37.23,39.41,49.01,51.8
Annual,Bedrooms,Percentage,Total,France,60.3,59.3,59.1,59.0,58.4,61.2,62.5,62.4,53.2 e,57 e,60.4,62.2
Annual,Bedrooms,Percentage,Total,Croatia,:,52.6,53.0,54.4,57.3,59.2,59.8,60.6,24.9,41.6,55.0,57.9
Annual,Bedrooms,Percentage,Total,Hungary,43.4,45.7,47.8,49.8,52.0,55.0,56.3,56.8,31.3,38.1,47.5,49.2
Annual,Bedrooms,Percentage,Total,Ireland,58 e,58 e,61 e,68 e,71 e,:,70 e,72 e,20 e,17 e,71.0,76.0
Annual,Bedrooms,Percentage,Total,Iceland,47.3,54.1,52.4,0.58,65.3,:,:,59.7,24.3,36.5,55.7,63.7
Annual,Bedrooms,Percentage,Total,Italy,42.8,42.8,42.9,44.9,46.2,48.8,51.0,51.8,31.4,40.1,51.0,54.5
Annual,Bedrooms,Percentage,Total,Liechtenstein,:,:,:,36.9,34.9,37.8,42.1,43.7,28.5,37.2,:,49.7
Annual,Bedrooms,Percentage,Total,Lithuania,45.2,47.9,48.7,49.3,51.0,53.7,55.2,55.9,29.6,35.2,54.2,57.2
Annual,Bedrooms,Percentage,Total,Luxembourg,41.1,43.2,46.9,41.18,44.11,45.16,42.36,47.32,28.22,32.56,42.87,42.74
Annual,Bedrooms,Percentage,Total,Latvia,39.4,41.1,45.1,42.4,42.5,44.8,48.9,48.2,23.3,23.0,38.4,39.9
Annual,Bedrooms,Percentage,Total,Montenegro,:,:,:,:,:,38.7,:,:,:,:,:,:
Annual,Bedrooms,Percentage,Total,North Macedonia,:,22.1,36.1,37.18,35.0,39.3,42.7,46.7,25.91,30.2,40.35,43.88
Annual,Bedrooms,Percentage,Total,Malta,64.8,70.0,72.7,74.0,74.0,76.7,77.8,75.4,30.8,40.1,62.8,72.6
Annual,Bedrooms,Percentage,Total,Netherlands,62.9,63.5,65.8,68.1,68.1,71.8,72.9,72.0,30.7,34.2,55.2,65.5
Annual,Bedrooms,Percentage,Total,Norway,52.6,52.4,52.9,53.6,54.4,:,:,:,37.5,40.2,50.7,53.6
Annual,Bedrooms,Percentage,Total,Poland,41.1,41.6,42.7,45.3,47.6,48.9,49.8,50.7,30.1,36.3,49.5,50.7
Annual,Bedrooms,Percentage,Total,Portugal,44.0,43.7,45.7,48.2,53.24,56.98,56.98,58.98,30.11,38.33,57.76,61.6
Annual,Bedrooms,Percentage,Total,Romania,40.4,42.5,44.1,47.44,43.91,43.97,43.11,42.18,27.0,30.06,32.01,29.14
Annual,Bedrooms,Percentage,Total,Serbia,:,29.1,27.4,29.5,30.5,:,:,:,23.6,32.0,46.3,46.2
Annual,Bedrooms,Percentage,Total,Sweden,50.1,50.3,51.7,55.27,58.0,58.27,58.0,58.0,34.0,41.81,55.71,57.47
Annual,Bedrooms,Percentage,Total,Slovenia,47.7,46.9,47.3,49.5,52.2,55.6,:,51.15,33.0,37.16,46.44,47.74
Annual,Bedrooms,Percentage,Total,Slovakia,31.5,33.4,32.6,35.48,38.82,39.94,39.6,42.32,31.15,28.64,35.95,42.95
Annual,Bedrooms,Percentage,Total,United Kingdom,63.6,66.4,65.3,68.5,70.2,:,:,:,:,:,:,:
