Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Gross fixed capital formation,Tunisia,21.4 dp,22.6 d,23.0 d,23.6 d,24.3 d,24.6 d,21.9 d,22.5 d,21.9 d,20.3 d,21.0,20.5,20.0,19.6,19.4 d,15.8,16.0 p,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Algeria,9.3 d,7.0 d,8.1 d,8.1 d,8.6 d,5.1 d,6.4 d,8.4 d,9.2 d,8.1 d,8.5 d,7.7,7.8,6.8,6.3,4.9,3.3,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Egypt,0.1 d,0.0 d,0.0 d,0.1 d,0.3 d,0.3 d,0.4 d,1.3 d,1.2 d,1.2 d,0.6 d,0.6 d,0.5 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Israel,1.5,1.2,1.2,0.4,-0.3,0.0,0.6,0.4,-0.3,0.9,0.8,0.5,1.0,0.7,0.8,1.7,1.8,2.4,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Jordan,3.5 de,2.9 de,2.8 de,4.5 e,1.8 e,4.2 e,3.3 e,6.7 e,4.2 e,3.6 e,3.0 e,3.4 e,4.6,4.0,3.0,2.6,3.0,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Libya,:,0.1,-1.6,-0.4,1.0,-2.0,-9.0,-0.7,4.9,3.0,0.3,-5.6,-2.5,-0.9,-1.7,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Morocco,:,:,:,:,:,:,:,:,:,3.5,4.1,3.1,3.3,4.1,3.2,2.4,4.0,3.0,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Palestine*,0.3 e,0.6 e,0.4 e,0.7 e,0.4 e,0.9 e,-2.5 e,-1.6 e,1.0 e,1.4 e,1.4 e,1.4 e,1.6 e,1.6,1.7,1.7,1.7,1.7,:
Annual,Percentage of gross domestic product (GDP),Changes in inventories,Tunisia,0.2 dp,0.9 d,0.6 d,1.9 d,0.0 d,1.0 d,1.2 d,2.0 d,0.8 d,2.8 d,0.8,0.0,1.2,3.4,0.4 d,-3.1,-0.7 p,:,:
Annual,Percentage of gross domestic product (GDP),Acquisitions less disposals of valuables,Algeria,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0 d,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Percentage of gross domestic product (GDP),Acquisitions less disposals of valuables,Lebanon,1.0,-1.4,-0.2,0.7,-1.1,-0.1,1.2,-0.5,0.6,0.6,0.5,0.6,0.4,0.7,-1.2,-2.9,:,:,:
Annual,Percentage of gross domestic product (GDP),Acquisitions less disposals of valuables,Morocco,:,:,:,:,:,:,:,:,:,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,:
Annual,Percentage of gross domestic product (GDP),Acquisitions less disposals of valuables,Palestine*,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0,0.0,0.0,:,0.0,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Algeria,31.7 d,30.2 d,34.5 d,37.3 d,46.9 d,41.4 d,38.1 d,39.2 d,43.4 d,45.6 d,50.8 d,50.8,48.5,47.1,44.7,39.5,40.9,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Egypt,18.0 d,18.7 d,20.9 d,22.4 d,19.2 d,19.5 d,17.1 d,16.0 d,14.2 d,13.6 d,14.3 d,15.0 d,15.3 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Israel,23.5,23.5,24.2,23.0,20.8,21.3,23.3,23.7,22.1,22.7,21.9,22.9,23.0,23.9,23.7,24.2,25.3,26.9,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Jordan,34.1 de,28.3 de,30.3 de,36.0 e,32.5 e,35.0 e,31.7 e,31.0 e,26.6 e,25.8 e,24.8 e,23.4 e,24.7,24.4,21.4,21.5,25.2,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Lebanon,23.0,20.5,24.3,28.0,26.9,24.9,26.8,24.8,27.6,25.0,22.2,23.1,21.8,22.5,12.3,9.5,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Libya,:,21.0,19.1,21.7,26.0,19.8,8.4,15.2,21.7,26.2,17.4,13.8,13.7,15.1,14.2,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Morocco,:,:,:,:,:,:,:,:,:,30.8,30.2,32.0,31.7,32.1,30.6,28.8,30.5,30.3,:
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Palestine*,22.1 e,21.0 e,15.6 e,19.8 e,21.2 e,19.3 e,18.0 e,21.7 e,23.7 e,22.9 e,25.1 e,25.5 e,27.0 e,27.3,26.4,23.7,25.1,26.9,28.2 f
Annual,Percentage of gross domestic product (GDP),Gross capital formation,Tunisia,21.7 d,23.4 d,23.7 d,25.5 d,24.3 d,25.6 d,23.1 d,24.4 d,22.7 d,23.1 d,21.7,20.5,21.3,23.0,19.8 d,12.7,15.3 p,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Algeria,47.2 d,48.8 d,47.1 d,48.0 d,35.4 d,38.4 d,38.8 d,36.9 d,33.2 d,30.2 d,23.2 d,20.9,22.6,25.9,22.7,15.8,28.8,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Egypt,30.3 d,29.9 d,30.2 d,33.0 d,25.0 d,21.3 d,20.6 d,17.4 d,17.0 d,14.2 d,13.2 d,10.3 d,16.3 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Israel,39.5,39.6,39.4,37.8,32.5,34.1,34.7,35.2,33.2,31.9,31.2,30.1,29.3,30.0,29.3,27.6,29.3,31.7,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Jordan,52.7 de,53.9 de,54.2 de,56.1 e,45.1 e,47.0 e,46.6 e,45.2 e,41.3 e,42.1 e,36.5 e,34.4 e,34.7,35.1,36.7,24.2,30.3,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Lebanon,36.6,35.6,37.1,38.5,33.2,35.0,36.4,28.8,26.6,23.8,23.1,21.7,21.9,20.8,20.7,28.1,:,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Libya,:,71.4,72.2,72.9,61.4,65.1,38.0,66.1,59.1,31.5,21.2,12.7,26.8,39.1,41.6,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Morocco,:,:,:,:,:,:,:,:,:,30.1,30.0,30.7,32.6,33.8,34.1,30.8,33.2,44.8,:
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Palestine*,12.3 e,12.1 e,14.1 e,15.8 e,15.5 e,14.8 e,16.6 e,15.7 e,15.7 e,17.2 e,16.1 e,14.5 e,16.3 e,16.5,16.6,16.6,18.2,18.6,18.6 f
Annual,Percentage of gross domestic product (GDP),Exports of goods and services,Tunisia,44.9 d,46.0 d,51.1 d,55.7 d,45.0 d,49.5 d,48.5 d,48.5 d,47.0 d,45.0 d,38.4,38.3,41.7,45.5,46.0 d,38.0,42.1 p,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Algeria,24.1 d,21.9 d,24.9 d,28.7 d,36.0 d,31.4 d,28.7 d,28.5 d,30.4 d,31.9 d,36.5 d,35.1,32.7,32.2,29.1,25.1,28.5,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Egypt,32.6 d,31.6 d,34.8 d,38.6 d,31.6 d,26.6 d,24.7 d,24.3 d,23.4 d,22.7 d,21.7 d,19.9 d,28.5 d,:,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Israel,39.6,39.4,40.2,38.3,30.0,32.2,34.8,35.3,31.4,30.3,28.1,28.2,27.4,29.1,27.4,23.5,25.7,28.8,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Jordan,94.2 de,87.9 de,91.8 de,84.9 e,67.1 e,67.2 e,72.1 e,72.6 e,70.2 e,67.8 e,58.8 e,54.3 e,55.4,52.8,49.2,42.0,50.2,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Lebanon,56.1,55.5,60.8,68.1,57.2,60.1,65.8,59.7,59.5,56.1,48.7,46.0,46.5,47.5,42.3,59.3,:,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Libya,:,25.9,29.3,29.1,44.4,31.8,24.9,31.3,46.5,44.3,34.7,26.5,20.3,24.2,35.4,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Morocco,:,:,:,:,:,:,:,:,:,41.8,37.3,40.4,41.6,43.4,41.9,38.0,42.4,56.3,:
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Palestine*,63.3 e,60.8 e,59.0 e,58.8 e,59.4 e,52.3 e,50.8 e,54.8 e,49.4 e,51.4 e,54.7 e,51.3 e,51.2 e,52.9,52.9,51.2,55.0,63.2,61.5 f
Annual,Percentage of gross domestic product (GDP),Imports of goods and services,Tunisia,45.3 d,47.9 d,53.0 d,58.7 d,48.0 d,54.7 d,56.0 d,58.0 d,56.5 d,56.0 d,48.8,48.8,54.1,58.4,56.4 d,46.3,52.2 p,:,:
