Time frequency,Unit of measure,Sex,Age class,Income situation in relation to the risk of poverty threshold,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Austria,39.5,34.6,37.6,37.2,42.8,41.2,36.0,37.3,39.3,43.4,44.8,45.1
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Belgium,6.2,8.5,9.3,7.0,14.0 b,17.0,20.2,16.6 b,17.5,19.1,23.9,20.3
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Bulgaria,59.2,60.5,60.2,57.3,60.4 b,59.1,60.1,59.6,58.8,58.1,59.8,58.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Switzerland,13.9,9.0,13.2 b,15.3,19.8,16.0,14.4,14.6,14.2,13.5,15.6,17.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Cyprus,7.9,5.2,4.6,3.7,5.8,6.4,5.4,5.3,4.4,4.9,5.8,4.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Czechia,48.9,48.3,49.9,45.8,45.6,42.6,36.2,39.8,36.2,43.2,39.5,50.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Germany,14.9,14.4,14.7,15.8,17.8,16.3,16.8,17.9,22.5 b,24.0,26.4,29.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Denmark,22.5,22.3,24.5,23.0,16.1,24.4,29.9,32.9,28.6,23.5,22.8,21.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Euro area - 19 countries  (2015-2022),25.5,25.7,26.0,26.5,26.5,25.8,26.0,26.6,27.9,28.3,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,26.2,26.8,26.9,26.1,26.3,26.9,28.1,28.9,27.9,30.1
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Estonia,28.4,34.4,24.5 b,21.2,25.6,23.6,19.0,26.8,24.8,24.5,27.7,30.3
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Greece,41.2,45.1,46.1,45.5,46.2,47.9,48.4,50.1,48.7,47.0,46.9,45.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Spain,12.5,11.6,11.5,12.1,13.5,12.5,12.2,15.9,18.6,15.5,14.5,16.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 27 countries (2007-2013),32.2,33.0,32.9,32.7,32.8,29.2,29.1,29.5 e,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 27 countries (from 2020),35.0 e,35.4 e,35.7 e,35.5 e,35.3 e,32.8 e,32.3 e,32.8 e,33.0,33.2,32.6,34.2
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 28 countries (2013-2020),32.4,33.2,33.1,32.9,33.0,29.4,29.3,29.7 e,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Finland,16.8,18.9,15.0,15.9,14.0,12.7,18.1,20.7,20.0,16.2,17.3,20.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,France,24.3,21.4,21.8,21.9,24.0,24.4,25.9,23.8,26.1 b,26.8,26.0 b,28.1
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Croatia,54.3,51.9,52.1,50.5,52.2,50.9,51.5,49.5,44.4,39.8,37.9,38.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Hungary,76.3,74.0,69.4,69.0,62.8,48.7,31.3 b,33.5,26.5,29.9,30.4,40.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Ireland,7.0,4.9,9.5,6.8,7.5,8.9,5.6,10.6 b,10.6 b,6.6,11.7,11.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Iceland,17.2,21.3,19.0,21.1,19.0,24.0,28.2,32.3,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Italy,45.7,47.4,48.8,49.6,44.9,42.4,43.4,41.4,41.9,45.5,39.3,42.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Lithuania,31.0,45.1 b,44.8,44.0,40.5,40.8,33.3,40.1,34.3,38.9,39.3,39.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Luxembourg,19.9,18.9,19.6,17.6,25.2 b,18.0,20.6,18.0,19.6 b,12.8 b,15.0 b,17.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Latvia,55.0,54.4,57.3,58.2,54.9,58.0,51.5,46.3,49.5,52.9,53.9,56.2
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Montenegro,:,61.4,74.8,71.2,70.0,73.0,77.0,77.5,79.9,79.3,70.5,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,North Macedonia,67.9,63.7,59.8,68.5,64.1,64.0,60.9,57.6,54.9,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Malta,7.0,7.2,9.3,8.7,8.1,7.1,8.4,8.0,10.7,5.0,5.1,3.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Netherlands,7.0,10.5,13.5,10.3,11.8 b,13.2,9.3,13.6,15.7,12.0,7.6,13.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Norway,22.5,24.6,22.5,20.1,22.0,18.8,18.1,20.4,23.9,29.2 b,21.8,23.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Poland,64.2,65.0,65.2,63.2,63.3,53.6,51.1,48.8,46.2 b,46.2,49.3,43.8 b
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Portugal,18.7,21.3,23.0,23.5,22.4,20.0,21.6,21.1,16.1,21.3,23.5,32.2
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Romania,69.2,70.6,70.5,69.1,68.9,66.4,65.1,64.2,64.3,57.2,60.7,58.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Serbia,:,65.2,59.7,65.4,67.2,68.2,64.5,64.0,64.8,64.3,60.6,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Sweden,38.2,39.3,44.3,41.7,46.7,40.4,49.3,49.1,47.3,48.8,43.6,49.2
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Slovenia,32.8,30.4,29.5,28.0,25.7,24.7,25.1,22.7,21.8,25.1,24.5,22.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Slovakia,56.9,59.3,62.6,61.0,56.8,59.1,57.8,61.0,51.3,55.0,60.2,50.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Türkiye,74.8,73.7,74.5,73.3,73.0,72.3,70.6,68.0,66.1,66.9,65.6,63.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,United Kingdom,14.4 b,17.1,14.9,15.5,16.2,7.8 b,11.8,:,:,:,:,:
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,64.7,63.9,61.6,59.0,58.9,:,:
Annual,Percentage,Total,Total,Total,Austria,14.1,15.1,15.4,15.3,15.6,15.2,13.5,15.4,14.5,14.8,16.4,15.0
Annual,Percentage,Total,Total,Total,Belgium,1.4,1.8,1.9,1.5,3.7 b,4.9,5.7,5.8 b,5.8,6.1,6.4,5.8
Annual,Percentage,Total,Total,Total,Bulgaria,47.0,47.2,46.2,45.1,46.8 b,46.2,46.3,45.9,44.5,43.0,41.5,40.7
Annual,Percentage,Total,Total,Total,Switzerland,5.8,6.5,6.6 b,6.0,6.7,5.9,5.8,6.2,6.1,5.4,5.3,6.7
Annual,Percentage,Total,Total,Total,Cyprus,2.8,2.5,2.3,1.4,2.5,3.0,2.6,2.2,2.6,2.3,2.3,2.2
Annual,Percentage,Total,Total,Total,Czechia,22.2,22.1,20.9,19.4,18.5,16.5,16.3,16.1,16.0,16.2,15.9,16.6
Annual,Percentage,Total,Total,Total,Germany,5.5,5.6,5.6,5.9,6.1,6.2,6.3,6.7,9.6 b,10.3,10.9,11.1
Annual,Percentage,Total,Total,Total,Denmark,6.8,7.1,7.7,7.1,7.5,8.4,8.8,10.1,9.2,8.7,9.6,8.5
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),12.2,12.5,12.4,12.8,12.9,12.7,12.9,13.2,13.9,13.9,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,12.7,13.2,13.3,13.1,13.3,13.6,14.2,14.4,14.0,14.4
Annual,Percentage,Total,Total,Total,Estonia,15.5,24.2,15.7 b,14.9,15.0,14.9,14.0,15.4,13.8,15.5,16.4,17.7
Annual,Percentage,Total,Total,Total,Greece,27.7,29.2,29.3,30.2,31.1,31.7,31.8,31.2,31.5,30.9,30.5,30.1
Annual,Percentage,Total,Total,Total,Spain,6.0,5.5,5.7,5.9,5.9,5.6,5.0,6.4,8.3,6.9,7.2,8.3
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),17.7,17.9,17.5,17.6,17.5,16.6,16.4,16.5 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),19.6 e,19.6 e,19.3 e,19.4 e,19.2 e,18.8 e,18.3 e,18.4 e,18.6,18.5,18.0,18.1
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),18.0,18.1,17.7,17.9,17.7,16.9,16.7,16.7 e,:,:,:,:
Annual,Percentage,Total,Total,Total,Finland,3.6,4.5,4.5,4.2,3.9,3.9,5.0,5.5,5.2,4.7,5.5,5.1
Annual,Percentage,Total,Total,Total,France,7.5,7.1,6.6,7.3,7.7,7.5,8.2,7.4,9.4 b,9.1,9.2 b,10.0
Annual,Percentage,Total,Total,Total,Croatia,47.0,45.2,44.6,44.0,43.5,42.2,41.6,40.7,38.3,36.4,34.9,33.4
Annual,Percentage,Total,Total,Total,Hungary,49.3,48.4,46.2,45.6,45.2,45.4,22.4 b,22.8,21.2,20.0,19.1,17.4
Annual,Percentage,Total,Total,Total,Ireland,3.4,3.0,4.3,4.0,3.6,3.0,2.9,3.3 b,3.2 b,3.4,4.5,4.1
Annual,Percentage,Total,Total,Total,Iceland,7.6,8.9,8.2,8.5,7.4,8.1,10.2,14.4,:,:,:,:
Annual,Percentage,Total,Total,Total,Italy,28.9,29.9,30.1,30.9,30.8,30.1,30.9,31.5,29.0,31.1,28.2,28.6
Annual,Percentage,Total,Total,Total,Lithuania,21.7,31.2 b,31.4,29.5,26.4,26.9,25.8,26.1,23.8,26.8,28.4,30.1
Annual,Percentage,Total,Total,Total,Luxembourg,6.4,5.7,6.4,6.0,7.7 b,7.8,7.9,6.4,8.1 b,7.1 b,5.6 b,7.4
Annual,Percentage,Total,Total,Total,Latvia,39.6,40.4,42.7,43.9,45.9,44.9,46.2,45.0,45.3,44.0,45.0,43.8
Annual,Percentage,Total,Total,Total,Montenegro,:,48.5,57.8,59.9,61.0,61.0,65.2,65.6,67.3,63.9,64.8,:
Annual,Percentage,Total,Total,Total,North Macedonia,53.6,51.7,47.0,52.1,51.1,47.3,47.4,44.5,42.7,:,:,:
Annual,Percentage,Total,Total,Total,Malta,4.2,4.8,4.3,4.1,3.3,3.4,3.8,4.1,4.8,3.3,3.2,2.8
Annual,Percentage,Total,Total,Total,Netherlands,2.1,2.0,2.9,2.8,3.3 b,3.5,3.5,4.4,4.3,2.7,2.0,3.1
Annual,Percentage,Total,Total,Total,Norway,4.6,4.7,3.4,3.8,3.9,3.9,4.0,4.3,4.5,5.8 b,5.7,5.7
Annual,Percentage,Total,Total,Total,Poland,48.2,46.6,45.9,45.2,42.2,42.1,40.6,39.0,38.5 b,37.2,37.2,35.3 b
Annual,Percentage,Total,Total,Total,Portugal,10.8,12.3,11.1,11.2,11.1,10.1,10.6,10.4,9.8,11.6,10.4,14.2
Annual,Percentage,Total,Total,Total,Romania,55.8,54.8,53.7,54.3,53.4,51.9,51.0,50.6,50.1,45.5,45.2,44.7
Annual,Percentage,Total,Total,Total,Serbia,:,56.5,52.7,55.6,57.6,58.1,55.4,55.6,54.9,53.5,52.1,:
Annual,Percentage,Total,Total,Total,Sweden,11.5,10.5,10.5,11.6,12.5,12.1,13.9,14.8,14.5,14.3,14.7,15.3
Annual,Percentage,Total,Total,Total,Slovenia,17.2,16.3,15.4,14.1,13.3,13.5,13.1,12.0,11.2,11.2,11.2,10.7
Annual,Percentage,Total,Total,Total,Slovakia,40.3,41.6,40.5,39.3,39.4,38.0,36.7,35.3,30.9,32.1,32.3,31.1
Annual,Percentage,Total,Total,Total,Türkiye,47.0,46.9,48.6,47.8,46.3,45.5,44.2,42.6,42.1,41.4,40.3,40.4
Annual,Percentage,Total,Total,Total,United Kingdom,7.0 b,8.3,7.3,7.5,8.1,3.8 b,5.5,:,:,:,:,:
