Time frequency,Unit of measure,Receipt type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),General government contributions,Slovakia,7.1,7.25,6.21,6.14,5.42,5.54,5.03,4.8,4.52,4.5,4.73,4.67
Annual,Percentage of gross domestic product (GDP),General government contributions,Türkiye,3.8,5.5 e,5.68,5.76,5.71,6.1,5.47,5.19,5.83,5.99,5.07,4.28
Annual,Percentage of gross domestic product (GDP),General government contributions,United Kingdom,16.36,16.82,16.08,15.42,16.59,14.85,14.92,13.98 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Other receipts,Albania,:,:,:,:,:,:,:,0.05 p,0.04 p,0.04 p,0.04 p,0.05
Annual,Percentage of gross domestic product (GDP),Other receipts,Austria,0.45,0.42,0.48,0.38,0.36,0.4,0.37,0.42,0.36,0.4,0.37,0.39
Annual,Percentage of gross domestic product (GDP),Other receipts,Bosnia and Herzegovina,:,:,0.45,0.15,0.25,0.38,0.54,0.42,0.32,0.27,0.25,0.29
Annual,Percentage of gross domestic product (GDP),Other receipts,Belgium,0.69,0.94,0.68,0.69,0.67,0.54,0.7,0.54,0.61,0.65,0.64 p,0.62
Annual,Percentage of gross domestic product (GDP),Other receipts,Bulgaria,0.32,0.32,0.41,0.4,0.35,0.29,0.34,0.33,0.31,0.3,0.29,0.28
Annual,Percentage of gross domestic product (GDP),Other receipts,Switzerland,3.95,4.19,3.94,3.8,3.67,3.7,3.85,3.56,3.69,3.74,3.48,3.4 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Cyprus,1.8,1.91,1.55,1.16,1.28,1.27,1.5,0.72,1.15,0.84,0.96,0.77
Annual,Percentage of gross domestic product (GDP),Other receipts,Czechia,0.3,0.29,0.3,0.31,0.27,0.26,0.24,0.24,0.25,0.39,0.32,0.23
Annual,Percentage of gross domestic product (GDP),Other receipts,Germany,0.51,0.55,0.53,0.53,0.55,0.52,0.52,0.47,0.53,0.52,0.59,0.49 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Denmark,0.81,0.86,1.82,0.44,2.48,2.17,1.83,2.08,0.95,0.78,1.27,1.97 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Euro area - 19 countries  (2015-2022),1.03,1.07,1.1,1.09,1.08,1.03,1.01 p,0.96 p,1 p,0.95 p,0.96 p,0.88 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Euro area – 20 countries (from 2023),1.03,1.07,1.09,1.09,1.07,1.03,1.01 p,0.96 p,1 p,0.95 p,0.96 p,0.88 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Estonia,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02
Annual,Percentage of gross domestic product (GDP),Other receipts,Greece,1.76,0.77,0.86,0.95,1.17,1.61,1.42 p,1.39 p,1.38 p,1.67 p,1.33 p,1.21 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Spain,0.33,0.32,0.67,0.64,0.46,0.44,0.49,0.26,0.64 p,0.4 p,0.56,0.08
Annual,Percentage of gross domestic product (GDP),Other receipts,European Union - 27 countries (from 2020),1.07,1.1,1.13,1.1,1.12 b,1.07,1.04 p,0.99 p,0.99 p,1.01 p,0.95 p,0.89 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Finland,2.03,1.88,1.81,1.69,1.63,1.65,1.64,1.86,1.79,1.47,1.6,1.56
Annual,Percentage of gross domestic product (GDP),Other receipts,France,1.07,1.11,1.15,1.09,1.09,1.06,1.05,1.04,0.99,0.95,0.92 p,0.94 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Croatia,0.57,0.6,0.54,0.6,0.59,0.71,0.75,0.79,0.86,1.09,1.05,0.84
Annual,Percentage of gross domestic product (GDP),Other receipts,Hungary,0.34,0.56,0.46,0.4,0.07 b,0.06,0.06,0.05,0.07,0.07,0.04,0.04
Annual,Percentage of gross domestic product (GDP),Other receipts,Ireland,1.13,1.21,1.17,1.13,0.62,0.44,0.6,0.56,0.32,0.19,0.25,0.64
Annual,Percentage of gross domestic product (GDP),Other receipts,Iceland,0.79,0.67,3.72,3.12,5.35,0.02,2.62,2.41,15.66,16.27,22.21,0.0
Annual,Percentage of gross domestic product (GDP),Other receipts,Italy,0.56,0.62,0.59,0.62,0.6,0.56,0.56,0.56,0.54 p,0.55 p,0.5 p,0.53 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Lithuania,0.16,0.14,0.17,0.11,0.21,0.2,0.21,0.18,0.19,0.27 p,0.17 p,0.2
Annual,Percentage of gross domestic product (GDP),Other receipts,Luxembourg,0.79,0.77,0.74,0.78,0.81,0.78,0.78,0.8,0.82,0.74,0.68,0.73
Annual,Percentage of gross domestic product (GDP),Other receipts,Latvia,0.14,0.07,0.09,0.08,0.08,0.09,0.13,0.08,0.05 p,0.04 p,0.03 p,0.03
Annual,Percentage of gross domestic product (GDP),Other receipts,Montenegro,:,:,:,:,:,0.17,0.05,0.07,0.02,0.05,0.02 p,0.03 p
Annual,Percentage of gross domestic product (GDP),Other receipts,North Macedonia,:,:,:,:,0.27,0.26,0.25,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Other receipts,Malta,0.42,0.33,0.33,0.33,0.39,0.34,0.28,0.29,0.31,3.19,2.4,0.88
Annual,Percentage of gross domestic product (GDP),Other receipts,Netherlands,5.06,5.36,5.44,5.74,5.96,5.61,5.23,5.02,5.0,4.65,4.47,4.19
Annual,Percentage of gross domestic product (GDP),Other receipts,Norway,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01
Annual,Percentage of gross domestic product (GDP),Other receipts,Poland,3.5,3.38,3.11,2.96,2.83,2.89,2.66,2.3,2.07,4.0,1.79,1.52
Annual,Percentage of gross domestic product (GDP),Other receipts,Portugal,3.1,2.59,2.56,2.38,2.14,2.32,2.14,2.11,1.97,2.05,2.31,1.98
Annual,Percentage of gross domestic product (GDP),Other receipts,Romania,0.16,0.15,0.25,0.21,0.23,0.21,0.2,0.1,0.1,0.1,0.27,0.09
Annual,Percentage of gross domestic product (GDP),Other receipts,Serbia,0.16,0.18,0.13,0.11,0.11,0.2,0.15,0.15,0.13,0.3,0.28,0.16
Annual,Percentage of gross domestic product (GDP),Other receipts,Sweden,0.71,0.71,0.63,0.7,0.71,0.72,0.65,0.7,0.7,0.51,0.56 p,0.69 p
Annual,Percentage of gross domestic product (GDP),Other receipts,Slovenia,0.27,0.3,0.32,0.34,0.3,0.28,0.23,0.22,0.28,0.22 p,0.32 p,0.33
Annual,Percentage of gross domestic product (GDP),Other receipts,Slovakia,0.41,0.55,0.39,0.81,0.52,0.57,0.6,0.57,0.57,0.6,0.37,0.38
Annual,Percentage of gross domestic product (GDP),Other receipts,Türkiye,0.95,0.89 e,0.82,0.79,0.78,0.75,0.97,1.06,1.22,1.02,0.75,0.74
Annual,Percentage of gross domestic product (GDP),Other receipts,United Kingdom,4.97,4.41,4.35,4.8,4.52,3.99,3.57,3.54 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Albania,:,:,:,:,:,:,:,3.22 p,3.3 p,3.44 p,3.28 p,3.38
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Austria,10.5,10.55,10.77,10.72,10.66,10.56,10.55,10.41,10.48,10.76,10.57,10.3
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Bosnia and Herzegovina,:,:,2.48,2.54,2.42,3.18,3.2,3.19,3.19,3.57,3.06,3.18
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Belgium,12.72,12.13,12.32,12.19,12.2,11.5,11.48,11.47,11.34,11.77,11.13 p,11.29
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Bulgaria,5.39 e,5.08 e,6.07 e,6.34 e,5.95 e,5.9 e,6.35 e,6.46 e,6.74 e,6.94 e,6.7 e,6.29
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Switzerland,9.03,9.0,9.8,9.68,9.5,9.38,9.35,9.28,9.55,11.26,9.64,9.88 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Cyprus,5.28,10.45,4.81,5.48,5.83,6.32,5.97,5.88,6.32,6.92,6.17,5.46
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Czechia,9.56,9.6,9.68,9.46,9.32,9.5,9.61,10.06,10.15,10.94,10.87,9.91
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Germany,10.19,10.44,10.43,10.35,10.41,10.44,10.47,10.58,10.9,11.33,10.89,10.67 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Denmark,4.22,4.05,4.2,3.81,3.86,3.47,3.91,3.91,4.03,4.25,4.01,3.76 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Euro area - 19 countries  (2015-2022),11.05 e,11.13 e,11.11 e,11.07 e,10.89 e,10.83 e,10.82 p,10.88 p,10.75 p,11.09 p,10.78 p,10.55 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Euro area – 20 countries (from 2023),11.03 e,11.11 e,11.09 e,11.05 e,10.87 e,10.81 e,10.8 p,10.86 p,10.73 p,11.07 p,10.76 p,10.53 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Estonia,11.83,11.71,11.41,11.47,12.18,12.33,11.61,11.51,11.34,12.39,11.5,10.62
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Greece,9.08,8.9,8.56,8.37,8.45,8.4,8.6 p,8.7 p,6.56 p,7.35 p,6.84 p,6.15 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Spain,10.72,10.43,10.17,9.92,9.71,9.69,9.99,10.18,10.66 p,11.51 p,11.26,10.83
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,European Union - 27 countries (from 2020),10.67 e,10.75 e,10.78 e,10.71 e,10.54 e,10.54 e,10.51 p,10.49 p,10.31 p,10.61 p,10.32 p,10.05 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Finland,11.01,11.2,11.3,11.54,11.17,11.15,10.0,9.62,9.52,9.24,9.78,9.55
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,France,14.02,14.23,14.31,14.41,14.21,14.16,14.15,14.12,12.96,13.14,12.92 p,12.81 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Croatia,6.24,5.94,5.65,6.13,6.2,6.47,6.45,6.37,6.32,6.61,6.34,6.19
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Hungary,7.95,7.81,7.82,7.87,7.68 b,7.77,6.51,6.33,5.87,5.48,4.78,4.03
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Ireland,5.67,5.48,5.28,5.19,4.09,4.3,4.2,4.02,3.89,3.49,3.33,3.19
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Iceland,9.37,9.18,9.14,9.16,9.24,8.91,10.84,10.48,10.77,12.21,11.05,9.62
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Italy,10.73,10.71,10.66,10.52,10.5,10.36,10.39,10.65,10.78 p,11.05 p,10.81 p,10.58 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Lithuania,7.68,7.43,7.7,8.03,8.65,9.46,9.31,9.39,2.65,2.77 p,2.8 p,2.78
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Luxembourg,6.41,6.25,6.15,6.13,6.21,6.17,6.2,6.3,6.37,6.39,6.24,6.24
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Latvia,6.37 e,6.2 e,6.33 e,6.11 e,6.12 e,6.14 e,6.19 e,6.43 e,6.73 p,6.9 p,6.71 p,6.9
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Montenegro,:,:,:,:,:,3.45,3.74,3.82,3.55,4.03,3.43 p,2.42 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,North Macedonia,:,:,:,:,0.23,0.21,0.22,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Malta,6.4,6.08,5.6,5.19,4.61,4.44,3.98,3.71,3.5,3.34,3.05,2.82
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Netherlands,10.02,10.36,10.24,10.62,9.71,9.66,9.57,9.7,9.82,10.41,9.97,9.78
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Norway,7.21,7.44,7.41,7.88,8.01,8.31,7.96,7.99,8.42,8.57,7.64,6.15
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Poland,7.99,7.72,8.69,8.42,8.68,9.92,9.65,9.49,8.76,8.93,8.69,8.36
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Portugal,8.03,7.51,8.0,8.01,7.93,7.95,8.04,8.06,8.18,8.72,8.68,8.4
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Romania,6.63,6.95,7.42,7.11,6.35,6.28,6.76,1.92,1.41,1.49,1.46,1.66
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Serbia,6.1 e,6.24 e,6.09 e,6.14 e,5.98 e,5.52 e,6.05 e,6.17 e,6.21 e,6.33 e,6.88 e,6.55
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Sweden,11.5,12.14,12.05,11.97,11.77,12.2,11.75,12.12,11.64,11.48,11.6 p,11.31 p
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Slovenia,6.4,6.61,6.49,6.28,6.21,6.28,6.23,6.29,6.37,6.56 p,6.76 p,7.01
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Slovakia,7.97,7.9,8.33,8.48,8.56,8.94,9.38,8.68,9.61,10.04,10.19,10.19
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,Türkiye,4.16,3.78 e,3.78,3.62,3.59,4.11,4.14,4.32,4.2,4.33,4.08,2.94
Annual,Percentage of gross domestic product (GDP),Employers' social contributions,United Kingdom,9.52,9.65,9.3,8.56,8.4,8.6,8.01,7.91 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Albania,:,:,:,:,:,:,:,2.82 p,2.91 p,2.99 p,3.14 p,2.79
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Austria,7.47,7.53,7.74,7.76,7.75,7.74,7.87,7.8,7.87,8.18,8.1,7.77
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Bosnia and Herzegovina,:,:,12.33,12.57,12.26,11.94,12.07,12.07,12.17,12.73,12.11,11.35
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Belgium,6.14,6.06,6.08,5.94,5.88,5.75,5.89,5.9,5.87,6.09,5.73 p,5.63
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Bulgaria,2.82 e,3.21 e,3.35 e,3.5 e,3.66 e,3.64 e,3.91 e,4.05 e,4.28 e,4.33 e,4.18 e,3.92
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Switzerland,10.55,10.68,10.81,10.98,11.29,11.46,11.75,11.7,11.9,12.51,12.12,11.82 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Cyprus,3.71,3.94,3.69,4.18,4.21,4.12,3.94,3.86,4.68,5.06,5.14,5.46
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Czechia,4.56,4.67,4.77,4.65,4.6,4.63,4.65,4.78,4.77,4.58,4.75,4.53
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Germany,9.34,9.44,9.42,9.36,9.42,9.55,9.61,9.72,9.65,9.89,9.71,9.57 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Denmark,3.16,3.02,3.01,2.77,2.78,2.58,2.81,2.8,2.85,2.93,2.77,2.57 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Euro area - 19 countries  (2015-2022),6.54 e,6.7 e,6.82 e,6.78 e,6.7 e,6.78 e,6.76 p,6.65 p,6.6 p,6.8 p,6.64 p,6.49 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Euro area – 20 countries (from 2023),6.54 e,6.7 e,6.82 e,6.78 e,6.71 e,6.78 e,6.76 p,6.66 p,6.61 p,6.81 p,6.65 p,6.49 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Estonia,0.29,0.17,0.18,0.16,0.17,0.18,0.15,0.16,0.18,0.39,0.19,0.2
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Greece,6.22,6.06,6.06,5.84,5.89,6.06,6.56 p,6.38 p,6.33 p,6.85 p,6.35 p,5.9 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Spain,3.04,3.05,3.04,3.1,3.02,3.0,3.0,2.99,3.02 p,3.08 p,3.1,2.98
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,European Union - 27 countries (from 2020),6.13 e,6.27 e,6.39 e,6.35 e,6.29 e,6.36 e,6.36 p,6.36 p,6.33 p,6.5 p,6.33 p,6.19 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Finland,3.72,4.02,4.09,4.31,4.31,4.38,4.32,4.31,4.47,4.85,4.87,4.58
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,France,6.08,6.26,6.43,6.53,6.5,6.51,6.55,5.83,5.68,5.72,5.63 p,5.62 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Croatia,7.08,7.22,7.22,7.19,7.18,7.12,7.1,7.19,7.29,7.63,7.24,7.04
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Hungary,4.3,4.69,4.84,4.67,4.9 b,5.08,5.28,5.31,5.29,5.51,5.37,5.36
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Ireland,2.72,2.52,2.51,2.36,1.84,1.88,1.75,1.82,1.89,1.77,1.69,1.56
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Iceland,1.84,1.8,1.79,1.84,1.95,2.02,2.28,2.12,2.09,2.99,2.18,1.56
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Italy,4.15,4.32,4.43,4.38,4.47,4.42,4.42,4.48,4.59 p,4.74 p,4.57 p,4.48 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Lithuania,2.44,2.42,2.52,2.55,2.75,3.22,3.1,3.2,6.86,7.16 p,6.85 p,6.34
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Luxembourg,5.56,5.66,5.56,5.5,5.44,5.45,5.65,5.78,5.93,6.07,5.71,5.76
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Latvia,2.74 e,2.66 e,2.69 e,2.54 e,2.52 e,2.51 e,2.53 e,2.68 e,2.81 p,2.87 p,2.72 p,2.77
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Montenegro,:,:,:,:,:,8.16,8.03,8.01,7.71,9.05,8.04 p,5.23 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,North Macedonia,:,:,:,:,8.46,8.12,8.29,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Malta,2.69,2.53,2.33,2.11,1.85,1.74,1.51,1.38,1.3,1.32,1.13,1.04
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Netherlands,11.09,11.76,12.19,11.39,10.65,11.18,10.37,10.47,9.81,9.91,9.63,9.21
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Norway,3.66,3.66,3.72,4.0,4.29,4.42,4.27,4.15,4.34,4.62,3.92,3.11
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Poland,3.48,3.35,4.06,3.89,4.17,4.2,4.39,4.41,4.44,4.53,4.43,4.37
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Portugal,4.05,3.86,4.29,4.51,4.19,4.16,4.26,4.17,4.31,4.54,4.58,4.49
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Romania,3.18,3.18,3.34,3.35,3.44,4.5,4.48,10.22,10.79,11.09,10.57,10.71
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Serbia,6.17,6.22,6.47,6.86,6.51,6.46,6.62,6.77,7.06,6.92,7.82,7.71
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Sweden,2.88,2.97,2.99,2.87,2.8,2.81,2.82,2.8,2.75,2.82,2.72 p,2.68 p
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Slovenia,9.35,9.55,9.37,9.58,9.45,9.43,9.42,9.49,9.66,9.53 p,10 p,9.88
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Slovakia,3.67,3.64,3.85,3.98,4.0,4.15,4.29,4.15,4.43,4.6,6.06,4.49
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,Türkiye,4.1,3.6 e,3.43,3.58,3.52,3.92,3.78,3.83,3.52,3.62,3.45,2.39
Annual,Percentage of gross domestic product (GDP),Protected persons' social contributions,United Kingdom,3.01,3.25,3.19,3.09,2.99,3.03,2.98,3.19 p,:,:,:,:
