Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,Greece,33.1 be,34.9 be,35.0 e,36.6 e,38.3 e,37.4 be,36.5 e,19.0 be,21.2 e,20.8 e,20.3 e,16.5 e,16.6 e,15.1 e,15.0 e,19.6 e,26.2 e,21.0 b,20.3,19.8
Annual,Percentage,Females,Spain,22.1 e,22.7 be,22.6 be,23.3 e,23.5 e,22.7 e,22.7 e,19.1 be,18.6 e,19.1 e,18.3 e,18.0 e,17.2 e,16.5 e,17.3 e,19.0 e,19.1 e,19.4 bd,18.1 d,19.5 d
Annual,Percentage,Females,European Union - 27 countries (from 2020),23.2 e,22.9 be,23.1 e,23.1 e,23.1 e,22.9 e,22.5 e,16.9 be,17.0 e,16.7 e,16.3 e,16.5 e,17.0 e,17.2 e,17.2 e,17.8 e,18.5 e,19.1 be,18.9 e,19.4 e
Annual,Percentage,Females,Finland,24.1 e,25.0 be,23.4 e,23.7 be,24.3 be,24.6 e,23.7 e,19.1 b,20.0,20.7,20.8,22.3,21.0,20.4,19.9,21.1,23.3,23.9 b,23.8,22.2
Annual,Percentage,Females,France,23.6 e,20.9 be,21.9 be,20.9 e,21.2 e,22.3 e,22.2 e,19.6 be,20.0 e,19.5 b,16.9 b,15.8,17.6,18.5,19.2,19.7,20.1,20.9 bd,19.0 de,20.1 d
Annual,Percentage,Females,Croatia,21.8 u,21.1 bu,25.6 bu,19.0 u,21.5 u,20.8 u,23.1 u,14.0 bu,15.4 u,17.9 u,14.5 u,17.1 u,13.7 u,14.3 u,18.0 e,20.9 e,18.5 e,20.8 be,14.4 u,17.4 be
Annual,Percentage,Females,Hungary,38.4 e,37.6 be,33.0 e,32.6 e,33.8 e,36.0 e,38.4 e,9.5 b,10.8 e,10.4 e,11.7,12.1 e,13.2 e,9.1 e,8.6 e,10.6,12.3 e,14.0 be,13.6 e,15.7 e
Annual,Percentage,Females,Ireland,35.6 e,34.1 be,34.9 e,32.6 be,32.3 e,32.6 e,31.4 e,24.2 be,23.0 e,23.3 e,21.1 e,20.2 e,21.5 e,21.1 be,18.6 e,21.4 e,20.7 e,20.3 be,22.0 e,24.3 e
Annual,Percentage,Females,Iceland,:,:,:,:,:,:,:,17.1 be,19.2 e,17.9 e,20.5 e,23.0 e,21.9 e,17.0 e,16.9 e,19.2 e,20.9 be,24.2 be,20.0 e,18.8 e
Annual,Percentage,Females,Italy,17.8 be,17.4 be,18.1 e,17.6 e,17.2 e,17.2 e,16.7 e,14.6 be,16.2 e,14.4 e,14.2 e,14.7 e,15.4 e,16.1 e,15.1 be,15.1 e,15.6 e,16.1 be,16.0 e,15.7 e
Annual,Percentage,Females,Lithuania,37.6 u,33.8 bu,: u,29.8 u,44.6 u,34.6,32.4 u,: bu,22.6 u,17.8 u,16.9 u,20.4 e,25.0 e,25.9 e,25.8 e,24.3 e,23.6 e,23.7 be,22.9 e,20.0 e
Annual,Percentage,Females,Luxembourg,14.0 e,24.2 be,11.9 u,15.6 be,7.9 u,15.3 be,13.7 e,12.7 be,10.5 e,12.3 e,11.8 e,13.8 be,12.5 e,11.6 e,13.6 e,15.5 e,20.0 e,19.7 be,20.7 e,22.5 e
Annual,Percentage,Females,Latvia,31.7 u,44.1 be,29.7 e,28.8 e,30.6 e,30.0 e,29.8 e,24.6 be,22.0 e,23.9 e,26.6 e,28.1 e,27.2 e,26.4 e,20.6 e,24.7 e,23.8 e,22.7 be,22.9 e,24.0 e
Annual,Percentage,Females,Montenegro,:,:,:,:,:,:,:,: bu,33.0 u,27.1 u,: u,: u,: u,29.4 u,27.6 u,: u,: u,:,:,:
Annual,Percentage,Females,North Macedonia,:,:,:,:,:,:,:,23.0 be,23.9 e,26.5 e,28.8 e,21.7 e,27.3 e,27.0 e,24.1 e,24.4 e,23.3 e,:,:,:
Annual,Percentage,Females,Malta,: bu,18.0 be,26.7 e,23.2 e,21.6 e,24.1 e,28.4 e,17.2 be,10.4 u,13.9 u,15.2 e,17.0 e,12.3 e,10.8 e,18.0 e,11.2 e,10.5 e,22.0 be,17.8 e,13.8 u
Annual,Percentage,Females,Netherlands,13.6 e,13.6 be,15.5 be,15.3 e,15.6 e,15.4 e,14.6 e,12.9 be,13.1 e,14.3 be,13.2,13.9,15.0,16.3,15.9,17.3,17.6,17.5 b,19.4 e,18.9
Annual,Percentage,Females,Norway,:,:,:,:,:,:,:,16.6 be,16.1 e,16.0 e,16.6 e,18.8 e,17.2 e,18.7 e,22.1 e,20.6 e,19.4 e,19.1 be,19.8,21.7 e
Annual,Percentage,Females,Poland,32.0 be,30.7 be,31.3 e,30.6 e,30.2 e,30.3 e,29.8 be,14.2 be,16.1 e,14.4 e,14.1 e,13.6 e,14.6 e,14.8,14.0,14.4 be,15.2 e,15.6 be,16.7,19.1
Annual,Percentage,Females,Portugal,29.0 e,23.9 be,22.7 e,24.4 e,20.9 e,25.3 e,28.6 e,18.1 be,14.4 e,13.4 e,15.3 e,17.7 e,18.1 e,17.7 e,17.8 e,17.9 e,21.3 e,21.0 b,20.3,20.0
Annual,Percentage,Females,Romania,:,32.2 be,31.1 e,28.5 e,32.3 e,32.3 e,29.3 be,21.7 be,21.3 e,23.5 e,21.5,27.3 e,26.3,25.7,23.7 e,23.5 e,26.1 e,26.0 be,25.2 e,26.0 e
Annual,Percentage,Females,Serbia,:,:,:,:,:,:,:,:,:,18.5 e,14.9 be,17.2 e,20.9 e,22.2 e,19.3 e,21.6 e,25.0 e,23.4 b,23.3 e,22.3 be
Annual,Percentage,Females,Sweden,21.3 e,21.4 be,21.6 e,21.4 e,21.2 e,21.2 e,20.9 e,19.0 b,19.4,19.6,19.1,18.9,20.8,20.9,20.9 b,20.5 e,21.3 e,21.8 b,23.0,22.8 e
Annual,Percentage,Females,Slovenia,30.7 u,29.5 be,26.2 e,24.7 e,26.3 e,24.1 e,25.5 e,15.8 b,14.2 e,12.7 u,13.5 e,16.1 e,17.3,16.4 e,16.6 e,19.5 e,17.2 e,16.6 be,17.6 e,17.1
Annual,Percentage,Females,Slovakia,32.9 e,30.8 be,32.1 e,33.5 e,32.7 e,32.5 e,34.8 e,17.5 be,13.4 e,9.1 e,12.1 e,11.9 e,9.6 e,14.4 e,13.1 e,14.0 e,15.8 e,14.9 be,14.9 e,17.4 e
Annual,Percentage,Females,Türkiye,:,:,:,:,:,:,:,13.8 be,13.9 be,14.6 e,14.8 be,14.2 e,13.4 e,13.2 e,14.2 e,13.3 e,16.5 e,17.1 b,19.6,20.5
Annual,Percentage,Females,United Kingdom,:,:,:,:,:,:,:,17.9 be,17.4 e,15.8 e,16.5 e,17.2 e,16.5 e,17.6 e,17.0 e,17.1 e,:,:,:,:
Annual,Percentage,Males,Austria,77.9 be,80.0 be,80.3 e,79.1 be,82.4 e,81.2 e,80.9 e,86.8 b,83.2,85.8,86.6,85.7,82.9 e,84.3,81.6,79.6,79.7,81.0 b,80.7,80.5
Annual,Percentage,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,82.2 be,75.8 e,80.6 e
Annual,Percentage,Males,Belgium,84.9 e,81.9 be,82.8 e,81.3 e,82.7 e,81.7 e,80.9 e,83.4 be,82.9,84.5,84.8,84.9,85.9,84.4 b,83.2,82.8,82.6,80.4 b,81.3,80.6
Annual,Percentage,Males,Bulgaria,73.7 e,73.6 be,71.8 e,71.1 e,68.7 be,69.4 e,68.9 be,66.9 be,67.5 e,70.1 e,68.3 e,69.0 e,70.9 e,70.8 e,69.9 e,71.9 e,71.8,71.8 be,71.1 be,70.9
Annual,Percentage,Males,Switzerland,:,:,:,:,:,:,:,87.4 b,86.7,85.8,86.2,85.8,85.0,84.8,85.5,83.4,83.7,83.7 b,84.1,83.4
Annual,Percentage,Males,Cyprus,86.6 e,79.1 be,81.5 e,80.7 e,84.9 e,84.5 be,81.9 e,79.9 be,81.2 e,83.6 e,84.3 e,79.2,76.3,81.8,81.1,80.8,81.8,80.7 b,78.4,76.0 e
Annual,Percentage,Males,Czechia,73.5 e,71.7 be,71.1 e,71.4 e,72.2 e,76.5 e,78.7 be,89.3 b,89.1,89.4,90.1,90.2,90.0,89.9,90.3,89.8,89.7,90.0 b,89.1,87.6
Annual,Percentage,Males,Germany,78.5 e,78.6 be,78.7 be,78.3 e,78.8 e,79.9 e,80.5 be,83.5 be,84.8 b,84.4,83.5,83.7,83.4,83.4,83.2,83.2,82.4 b,80.6 b,81.0,81.0
Annual,Percentage,Males,Denmark,77.0 e,77.2 be,77.9 e,75.1 e,77.4 be,77.6 e,77.7 e,80.3 be,80.8 e,80.9 e,81.8 e,79.6 e,78.9 be,79.7 be,79.5 e,78.3 e,77.0 e,77.2 b,78.0,77.4 be
Annual,Percentage,Males,Estonia,75.5 e,55.9 be,68.7 e,64.8 e,62.6 e,60.0 e,60.7 e,76.3 b,73.8,79.3,80.6,77.6,79.5 e,79.7,77.5,76.2,77.3 e,77.4 b,75.5,73.2 e
Annual,Percentage,Males,Greece,66.9 be,65.1 be,65.0 e,63.4 e,61.7 e,62.6 be,63.5 e,81.0 be,78.8 e,79.2 e,79.7 e,83.5 e,83.4 e,84.9 e,85.0 e,80.4 e,73.8 e,79.0 b,79.7,80.2
Annual,Percentage,Males,Spain,77.9 e,77.3 be,77.4 be,76.7 e,76.5 e,77.3 e,77.3 e,80.9 be,81.4 e,80.9 e,81.7 e,82.0 e,82.8 e,83.5 e,82.7 e,81.0 e,80.9 e,80.6 bd,81.9 d,80.5 d
Annual,Percentage,Males,European Union - 27 countries (from 2020),76.8 e,77.1 be,76.9 e,76.9 e,76.9 e,77.1 e,77.5 e,83.1 be,83.0 e,83.3 e,83.7 e,83.5 e,83.0 e,82.8 e,82.8 e,82.2 e,81.5 e,80.9 be,81.1 e,80.6 e
Annual,Percentage,Males,Finland,75.9 e,75.0 be,76.6 e,76.3 be,75.7 be,75.4 e,76.3 e,80.9 b,80.0,79.3,79.2,77.7,79.0,79.6,80.1 e,78.9,76.7,76.1 b,76.2 e,77.8
Annual,Percentage,Males,France,76.4 e,79.1 be,78.1 be,79.1 e,78.8 e,77.7 e,77.8 e,80.4 be,80.0 e,80.5 b,83.1 b,84.2,82.4,81.5,80.8,80.3,79.9,79.1 bd,81.0 d,79.9 d
Annual,Percentage,Males,Croatia,78.2 e,78.9 be,74.4 bu,81.0 e,78.5 e,79.2 e,76.9 e,86.0 be,84.6 e,82.1 e,85.5 e,82.9 e,86.3,85.7 e,82.0 e,79.1 e,81.5 e,79.2 be,85.6 e,82.6 be
Annual,Percentage,Males,Hungary,61.6 e,62.4 be,67.0 e,67.4 e,66.2 e,64.0 e,61.6 e,90.5 b,89.2 e,89.6,88.3,87.9,86.8,90.9,91.4,89.4,87.7 e,86.0 be,86.4 e,84.3 e
Annual,Percentage,Males,Ireland,64.4 e,65.9 be,65.1 e,67.4 be,67.7 e,67.4 e,68.6 e,75.8 be,77.0 e,76.7 e,78.9 e,79.8 e,78.5 e,78.9 be,81.4 e,78.6 e,79.3 e,79.7 be,78.0 e,75.7 e
Annual,Percentage,Males,Iceland,:,:,:,:,:,:,:,82.9 be,80.8 e,82.1 e,79.5 e,77.0 e,78.1 e,83.0 e,83.1 e,80.8 e,79.1 be,75.8 be,80.0 e,81.2 e
Annual,Percentage,Males,Italy,82.2 be,82.6 be,81.9 e,82.4 e,82.8 e,82.8 e,83.3 e,85.4 be,83.8 e,85.6 e,85.8 e,85.3 e,84.6 e,83.9 e,84.9 be,84.9 e,84.4 e,83.9 be,84.0 e,84.3 e
Annual,Percentage,Males,Lithuania,62.4 u,66.2 bu,67.3 u,70.2 u,55.4 u,65.4 e,67.6,80.4 be,77.4 e,82.2 e,83.1,79.6 e,75.0,74.1,74.2,75.7 e,76.4,76.3 b,77.1,80.0 e
Annual,Percentage,Males,Luxembourg,86.0 e,75.8 be,88.1 e,84.4 be,92.1 e,84.7 b,86.3 e,87.3 b,89.5,87.7,88.2,86.2 b,87.5 e,88.4,86.4 e,84.5 e,80.0,80.3 b,79.3,77.5
Annual,Percentage,Males,Latvia,68.3 e,55.9 be,70.3 e,71.2 e,69.4 e,70.0 e,70.2 e,75.4 be,78.0 e,76.1 e,73.4 e,71.9 e,72.8 e,73.6 e,79.4 e,75.3 e,76.2 e,77.3 be,77.1 e,76.0
Annual,Percentage,Males,Montenegro,:,:,:,:,:,:,:,81.0 be,67.0 e,72.9 e,83.1 e,84.1 e,87.3 e,70.6 e,72.4 e,75.8 e,83.6 e,:,:,:
Annual,Percentage,Males,North Macedonia,:,:,:,:,:,:,:,77.0 be,76.1,73.5,71.2 e,78.3 e,72.7 e,73.0 e,75.9,75.6,76.7 e,:,:,:
Annual,Percentage,Males,Malta,78.6 be,82.0 be,73.3 e,76.8,78.4 e,75.9 e,71.6,82.8 be,89.6 e,86.1,84.8 e,83.0 e,87.7 e,89.2,82.0,88.8,89.5 e,78.0 be,82.2,86.2
Annual,Percentage,Males,Netherlands,86.4,86.4 b,84.5 b,84.7,84.4,84.6,85.4,87.1 be,86.9,85.7 b,86.8,86.1,85.0,83.7,84.1,82.7,82.4,82.5 b,80.6,81.1
Annual,Percentage,Males,Norway,:,:,:,:,:,:,:,83.4 b,83.9,84.0,83.4 e,81.2 e,82.8 e,81.3,77.9,79.4,80.6 e,80.9 be,80.2 e,78.3 e
Annual,Percentage,Males,Poland,68.0 be,69.3 be,68.7 e,69.4 e,69.8 e,69.7 e,70.2 be,85.8 b,83.9,85.6,85.9,86.4 e,85.4 e,85.2,86.0,85.6 be,84.8,84.4 b,83.3,80.9 e
Annual,Percentage,Males,Portugal,71.0 e,76.1 be,77.3 e,75.6 e,79.1 e,74.7 e,71.4 e,81.9 be,85.6 e,86.6 e,84.7 e,82.3 e,81.9 e,82.3 e,82.2 e,82.1 e,78.7 e,79.0 b,79.7,80.0
Annual,Percentage,Males,Romania,:,67.8 be,68.9 e,71.5 e,67.7 e,67.7 e,70.7 be,78.3 be,78.7 e,76.5 e,78.5 e,72.7 e,73.7,74.3,76.3,76.5 e,73.9,74.0 b,74.8 e,74.0 e
Annual,Percentage,Males,Serbia,:,:,:,:,:,:,:,:,:,81.5 e,85.1 be,82.8 e,79.1 e,77.8 e,80.7 e,78.4 e,75.0 e,76.6 be,76.7,77.7 b
Annual,Percentage,Males,Sweden,78.7 e,78.6 be,78.4 e,78.6 e,78.8 e,78.8 e,79.1 e,81.0 b,80.6,80.4,80.9,81.1,79.2,79.1,79.1 b,79.5,78.7 e,78.2 b,77.0,77.2 e
Annual,Percentage,Males,Slovenia,69.3 e,70.5 be,73.8 e,75.3 e,73.7 e,75.9 e,74.5 e,84.2 be,85.8 e,87.3,86.5,83.9 e,82.7 e,83.6,83.4 e,80.5 e,82.8 e,83.4 b,82.4,82.9 e
Annual,Percentage,Males,Slovakia,67.1 e,69.2 be,67.9 e,66.5 e,67.3 e,67.5 e,65.2 e,82.5 b,86.6,90.9 e,87.9 e,88.1,90.4,85.6 e,86.9 e,86.0,84.2,85.1 b,85.1,82.6
Annual,Percentage,Males,Türkiye,:,:,:,:,:,:,:,86.2 be,86.1 be,85.4 e,85.2 be,85.8 e,86.6 e,86.8 e,85.8 e,86.7 e,83.5 e,82.9 b,80.4 e,79.5
Annual,Percentage,Males,United Kingdom,:,:,:,:,:,:,:,82.1 be,82.6 e,84.2 e,83.5 e,82.8 e,83.5 e,82.4 e,83.0 e,82.9 e,:,:,:,:
Annual,Thousand persons,Females,Austria,23.5 be,23.2 be,24.8 e,26.8 be,23.5 e,26.1 e,27.0 e,19.1 b,24.7 e,21.7 e,20.1 e,23.9 e,30.7,29.6 e,35.2,37.7,39.3,36.5 b,42.7,46.3
Annual,Thousand persons,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.1 bu,4.8 e,4.7 e
Annual,Thousand persons,Females,Belgium,21.9 e,27.0 be,27.1 e,33.3 e,30.1 e,33.3 e,37.9 e,30.3 be,33.4,29.4,29.2,28.5,27.3,35.8 b,41.1,41.2 e,42.0,53.4 b,51.8,53.0
Annual,Thousand persons,Females,Bulgaria,17.0 e,17.5 be,21.0 e,23.1 e,25.7 be,23.9 e,23.6 be,22.1 be,23.5 e,22.4 e,23.6 e,27.3 e,26.7 e,28.1 e,31.0 e,28.5,29.1,30.5 b,32.2 b,36.8
Annual,Thousand persons,Females,Switzerland,:,:,:,:,:,:,:,23.1 be,27.2 e,29.6 e,29.6 e,30.5,34.1,33.9,33.9,42.5 e,41.6 e,41.7 b,42.3,45.2
Annual,Thousand persons,Females,Cyprus,1.0 u,1.7 be,1.5 e,1.9 e,1.5 u,1.4 bu,1.8 e,2.0 be,1.8 e,1.6 e,1.6 e,2.0 e,2.4 e,2.0 e,2.4 e,2.2 e,2.3 e,3.2 be,4.4 e,5.9 e
Annual,Thousand persons,Females,Czechia,42.5 e,50.5 be,54.8 e,60.5 e,64.0 e,53.4 e,48.4 be,18.2 be,18.0 e,19.3,18.3 e,17.4 e,18.9 e,19.2,20.6,21.9 e,22.6,24.2 b,25.3,27.0
Annual,Thousand persons,Females,Germany,259.9 e,285.3 be,288.0 be,299.3 e,302.5 e,287.8 e,287.8 be,197.9 be,205.5 b,218.4,234.5,238.8,255.5,257.6,272.7,283.2,339.6 b,390.5 b,401.2,399.6
Annual,Thousand persons,Females,Denmark,27.5 e,25.9 be,28.1 e,32.1 e,30.6 be,28.7 e,28.5 e,22.5 be,23.8 e,24.1 e,22.1 e,24.8 e,28.2 be,28.3 be,28.7 e,32.0 e,34.9 e,37.1 be,37.7 e,40.0 be
Annual,Thousand persons,Females,Estonia,: u,6.8 be,6.0 e,7.8 e,9.1 e,9.3 e,9.4 e,5.0 be,6.1 e,5.4 e,4.8 e,6.0 e,6.8 e,7.0 e,8.0,9.1 e,9.2 e,9.1 be,11.0 e,12.5 e
Annual,Thousand persons,Females,Greece,40.4 be,43.0 be,43.8 e,47.2 e,49.0 e,47.8 be,46.9 e,14.0 be,14.8 e,14.8 e,12.3 e,9.6 e,11.1 e,11.6 e,12.8 e,15.6 e,21.0 e,19.7 b,20.9,19.9
Annual,Thousand persons,Females,Spain,113.0 e,125.1 be,134.5 be,148.0 e,149.8 e,138.8 e,142.7 e,110.8 be,104.4 e,106.8 e,102.8 e,102.4 e,106.0 e,108.3 e,120.8 e,139.1 e,141.8 e,156.5 bd,159.5 d,183.0 d
Annual,Thousand persons,Females,European Union - 27 countries (from 2020),1315.0 e,1395.7 be,1482.9 e,1527.5 e,1560.2 e,1548.2 e,1528.2 e,961.8 be,1011.5 e,1024.7 e,1030.3 e,1079.9 e,1176.9 e,1232.8 e,1301.9 e,1405.1 e,1562.5 e,1713.9 be,1776.2 e,1902.3 e
Annual,Thousand persons,Females,Finland,29.8 e,32.6 be,31.7 e,33.0 be,33.5 be,33.5 e,33.4 e,27.0 b,30.3,32.3,31.8,34.7,33.8,33.9,33.7,36.8,44.7,45.0 b,47.2,44.6
Annual,Thousand persons,Females,France,229.7 e,211.3 be,230.8 be,211.5 e,216.2 e,232.1 e,232.2 e,136.7 be,137.7 e,149.7 b,143.9 b,143.7,170.6,187.9,204.2,222.9,244.5,258.8 bd,231.2 de,271.5 d
Annual,Thousand persons,Females,Croatia,5.9 u,6.2 bu,8.1 bu,6.8 u,9.0 u,8.5 u,8.8 u,5.6 bu,6.1 u,7.1 u,6.3 u,7.6 u,7.2 u,7.8 u,10.9 e,11.7 e,11.7 e,12.6 be,9.3 u,12.2 be
Annual,Thousand persons,Females,Hungary,66.1 e,61.5 be,55.9 e,55.0 e,57.7 e,57.1 e,61.9 e,9.7 b,13.4 e,14.3 e,16.8,18.4 e,20.9 e,14.3 e,14.3 e,16.1,21.1 e,25.4 be,26.4 e,31.1 e
Annual,Thousand persons,Females,Ireland,24.5 e,23.2 be,24.2 e,25.4 be,25.0 e,25.0 e,24.4 e,21.6 be,20.7 e,21.4 e,20.0 e,19.2 e,22.5 e,23.0 be,20.0 e,24.2 e,26.8 e,31.2 be,35.7 e,40.6 e
Annual,Thousand persons,Females,Iceland,:,:,:,:,:,:,:,1.0 be,1.1 e,1.2 e,1.5 e,1.9 e,1.9 e,1.6 e,1.5 e,1.7 e,1.9 be,1.9 be,1.8 e,1.9 e
Annual,Thousand persons,Females,Italy,116.8 be,117.0 be,127.9 e,125.4 e,124.9 e,127.6 e,119.9 e,99.2 be,114.3 e,103.0 e,103.1 e,108.0 e,116.9 e,124.7 e,123.1 be,123.5 e,127.9 e,136.7 be,143.5 e,152.3 e
Annual,Thousand persons,Females,Lithuania,10.0 u,7.9 bu,: u,7.4 u,12.3 u,8.6,7.4 u,: bu,5.7 u,4.2 u,3.9 u,5.7 e,8.6 e,9.6 e,9.7 e,10.2 e,10.5 e,12.4 be,14.2 e,14.1 e
Annual,Thousand persons,Females,Luxembourg,1.0 e,2.0 be,0.8 u,1.2 be,0.8 u,1.5 be,1.4 e,1.2 be,1.2 e,1.4 e,1.5 e,1.8 be,1.7 e,1.6 e,2.3 e,2.8 e,3.7 e,4.0 be,5.0 e,5.9 e
Annual,Thousand persons,Females,Latvia,8.8 u,13.3 be,8.3 e,8.1 e,8.8 e,7.3 e,7.0 e,5.4 be,4.3 e,5.2 e,6.1 e,6.9 e,6.6 e,6.7 e,4.8 e,7.0 e,7.8 e,7.5 be,9.0 e,9.4 e
Annual,Thousand persons,Females,Montenegro,:,:,:,:,:,:,:,: bu,1.3 u,1.2 u,: u,: u,: u,1.7 u,1.3 u,: u,: u,:,:,:
Annual,Thousand persons,Females,North Macedonia,:,:,:,:,:,:,:,2.1 be,2.1 e,2.5 e,3.1 e,2.8 e,3.6 e,3.3 e,3.0 e,3.8 e,4.3 e,:,:,:
Annual,Thousand persons,Females,Malta,: bu,1.3 be,1.7 e,2.1 e,1.9 e,1.8 e,2.2 e,1.0 be,0.6 u,0.8 u,1.0 e,1.3 e,1.0 e,1.0 e,2.1 e,1.3 e,1.2 e,2.8 be,2.6 e,1.9 u
Annual,Thousand persons,Females,Netherlands,44.7 e,42.2 be,46.9 be,45.9 e,49.2 e,48.6 e,47.8 e,48.7 be,49.4 e,55.4 be,52.0,57.5,64.3,70.6,74.5,87.2,92.9,108.8 b,133.1 e,127.1
Annual,Thousand persons,Females,Norway,:,:,:,:,:,:,:,18.4 be,18.3 e,18.9 e,19.7 e,22.2 e,19.3 e,22.8 e,27.0 e,26.0 e,26.4 e,28.6 be,29.2,33.4 e
Annual,Thousand persons,Females,Poland,110.0 be,113.4 be,128.8 e,138.2 e,143.8 e,151.9 e,140.5 be,50.5 be,63.4 e,58.1 e,58.2 e,57.9 e,63.2 e,67.1,68.0,79.0 be,90.4 e,97.6 be,107.9,142.1
Annual,Thousand persons,Females,Portugal,33.5 e,29.0 be,29.9 e,33.8 e,27.4 e,35.5 e,40.6 e,16.3 be,13.7 e,14.0 e,21.0 e,23.3 e,24.8 e,23.6 e,26.1 e,30.7 e,39.4 e,44.7 b,42.6,44.0
Annual,Thousand persons,Females,Romania,:,40.1 be,58.1 e,56.9 e,64.8 e,62.2 e,47.8 be,27.2 be,29.7 e,32.2 e,30.1,44.0 e,44.1,47.7,45.1 e,46.4 e,53.2 e,52.8 be,54.3 e,51.3 e
Annual,Thousand persons,Females,Serbia,:,:,:,:,:,:,:,:,:,8.0 e,7.6 be,9.9 e,13.0 e,14.3 e,13.2 e,16.1 e,19.9 e,22.2 b,23.0 e,27.2 be
Annual,Thousand persons,Females,Sweden,51.9 e,56.9 be,57.9 e,59.4 e,61.3 e,60.7 e,60.2 e,49.1 b,52.3,52.4,53.0,55.6,64.7,69.6,72.4 b,73.8 e,80.9 e,88.5 b,102.9,104.3 e
Annual,Thousand persons,Females,Slovenia,9.1 u,10.0 be,9.2 e,8.3 e,9.6 e,8.8 e,9.2 e,5.2 b,4.4 e,3.9 u,4.4 e,5.3 e,5.6,5.9 e,6.5 e,7.5 e,7.3 e,7.7 be,7.9 e,6.4
Annual,Thousand persons,Females,Slovakia,20.2 e,21.6 be,26.2 e,29.1 e,28.2 e,27.1 e,29.6 e,11.0 be,7.9 e,5.4 e,8.0 e,8.2 e,7.1 e,10.3 e,10.8 e,13.5 e,16.9 e,16.5 be,16.7 e,19.3 e
Annual,Thousand persons,Females,Türkiye,:,:,:,:,:,:,:,33.3 be,39.7 be,42.3 e,44.8 be,45.7 e,43.7 e,46.6 e,51.6 e,48.4 e,62.2 e,69.3 b,92.8,98.8
Annual,Thousand persons,Females,United Kingdom,:,:,:,:,:,:,:,251.6 be,253.5 e,236.5 e,251.6 e,283.5 e,278.4 e,292.2 e,299.0 e,313.5 e,:,:,:,:
Annual,Thousand persons,Males,Austria,83.1 be,93.0 be,101.2 e,101.5 be,110.0 e,112.9 e,114.1 e,125.9 b,122.5,131.2,129.4,142.9,148.4 e,158.4,156.5,146.9,154.2,156.0 b,177.9,191.0
