Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 65 to 74 years,Total,Bulgaria,18.8,21.2
Annual,Percentage,From 65 to 74 years,Total,Cyprus,: u,22.1 u
Annual,Percentage,From 65 to 74 years,Total,Czechia,23.3,14.8
Annual,Percentage,From 65 to 74 years,Total,Germany,34.5,47.7
Annual,Percentage,From 65 to 74 years,Total,Denmark,: u,: u
Annual,Percentage,From 65 to 74 years,Total,Estonia,20.7 u,4.8 u
Annual,Percentage,From 65 to 74 years,Total,Greece,33.9,37.7 u
Annual,Percentage,From 65 to 74 years,Total,Spain,26.8,43.1
Annual,Percentage,From 65 to 74 years,Total,European Union - 27 countries (from 2020),37.0,38.8
Annual,Percentage,From 65 to 74 years,Total,European Union - 28 countries (2013-2020),35.6,:
Annual,Percentage,From 65 to 74 years,Total,Finland,: u,42.5 u
Annual,Percentage,From 65 to 74 years,Total,France,54.4 u,45.4
Annual,Percentage,From 65 to 74 years,Total,Croatia,25.1 u,50.3
Annual,Percentage,From 65 to 74 years,Total,Hungary,37.9 u,22.6 u
Annual,Percentage,From 65 to 74 years,Total,Ireland,39.3 u,48.9 u
Annual,Percentage,From 65 to 74 years,Total,Iceland,: u,:
Annual,Percentage,From 65 to 74 years,Total,Italy,46.9,45.3
Annual,Percentage,From 65 to 74 years,Total,Lithuania,28.2 u,20.9 u
Annual,Percentage,From 65 to 74 years,Total,Luxembourg,: u,: u
Annual,Percentage,From 65 to 74 years,Total,Latvia,27.0 u,29.0 u
Annual,Percentage,From 65 to 74 years,Total,Malta,: u,: u
Annual,Percentage,From 65 to 74 years,Total,Netherlands,48.3,56.7 u
Annual,Percentage,From 65 to 74 years,Total,Norway,: u,: u
Annual,Percentage,From 65 to 74 years,Total,Poland,29.3,19.6
Annual,Percentage,From 65 to 74 years,Total,Portugal,21.8,16.6
Annual,Percentage,From 65 to 74 years,Total,Romania,30.5,11.5
Annual,Percentage,From 65 to 74 years,Total,Serbia,:,20.3
Annual,Percentage,From 65 to 74 years,Total,Sweden,: u,: u
Annual,Percentage,From 65 to 74 years,Total,Slovenia,27.5 u,14.4 u
Annual,Percentage,From 65 to 74 years,Total,Slovakia,30.7 u,13.3 u
Annual,Percentage,From 65 to 74 years,Total,Türkiye,5.9,8.5
Annual,Percentage,From 65 to 74 years,Total,United Kingdom,26.9,:
Annual,Percentage,55 years or over,Single person,Austria,:,60.2
Annual,Percentage,55 years or over,Single person,Belgium,:,79.8
Annual,Percentage,55 years or over,Single person,Bulgaria,:,37.4
Annual,Percentage,55 years or over,Single person,Cyprus,:,24.9 u
