Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,From 15 to 64 years,Croatia,22.0,19.5,27.3,28.5,32.2,29.6,29.3,37.0 b,37.2,32.5
Annual,Percentage,Females,From 15 to 64 years,Hungary,38.2,32.7,27.4,24.2,19.4 b,17.6,15.8,20.2 b,16.9,19.0
Annual,Percentage,Females,From 15 to 64 years,Ireland,33.4,29.8,24.1,17.6 b,11.8,11.4,9.5,9.7 b,7.5,7.0
Annual,Percentage,Females,From 15 to 64 years,Iceland,20.7,17.0,14.8,14.3,18.3,16.4,18.1 b,14.3 b,12.2,12.5
Annual,Percentage,Females,From 15 to 64 years,Italy,60.4,60.3,58.8,56.9,60.6 b,61.0,61.6,57.4 b,52.6,50.2
Annual,Percentage,Females,From 15 to 64 years,Lithuania,30.5,34.7,31.4,30.7,23.2,23.6,29.8,25.7 b,22.9,16.1
Annual,Percentage,Females,From 15 to 64 years,Luxembourg,12.8,14.6 b,12.5,14.3,12.6,12.9,11.0,8.7 b,10.8,11.1
Annual,Percentage,Females,From 15 to 64 years,Latvia,36.7,32.5,35.0,38.4,29.6,20.8,18.6,32.1 b,30.7,28.2
Annual,Percentage,Females,From 15 to 64 years,Montenegro,: u,39.9,41.7 u,30.1 u,34.8 u,31.2 u,: u,:,:,:
Annual,Percentage,Females,From 15 to 64 years,North Macedonia,34.1,36.2,33.1,32.3,28.6,25.4,27.2,:,:,:
Annual,Percentage,Females,From 15 to 64 years,Malta,10.9,11.4,8.1,7.4,6.6,5.4,4.5 u,7.0 bu,4.9 u,: u
Annual,Percentage,Females,From 15 to 64 years,Netherlands,9.4 u,8.3 u,8.2 u,6.5 u,5.9,4.5,5.0,3.1 b,2.3,1.7
Annual,Percentage,Females,From 15 to 64 years,Norway,21.6 u,21.1 u,20.0 u,18.3 u,20.8 u,20.3 u,20.9 u,15.8 b,13.2,12.3
Annual,Percentage,Females,From 15 to 64 years,Poland,32.5,30.3,25.2,21.0,15.6,13.4 b,12.1,13.3 b,11.5,11.3
Annual,Percentage,Females,From 15 to 64 years,Portugal,53.5,54.3,52.1,48.7,47.9,46.0,46.3,41.9 b,38.2,39.5
Annual,Percentage,Females,From 15 to 64 years,Romania,42.5,45.0,44.8,42.5,41.4,42.6,43.7,51.6 b,39.2,39.1
Annual,Percentage,Females,From 15 to 64 years,Serbia,36.6 b,43.6,44.4,37.9,33.2,28.7,25.6,24.9 b,20.5,17.4
Annual,Percentage,Females,From 15 to 64 years,Sweden,29.1,28.4,26.9,25.5,22.5 b,21.5,21.6,23.4 b,20.6,19.1
Annual,Percentage,Females,From 15 to 64 years,Slovenia,9.9,14.6,16.1,11.8,8.0,5.2 u,6.2 u,10.3 b,8.5 u,8.8 u
Annual,Percentage,Females,From 15 to 64 years,Slovakia,29.1,29.2,31.2,28.3,24.1,24.3,18.5,18.6 bu,22.3,16.1
Annual,Percentage,Females,From 15 to 64 years,Türkiye,4.6 b,5.0,6.1,7.1,6.9,7.8,7.6,8.3 b,9.0,7.7
Annual,Percentage,Females,From 15 to 64 years,United Kingdom,14.0,13.3,12.1,11.0,10.0,10.0,:,:,:,:
Annual,Percentage,Females,From 15 to 74 years,Austria,10.1,10.8,11.1,10.6,9.0,7.9,8.4,8.0 b,6.8,6.1
Annual,Percentage,Females,From 15 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,48.1 b,43.6,37.6
Annual,Percentage,Females,From 15 to 74 years,Belgium,8.9,8.6,7.5,6.3 b,5.6,4.6,4.1,21.1 b,17.4,16.6
Annual,Percentage,Females,From 15 to 74 years,Bulgaria,63.4,56.3,55.8,45.5,47.4,41.1 b,42.2 u,40.4 bu,41.1 u,34.3 u
Annual,Percentage,Females,From 15 to 74 years,Switzerland,7.3,7.4,7.8,7.9,7.5,7.6,7.5,7.3 b,6.0,5.6
Annual,Percentage,Females,From 15 to 74 years,Cyprus,59.9,61.3,59.5,61.1,58.0,50.0,50.4,44.1 b,42.3,40.6
Annual,Percentage,Females,From 15 to 74 years,Czechia,19.6,14.5,13.1,8.6,6.2,5.7,4.3,17.9 b,19.2,17.4
Annual,Percentage,Females,From 15 to 74 years,Germany,12.4,11.7,10.1,9.6,8.6,7.8,6.1 b,6.0 b,5.2,4.4
Annual,Percentage,Females,From 15 to 74 years,Denmark,17.4,16.3,13.6 b,13.3 b,11.9,10.5,11.0,9.0 b,6.0,6.7
Annual,Percentage,Females,From 15 to 74 years,Euro area – 20 countries (from 2023),28.3,27.8,26.9,25.8,24.8,23.5,22.2,21.0 b,19.0,17.6
Annual,Percentage,Females,From 15 to 74 years,Estonia,15.8,12.0,9.8,6.9,5.5,6.6,6.9,16.2 b,12.9,14.2
Annual,Percentage,Females,From 15 to 74 years,Greece,67.5,67.2,68.1,66.2,65.6,63.6,62.4,53.3 b,46.7,40.3
Annual,Percentage,Females,From 15 to 74 years,Spain,61.3,59.7,59.5,57.9,53.3,52.3,49.3,52.0 bd,49.2 d,48.1 d
Annual,Percentage,Females,From 15 to 74 years,European Union - 27 countries (from 2020),28.3,27.7,26.6,25.3,24.1,22.8,21.6,20.7 b,18.6,17.3
Annual,Percentage,Females,From 15 to 74 years,Finland,27.9,30.7,32.3,30.5,29.9,29.2,29.1,29.4 b,22.8,21.9
Annual,Percentage,Females,From 15 to 74 years,France,40.3 b,41.0,41.5,40.5,39.5,36.0,36.4,26.7 bd,24.4 d,22.1 d
Annual,Percentage,Females,From 15 to 74 years,Croatia,19.7,17.2,24.4,25.2,29.8,26.8,27.4,34.2 b,34.8,28.1
Annual,Percentage,Females,From 15 to 74 years,Hungary,36.5,31.3,25.7,22.0,17.8 b,15.8,14.4,17.8 b,14.9,17.4
Annual,Percentage,Females,From 15 to 74 years,Ireland,32.7,29.2,23.4,17.1 b,11.5,11.1,9.3,9.6 b,7.3,6.9
Annual,Percentage,Females,From 15 to 74 years,Iceland,20.6,16.8,14.0,13.4,17.8,15.9,17.5 b,14.1 b,11.9,12.1
Annual,Percentage,Females,From 15 to 74 years,Italy,59.9,59.8,58.4,56.5,60.2 b,60.6,61.2,56.9 b,52.3,49.8
Annual,Percentage,Females,From 15 to 74 years,Lithuania,29.3,32.7,29.1,29.0,22.3,21.2,27.4,22.6 b,19.8,14.9
Annual,Percentage,Females,From 15 to 74 years,Luxembourg,12.8,14.6 b,12.4,14.2,12.5,12.8,11.0,8.6 b,10.6,11.0
Annual,Percentage,Females,From 15 to 74 years,Latvia,33.7,29.8,32.1,34.1,26.0,19.7,16.9,30.2 b,29.0,25.5
Annual,Percentage,Females,From 15 to 74 years,Montenegro,: u,37.8,38.5 u,27.2 u,30.0 u,28.7 u,: u,:,:,:
Annual,Percentage,Females,From 15 to 74 years,North Macedonia,33.4,34.9,30.9,31.2,27.7,23.7,24.8,:,:,:
Annual,Percentage,Females,From 15 to 74 years,Malta,10.7,11.1,7.9,7.2,6.6,5.5,4.3 u,6.9 bu,4.8 u,: u
Annual,Percentage,Females,From 15 to 74 years,Netherlands,9.3 u,8.2 u,8.1 u,6.4 u,5.8,4.5,4.9,3.1 b,2.3,1.7
Annual,Percentage,Females,From 15 to 74 years,Norway,21.0 u,20.5 u,19.2 u,17.4 u,20.0 u,19.5 u,20.3 u,15.0 b,12.6,11.8
Annual,Percentage,Females,From 15 to 74 years,Poland,30.4,28.5,23.7,19.5,14.5,12.3 b,11.0,11.8 b,10.3,10.2
Annual,Percentage,Females,From 15 to 74 years,Portugal,47.1,48.8,47.0,44.2,42.5,41.4,41.9,39.7 b,36.2,37.6
Annual,Percentage,Females,From 15 to 74 years,Romania,35.1,37.9,36.6,34.7,34.1,34.2,35.6,48.2 b,35.8,36.3
Annual,Percentage,Females,From 15 to 74 years,Serbia,32.4 b,38.8,39.0,33.1,27.9,23.6,20.2,21.2 b,17.5,14.5
Annual,Percentage,Females,From 15 to 74 years,Sweden,27.9,27.3,25.8,24.4,21.6 b,20.4,20.4,22.2 b,19.1,18.0
Annual,Percentage,Females,From 15 to 74 years,Slovenia,9.5,13.9,15.5,11.4,7.6,5.1 u,6.0 u,9.9 b,8.2 u,8.4 u
Annual,Percentage,Females,From 15 to 74 years,Slovakia,28.3,28.3,29.9,26.6,22.4,22.3,16.9,16.7 bu,20.0,14.8
Annual,Percentage,Females,From 15 to 74 years,Türkiye,4.4 b,4.8,5.9,6.9,6.7,7.6,7.3,7.9 b,8.7,7.4
Annual,Percentage,Females,From 15 to 74 years,United Kingdom,13.4,12.8,11.6,10.6,9.6,9.5,:,:,:,:
Annual,Percentage,Males,From 15 to 64 years,Austria,16.4,18.3,19.6,18.7,16.2,13.1,12.9,13.8 b,12.0,8.9
Annual,Percentage,Males,From 15 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,58.2 b,56.2,50.4
Annual,Percentage,Males,From 15 to 64 years,Belgium,15.2,15.3,13.6,12.8 b,11.4,10.2,6.5,21.8 b,21.8,20.8
Annual,Percentage,Males,From 15 to 64 years,Bulgaria,61.5,61.7,57.1,72.0,62.3,64.3 b,65.2,54.2 bu,49.9 u,49.8 u
Annual,Percentage,Males,From 15 to 64 years,Switzerland,10.4,11.0,10.5,10.4,10.3,10.4,8.5,9.7 b,8.9,9.2
Annual,Percentage,Males,From 15 to 64 years,Cyprus,70.3,76.6,78.6,75.5,71.5,67.8,61.1,47.1 b,57.9,56.0
Annual,Percentage,Males,From 15 to 64 years,Czechia,18.5,15.4,12.4,6.6 u,5.0 u,7.5 u,2.8 u,14.8 b,12.3,16.6
Annual,Percentage,Males,From 15 to 64 years,Germany,22.3,21.5,18.8,17.8,15.9,14.1,11.9 b,11.1 b,9.4,8.7
Annual,Percentage,Males,From 15 to 64 years,Denmark,13.7,13.6,12.1 b,12.8 b,10.5,11.0,12.3,9.3 b,6.7,6.8
Annual,Percentage,Males,From 15 to 64 years,Euro area – 20 countries (from 2023),41.5,41.7,40.2,39.1,35.8,33.4,31.6,30.0 b,26.7,24.5
Annual,Percentage,Males,From 15 to 64 years,Estonia,13.4 u,15.6,10.8 u,8.3 u,4.5 u,6.2 u,7.7 u,16.9 bu,22.9,17.0
Annual,Percentage,Males,From 15 to 64 years,Greece,74.7,78.6,76.4,75.3,75.4,70.2,69.1,59.0 b,52.6,47.2
Annual,Percentage,Males,From 15 to 64 years,Spain,70.0,71.9,67.8,68.5,63.0,59.6,60.0,58.9 bd,55.3 d,52.1 d
Annual,Percentage,Males,From 15 to 64 years,European Union - 27 countries (from 2020),41.3,41.5,39.5,38.2,34.9,32.8,31.3,29.8 b,26.3,24.3
Annual,Percentage,Males,From 15 to 64 years,Finland,28.5,28.8,33.0,30.7,32.3,30.0,34.7,32.4 b,28.4,26.7
Annual,Percentage,Males,From 15 to 64 years,France,48.7 bu,50.7 u,51.5 u,51.0 u,48.6,43.2 u,42.8 u,31.9 bd,29.3 d,28.8 d
Annual,Percentage,Males,From 15 to 64 years,Croatia,27.8 u,34.7,35.0,45.4,35.5,28.0 u,28.7 u,33.0 b,26.1 u,23.5 u
Annual,Percentage,Males,From 15 to 64 years,Hungary,46.1,43.8,34.2,31.9,29.8 b,26.2,25.5,29.9 b,20.5,25.5
Annual,Percentage,Males,From 15 to 64 years,Ireland,56.7,53.9,45.6,38.5 b,32.0,28.9,25.1,19.5 b,15.6,15.5
Annual,Percentage,Males,From 15 to 64 years,Iceland,16.7,9.3,8.1,10.1,14.8,14.0,21.0 b,18.5 b,9.2,9.0
Annual,Percentage,Males,From 15 to 64 years,Italy,80.6,81.0,80.2,78.8,80.2 b,79.6,79.5,77.9 b,74.1,69.3
Annual,Percentage,Males,From 15 to 64 years,Lithuania,32.6,26.6,32.0,30.5,26.5,23.3,28.7,23.8 b,14.3 u,15.7
Annual,Percentage,Males,From 15 to 64 years,Luxembourg,13.0 u,15.5 b,7.6 u,8.3 u,12.1,12.7,14.3,11.6 b,8.7,: u
Annual,Percentage,Males,From 15 to 64 years,Latvia,40.9,33.0,37.5,26.1,40.1,24.8,32.2,39.4 b,32.9 u,: u
Annual,Percentage,Males,From 15 to 64 years,Montenegro,37.5,40.4,29.8 u,34.2,36.7,30.4,: u,:,:,:
Annual,Percentage,Males,From 15 to 64 years,North Macedonia,40.9,47.6,46.6,48.6,41.7,44.1,36.0,:,:,:
Annual,Percentage,Males,From 15 to 64 years,Malta,27.0,29.8,22.5,20.9,18.2,13.9,15.7 u,16.7 bu,: u,: u
Annual,Percentage,Males,From 15 to 64 years,Netherlands,15.2 u,14.6 u,14.6 u,12.7 u,9.7 u,7.7 u,8.4 u,5.2 b,3.6,2.9
Annual,Percentage,Males,From 15 to 64 years,Norway,: u,: u,: u,: u,: u,: u,19.5 u,14.1 b,13.5,11.7
Annual,Percentage,Males,From 15 to 64 years,Poland,31.9,30.8,25.7,20.4,16.4,15.4 b,14.8,16.3 b,12.7,13.0
Annual,Percentage,Males,From 15 to 64 years,Portugal,42.0,42.3,41.7,44.2,40.1,38.0,40.2,40.1 b,44.6,39.8
Annual,Percentage,Males,From 15 to 64 years,Romania,69.5,70.2,68.1,66.2,64.7,65.5,66.8,73.2 b,71.4,68.6
Annual,Percentage,Males,From 15 to 64 years,Serbia,56.4 b,62.0,62.8,58.9,53.4,45.3,37.2,36.1 b,39.2,29.3
Annual,Percentage,Males,From 15 to 64 years,Sweden,31.8 u,32.2 u,32.0,30.8,28.4 b,26.3 u,26.0 u,28.6 b,24.3,22.3
Annual,Percentage,Males,From 15 to 64 years,Slovenia,9.2 u,10.3 u,10.4 u,8.3 u,3.4 u,3.9 u,5.6 u,8.3 bu,7.3 u,: u
Annual,Percentage,Males,From 15 to 64 years,Slovakia,39.5,31.0,40.0,37.0,30.9,32.2,23.0,: bu,: u,: u
Annual,Percentage,Males,From 15 to 64 years,Türkiye,14.1 b,15.2,18.2,20.3,20.3,21.7,23.0,21.5 b,20.2,18.0
Annual,Percentage,Males,From 15 to 64 years,United Kingdom,35.1,32.7,28.6,26.7,25.9,24.1,:,:,:,:
Annual,Percentage,Males,From 15 to 74 years,Austria,14.7,16.4,17.8,17.0,14.7,11.9,11.8,12.7 b,11.0,8.2
Annual,Percentage,Males,From 15 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,56.6 b,52.7,47.5
Annual,Percentage,Males,From 15 to 74 years,Belgium,14.1,14.2,12.8,12.0 b,10.7,9.5,6.0,21.1 b,20.5,19.7
Annual,Percentage,Males,From 15 to 74 years,Bulgaria,60.0,60.0,54.6,68.3,59.4,63.4 b,62.3,50.4 bu,46.3 u,46.2 u
Annual,Percentage,Males,From 15 to 74 years,Switzerland,9.0,9.7,9.1,9.1,8.8,9.1,7.6,8.5 b,7.9,8.2
Annual,Percentage,Males,From 15 to 74 years,Cyprus,64.9,70.8,73.1,69.0,64.4,57.2,52.2,39.7 b,48.8,47.8
Annual,Percentage,Males,From 15 to 74 years,Czechia,14.5,10.7,9.2,4.6 u,3.9 u,5.5 u,2.3 u,15.6 b,13.1,15.7
Annual,Percentage,Males,From 15 to 74 years,Germany,19.1,18.3,16.0,15.0,13.4,11.9,10.2 b,9.6 b,7.9,7.4
Annual,Percentage,Males,From 15 to 74 years,Denmark,12.7,12.4,10.9 b,11.7 b,9.6,9.9,10.9,8.7 b,6.3,6.4
Annual,Percentage,Males,From 15 to 74 years,Euro area – 20 countries (from 2023),37.7,37.9,36.4,35.3,32.3,30.1,28.6,27.2 b,24.1,22.1
Annual,Percentage,Males,From 15 to 74 years,Estonia,12.0,13.9,10.2 u,8.1 u,4.3 u,6.1 u,7.1 u,17.8 b,22.0,16.6
Annual,Percentage,Males,From 15 to 74 years,Greece,72.9,77.8,75.2,73.5,73.3,68.4,67.1,56.0 b,50.0,44.3
Annual,Percentage,Males,From 15 to 74 years,Spain,68.9,70.8,66.2,66.4,61.5,57.7,57.5,56.6 bd,53.3 d,50.3 d
Annual,Percentage,Males,From 15 to 74 years,European Union - 27 countries (from 2020),37.2,37.4,35.5,34.2,31.2,29.3,28.0,26.8 b,23.6,21.7
Annual,Percentage,Males,From 15 to 74 years,Finland,24.1,24.2,28.5,26.0,27.1,25.7,28.8,27.1 b,24.0,22.9
Annual,Percentage,Males,From 15 to 74 years,France,46.2 bu,47.7 u,47.6 u,47.7 u,44.9 u,40.0 u,39.3 u,29.4 bd,26.6 d,26.6 d
Annual,Percentage,Males,From 15 to 74 years,Croatia,23.9 u,29.4,29.8,38.3,30.8,23.3 u,23.2 u,26.0 b,21.4 u,17.7 u
Annual,Percentage,Males,From 15 to 74 years,Hungary,42.0,39.7,30.3,27.6,24.7 b,20.2,20.7,23.9 b,16.4,19.5
Annual,Percentage,Males,From 15 to 74 years,Ireland,54.1,50.7,43.0,36.1 b,29.3,26.3,22.9,17.5 b,13.8,13.5
Annual,Percentage,Males,From 15 to 74 years,Iceland,16.1,9.5,8.4,9.6,14.7,13.1,19.7 b,16.6 b,8.9,7.9
Annual,Percentage,Males,From 15 to 74 years,Italy,76.1,77.0,76.1,74.9,76.0 b,75.6,75.6,73.5 b,70.0,65.3
Annual,Percentage,Males,From 15 to 74 years,Lithuania,30.5,24.7,31.2,28.6,24.0,20.5,25.6,22.3 b,13.4,14.2
Annual,Percentage,Males,From 15 to 74 years,Luxembourg,11.5 u,14.0 b,7.0 u,7.5 u,11.9,11.6,13.5,11.1 b,8.1,: u
Annual,Percentage,Males,From 15 to 74 years,Latvia,37.5,30.5,34.9,24.6,35.8,21.6,30.9,35.7 b,29.4 u,: u
Annual,Percentage,Males,From 15 to 74 years,Montenegro,34.6,39.7,27.7 u,32.4,34.7,28.6,: u,:,:,:
Annual,Percentage,Males,From 15 to 74 years,North Macedonia,39.9,46.1,43.5,47.1,39.0,41.8,32.4,:,:,:
Annual,Percentage,Males,From 15 to 74 years,Malta,22.5,24.2,18.7,17.6,15.3,12.1,13.0,13.3 bu,: u,: u
Annual,Percentage,Males,From 15 to 74 years,Netherlands,13.9 u,13.4 u,13.5 u,11.6 u,8.9 u,7.1 u,7.8 u,5.0 b,3.6,2.9
Annual,Percentage,Males,From 15 to 74 years,Norway,: u,: u,: u,: u,: u,15.7 u,17.4 u,12.5 b,12.0,10.3
Annual,Percentage,Males,From 15 to 74 years,Poland,28.0,27.1,22.2,17.5,14.0,13.0 b,12.3,13.2 b,9.9,10.2
Annual,Percentage,Males,From 15 to 74 years,Portugal,31.1,32.0,31.6,32.8,30.0,28.0,29.4,34.9 b,38.4,33.7
Annual,Percentage,Males,From 15 to 74 years,Romania,61.2,62.3,60.1,57.9,56.5,58.0,58.9,71.4 b,68.6,65.6
Annual,Percentage,Males,From 15 to 74 years,Serbia,49.8 b,55.1,54.2,49.6,44.3,36.0,29.2,29.4 b,32.3,23.8
Annual,Percentage,Males,From 15 to 74 years,Sweden,26.4 u,27.0 u,26.8,25.5,24.0 b,22.5 u,21.8 u,23.6 b,19.9,18.8
Annual,Percentage,Males,From 15 to 74 years,Slovenia,8.1 u,9.4 u,9.7 u,7.7 u,3.3 u,3.5 u,5.2 u,7.4 bu,6.5 u,: u
Annual,Percentage,Males,From 15 to 74 years,Slovakia,37.7,29.2,38.2,34.4,28.2,28.0,20.5,: bu,: u,: u
Annual,Percentage,Males,From 15 to 74 years,Türkiye,13.0 b,14.1,17.0,18.8,18.8,20.2,21.4,20.0 b,18.6,16.6
Annual,Percentage,Males,From 15 to 74 years,United Kingdom,30.2,28.0,24.2,22.3,21.9,20.4,:,:,:,:
Annual,Percentage,Total,From 15 to 64 years,Austria,11.5,12.4,13.0,12.4,10.5,9.0,9.3,9.2 b,7.9,6.8
Annual,Percentage,Total,From 15 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,54.8 b,52.1,46.6
Annual,Percentage,Total,From 15 to 64 years,Belgium,10.1,10.0,8.8,7.8 b,6.8,5.8,4.7,21.4 b,18.5,17.7
Annual,Percentage,Total,From 15 to 64 years,Bulgaria,63.2,60.6,58.7,58.7,56.9,52.6 b,56.3,48.8 b,47.3,42.8
Annual,Percentage,Total,From 15 to 64 years,Switzerland,8.1,8.3,8.6,8.7,8.3,8.5,7.9,8.0 b,6.9,6.7
Annual,Percentage,Total,From 15 to 64 years,Cyprus,64.9,68.9,69.4,67.6,63.9,56.7,55.4,46.5 b,49.8,47.8
Annual,Percentage,Total,From 15 to 64 years,Czechia,21.1,16.4,14.2,9.1,6.5,6.7,4.5,17.6 b,17.9,17.1
Annual,Percentage,Total,From 15 to 64 years,Germany,14.5,13.8,12.0,11.3,10.2,9.2,7.4 b,7.2 b,6.2,5.5
Annual,Percentage,Total,From 15 to 64 years,Denmark,16.6,15.7,13.5 b,13.5 b,11.7,10.9,11.7,9.3 b,6.3,6.9
Annual,Percentage,Total,From 15 to 64 years,Euro area – 20 countries (from 2023),31.7,31.4,30.3,29.3,27.7,26.2,24.7,23.5 b,21.2,19.6
Annual,Percentage,Total,From 15 to 64 years,Estonia,15.1,13.7,10.0,7.8,5.6,6.4,6.9,15.8 b,15.6,14.9
Annual,Percentage,Total,From 15 to 64 years,Greece,71.2,72.6,72.0,70.2,70.1,66.4,65.4,55.7 b,49.1,42.8
Annual,Percentage,Total,From 15 to 64 years,Spain,64.0,63.2,61.9,61.1,55.8,54.4,52.2,53.9 bd,51.1 d,49.3 d
Annual,Percentage,Total,From 15 to 64 years,European Union - 27 countries (from 2020),32.0,31.6,30.2,29.0,27.1,25.7,24.4,23.3 b,20.9,19.4
Annual,Percentage,Total,From 15 to 64 years,Finland,29.0,31.4,34.2,31.7,32.1,30.9,32.1,31.6 b,25.9,24.7
Annual,Percentage,Total,From 15 to 64 years,France,42.4 b,43.5,44.0,43.2,41.7,37.9,38.2,28.3 bd,25.9 d,24.1 d
Annual,Percentage,Total,From 15 to 64 years,Croatia,24.4,26.0,30.6,35.7,33.5,29.0,29.1,35.4 b,32.7,28.6
Annual,Percentage,Total,From 15 to 64 years,Hungary,41.1,36.9,29.8,26.8,22.8 b,20.2,18.9,23.3 b,18.1,21.1
Annual,Percentage,Total,From 15 to 64 years,Ireland,40.7,37.2,30.8,23.6 b,17.7,16.2,13.9,12.6 b,9.8,9.5
Annual,Percentage,Total,From 15 to 64 years,Iceland,19.7,14.9,13.0,13.2,17.4,15.8,18.9 b,15.4 b,11.4,11.5
Annual,Percentage,Total,From 15 to 64 years,Italy,65.4,65.6,64.3,62.5,65.5 b,65.6,66.1,62.8 b,57.9,54.8
Annual,Percentage,Total,From 15 to 64 years,Lithuania,31.3,31.9,31.6,30.6,24.4,23.5,29.4,25.0 b,20.0,15.9
Annual,Percentage,Total,From 15 to 64 years,Luxembourg,12.9,14.8 b,11.6,13.4,12.5,12.9,11.6,9.3 b,10.3,10.3
Annual,Percentage,Total,From 15 to 64 years,Latvia,38.1,32.7,35.9,34.5,33.1,21.9,23.2,34.7 b,31.4,26.8
Annual,Percentage,Total,From 15 to 64 years,Montenegro,29.6,40.2,34.6,32.5,36.0,30.7,21.6 u,:,:,:
Annual,Percentage,Total,From 15 to 64 years,North Macedonia,38.6,42.9,40.6,41.8,36.4,36.4,31.9,:,:,:
Annual,Percentage,Total,From 15 to 64 years,Malta,15.3,16.4,11.9,11.1,10.0,7.9,7.3,9.9 b,6.9 u,4.7 u
Annual,Percentage,Total,From 15 to 64 years,Netherlands,10.9 u,9.9 u,9.9 u,8.2 u,7.0,5.4,6.0,3.7 b,2.7,2.1
Annual,Percentage,Total,From 15 to 64 years,Norway,20.3 u,20.6 u,: u,: u,20.6 u,19.7 u,20.5 u,15.3 b,13.3,12.1
Annual,Percentage,Total,From 15 to 64 years,Poland,32.3,30.5,25.4,20.8,15.9,14.0 b,13.0,14.3 b,11.9,11.8
Annual,Percentage,Total,From 15 to 64 years,Portugal,49.0,49.9,48.3,47.2,45.2,43.3,44.2,41.3 b,40.4,39.6
Annual,Percentage,Total,From 15 to 64 years,Romania,56.9,59.0,57.8,55.8,54.2,55.6,56.9,65.8 b,59.9,57.8
Annual,Percentage,Total,From 15 to 64 years,Serbia,47.2 b,53.5,53.9,48.6,43.6,37.2,31.3,30.5 b,29.7,23.3
Annual,Percentage,Total,From 15 to 64 years,Sweden,29.8,29.4,28.3,27.0,24.2 b,22.9,23.0,25.0 b,21.8,20.2
Annual,Percentage,Total,From 15 to 64 years,Slovenia,9.6,13.0,14.1,10.6,6.5,4.8 u,6.0,9.6 b,8.1 u,7.2 u
Annual,Percentage,Total,From 15 to 64 years,Slovakia,33.4,29.9,34.6,31.6,26.5,27.1,20.0,20.8 b,21.2,16.0
Annual,Percentage,Total,From 15 to 64 years,Türkiye,8.5 b,9.2,11.2,12.6,12.7,14.1,15.3,14.5 b,14.1,12.5
Annual,Percentage,Total,From 15 to 64 years,United Kingdom,18.8,17.9,16.0,14.6,13.7,13.2,:,:,:,:
Annual,Percentage,Total,From 15 to 74 years,Austria,11.0,12.0,12.6,12.0,10.1,8.7,9.1,9.0 b,7.7,6.6
Annual,Percentage,Total,From 15 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,53.1 b,49.3,43.7
Annual,Percentage,Total,From 15 to 74 years,Belgium,9.9,9.8,8.6,7.6 b,6.7,5.7,4.6,21.1 b,18.1,17.4
