Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,From 45 to 54 years,Percentage of households,Denmark,17.8,18.1,16.3 i
Annual,From 45 to 54 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.7 i,19.1 i
Annual,From 45 to 54 years,Percentage of households,Euro area – 20 countries (from 2023),:,20.7 i,19.1 i
Annual,From 45 to 54 years,Percentage of households,Estonia,18.2,17.8 i,16.9 i
Annual,From 45 to 54 years,Percentage of households,Greece,19.1,19.6,19.1 i
Annual,From 45 to 54 years,Percentage of households,Spain,21.0,21.2,21.7 i
Annual,From 45 to 54 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,20.1 i,19.3 i
Annual,From 45 to 54 years,Percentage of households,European Union - 27 countries (from 2020),:,20 i,19.3 i
Annual,From 45 to 54 years,Percentage of households,Finland,18.2,16.5,:
Annual,From 45 to 54 years,Percentage of households,France,17.9,18.0,17.1 i
Annual,From 45 to 54 years,Percentage of households,Croatia,20.8,19.9,19.2 i
Annual,From 45 to 54 years,Percentage of households,Hungary,19.7,19.6,22.7 i
Annual,From 45 to 54 years,Percentage of households,Ireland,19.8,23.7,:
Annual,From 45 to 54 years,Percentage of households,Italy,19.6,:,:
Annual,From 45 to 54 years,Percentage of households,Lithuania,21.8,19.1,18.4 i
Annual,From 45 to 54 years,Percentage of households,Luxembourg,22.8,25.4,22 i
Annual,From 45 to 54 years,Percentage of households,Latvia,20.0,18.1,19.8 i
Annual,From 45 to 54 years,Percentage of households,Malta,21.2,17.7,17.4 i
Annual,From 45 to 54 years,Percentage of households,Netherlands,:,20.1,17.4 i
Annual,From 45 to 54 years,Percentage of households,Poland,20.1,17.8,18.8 i
Annual,From 45 to 54 years,Percentage of households,Portugal,20.2,20.7,:
Annual,From 45 to 54 years,Percentage of households,Romania,17.0,20.2,23 i
Annual,From 45 to 54 years,Percentage of households,Sweden,17.8,17.3,:
Annual,From 45 to 54 years,Percentage of households,Slovenia,22.2,20.7,19.8 i
Annual,From 45 to 54 years,Percentage of households,Slovakia,23.5,19.4,21.6 i
Annual,From 45 to 54 years,Percentage of households,United Kingdom,19.7,19.7,:
Annual,From 50 to 59 years,Percentage of households,Austria,20.3,22.4,21.1 i
Annual,From 50 to 59 years,Percentage of households,Belgium,19.5,20.6,20.4 i
Annual,From 50 to 59 years,Percentage of households,Bulgaria,:,18.8,19.1 i
Annual,From 50 to 59 years,Percentage of households,Cyprus,20.8,20.1,18 i
Annual,From 50 to 59 years,Percentage of households,Czechia,19.2,17.7,17.9 i
Annual,From 50 to 59 years,Percentage of households,Germany,19.3,21.1 i,22.1 i
Annual,From 50 to 59 years,Percentage of households,Denmark,18.1,18.8,17.7 i
Annual,From 50 to 59 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,19.8 i,20.3 i
Annual,From 50 to 59 years,Percentage of households,Euro area – 20 countries (from 2023),:,19.8 i,20.3 i
Annual,From 50 to 59 years,Percentage of households,Estonia,18.7,17.6 i,17.3 i
Annual,From 50 to 59 years,Percentage of households,Greece,20.0,20.0,21.1 i
Annual,From 50 to 59 years,Percentage of households,Spain,18.4,20.3,20.6 i
Annual,From 50 to 59 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.5 i,19.9 i
Annual,From 50 to 59 years,Percentage of households,European Union - 27 countries (from 2020),:,19.4 i,19.9 i
Annual,From 50 to 59 years,Percentage of households,Finland,18.6,17.0,:
Annual,From 50 to 59 years,Percentage of households,France,17.1,17.2,17.9 i
Annual,From 50 to 59 years,Percentage of households,Croatia,22.2,21.7,20.4 i
Annual,From 50 to 59 years,Percentage of households,Hungary,23.9,21.0,22 i
Annual,From 50 to 59 years,Percentage of households,Ireland,19.3,21.2,:
Annual,From 50 to 59 years,Percentage of households,Italy,18.1,:,:
Annual,From 50 to 59 years,Percentage of households,Lithuania,18.4,20.7,19.4 i
Annual,From 50 to 59 years,Percentage of households,Luxembourg,20.4,21.0,21.7 i
Annual,From 50 to 59 years,Percentage of households,Latvia,19.6,19.3,19.1 i
Annual,From 50 to 59 years,Percentage of households,Malta,21.8,20.3,17.4 i
Annual,From 50 to 59 years,Percentage of households,Netherlands,:,19.7,19.1 i
Annual,From 50 to 59 years,Percentage of households,Poland,22.6,19.0,17 i
Annual,From 50 to 59 years,Percentage of households,Portugal,19.5,20.1,:
Annual,From 50 to 59 years,Percentage of households,Romania,19.0,16.9,19.3 i
Annual,From 50 to 59 years,Percentage of households,Sweden,16.8,16.5,:
Annual,From 50 to 59 years,Percentage of households,Slovenia,21.6,22.4,21.6 i
Annual,From 50 to 59 years,Percentage of households,Slovakia,23.4,21.2,19.7 i
Annual,From 50 to 59 years,Percentage of households,United Kingdom,16.6,18.9,:
Annual,From 55 to 64 years,Percentage of households,Austria,16.5,18.4,21.1 i
Annual,From 55 to 64 years,Percentage of households,Belgium,17.4,18.2,20.2 i
Annual,From 55 to 64 years,Percentage of households,Bulgaria,:,19.9,18.9 i
Annual,From 55 to 64 years,Percentage of households,Cyprus,18.7,18.7,18.4 i
Annual,From 55 to 64 years,Percentage of households,Czechia,20.8,18.1,17.8 i
Annual,From 55 to 64 years,Percentage of households,Germany,15.9,18.5 i,21.1 i
Annual,From 55 to 64 years,Percentage of households,Denmark,18.7,17.4,18.4 i
Annual,From 55 to 64 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,18.4 i,20 i
Annual,From 55 to 64 years,Percentage of households,Euro area – 20 countries (from 2023),:,18.5 i,20 i
Annual,From 55 to 64 years,Percentage of households,Estonia,18.0,18.3 i,17.7 i
Annual,From 55 to 64 years,Percentage of households,Greece,17.5,18.8,20.3 i
Annual,From 55 to 64 years,Percentage of households,Spain,16.3,18.1,19.7 i
