Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Per million inhabitants,Predominantly urban regions,Latvia,:,5.53,10.22,20.5,14.93,9.35,17.89,8.59,12.6,15.69,13.81,25.73,29.74,6.96
Annual,Per million inhabitants,Predominantly urban regions,Malta,:,:,:,:,:,:,:,:,9.64,:,61.54,:,86.42,33.3
Annual,Per million inhabitants,Predominantly urban regions,Netherlands,34.76,47.68,50.52,50.25,:,58.89,59.13,51.46,53.69,62.48,55.21,53.86,50.05,45.94
Annual,Per million inhabitants,Predominantly urban regions,Norway,:,:,24.68,31.18,27.68,19.09,30.94,19.8,17.37,19.76,14.06,14.51,:,:
Annual,Per million inhabitants,Predominantly urban regions,Poland,:,:,:,:,:,:,29.14,30.79,30.28,38.14,38.29,45.48,53.23,39.94
Annual,Per million inhabitants,Predominantly urban regions,Portugal,8.94,10.16,12.44,12.39,14.43,13.12,20.74,11.99,:,:,:,17.88,13.96,15.65
Annual,Per million inhabitants,Predominantly urban regions,Romania,:,:,:,:,:,:,:,:,:,8.85,:,:,:,:
Annual,Per million inhabitants,Predominantly urban regions,Sweden,42.96,39.53,48.24,52.95,61.45,63.92,65.86,62.4,64.48,64.17,73.75,57.26,61.64,66.34
Annual,Per million inhabitants,Predominantly urban regions,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Predominantly urban regions,Slovakia,:,6.73,13.5,21.95,28.71,23.62,21.85,15.05,30.0,18.14,26.11,27.49,19.19,14.21
