Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Euro area – 20 countries (from 2023),15.8,14.7,14.9,14.2,14.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Estonia,19.3,17.0,15.1,12.7,17.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Greece,17.7,15.2,16.6,12.5,13.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Spain,20.2,18.1,19.1,16.6,16.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,European Union - 27 countries (from 2020),15.8,14.2,14.1,13.1,13.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,European Union - 28 countries (2013-2020),15.8,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Finland,11.2,11.7,10.7,10.7,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,France,13.3,15.1 b,13.8,15.3 b,15.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Croatia,17.2,14.6,13.3,11.3,11.3 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Hungary,11.7,8.8,9.2,6.4,8.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Ireland,13.3 b,9.9 b,7.4,8.3,8.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Iceland,9.6,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Italy,19.3,17.0,18.5,15.7,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Lithuania,18.0,14.2,10.0,10.6,13.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Luxembourg,17.2,15.9 b,11.4 b,9.1 b,11.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Latvia,20.3,17.2,15.6,13.6,16.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,North Macedonia,21.1,19.2,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Malta,16.1,13.2,12.3,9.2,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Netherlands,13.1,12.3,9.7,9.5,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Norway,11.9,10.5,11.9 b,11.2,11.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Poland,15.0,10.3,9.4,8.1,7.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Portugal,16.6,13.4,14.4,12.6,13.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Romania,22.7,19.3,16.9,11.7,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Sweden,16.3,14.2,13.6,14.4,14.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Slovenia,10.9,10.3,8.6,7.5,8.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Slovakia,11.6,9.6,11.9,13.0,15.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Males,Türkiye,21.9,22.4,21.9,17.3,15.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Austria,13.3,13.3,13.7,14.0,12.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Belgium,14.8 b,12.4 b,11.4,11.0,11.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Bulgaria,22.6,21.0,15.3,15.7,10.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Switzerland,16.0,15.5,14.4,14.7,16.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Cyprus,14.7,13.2,11.7,10.3,11.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Czechia,10.1,8.0,7.6,7.0,8.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Germany,14.8,13.2 b,14.5,14.6,15.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Denmark,12.5,12.3 b,11.1,10.9,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Euro area - 19 countries  (2015-2022),16.4,15.3 b,15.5,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Euro area – 20 countries (from 2023),16.4,15.3,15.5,15.0,15.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Estonia,21.7,18.9,17.0,14.3,20.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Greece,17.9,15.3,16.8,12.8,13.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Spain,20.7,18.5,19.3,17.1,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,European Union - 27 countries (from 2020),16.5,14.9,14.7,13.8,14.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,European Union - 28 countries (2013-2020),16.5,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Finland,11.6,11.4,10.5,11.0,12.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,France,13.6,15.9 b,14.7,16.3 b,16.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Croatia,18.3,16.0,14.9,12.8,13.1 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Hungary,12.3,8.5,9.1,6.5,8.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Ireland,13.4 b,10.4 b,7.8,8.1,8.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Iceland,9.3,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Italy,20.1,17.9,19.1,17.3,17.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Lithuania,20.6,16.3,11.4,11.9,14.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Luxembourg,17.5,16.3 b,11.8 b,9.7 b,12.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Latvia,22.9,19.6,18.5,16.2,18.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,North Macedonia,21.6,19.3,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Malta,17.1,14.5,13.2,9.9,13.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Netherlands,13.2,12.5,10.0,9.7,13.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Norway,12.7,11.6,13.1 b,12.5,12.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Poland,15.4,10.9,9.7,7.9,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Portugal,17.2,14.0,15.1,12.9,14.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Romania,23.8,20.5,17.3,11.8,12.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Sweden,17.1,15.0,13.7,14.8,15.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Slovenia,12.0,11.0,9.1,7.9,8.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Slovakia,11.9,9.8,12.4,13.2,15.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Total,Türkiye,22.4,22.9,22.4,17.8,15.9
