Time frequency,Unit of measure,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Greece,36.3,36.7,36.2,35.9,36.4,36.2,36.4,36.6,38.3,39.1 b,38.2,37.9
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Spain,36.1,35.9,36.2,35.9,35.9,35.9,35.8,36.1,37.4,38.0 bd,38.1 d,38.1 d
Annual,Percentage of total employment,Total,Total knowledge-intensive services,European Union - 27 countries (from 2020),37.8,37.9,38.3,38.4,38.6,38.6,38.7,39.1,40.1,40.7 b,40.8,41.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Finland,44.3,44.4,45.1,45.4,45.0,45.8,45.8,46.2,47.5,45.7 b,45.9,46.6
Annual,Percentage of total employment,Total,Total knowledge-intensive services,France,44.5,44.7,45.7 b,46.3,46.1,46.1,46.2,46.7,47.7,46.6 bd,46.4 d,47.5 d
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Croatia,31.3 b,33.5,33.8,33.7,34.3,34.8,35.6,36.5,36.4,34.9 b,35.5,37.2
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Hungary,35.1,36.1,35.7,35.9,36.1,35.1,35.0 b,34.9,35.7,37.0 b,36.6,36.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Ireland,45.6,45.4,45.6,45.0,44.6,44.4 b,44.3,45.0,47.0,48.6 b,47.9,48.6
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Iceland,48.2,48.1,47.9,48.3,48.1,48.9,51.0,51.8,53.0 b,51.3 b,51.4,49.8
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Italy,33.9,34.2,34.5,34.5,34.6,34.7,34.8 b,35.0,35.3,35.4 b,34.9,35.6
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Lithuania,33.6,33.1,32.8,33.8,34.5,34.3,34.6,35.1,36.8,37.1 b,38.1,38.5
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Luxembourg,57.0,57.2,58.3,52.1 b,51.5,48.5,52.4,55.4,56.4,57.4 b,58.6,58.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Latvia,36.5,36.1,35.7,36.0,36.2,37.3,36.0,36.5,37.1,38.0 b,38.0,38.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Montenegro,36.7,36.6,34.8,35.6,36.4,36.4,35.2,36.0,37.6,:,:,:
Annual,Percentage of total employment,Total,Total knowledge-intensive services,North Macedonia,26.8,25.6,25.5,26.0,26.8,26.4,25.9,26.9,28.8,:,:,:
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Malta,45.1,44.1,44.4,46.3,45.9,46.4,48.4,47.0,47.9,49.9 b,50.1,49.5
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Netherlands,45.3,46.7 b,46.6,46.3,46.0,45.0,45.8,46.1,46.7,52.1 b,53.1,53.0
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Norway,51.3,51.2,51.2,51.0,51.8,52.0,52.0,52.0,52.5,52.8 b,52.2,52.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Poland,30.6,31.2,31.4,31.2,30.9,31.3,31.7,32.1 b,32.5,33.5 b,33.8,35.4
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Portugal,32.7,33.5,34.9,36.0,35.9,35.5,36.7,36.8,37.4,40.3 b,39.4,38.7
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Romania,20.4,20.1,20.0,21.8,22.0,22.3,22.1,22.5,23.0,25.2 b,25.7,24.4
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Serbia,27.0,27.5,28.6 b,28.3,27.3,27.5,27.9,27.4,27.7,29.9 b,30.7,31.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Sweden,51.5,51.7,52.5,52.8,53.2,53.5,53.8 b,54.0,54.6,55.6 b,56.9,57.1
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Slovenia,35.2,34.4,34.7,35.1,35.6,35.6,35.2,35.7,37.6,41.8 b,40.8,37.2
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Slovakia,31.9,32.8,34.0,33.8,33.6,34.4,34.5,35.1,35.5,36.3 b,36.8,36.3
Annual,Percentage of total employment,Total,Total knowledge-intensive services,Türkiye,19.8,20.1,20.7 b,21.8,22.8,22.6,24.2,25.8,26.7,25.7 b,25.8,26.6
Annual,Percentage of total employment,Total,Total knowledge-intensive services,United Kingdom,48.5,48.7,48.7,49.1,49.0,49.1,49.7,50.5,:,:,:,:
