Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Average,Este,:,1.6,1.8,1.9,1.9,1.9,1.9 b,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
Annual,Average,Cataluña,:,1.6,1.8,1.8,1.9,1.9,1.9 b,1.9,1.7,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.9,1.8,1.9,1.9,1.9
Annual,Average,Comunitat Valenciana,:,1.6,1.7,1.9,2.0,2.0,2.0 b,2.0,1.9,1.9,1.9,1.9,2.0,1.9,1.9,2.0,1.9,2.0,2.0,2.0,2.0
Annual,Average,Illes Balears,:,1.6,1.8,1.8,1.9,1.9,1.9 b,1.8,1.9,2.0,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Annual,Average,Sur,:,1.4,1.6,1.7,1.8,1.8,1.8 b,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
Annual,Average,Andalucía,:,1.5,1.6,1.7,1.8,1.8,1.8 b,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
Annual,Average,Región de Murcia,:,1.4,1.7,1.6,1.7,1.8,1.8 b,1.8,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.8,1.8,1.9,1.9,1.9
Annual,Average,Ciudad de Ceuta,:,1.2,1.1,1.2,1.2,1.2,1.3 b,1.3,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.4,1.4,1.5,1.5,1.5
Annual,Average,Ciudad de Melilla,:,:,:,1.4,1.4,1.5,1.4 b,1.4,1.3,1.3,1.4,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.6
Annual,Average,Canarias,:,1.4,1.6,1.7,1.7,1.8,1.7 b,1.7,1.6,1.6,1.7,1.8,1.7,1.6,1.8,1.8,1.7,1.7,1.6,1.7,1.7
Annual,Average,Canarias,:,1.4,1.6,1.7,1.7,1.8,1.7 b,1.7,1.6,1.6,1.7,1.8,1.7,1.6,1.8,1.8,1.7,1.7,1.6,1.7,1.7
Annual,Average,Finland,:,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0
Annual,Average,Manner-Suomi,:,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0
Annual,Average,Itä-Suomi (NUTS 2006),:,1.8,1.8,1.8,1.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Average,Etelä-Suomi (NUTS 2006),:,1.8,1.8,1.8,1.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Average,"Länsi-Suomi, Åland",:,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1
Annual,Average,Pohjois-Suomi (NUTS 2006),:,1.7,1.7,1.8,1.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Average,Helsinki-Uusimaa,:,:,:,:,:,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Annual,Average,Etelä-Suomi,:,:,:,:,:,1.9,2.0,2.0,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1
Annual,Average,Pohjois- ja Itä-Suomi,:,:,:,:,:,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0
Annual,Average,France,:,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8 b,1.8,1.8 b,1.8
Annual,Average,Croatia,:,:,:,:,:,:,:,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
Annual,Average,Panonska Hrvatska,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.3,1.3,1.3
Annual,Average,Jadranska Hrvatska,:,:,:,:,:,:,:,:,:,:,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
Annual,Average,Kontinentalna Hrvatska (NUTS 2016),:,:,:,:,:,:,:,:,:,:,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,:,:,:
Annual,Average,Grad Zagreb,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.1,1.2,1.2
Annual,Average,Sjeverna Hrvatska,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.2,1.3,1.3
Annual,Average,Hungary,:,:,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.6,1.6,1.6
Annual,Average,Közép-Magyarország,:,:,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.6,1.6
Annual,Average,Közép-Magyarország (NUTS 2013),:,:,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,:,:,:,:,:,:
Annual,Average,Budapest,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5,1.6,1.6,1.6,1.6,1.7
Annual,Average,Pest,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5,1.4,1.5,1.5,1.5,1.5
Annual,Average,Dunántúl,:,:,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.6,1.6,1.6,1.6,1.6,1.6
Annual,Average,Közép-Dunántúl,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.6,1.6,1.5,1.6,1.6,1.5
Annual,Average,Nyugat-Dunántúl,:,:,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.6,1.6
Annual,Average,Dél-Dunántúl,:,:,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.8,1.7,1.7,1.7,1.7,1.7
Annual,Average,Alföld és Észak,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.5,1.6,1.5,1.6,1.6,1.5
Annual,Average,Észak-Magyarország,:,:,1.0,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.5
Annual,Average,Észak-Alföld,:,:,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.5,1.5,1.4,1.5,1.5,1.4
Annual,Average,Dél-Alföld,:,:,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.2,1.6,1.6,1.6,1.6,1.7,1.6
Annual,Average,Ireland,1.9,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.0 b,2.1 b,2.0,2.0,2.0
Annual,Average,"Border, Midland and Western (NUTS 2013)",2.0,2.1,2.0,2.0,2.0,2.1,2.1,2.2,2.2,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Average,Southern and Eastern (NUTS 2013),1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.1,2.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Average,Northern and Western,:,:,:,:,:,:,:,:,:,2.2,2.2,:,:,2.2,2.2,2.2,2.1 b,2.2 b,2.2,2.1,2.2
Annual,Average,Southern,:,:,:,:,:,:,:,:,:,2.2,2.2,:,:,2.1,2.2,2.3,2.1 b,2.2 b,2.2,2.1,2.2
Annual,Average,Eastern and Midland,:,:,:,:,:,:,:,:,:,2.0,2.0,:,:,2.0,2.0,2.0,1.9 b,1.9 b,1.9,1.9,1.9
Annual,Average,Iceland,:,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.5,:,:,:,:
Annual,Average,Italy,:,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Annual,Average,Nord-Ovest,:,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.4
Annual,Average,Piemonte,:,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Annual,Average,Valle d’Aosta/Vallée d’Aoste,:,1.5,1.5,1.5,1.4,1.6,1.6,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.3,1.3,1.4,1.4
Annual,Average,Liguria,:,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6
Annual,Average,Lombardia,:,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Annual,Average,Sud,:,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4
Annual,Average,Abruzzo,:,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.3,1.4,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.4
Annual,Average,Molise,:,1.4,1.4,1.4,1.5,1.6,1.6,1.5,1.4,1.4,1.5,1.7,1.6,1.5,1.4,1.3,1.3,1.3,1.4,1.4,1.6
Annual,Average,Campania,:,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.3,1.4,1.4
Annual,Average,Puglia,:,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4
Annual,Average,Basilicata,:,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.5
Annual,Average,Calabria,:,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.6,1.5,1.5,1.6
Annual,Average,Isole,:,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5
Annual,Average,Sicilia,:,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4
Annual,Average,Sardegna,:,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.6,1.6,1.6
Annual,Average,Nord-Est,:,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5
Annual,Average,Provincia Autonoma di Bolzano/Bozen,:,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.2,1.2,1.3,1.4,1.3,1.3,1.3
