Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2009.0,2012.0,2015.0,2018.0
Annual,Square kilometre,Malta,54.0,54.0,54.0,54.0,56.0
Annual,Square kilometre,Netherlands,3531.0,3577.0,3615.0,3623.0,3670.0
Annual,Square kilometre,Norway,1602.0,1614.0,1625.0,1634.0,1654.0
Annual,Square kilometre,Poland,7549.0,7708.0,7782.0,7898.0,7956.0
Annual,Square kilometre,Portugal,2841.0,2861.0,2892.0,2914.0,2931.0
Annual,Square kilometre,Romania,3767.0,3821.0,3853.0,3890.0,3914.0
Annual,Square kilometre,Serbia,1440.0,1448.0,1454.0,1465.0,1475.0
Annual,Square kilometre,Sweden,3188.0,3207.0,3225.0,3234.0,3268.0
Annual,Square kilometre,Slovenia,522.0,526.0,533.0,533.0,538.0
Annual,Square kilometre,Slovakia,1164.0,1186.0,1201.0,1212.0,1219.0
Annual,Square kilometre,Türkiye,7788.0,7960.0,8070.0,8353.0,8464.0
Annual,Square kilometre,Kosovo*,234.0,239.0,240.0,249.0,254.0
Annual,Percentage,Albania,1.19,1.2,1.21,1.21,1.22
Annual,Percentage,Austria,3.03,3.05,3.08,3.08,3.11
Annual,Percentage,Bosnia and Herzegovina,1.11,1.12,1.12,1.13,1.14
Annual,Percentage,Belgium,9.04,9.12,9.17,9.21,9.28
Annual,Percentage,Bulgaria,1.49,1.51,1.52,1.53,1.54
Annual,Percentage,Switzerland,4.18,4.25,4.28,4.29,4.3
Annual,Percentage,Cyprus,3.86,3.95,4.04,4.17,4.29
Annual,Percentage,Czechia,3.33,3.36,3.39,3.4,3.43
Annual,Percentage,Germany,5.57,5.62,5.66,5.68,5.72
Annual,Percentage,Denmark,4.37,4.41,4.44,4.45,4.5
Annual,Percentage,Estonia,1.16,1.17,1.18,1.19,1.19
Annual,Percentage,Greece,1.78,1.79,1.8,1.81,1.82
Annual,Percentage,Spain,1.78,1.8,1.84,1.85,1.87
Annual,Percentage,European Union - 27 countries (from 2020),2.61,2.63,2.66,2.67,2.69
Annual,Percentage,Finland,0.75,0.76,0.76,0.76,0.77
Annual,Percentage,France,3.51,3.54,3.59,3.61,3.63
Annual,Percentage,Croatia,1.75,1.76,1.78,1.78,1.81
Annual,Percentage,Hungary,2.68,2.71,2.74,2.76,2.77
Annual,Percentage,Ireland,1.83,1.85,1.87,1.87,1.91
Annual,Percentage,Iceland,0.13,0.13,0.14,0.14,0.14
Annual,Percentage,Italy,4.22,4.25,4.29,4.3,4.32
Annual,Percentage,Liechtenstein,6.21,6.29,6.3,6.3,6.33
Annual,Percentage,Lithuania,1.42,1.42,1.43,1.43,1.44
Annual,Percentage,Luxembourg,5.85,5.91,6.05,6.06,6.11
Annual,Percentage,Latvia,1.05,1.05,1.06,1.07,1.07
Annual,Percentage,Montenegro,0.66,0.66,0.66,0.66,0.67
Annual,Percentage,North Macedonia,1.11,1.13,1.14,1.15,1.15
Annual,Percentage,Malta,17.17,17.22,17.23,17.24,17.95
Annual,Percentage,Netherlands,9.93,10.06,10.17,10.19,10.32
Annual,Percentage,Norway,0.41,0.42,0.42,0.42,0.43
Annual,Percentage,Poland,2.42,2.47,2.49,2.53,2.55
Annual,Percentage,Portugal,3.09,3.12,3.15,3.17,3.19
Annual,Percentage,Romania,1.58,1.61,1.62,1.64,1.65
Annual,Percentage,Serbia,1.86,1.87,1.88,1.89,1.9
Annual,Percentage,Sweden,0.72,0.73,0.73,0.74,0.74
Annual,Percentage,Slovenia,2.58,2.59,2.63,2.63,2.66
Annual,Percentage,Slovakia,2.37,2.42,2.45,2.47,2.49
Annual,Percentage,Türkiye,1.0,1.02,1.04,1.07,1.09
Annual,Percentage,Kosovo*,2.15,2.19,2.2,2.29,2.33
